% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-1.495145726948977E-002,1.680564507842064E-002,-4.752730727195740E-001,-8.797243833541870E-001,-1.495145726948977E-002,1.680564507842064E-002,-4.752730727195740E-001,-8.797243833541870E-001,
6.983666666666666E+008,-7.364197168499231E-003,1.501763146370649E-002,-4.965757429599762E-001,-8.550117611885071E-001,-7.364197168499231E-003,1.501763146370649E-002,-4.965757429599762E-001,-8.550117611885071E-001,
7.067333333333334E+008,-1.651754835620523E-003,1.043227780610323E-002,-4.891390502452850E-001,-8.380318880081177E-001,-1.651754835620523E-003,1.043227780610323E-002,-4.891390502452850E-001,-8.380318880081177E-001,
7.151000000000000E+008,2.953415387310088E-004,3.380358917638660E-003,-5.309996604919434E-001,-8.280658125877380E-001,2.953415387310088E-004,3.380358917638660E-003,-5.309996604919434E-001,-8.280658125877380E-001,
7.234666666666666E+008,-3.481551306322217E-003,-2.934570424258709E-003,-5.473275184631348E-001,-8.071517944335938E-001,-3.481551306322217E-003,-2.934570424258709E-003,-5.473275184631348E-001,-8.071517944335938E-001,
7.318333333333334E+008,-1.051883120089769E-002,-7.713081780821085E-003,-5.764034390449524E-001,-8.143736124038696E-001,-1.051883120089769E-002,-7.713081780821085E-003,-5.764034390449524E-001,-8.143736124038696E-001,
7.402000000000000E+008,-1.893690042197704E-002,-6.362068466842175E-003,-6.053083539009094E-001,-7.930967211723328E-001,-1.893690042197704E-002,-6.362068466842175E-003,-6.053083539009094E-001,-7.930967211723328E-001,
7.485666666666666E+008,-2.493219636380673E-002,-1.675014966167510E-003,-6.137447953224182E-001,-7.768375277519226E-001,-2.493219636380673E-002,-1.675014966167510E-003,-6.137447953224182E-001,-7.768375277519226E-001,
7.569333333333334E+008,-2.750673331320286E-002,5.989131052047014E-003,-6.338978409767151E-001,-7.691991329193115E-001,-2.750673331320286E-002,5.989131052047014E-003,-6.338978409767151E-001,-7.691991329193115E-001,
7.653000000000000E+008,-2.426221221685410E-002,1.309383939951658E-002,-6.599483489990234E-001,-7.480857372283936E-001,-2.426221221685410E-002,1.309383939951658E-002,-6.599483489990234E-001,-7.480857372283936E-001,
7.736666666666666E+008,-1.918241195380688E-002,2.119002863764763E-002,-6.807723641395569E-001,-7.211557626724243E-001,-1.918241195380688E-002,2.119002863764763E-002,-6.807723641395569E-001,-7.211557626724243E-001,
