% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,re:Trc3_S21,im:Trc3_S21,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,8.409823775291443E-001,3.137256503105164E-001,8.409823775291443E-001,3.137256503105164E-001,1.177922077476978E-002,-4.215878900140524E-003,1.177922077476978E-002,-4.215878900140524E-003,
7.015500000000000E+008,8.371845483779907E-001,2.696734070777893E-001,8.371845483779907E-001,2.696734070777893E-001,1.188158802688122E-002,-4.888063296675682E-003,1.188158802688122E-002,-4.888063296675682E-003,
7.131000000000000E+008,8.683736920356751E-001,2.448017746210098E-001,8.683736920356751E-001,2.448017746210098E-001,1.210106350481510E-002,-5.307764280587435E-003,1.210106350481510E-002,-5.307764280587435E-003,
7.246500000000000E+008,8.775265812873840E-001,1.971671730279923E-001,8.775265812873840E-001,1.971671730279923E-001,1.170367188751698E-002,-6.239106878638268E-003,1.170367188751698E-002,-6.239106878638268E-003,
7.362000000000000E+008,8.833446502685547E-001,1.653360873460770E-001,8.833446502685547E-001,1.653360873460770E-001,1.179710868746042E-002,-6.572180893272162E-003,1.179710868746042E-002,-6.572180893272162E-003,
7.477500000000000E+008,8.834028840065002E-001,1.003452241420746E-001,8.834028840065002E-001,1.003452241420746E-001,1.116396207362413E-002,-7.099462673068047E-003,1.116396207362413E-002,-7.099462673068047E-003,
7.593000000000000E+008,8.764121532440186E-001,7.612799108028412E-002,8.764121532440186E-001,7.612799108028412E-002,1.138424780219793E-002,-7.382036186754704E-003,1.138424780219793E-002,-7.382036186754704E-003,
7.708500000000000E+008,8.860840797424316E-001,2.703944779932499E-002,8.860840797424316E-001,2.703944779932499E-002,1.151985581964254E-002,-7.520589977502823E-003,1.151985581964254E-002,-7.520589977502823E-003,
7.824000000000000E+008,8.721555471420288E-001,-2.501999959349632E-002,8.721555471420288E-001,-2.501999959349632E-002,1.157910656183958E-002,-8.349588140845299E-003,1.157910656183958E-002,-8.349588140845299E-003,
7.939500000000000E+008,8.985708951950073E-001,-6.242462992668152E-002,8.985708951950073E-001,-6.242462992668152E-002,1.178301125764847E-002,-8.881238289177418E-003,1.178301125764847E-002,-8.881238289177418E-003,
8.055000000000000E+008,8.980584740638733E-001,-1.146196499466896E-001,8.980584740638733E-001,-1.146196499466896E-001,1.140351872891188E-002,-9.538280777633190E-003,1.140351872891188E-002,-9.538280777633190E-003,
8.170500000000000E+008,8.903805613517761E-001,-1.553675681352615E-001,8.903805613517761E-001,-1.553675681352615E-001,1.124725770205259E-002,-1.036336272954941E-002,1.124725770205259E-002,-1.036336272954941E-002,
8.286000000000000E+008,8.551283478736877E-001,-1.893816441297531E-001,8.551283478736877E-001,-1.893816441297531E-001,1.084756758064032E-002,-1.091696415096521E-002,1.084756758064032E-002,-1.091696415096521E-002,
8.401500000000000E+008,8.441194891929627E-001,-2.396651953458786E-001,8.441194891929627E-001,-2.396651953458786E-001,1.036704890429974E-002,-1.127486955374479E-002,1.036704890429974E-002,-1.127486955374479E-002,
8.517000000000000E+008,8.514895439147949E-001,-2.714542746543884E-001,8.514895439147949E-001,-2.714542746543884E-001,1.047313306480646E-002,-1.153493579477072E-002,1.047313306480646E-002,-1.153493579477072E-002,
8.632500000000000E+008,8.259469866752625E-001,-3.203798830509186E-001,8.259469866752625E-001,-3.203798830509186E-001,1.006337907165289E-002,-1.187179982662201E-002,1.006337907165289E-002,-1.187179982662201E-002,
8.748000000000000E+008,8.177723288536072E-001,-3.780740797519684E-001,8.177723288536072E-001,-3.780740797519684E-001,1.015270687639713E-002,-1.259052846580744E-002,1.015270687639713E-002,-1.259052846580744E-002,
8.863500000000000E+008,7.978861331939697E-001,-4.271656572818756E-001,7.978861331939697E-001,-4.271656572818756E-001,9.976564906537533E-003,-1.298403181135654E-002,9.976564906537533E-003,-1.298403181135654E-002,
8.979000000000000E+008,7.886499166488648E-001,-4.609253406524658E-001,7.886499166488648E-001,-4.609253406524658E-001,9.654246270656586E-003,-1.384034194052219E-002,9.654246270656586E-003,-1.384034194052219E-002,
9.094500000000000E+008,7.681794762611389E-001,-5.047096610069275E-001,7.681794762611389E-001,-5.047096610069275E-001,9.502450935542584E-003,-1.421773154288530E-002,9.502450935542584E-003,-1.421773154288530E-002,
9.210000000000000E+008,7.280833125114441E-001,-5.153167843818665E-001,7.280833125114441E-001,-5.153167843818665E-001,8.737493306398392E-003,-1.505549531430006E-002,8.737493306398392E-003,-1.505549531430006E-002,
9.325500000000000E+008,6.843102574348450E-001,-5.545542240142822E-001,6.843102574348450E-001,-5.545542240142822E-001,8.367868140339851E-003,-1.563782431185246E-002,8.367868140339851E-003,-1.563782431185246E-002,
9.441000000000000E+008,6.823812723159790E-001,-6.065304875373840E-001,6.823812723159790E-001,-6.065304875373840E-001,7.746088318526745E-003,-1.580827496945858E-002,7.746088318526745E-003,-1.580827496945858E-002,
9.556500000000000E+008,6.421079635620117E-001,-6.323189735412598E-001,6.421079635620117E-001,-6.323189735412598E-001,7.531280629336834E-003,-1.667148247361183E-002,7.531280629336834E-003,-1.667148247361183E-002,
9.672000000000000E+008,5.870468616485596E-001,-6.600799560546875E-001,5.870468616485596E-001,-6.600799560546875E-001,6.837816443294287E-003,-1.645784825086594E-002,6.837816443294287E-003,-1.645784825086594E-002,
9.787500000000000E+008,5.773971676826477E-001,-7.034586071968079E-001,5.773971676826477E-001,-7.034586071968079E-001,6.584202870726585E-003,-1.663077063858509E-002,6.584202870726585E-003,-1.663077063858509E-002,
9.903000000000000E+008,5.384176969528198E-001,-7.269768118858337E-001,5.384176969528198E-001,-7.269768118858337E-001,6.191811524331570E-003,-1.773698814213276E-002,6.191811524331570E-003,-1.773698814213276E-002,
1.001850000000000E+009,4.792245328426361E-001,-7.395554780960083E-001,4.792245328426361E-001,-7.395554780960083E-001,5.945337470620871E-003,-1.819448731839657E-002,5.945337470620871E-003,-1.819448731839657E-002,
1.013400000000000E+009,4.633416533470154E-001,-7.762383818626404E-001,4.633416533470154E-001,-7.762383818626404E-001,5.229194182902575E-003,-1.874841377139092E-002,5.229194182902575E-003,-1.874841377139092E-002,
1.024950000000000E+009,4.364579021930695E-001,-8.008815050125122E-001,4.364579021930695E-001,-8.008815050125122E-001,4.407109227031469E-003,-1.916044019162655E-002,4.407109227031469E-003,-1.916044019162655E-002,
1.036500000000000E+009,3.447783887386322E-001,-7.899225354194641E-001,3.447783887386322E-001,-7.899225354194641E-001,3.590396605432034E-003,-1.971603743731976E-002,3.590396605432034E-003,-1.971603743731976E-002,
1.048050000000000E+009,3.327172398567200E-001,-8.307558894157410E-001,3.327172398567200E-001,-8.307558894157410E-001,2.821044065058231E-003,-1.990151032805443E-002,2.821044065058231E-003,-1.990151032805443E-002,
