% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,re:Trc3_S21,im:Trc3_S21,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.021242499351502E-001,8.146094083786011E-001,-5.021242499351502E-001,8.146094083786011E-001,1.196842733770609E-002,-4.729325417429209E-003,1.196842733770609E-002,-4.729325417429209E-003,
7.015500000000000E+008,-4.743863940238953E-001,8.342716693878174E-001,-4.743863940238953E-001,8.342716693878174E-001,1.171167381107807E-002,-5.617180373519659E-003,1.171167381107807E-002,-5.617180373519659E-003,
7.131000000000000E+008,-4.744721949100494E-001,8.281631469726563E-001,-4.744721949100494E-001,8.281631469726563E-001,1.150356791913509E-002,-5.695988424122334E-003,1.150356791913509E-002,-5.695988424122334E-003,
7.246500000000000E+008,-4.593052268028259E-001,8.514283299446106E-001,-4.593052268028259E-001,8.514283299446106E-001,1.143276132643223E-002,-6.350325886160135E-003,1.143276132643223E-002,-6.350325886160135E-003,
7.362000000000000E+008,-4.577080905437470E-001,8.497933149337769E-001,-4.577080905437470E-001,8.497933149337769E-001,1.158171519637108E-002,-6.217656191438437E-003,1.158171519637108E-002,-6.217656191438437E-003,
7.477500000000000E+008,-4.310514628887177E-001,8.748143911361694E-001,-4.310514628887177E-001,8.748143911361694E-001,1.159872394055128E-002,-6.899231579154730E-003,1.159872394055128E-002,-6.899231579154730E-003,
7.593000000000000E+008,-4.210422039031982E-001,8.609253764152527E-001,-4.210422039031982E-001,8.609253764152527E-001,1.177978143095970E-002,-7.413232233375311E-003,1.177978143095970E-002,-7.413232233375311E-003,
7.708500000000000E+008,-4.005150198936462E-001,8.746644258499146E-001,-4.005150198936462E-001,8.746644258499146E-001,1.179508026689291E-002,-8.026997558772564E-003,1.179508026689291E-002,-8.026997558772564E-003,
7.824000000000000E+008,-3.842737078666687E-001,8.742538094520569E-001,-3.842737078666687E-001,8.742538094520569E-001,1.157830003648996E-002,-9.236513637006283E-003,1.157830003648996E-002,-9.236513637006283E-003,
7.939500000000000E+008,-3.659689724445343E-001,8.828836083412170E-001,-3.659689724445343E-001,8.828836083412170E-001,1.115337200462818E-002,-9.626763872802258E-003,1.115337200462818E-002,-9.626763872802258E-003,
8.055000000000000E+008,-3.455817699432373E-001,8.992439508438110E-001,-3.455817699432373E-001,8.992439508438110E-001,1.076975557953119E-002,-1.012608315795660E-002,1.076975557953119E-002,-1.012608315795660E-002,
8.170500000000000E+008,-3.412309288978577E-001,9.040939211845398E-001,-3.412309288978577E-001,9.040939211845398E-001,1.061304379254580E-002,-1.043757982552052E-002,1.061304379254580E-002,-1.043757982552052E-002,
8.286000000000000E+008,-3.253300786018372E-001,9.096604585647583E-001,-3.253300786018372E-001,9.096604585647583E-001,1.053530909121037E-002,-1.054977253079414E-002,1.053530909121037E-002,-1.054977253079414E-002,
8.401500000000000E+008,-3.080625832080841E-001,9.213134646415710E-001,-3.080625832080841E-001,9.213134646415710E-001,1.057077758014202E-002,-1.107240747660399E-002,1.057077758014202E-002,-1.107240747660399E-002,
8.517000000000000E+008,-2.959432601928711E-001,9.236878156661987E-001,-2.959432601928711E-001,9.236878156661987E-001,1.072868146002293E-002,-1.156025845557451E-002,1.072868146002293E-002,-1.156025845557451E-002,
