% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,re:Trc3_S21,im:Trc3_S21,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,9.665578836575151E-004,3.808463364839554E-002,9.665578836575151E-004,3.808463364839554E-002,-4.361927509307861E-001,-8.867049813270569E-001,-4.361927509307861E-001,-8.867049813270569E-001,
7.015500000000000E+008,2.076040208339691E-002,3.085856512188911E-002,2.076040208339691E-002,3.085856512188911E-002,-4.722845554351807E-001,-8.728185892105103E-001,-4.722845554351807E-001,-8.728185892105103E-001,
7.131000000000000E+008,2.872732654213905E-002,1.458491571247578E-002,2.872732654213905E-002,1.458491571247578E-002,-4.821424186229706E-001,-8.562252521514893E-001,-4.821424186229706E-001,-8.562252521514893E-001,
7.246500000000000E+008,2.571134455502033E-002,-3.101400798186660E-003,2.571134455502033E-002,-3.101400798186660E-003,-5.305600166320801E-001,-8.409398794174194E-001,-5.305600166320801E-001,-8.409398794174194E-001,
7.362000000000000E+008,1.038287207484245E-002,-1.319030206650496E-002,1.038287207484245E-002,-1.319030206650496E-002,-5.432661175727844E-001,-8.301749229431152E-001,-5.432661175727844E-001,-8.301749229431152E-001,
7.477500000000000E+008,-5.967579782009125E-003,-8.739747107028961E-003,-5.967579782009125E-003,-8.739747107028961E-003,-5.781595110893250E-001,-7.891080379486084E-001,-5.781595110893250E-001,-7.891080379486084E-001,
7.593000000000000E+008,-1.326593011617661E-002,7.721167057752609E-003,-1.326593011617661E-002,7.721167057752609E-003,-6.107647418975830E-001,-7.778909206390381E-001,-6.107647418975830E-001,-7.778909206390381E-001,
7.708500000000000E+008,-7.532947696745396E-003,2.452467009425163E-002,-7.532947696745396E-003,2.452467009425163E-002,-6.220210790634155E-001,-7.577648758888245E-001,-6.220210790634155E-001,-7.577648758888245E-001,
7.824000000000000E+008,9.597818367183209E-003,3.006615675985813E-002,9.597818367183209E-003,3.006615675985813E-002,-6.738651990890503E-001,-7.331886291503906E-001,-6.738651990890503E-001,-7.331886291503906E-001,
7.939500000000000E+008,2.756490372121334E-002,2.558133378624916E-002,2.756490372121334E-002,2.558133378624916E-002,-6.852782368659973E-001,-7.110304236412048E-001,-6.852782368659973E-001,-7.110304236412048E-001,
8.055000000000000E+008,3.751531615853310E-002,8.549229241907597E-003,3.751531615853310E-002,8.549229241907597E-003,-7.037218809127808E-001,-6.811209321022034E-001,-7.037218809127808E-001,-6.811209321022034E-001,
8.170500000000000E+008,3.461172059178352E-002,-1.041932869702578E-002,3.461172059178352E-002,-1.041932869702578E-002,-7.340987920761108E-001,-6.670267581939697E-001,-7.340987920761108E-001,-6.670267581939697E-001,
8.286000000000000E+008,1.979479752480984E-002,-2.052368782460690E-002,1.979479752480984E-002,-2.052368782460690E-002,-7.487038373947144E-001,-6.396730542182922E-001,-7.487038373947144E-001,-6.396730542182922E-001,
8.401500000000000E+008,2.691595116630197E-003,-1.914131268858910E-002,2.691595116630197E-003,-1.914131268858910E-002,-7.671654224395752E-001,-6.117946505546570E-001,-7.671654224395752E-001,-6.117946505546570E-001,
8.517000000000000E+008,-8.278425782918930E-003,-6.011834833770990E-003,-8.278425782918930E-003,-6.011834833770990E-003,-7.872924804687500E-001,-6.027742028236389E-001,-7.872924804687500E-001,-6.027742028236389E-001,
8.632500000000000E+008,-8.408098481595516E-003,1.037108618766069E-002,-8.408098481595516E-003,1.037108618766069E-002,-8.079977035522461E-001,-5.595370531082153E-001,-8.079977035522461E-001,-5.595370531082153E-001,
8.748000000000000E+008,5.734647624194622E-003,2.158563211560249E-002,5.734647624194622E-003,2.158563211560249E-002,-8.425771594047546E-001,-5.357398986816406E-001,-8.425771594047546E-001,-5.357398986816406E-001,
8.863500000000000E+008,2.254991792142391E-002,2.237877063453198E-002,2.254991792142391E-002,2.237877063453198E-002,-8.395071625709534E-001,-5.089511871337891E-001,-8.395071625709534E-001,-5.089511871337891E-001,
8.979000000000000E+008,3.663304075598717E-002,1.012846268713474E-002,3.663304075598717E-002,1.012846268713474E-002,-8.680371046066284E-001,-4.740968346595764E-001,-8.680371046066284E-001,-4.740968346595764E-001,
9.094500000000000E+008,3.932042419910431E-002,-7.274250499904156E-003,3.932042419910431E-002,-7.274250499904156E-003,-8.674572706222534E-001,-4.533814191818237E-001,-8.674572706222534E-001,-4.533814191818237E-001,
9.210000000000000E+008,2.954159677028656E-002,-2.207484468817711E-002,2.954159677028656E-002,-2.207484468817711E-002,-8.899915814399719E-001,-4.091741442680359E-001,-8.899915814399719E-001,-4.091741442680359E-001,
9.325500000000000E+008,1.225043181329966E-002,-2.722875960171223E-002,1.225043181329966E-002,-2.722875960171223E-002,-9.025555849075317E-001,-3.851127624511719E-001,-9.025555849075317E-001,-3.851127624511719E-001,
9.441000000000000E+008,-1.986750168725848E-003,-1.891998574137688E-002,-1.986750168725848E-003,-1.891998574137688E-002,-9.159849882125855E-001,-3.559530973434448E-001,-9.159849882125855E-001,-3.559530973434448E-001,
9.556500000000000E+008,-3.607410937547684E-003,-4.694349132478237E-003,-3.607410937547684E-003,-4.694349132478237E-003,-9.481629133224487E-001,-3.365089297294617E-001,-9.481629133224487E-001,-3.365089297294617E-001,
9.672000000000000E+008,2.815223997458816E-003,8.484117686748505E-003,2.815223997458816E-003,8.484117686748505E-003,-9.417986869812012E-001,-2.940408289432526E-001,-9.417986869812012E-001,-2.940408289432526E-001,
9.787500000000000E+008,1.873693615198135E-002,1.215117517858744E-002,1.873693615198135E-002,1.215117517858744E-002,-9.414439201354981E-001,-2.555370926856995E-001,-9.414439201354981E-001,-2.555370926856995E-001,
9.903000000000000E+008,3.211813047528267E-002,4.037379287183285E-003,3.211813047528267E-002,4.037379287183285E-003,-9.747353792190552E-001,-2.213822901248932E-001,-9.747353792190552E-001,-2.213822901248932E-001,
1.001850000000000E+009,3.676903992891312E-002,-1.224585063755512E-002,3.676903992891312E-002,-1.224585063755512E-002,-9.758906364440918E-001,-1.998572051525116E-001,-9.758906364440918E-001,-1.998572051525116E-001,
1.013400000000000E+009,2.838132157921791E-002,-2.656309120357037E-002,2.838132157921791E-002,-2.656309120357037E-002,-9.721054434776306E-001,-1.596069484949112E-001,-9.721054434776306E-001,-1.596069484949112E-001,
1.024950000000000E+009,1.314510963857174E-002,-3.578467294573784E-002,1.314510963857174E-002,-3.578467294573784E-002,-9.702231287956238E-001,-1.225925013422966E-001,-9.702231287956238E-001,-1.225925013422966E-001,
1.036500000000000E+009,-3.859641496092081E-003,-2.902193926274777E-002,-3.859641496092081E-003,-2.902193926274777E-002,-9.842503070831299E-001,-9.906303882598877E-002,-9.842503070831299E-001,-9.906303882598877E-002,
1.048050000000000E+009,-1.089248247444630E-002,-1.410842128098011E-002,-1.089248247444630E-002,-1.410842128098011E-002,-9.794240593910217E-001,-6.146441027522087E-002,-9.794240593910217E-001,-6.146441027522087E-002,
1.059600000000000E+009,-4.836210981011391E-003,3.303325036540628E-003,-4.836210981011391E-003,3.303325036540628E-003,-9.679365158081055E-001,-2.814503945410252E-002,-9.679365158081055E-001,-2.814503945410252E-002,
1.071150000000000E+009,1.341487001627684E-002,1.023758575320244E-002,1.341487001627684E-002,1.023758575320244E-002,-9.765011668205261E-001,4.960742313414812E-003,-9.765011668205261E-001,4.960742313414812E-003,
1.082700000000000E+009,3.048320859670639E-002,3.760734573006630E-003,3.048320859670639E-002,3.760734573006630E-003,-9.815908670425415E-001,4.457256942987442E-002,-9.815908670425415E-001,4.457256942987442E-002,
