% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
2.500000000000000E+009,2.792831137776375E-002,6.799607723951340E-002,2.510453164577484E-001,-9.493975639343262E-001,2.792831137776375E-002,6.799607723951340E-002,2.510453164577484E-001,-9.493975639343262E-001,
2.511666666666667E+009,-1.032772194594145E-002,7.268018275499344E-002,2.025391012430191E-001,-9.624432921409607E-001,-1.032772194594145E-002,7.268018275499344E-002,2.025391012430191E-001,-9.624432921409607E-001,
2.523333333333334E+009,-3.246321901679039E-002,1.099303513765335E-001,1.775123625993729E-001,-9.654338955879211E-001,-3.246321901679039E-002,1.099303513765335E-001,1.775123625993729E-001,-9.654338955879211E-001,
2.535000000000000E+009,-1.853645034134388E-002,1.531022191047669E-001,1.238692253828049E-001,-9.619528055191040E-001,-1.853645034134388E-002,1.531022191047669E-001,1.238692253828049E-001,-9.619528055191040E-001,
2.546666666666667E+009,2.547014690935612E-002,1.752363592386246E-001,9.716063737869263E-002,-9.668885469436646E-001,2.547014690935612E-002,1.752363592386246E-001,9.716063737869263E-002,-9.668885469436646E-001,
2.558333333333334E+009,7.491319626569748E-002,1.620189398527145E-001,7.476885616779327E-002,-9.637023806571960E-001,7.491319626569748E-002,1.620189398527145E-001,7.476885616779327E-002,-9.637023806571960E-001,
2.570000000000000E+009,1.027349978685379E-001,1.226655095815659E-001,3.813884779810906E-002,-9.640433192253113E-001,1.027349978685379E-001,1.226655095815659E-001,3.813884779810906E-002,-9.640433192253113E-001,
2.581666666666667E+009,9.462910145521164E-002,7.668361067771912E-002,3.489837748929858E-003,-9.706097841262817E-001,9.462910145521164E-002,7.668361067771912E-002,3.489837748929858E-003,-9.706097841262817E-001,
2.593333333333334E+009,5.864527449011803E-002,5.141182988882065E-002,-3.580129891633987E-002,-9.754372239112854E-001,5.864527449011803E-002,5.141182988882065E-002,-3.580129891633987E-002,-9.754372239112854E-001,
2.605000000000000E+009,1.729223877191544E-002,6.446116417646408E-002,-7.476329058408737E-002,-9.785155653953552E-001,1.729223877191544E-002,6.446116417646408E-002,-7.476329058408737E-002,-9.785155653953552E-001,
2.616666666666667E+009,2.049230504781008E-003,1.063571572303772E-001,-1.167781576514244E-001,-9.712972640991211E-001,2.049230504781008E-003,1.063571572303772E-001,-1.167781576514244E-001,-9.712972640991211E-001,
2.628333333333334E+009,2.129153348505497E-002,1.511931568384171E-001,-1.547706127166748E-001,-9.565322995185852E-001,2.129153348505497E-002,1.511931568384171E-001,-1.547706127166748E-001,-9.565322995185852E-001,
2.640000000000000E+009,6.491094827651978E-002,1.669549643993378E-001,-1.784519255161285E-001,-9.529873728752136E-001,6.491094827651978E-002,1.669549643993378E-001,-1.784519255161285E-001,-9.529873728752136E-001,
2.651666666666667E+009,1.142860949039459E-001,1.490739732980728E-001,-2.048238068819046E-001,-9.421038627624512E-001,1.142860949039459E-001,1.490739732980728E-001,-2.048238068819046E-001,-9.421038627624512E-001,
2.663333333333334E+009,1.381990611553192E-001,1.069804057478905E-001,-2.330764085054398E-001,-9.384089112281799E-001,1.381990611553192E-001,1.069804057478905E-001,-2.330764085054398E-001,-9.384089112281799E-001,
