% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
2.500000000000000E+009,1.149903461337090E-001,1.956194825470448E-002,2.327848523855209E-001,-9.526817798614502E-001,1.149903461337090E-001,1.956194825470448E-002,2.327848523855209E-001,-9.526817798614502E-001,
2.511666666666667E+009,7.550479471683502E-002,2.176669612526894E-002,1.876283586025238E-001,-9.695834517478943E-001,7.550479471683502E-002,2.176669612526894E-002,1.876283586025238E-001,-9.695834517478943E-001,
2.523333333333334E+009,5.284491553902626E-002,5.866763740777969E-002,1.616982817649841E-001,-9.773265123367310E-001,5.284491553902626E-002,5.866763740777969E-002,1.616982817649841E-001,-9.773265123367310E-001,
2.535000000000000E+009,6.651657819747925E-002,1.011159792542458E-001,1.044607385993004E-001,-9.742436408996582E-001,6.651657819747925E-002,1.011159792542458E-001,1.044607385993004E-001,-9.742436408996582E-001,
2.546666666666667E+009,1.099394112825394E-001,1.189959049224854E-001,7.187373936176300E-002,-9.771459102630615E-001,1.099394112825394E-001,1.189959049224854E-001,7.187373936176300E-002,-9.771459102630615E-001,
2.558333333333334E+009,1.562115401029587E-001,9.870636463165283E-002,4.808956757187843E-002,-9.691534638404846E-001,1.562115401029587E-001,9.870636463165283E-002,4.808956757187843E-002,-9.691534638404846E-001,
2.570000000000000E+009,1.787620633840561E-001,4.993595555424690E-002,9.196557104587555E-003,-9.636473655700684E-001,1.787620633840561E-001,4.993595555424690E-002,9.196557104587555E-003,-9.636473655700684E-001,
2.581666666666667E+009,1.652337759733200E-001,-2.968901768326759E-003,-1.983377337455750E-002,-9.669275283813477E-001,1.652337759733200E-001,-2.968901768326759E-003,-1.983377337455750E-002,-9.669275283813477E-001,
2.593333333333334E+009,1.256517022848129E-001,-3.231541067361832E-002,-5.290818959474564E-002,-9.732543230056763E-001,1.256517022848129E-001,-3.231541067361832E-002,-5.290818959474564E-002,-9.732543230056763E-001,
2.605000000000000E+009,8.176174759864807E-002,-2.115145511925221E-002,-9.001958370208740E-002,-9.796172380447388E-001,8.176174759864807E-002,-2.115145511925221E-002,-9.001958370208740E-002,-9.796172380447388E-001,
2.616666666666667E+009,6.517300009727478E-002,1.945644617080689E-002,-1.351529955863953E-001,-9.762848019599915E-001,6.517300009727478E-002,1.945644617080689E-002,-1.351529955863953E-001,-9.762848019599915E-001,
2.628333333333334E+009,8.365554362535477E-002,6.397344917058945E-002,-1.759350597858429E-001,-9.645905494689941E-001,8.365554362535477E-002,6.397344917058945E-002,-1.759350597858429E-001,-9.645905494689941E-001,
2.640000000000000E+009,1.264160126447678E-001,7.800339162349701E-002,-2.060551792383194E-001,-9.582316875457764E-001,1.264160126447678E-001,7.800339162349701E-002,-2.060551792383194E-001,-9.582316875457764E-001,
2.651666666666667E+009,1.714770942926407E-001,5.450783297419548E-002,-2.347514778375626E-001,-9.423161745071411E-001,1.714770942926407E-001,5.450783297419548E-002,-2.347514778375626E-001,-9.423161745071411E-001,
2.663333333333334E+009,1.872948408126831E-001,5.230032838881016E-003,-2.622518539428711E-001,-9.326673746109009E-001,1.872948408126831E-001,5.230032838881016E-003,-2.622518539428711E-001,-9.326673746109009E-001,
2.675000000000000E+009,1.681449413299561E-001,-4.590318351984024E-002,-2.912980318069458E-001,-9.256352782249451E-001,1.681449413299561E-001,-4.590318351984024E-002,-2.912980318069458E-001,-9.256352782249451E-001,
2.686666666666667E+009,1.242794618010521E-001,-6.902864575386047E-002,-3.215463757514954E-001,-9.255639910697937E-001,1.242794618010521E-001,-6.902864575386047E-002,-3.215463757514954E-001,-9.255639910697937E-001,
2.698333333333334E+009,8.257348835468292E-002,-5.625938251614571E-002,-3.554635047912598E-001,-9.140262007713318E-001,8.257348835468292E-002,-5.625938251614571E-002,-3.554635047912598E-001,-9.140262007713318E-001,
2.710000000000000E+009,7.121832668781281E-002,-1.518184132874012E-002,-4.001850187778473E-001,-9.052037596702576E-001,7.121832668781281E-002,-1.518184132874012E-002,-4.001850187778473E-001,-9.052037596702576E-001,
2.721666666666667E+009,9.675074368715286E-002,2.315683662891388E-002,-4.384434819221497E-001,-8.822295665740967E-001,9.675074368715286E-002,2.315683662891388E-002,-4.384434819221497E-001,-8.822295665740967E-001,
2.733333333333334E+009,1.442741006612778E-001,3.284706920385361E-002,-4.627876281738281E-001,-8.608167767524719E-001,1.442741006612778E-001,3.284706920385361E-002,-4.627876281738281E-001,-8.608167767524719E-001,
2.745000000000000E+009,1.851119995117188E-001,3.727616276592016E-003,-4.930604994297028E-001,-8.386572599411011E-001,1.851119995117188E-001,3.727616276592016E-003,-4.930604994297028E-001,-8.386572599411011E-001,
2.756666666666667E+009,1.956294178962708E-001,-4.753868654370308E-002,-5.151850581169128E-001,-8.163052797317505E-001,1.956294178962708E-001,-4.753868654370308E-002,-5.151850581169128E-001,-8.163052797317505E-001,
2.768333333333334E+009,1.693353801965714E-001,-9.845037758350372E-002,-5.398594737052918E-001,-8.008648157119751E-001,1.693353801965714E-001,-9.845037758350372E-002,-5.398594737052918E-001,-8.008648157119751E-001,
2.780000000000000E+009,1.199819594621658E-001,-1.207344755530357E-001,-5.719031095504761E-001,-7.878283262252808E-001,1.199819594621658E-001,-1.207344755530357E-001,-5.719031095504761E-001,-7.878283262252808E-001,
2.791666666666667E+009,7.516290992498398E-002,-1.064168363809586E-001,-6.003677248954773E-001,-7.699196934700012E-001,7.516290992498398E-002,-1.064168363809586E-001,-6.003677248954773E-001,-7.699196934700012E-001,
2.803333333333334E+009,6.411814689636231E-002,-6.890463083982468E-002,-6.303431987762451E-001,-7.475418448448181E-001,6.411814689636231E-002,-6.890463083982468E-002,-6.303431987762451E-001,-7.475418448448181E-001,
2.815000000000000E+009,8.663567900657654E-002,-3.242386877536774E-002,-6.616770625114441E-001,-7.252653837203980E-001,8.663567900657654E-002,-3.242386877536774E-002,-6.616770625114441E-001,-7.252653837203980E-001,
2.826666666666667E+009,1.341446787118912E-001,-2.703227847814560E-002,-6.931829452514648E-001,-6.975975632667542E-001,1.341446787118912E-001,-2.703227847814560E-002,-6.931829452514648E-001,-6.975975632667542E-001,
2.838333333333334E+009,1.689574718475342E-001,-5.638336762785912E-002,-7.133070826530457E-001,-6.582854390144348E-001,1.689574718475342E-001,-5.638336762785912E-002,-7.133070826530457E-001,-6.582854390144348E-001,
2.850000000000000E+009,1.742606014013290E-001,-1.103432402014732E-001,-7.256531119346619E-001,-6.342170834541321E-001,1.742606014013290E-001,-1.103432402014732E-001,-7.256531119346619E-001,-6.342170834541321E-001,
2.861666666666667E+009,1.411914080381393E-001,-1.553395986557007E-001,-7.339102029800415E-001,-6.173177957534790E-001,1.411914080381393E-001,-1.553395986557007E-001,-7.339102029800415E-001,-6.173177957534790E-001,
2.873333333333334E+009,8.259353041648865E-002,-1.717403084039688E-001,-7.641294002532959E-001,-5.929924249649048E-001,8.259353041648865E-002,-1.717403084039688E-001,-7.641294002532959E-001,-5.929924249649048E-001,
2.885000000000000E+009,3.748977929353714E-002,-1.521248817443848E-001,-7.846082448959351E-001,-5.764108896255493E-001,3.748977929353714E-002,-1.521248817443848E-001,-7.846082448959351E-001,-5.764108896255493E-001,
2.896666666666667E+009,2.102831378579140E-002,-1.098878160119057E-001,-8.137311339378357E-001,-5.437566041946411E-001,2.102831378579140E-002,-1.098878160119057E-001,-8.137311339378357E-001,-5.437566041946411E-001,
2.908333333333334E+009,4.772123694419861E-002,-7.444406300783157E-002,-8.406587243080139E-001,-5.116443037986755E-001,4.772123694419861E-002,-7.444406300783157E-002,-8.406587243080139E-001,-5.116443037986755E-001,
2.920000000000000E+009,9.821594506502152E-002,-7.024540752172470E-002,-8.565801978111267E-001,-4.757894277572632E-001,9.821594506502152E-002,-7.024540752172470E-002,-8.565801978111267E-001,-4.757894277572632E-001,
