% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
2.500000000000000E+009,2.054816111922264E-002,-5.375085398554802E-002,3.741012811660767E-001,-9.123753309249878E-001,2.054816111922264E-002,-5.375085398554802E-002,3.741012811660767E-001,-9.123753309249878E-001,
2.511666666666667E+009,-2.462249062955380E-002,-6.099705770611763E-002,3.381484746932983E-001,-9.294632077217102E-001,-2.462249062955380E-002,-6.099705770611763E-002,3.381484746932983E-001,-9.294632077217102E-001,
2.523333333333334E+009,-6.237772107124329E-002,-3.157941624522209E-002,3.191970288753510E-001,-9.382810592651367E-001,-6.237772107124329E-002,-3.157941624522209E-002,3.191970288753510E-001,-9.382810592651367E-001,
2.535000000000000E+009,-6.708641350269318E-002,1.455633435398340E-002,2.699629366397858E-001,-9.479992389678955E-001,-6.708641350269318E-002,1.455633435398340E-002,2.699629366397858E-001,-9.479992389678955E-001,
2.546666666666667E+009,-3.629335016012192E-002,4.925051704049110E-002,2.413585931062698E-001,-9.632362127304077E-001,-3.629335016012192E-002,4.925051704049110E-002,2.413585931062698E-001,-9.632362127304077E-001,
2.558333333333334E+009,1.133748702704907E-002,4.915039986371994E-002,2.126819342374802E-001,-9.656629562377930E-001,1.133748702704907E-002,4.915039986371994E-002,2.126819342374802E-001,-9.656629562377930E-001,
2.570000000000000E+009,4.439898952841759E-002,1.608701609075069E-002,1.651320308446884E-001,-9.687063694000244E-001,4.439898952841759E-002,1.608701609075069E-002,1.651320308446884E-001,-9.687063694000244E-001,
2.581666666666667E+009,4.265783354640007E-002,-3.113042563199997E-002,1.332610845565796E-001,-9.721598029136658E-001,4.265783354640007E-002,-3.113042563199997E-002,1.332610845565796E-001,-9.721598029136658E-001,
2.593333333333334E+009,7.737090811133385E-003,-6.439846009016037E-002,9.990327060222626E-002,-9.773592948913574E-001,7.737090811133385E-003,-6.439846009016037E-002,9.990327060222626E-002,-9.773592948913574E-001,
2.605000000000000E+009,-4.209988191723824E-002,-6.079492345452309E-002,6.703192740678787E-002,-9.831372499465942E-001,-4.209988191723824E-002,-6.079492345452309E-002,6.703192740678787E-002,-9.831372499465942E-001,
2.616666666666667E+009,-7.545395195484161E-002,-2.396908029913902E-002,3.131325170397759E-002,-9.847353696823120E-001,-7.545395195484161E-002,-2.396908029913902E-002,3.131325170397759E-002,-9.847353696823120E-001,
2.628333333333334E+009,-7.646269351243973E-002,2.797966636717320E-002,-5.884244106709957E-003,-9.837635159492493E-001,-7.646269351243973E-002,2.797966636717320E-002,-5.884244106709957E-003,-9.837635159492493E-001,
2.640000000000000E+009,-4.380628466606140E-002,5.984441936016083E-002,-3.357584401965141E-002,-9.897489547729492E-001,-4.380628466606140E-002,5.984441936016083E-002,-3.357584401965141E-002,-9.897489547729492E-001,
2.651666666666667E+009,4.902734886854887E-003,5.785289779305458E-002,-6.810021400451660E-002,-9.851620197296143E-001,4.902734886854887E-003,5.785289779305458E-002,-6.810021400451660E-002,-9.851620197296143E-001,
2.663333333333334E+009,3.570765629410744E-002,2.362616173923016E-002,-1.028110757470131E-001,-9.831464290618897E-001,3.570765629410744E-002,2.362616173923016E-002,-1.028110757470131E-001,-9.831464290618897E-001,
2.675000000000000E+009,3.174705430865288E-002,-2.197694778442383E-002,-1.389145553112030E-001,-9.782410264015198E-001,3.174705430865288E-002,-2.197694778442383E-002,-1.389145553112030E-001,-9.782410264015198E-001,
2.686666666666667E+009,-4.323123488575220E-003,-4.816671460866928E-002,-1.709642410278320E-001,-9.762934446334839E-001,-4.323123488575220E-003,-4.816671460866928E-002,-1.709642410278320E-001,-9.762934446334839E-001,
2.698333333333334E+009,-5.007848516106606E-002,-3.999197110533714E-002,-2.024156451225281E-001,-9.644365906715393E-001,-5.007848516106606E-002,-3.999197110533714E-002,-2.024156451225281E-001,-9.644365906715393E-001,
2.710000000000000E+009,-7.610238343477249E-002,5.733076832257211E-004,-2.376395016908646E-001,-9.623146057128906E-001,-7.610238343477249E-002,5.733076832257211E-004,-2.376395016908646E-001,-9.623146057128906E-001,
2.721666666666667E+009,-6.698857247829437E-002,4.902629181742668E-002,-2.729597985744476E-001,-9.485358595848084E-001,-6.698857247829437E-002,4.902629181742668E-002,-2.729597985744476E-001,-9.485358595848084E-001,
2.733333333333334E+009,-2.789752557873726E-002,7.842551171779633E-002,-2.994944751262665E-001,-9.388178586959839E-001,-2.789752557873726E-002,7.842551171779633E-002,-2.994944751262665E-001,-9.388178586959839E-001,
2.745000000000000E+009,1.977034471929073E-002,7.124356180429459E-002,-3.364602327346802E-001,-9.302544593811035E-001,1.977034471929073E-002,7.124356180429459E-002,-3.364602327346802E-001,-9.302544593811035E-001,
2.756666666666667E+009,4.933879896998406E-002,3.298436477780342E-002,-3.689599931240082E-001,-9.150594472885132E-001,4.933879896998406E-002,3.298436477780342E-002,-3.689599931240082E-001,-9.150594472885132E-001,
2.768333333333334E+009,4.309318214654923E-002,-1.564907282590866E-002,-4.038360118865967E-001,-9.020115137100220E-001,4.309318214654923E-002,-1.564907282590866E-002,-4.038360118865967E-001,-9.020115137100220E-001,
2.780000000000000E+009,5.840108264237642E-003,-4.337262734770775E-002,-4.403475522994995E-001,-8.874443769454956E-001,5.840108264237642E-003,-4.337262734770775E-002,-4.403475522994995E-001,-8.874443769454956E-001,
2.791666666666667E+009,-4.009842872619629E-002,-3.404152020812035E-002,-4.679263234138489E-001,-8.686279058456421E-001,-4.009842872619629E-002,-3.404152020812035E-002,-4.679263234138489E-001,-8.686279058456421E-001,
2.803333333333334E+009,-6.264160573482513E-002,5.255799740552902E-003,-4.937939345836639E-001,-8.498064279556274E-001,-6.264160573482513E-002,5.255799740552902E-003,-4.937939345836639E-001,-8.498064279556274E-001,
2.815000000000000E+009,-5.391613021492958E-002,5.317253619432449E-002,-5.214002728462219E-001,-8.363173007965088E-001,-5.391613021492958E-002,5.317253619432449E-002,-5.214002728462219E-001,-8.363173007965088E-001,
2.826666666666667E+009,-1.245766784995794E-002,7.952811568975449E-002,-5.545308589935303E-001,-8.234640359878540E-001,-1.245766784995794E-002,7.952811568975449E-002,-5.545308589935303E-001,-8.234640359878540E-001,
2.838333333333334E+009,3.180024400353432E-002,7.043007016181946E-002,-5.853007435798645E-001,-7.945796251296997E-001,3.180024400353432E-002,7.043007016181946E-002,-5.853007435798645E-001,-7.945796251296997E-001,
2.850000000000000E+009,5.918371677398682E-002,2.677813731133938E-002,-6.091611385345459E-001,-7.752274274826050E-001,5.918371677398682E-002,2.677813731133938E-002,-6.091611385345459E-001,-7.752274274826050E-001,
2.861666666666667E+009,4.908521100878716E-002,-2.115708030760288E-002,-6.278275251388550E-001,-7.572781443595886E-001,4.908521100878716E-002,-2.115708030760288E-002,-6.278275251388550E-001,-7.572781443595886E-001,
2.873333333333334E+009,5.266509484499693E-003,-4.770959913730621E-002,-6.657498478889465E-001,-7.311043739318848E-001,5.266509484499693E-003,-4.770959913730621E-002,-6.657498478889465E-001,-7.311043739318848E-001,
2.885000000000000E+009,-3.916954994201660E-002,-3.594408929347992E-002,-6.866648197174072E-001,-7.106945514678955E-001,-3.916954994201660E-002,-3.594408929347992E-002,-6.866648197174072E-001,-7.106945514678955E-001,
2.896666666666667E+009,-6.405393034219742E-002,7.998861372470856E-003,-7.113237380981445E-001,-6.816015839576721E-001,-6.405393034219742E-002,7.998861372470856E-003,-7.113237380981445E-001,-6.816015839576721E-001,
2.908333333333334E+009,-4.886408150196075E-002,5.674128979444504E-002,-7.357197403907776E-001,-6.610279083251953E-001,-4.886408150196075E-002,5.674128979444504E-002,-7.357197403907776E-001,-6.610279083251953E-001,
2.920000000000000E+009,-2.539986744523048E-003,8.398492634296417E-002,-7.542513012886047E-001,-6.369890570640564E-001,-2.539986744523048E-003,8.398492634296417E-002,-7.542513012886047E-001,-6.369890570640564E-001,
2.931666666666667E+009,4.863948002457619E-002,7.316847145557404E-002,-7.761808633804321E-001,-6.056858897209168E-001,4.863948002457619E-002,7.316847145557404E-002,-7.761808633804321E-001,-6.056858897209168E-001,
2.943333333333334E+009,7.309500873088837E-002,2.745917253196240E-002,-8.009300231933594E-001,-5.774523019790649E-001,7.309500873088837E-002,2.745917253196240E-002,-8.009300231933594E-001,-5.774523019790649E-001,
2.955000000000000E+009,5.810679867863655E-002,-2.318486198782921E-002,-8.209471106529236E-001,-5.463201403617859E-001,5.810679867863655E-002,-2.318486198782921E-002,-8.209471106529236E-001,-5.463201403617859E-001,
2.966666666666667E+009,1.165914814919233E-002,-5.169474333524704E-002,-8.380755186080933E-001,-5.246089696884155E-001,1.165914814919233E-002,-5.169474333524704E-002,-8.380755186080933E-001,-5.246089696884155E-001,
2.978333333333334E+009,-3.808861225843430E-002,-3.788414970040321E-002,-8.576372265815735E-001,-4.914362430572510E-001,-3.808861225843430E-002,-3.788414970040321E-002,-8.576372265815735E-001,-4.914362430572510E-001,
2.990000000000000E+009,-6.099974736571312E-002,8.924034424126148E-003,-8.740212917327881E-001,-4.549487233161926E-001,-6.099974736571312E-002,8.924034424126148E-003,-8.740212917327881E-001,-4.549487233161926E-001,
3.001666666666667E+009,-4.247114062309265E-002,5.972799658775330E-002,-8.899131417274475E-001,-4.333943128585815E-001,-4.247114062309265E-002,5.972799658775330E-002,-8.899131417274475E-001,-4.333943128585815E-001,
3.013333333333334E+009,1.114592235535383E-002,8.281022310256958E-002,-9.006177783012390E-001,-4.016161859035492E-001,1.114592235535383E-002,8.281022310256958E-002,-9.006177783012390E-001,-4.016161859035492E-001,
3.025000000000000E+009,6.527887284755707E-002,6.399019807577133E-002,-9.038463234901428E-001,-3.750925958156586E-001,6.527887284755707E-002,6.399019807577133E-002,-9.038463234901428E-001,-3.750925958156586E-001,
3.036666666666667E+009,8.896501362323761E-002,1.540508866310120E-002,-9.297747015953064E-001,-3.381106257438660E-001,8.896501362323761E-002,1.540508866310120E-002,-9.297747015953064E-001,-3.381106257438660E-001,
3.048333333333333E+009,6.771665066480637E-002,-4.314301162958145E-002,-9.384243488311768E-001,-3.044191896915436E-001,6.771665066480637E-002,-4.314301162958145E-002,-9.384243488311768E-001,-3.044191896915436E-001,
3.060000000000000E+009,9.419230744242668E-003,-6.579437106847763E-002,-9.425531625747681E-001,-2.680014073848724E-001,9.419230744242668E-003,-6.579437106847763E-002,-9.425531625747681E-001,-2.680014073848724E-001,
3.071666666666667E+009,-4.602289199829102E-002,-4.291498661041260E-002,-9.537522196769714E-001,-2.375838905572891E-001,-4.602289199829102E-002,-4.291498661041260E-002,-9.537522196769714E-001,-2.375838905572891E-001,
3.083333333333333E+009,-6.821821630001068E-002,1.212422922253609E-002,-9.648838639259338E-001,-2.065103650093079E-001,-6.821821630001068E-002,1.212422922253609E-002,-9.648838639259338E-001,-2.065103650093079E-001,
3.095000000000000E+009,-4.110945388674736E-002,6.912907212972641E-002,-9.725911617279053E-001,-1.744984835386276E-001,-4.110945388674736E-002,6.912907212972641E-002,-9.725911617279053E-001,-1.744984835386276E-001,
3.106666666666667E+009,2.485628984868527E-002,9.036068618297577E-002,-9.796026349067688E-001,-1.377514302730560E-001,2.485628984868527E-002,9.036068618297577E-002,-9.796026349067688E-001,-1.377514302730560E-001,
3.118333333333333E+009,8.697021007537842E-002,6.239392980933189E-002,-9.852802753448486E-001,-1.061077564954758E-001,8.697021007537842E-002,6.239392980933189E-002,-9.852802753448486E-001,-1.061077564954758E-001,
3.130000000000000E+009,1.143704950809479E-001,-4.856250248849392E-003,-9.810043573379517E-001,-5.867517739534378E-002,1.143704950809479E-001,-4.856250248849392E-003,-9.810043573379517E-001,-5.867517739534378E-002,
3.141666666666667E+009,8.635863661766052E-002,-6.947051733732224E-002,-9.883783459663391E-001,-2.700802497565746E-002,8.635863661766052E-002,-6.947051733732224E-002,-9.883783459663391E-001,-2.700802497565746E-002,
3.153333333333333E+009,1.678816787898541E-002,-9.527000784873962E-002,-9.803464412689209E-001,1.122750807553530E-003,1.678816787898541E-002,-9.527000784873962E-002,-9.803464412689209E-001,1.122750807553530E-003,
3.165000000000000E+009,-4.920926317572594E-002,-6.968796998262405E-002,-9.894335865974426E-001,4.422704130411148E-002,-4.920926317572594E-002,-6.968796998262405E-002,-9.894335865974426E-001,4.422704130411148E-002,
3.176666666666667E+009,-7.799896597862244E-002,-5.891220178455114E-003,-9.852662086486816E-001,6.792110204696655E-002,-7.799896597862244E-002,-5.891220178455114E-003,-9.852662086486816E-001,6.792110204696655E-002,
