% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
2.500000000000000E+009,8.427928388118744E-002,-6.115287914872170E-002,2.924956083297730E-001,-9.392253160476685E-001,8.427928388118744E-002,-6.115287914872170E-002,2.924956083297730E-001,-9.392253160476685E-001,
2.511666666666667E+009,3.952493518590927E-002,-6.195292621850967E-002,2.535250186920166E-001,-9.565347433090210E-001,3.952493518590927E-002,-6.195292621850967E-002,2.535250186920166E-001,-9.565347433090210E-001,
2.523333333333334E+009,7.499122526496649E-003,-2.536213584244251E-002,2.321181148290634E-001,-9.665622711181641E-001,7.499122526496649E-003,-2.536213584244251E-002,2.321181148290634E-001,-9.665622711181641E-001,
2.535000000000000E+009,1.117353048175573E-002,2.328031510114670E-002,1.776031702756882E-001,-9.723999500274658E-001,1.117353048175573E-002,2.328031510114670E-002,1.776031702756882E-001,-9.723999500274658E-001,
2.546666666666667E+009,4.801341146230698E-002,5.265280231833458E-002,1.445891559123993E-001,-9.821391701698303E-001,4.801341146230698E-002,5.265280231833458E-002,1.445891559123993E-001,-9.821391701698303E-001,
2.558333333333334E+009,9.445255994796753E-002,4.326701536774635E-002,1.164570897817612E-001,-9.778442382812500E-001,9.445255994796753E-002,4.326701536774635E-002,1.164570897817612E-001,-9.778442382812500E-001,
2.570000000000000E+009,1.204655915498734E-001,1.582512981258333E-003,7.230471074581146E-002,-9.735382795333862E-001,1.204655915498734E-001,1.582512981258333E-003,7.230471074581146E-002,-9.735382795333862E-001,
2.581666666666667E+009,1.101819127798080E-001,-4.858063906431198E-002,4.124255478382111E-002,-9.745191931724548E-001,1.101819127798080E-001,-4.858063906431198E-002,4.124255478382111E-002,-9.745191931724548E-001,
2.593333333333334E+009,7.078989595174789E-002,-7.873952388763428E-002,9.095909073948860E-003,-9.784715771675110E-001,7.078989595174789E-002,-7.873952388763428E-002,9.095909073948860E-003,-9.784715771675110E-001,
2.605000000000000E+009,2.296595089137554E-002,-6.884977966547012E-002,-2.295251376926899E-002,-9.859247207641602E-001,2.296595089137554E-002,-6.884977966547012E-002,-2.295251376926899E-002,-9.859247207641602E-001,
2.616666666666667E+009,-2.273296238854528E-003,-2.620668523013592E-002,-6.293180584907532E-002,-9.865655303001404E-001,-2.273296238854528E-003,-2.620668523013592E-002,-6.293180584907532E-002,-9.865655303001404E-001,
2.628333333333334E+009,7.311634719371796E-003,2.630648575723171E-002,-1.043949350714684E-001,-9.813311696052551E-001,7.311634719371796E-003,2.630648575723171E-002,-1.043949350714684E-001,-9.813311696052551E-001,
2.640000000000000E+009,4.679519310593605E-002,5.309347435832024E-002,-1.346819400787354E-001,-9.810829758644104E-001,4.679519310593605E-002,5.309347435832024E-002,-1.346819400787354E-001,-9.810829758644104E-001,
2.651666666666667E+009,9.455993771553040E-002,4.198491945862770E-002,-1.684786230325699E-001,-9.694091677665710E-001,9.455993771553040E-002,4.198491945862770E-002,-1.684786230325699E-001,-9.694091677665710E-001,
2.663333333333334E+009,1.170083284378052E-001,4.168111190665513E-004,-1.994913518428803E-001,-9.612920284271240E-001,1.170083284378052E-001,4.168111190665513E-004,-1.994913518428803E-001,-9.612920284271240E-001,
2.675000000000000E+009,1.036983728408814E-001,-4.778414219617844E-002,-2.313291877508164E-001,-9.541851878166199E-001,1.036983728408814E-001,-4.778414219617844E-002,-2.313291877508164E-001,-9.541851878166199E-001,
2.686666666666667E+009,6.217757612466812E-002,-7.131335884332657E-002,-2.609790861606598E-001,-9.527100324630737E-001,6.217757612466812E-002,-7.131335884332657E-002,-2.609790861606598E-001,-9.527100324630737E-001,
2.698333333333334E+009,1.813879236578941E-002,-5.845092609524727E-002,-2.926568984985352E-001,-9.414507746696472E-001,1.813879236578941E-002,-5.845092609524727E-002,-2.926568984985352E-001,-9.414507746696472E-001,
2.710000000000000E+009,9.064510813914239E-004,-1.413777098059654E-002,-3.340101540088654E-001,-9.359345436096191E-001,9.064510813914239E-004,-1.413777098059654E-002,-3.340101540088654E-001,-9.359345436096191E-001,
2.721666666666667E+009,2.122489362955093E-002,3.314906731247902E-002,-3.714109063148499E-001,-9.180628061294556E-001,2.122489362955093E-002,3.314906731247902E-002,-3.714109063148499E-001,-9.180628061294556E-001,
2.733333333333334E+009,6.814465671777725E-002,5.572290346026421E-002,-3.981437683105469E-001,-9.020664691925049E-001,6.814465671777725E-002,5.572290346026421E-002,-3.981437683105469E-001,-9.020664691925049E-001,
2.745000000000000E+009,1.149792671203613E-001,3.904677927494049E-002,-4.327829778194428E-001,-8.841190338134766E-001,1.149792671203613E-001,3.904677927494049E-002,-4.327829778194428E-001,-8.841190338134766E-001,
2.756666666666667E+009,1.354840993881226E-001,-5.277159623801708E-003,-4.602115452289581E-001,-8.639508485794067E-001,1.354840993881226E-001,-5.277159623801708E-003,-4.602115452289581E-001,-8.639508485794067E-001,
2.768333333333334E+009,1.181469112634659E-001,-5.465894192457199E-002,-4.887074530124664E-001,-8.491482138633728E-001,1.181469112634659E-001,-5.465894192457199E-002,-4.887074530124664E-001,-8.491482138633728E-001,
