% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
2.500000000000000E+009,7.447047531604767E-002,-2.321704057976604E-003,3.089394271373749E-001,-9.382606744766235E-001,7.447047531604767E-002,-2.321704057976604E-003,3.089394271373749E-001,-9.382606744766235E-001,
2.511666666666667E+009,3.185138106346130E-002,-5.233992356806994E-003,2.682243883609772E-001,-9.569991827011108E-001,3.185138106346130E-002,-5.233992356806994E-003,2.682243883609772E-001,-9.569991827011108E-001,
2.523333333333334E+009,1.115089515224099E-003,2.868345752358437E-002,2.454351931810379E-001,-9.663479924201965E-001,1.115089515224099E-003,2.868345752358437E-002,2.454351931810379E-001,-9.663479924201965E-001,
2.535000000000000E+009,5.724228918552399E-003,7.460686564445496E-002,1.897935271263123E-001,-9.702830314636231E-001,5.724228918552399E-003,7.460686564445496E-002,1.897935271263123E-001,-9.702830314636231E-001,
2.546666666666667E+009,4.356684908270836E-002,1.021263375878334E-001,1.588766276836395E-001,-9.785658717155457E-001,4.356684908270836E-002,1.021263375878334E-001,1.588766276836395E-001,-9.785658717155457E-001,
2.558333333333334E+009,9.156256169080734E-002,9.178817272186279E-002,1.321074962615967E-001,-9.744209051132202E-001,9.156256169080734E-002,9.178817272186279E-002,1.321074962615967E-001,-9.744209051132202E-001,
2.570000000000000E+009,1.204756721854210E-001,4.959281161427498E-002,8.757326751947403E-002,-9.731804728507996E-001,1.204756721854210E-001,4.959281161427498E-002,8.757326751947403E-002,-9.731804728507996E-001,
2.581666666666667E+009,1.133586987853050E-001,-2.066466026008129E-003,5.768372491002083E-002,-9.764912724494934E-001,1.133586987853050E-001,-2.066466026008129E-003,5.768372491002083E-002,-9.764912724494934E-001,
2.593333333333334E+009,7.610900700092316E-002,-3.485137224197388E-002,2.371782436966896E-002,-9.823381304740906E-001,7.610900700092316E-002,-3.485137224197388E-002,2.371782436966896E-002,-9.823381304740906E-001,
2.605000000000000E+009,2.921523898839951E-002,-2.816258184611797E-002,-9.472057223320007E-003,-9.910522103309631E-001,2.921523898839951E-002,-2.816258184611797E-002,-9.472057223320007E-003,-9.910522103309631E-001,
2.616666666666667E+009,4.250556696206331E-003,1.140749268233776E-002,-5.050246790051460E-002,-9.908370375633240E-001,4.250556696206331E-003,1.140749268233776E-002,-5.050246790051460E-002,-9.908370375633240E-001,
2.628333333333334E+009,1.363302487879992E-002,6.092943623661995E-002,-9.242884814739227E-002,-9.826561212539673E-001,1.363302487879992E-002,6.092943623661995E-002,-9.242884814739227E-002,-9.826561212539673E-001,
2.640000000000000E+009,5.263314023613930E-002,8.502783626317978E-002,-1.208164840936661E-001,-9.832746386528015E-001,5.263314023613930E-002,8.502783626317978E-002,-1.208164840936661E-001,-9.832746386528015E-001,
2.651666666666667E+009,1.008046269416809E-001,7.173636555671692E-002,-1.537355333566666E-001,-9.719761610031128E-001,1.008046269416809E-001,7.173636555671692E-002,-1.537355333566666E-001,-9.719761610031128E-001,
2.663333333333334E+009,1.243461444973946E-001,2.825589291751385E-002,-1.839860975742340E-001,-9.656909108161926E-001,1.243461444973946E-001,2.825589291751385E-002,-1.839860975742340E-001,-9.656909108161926E-001,
2.675000000000000E+009,1.125023812055588E-001,-2.201788872480393E-002,-2.157830893993378E-001,-9.600688219070435E-001,1.125023812055588E-001,-2.201788872480393E-002,-2.157830893993378E-001,-9.600688219070435E-001,
2.686666666666667E+009,7.162587344646454E-002,-4.824380949139595E-002,-2.478638440370560E-001,-9.591007828712463E-001,7.162587344646454E-002,-4.824380949139595E-002,-2.478638440370560E-001,-9.591007828712463E-001,
2.698333333333334E+009,2.713640220463276E-002,-3.846614435315132E-002,-2.815082669258118E-001,-9.484596252441406E-001,2.713640220463276E-002,-3.846614435315132E-002,-2.815082669258118E-001,-9.484596252441406E-001,
2.710000000000000E+009,8.628117851912975E-003,3.126978641375899E-003,-3.221929967403412E-001,-9.429299235343933E-001,8.628117851912975E-003,3.126978641375899E-003,-3.221929967403412E-001,-9.429299235343933E-001,
2.721666666666667E+009,2.703214809298515E-002,4.774942994117737E-002,-3.600765168666840E-001,-9.247993230819702E-001,2.703214809298515E-002,4.774942994117737E-002,-3.600765168666840E-001,-9.247993230819702E-001,
2.733333333333334E+009,7.231863588094711E-002,6.811825186014175E-002,-3.855705559253693E-001,-9.090871810913086E-001,7.231863588094711E-002,6.811825186014175E-002,-3.855705559253693E-001,-9.090871810913086E-001,
2.745000000000000E+009,1.183286681771278E-001,4.951268434524536E-002,-4.199944734573364E-001,-8.918872475624085E-001,1.183286681771278E-001,4.951268434524536E-002,-4.199944734573364E-001,-8.918872475624085E-001,
2.756666666666667E+009,1.386792063713074E-001,3.215465694665909E-003,-4.478968381881714E-001,-8.723819851875305E-001,1.386792063713074E-001,3.215465694665909E-003,-4.478968381881714E-001,-8.723819851875305E-001,
2.768333333333334E+009,1.213314831256867E-001,-4.826532676815987E-002,-4.751410186290741E-001,-8.586286306381226E-001,1.213314831256867E-001,-4.826532676815987E-002,-4.751410186290741E-001,-8.586286306381226E-001,
2.780000000000000E+009,7.653519511222839E-002,-7.483874261379242E-002,-5.089626908302307E-001,-8.461101055145264E-001,7.653519511222839E-002,-7.483874261379242E-002,-5.089626908302307E-001,-8.461101055145264E-001,
2.791666666666667E+009,3.005290031433106E-002,-6.370294094085693E-002,-5.385572314262390E-001,-8.274345397949219E-001,3.005290031433106E-002,-6.370294094085693E-002,-5.385572314262390E-001,-8.274345397949219E-001,
2.803333333333334E+009,1.322822365909815E-002,-2.499125525355339E-002,-5.687700510025024E-001,-8.068037033081055E-001,1.322822365909815E-002,-2.499125525355339E-002,-5.687700510025024E-001,-8.068037033081055E-001,
2.815000000000000E+009,3.038685396313667E-002,1.791973412036896E-002,-5.983177423477173E-001,-7.889937758445740E-001,3.038685396313667E-002,1.791973412036896E-002,-5.983177423477173E-001,-7.889937758445740E-001,
2.826666666666667E+009,7.739938795566559E-002,3.419636934995651E-002,-6.307632327079773E-001,-7.684870362281799E-001,7.739938795566559E-002,3.419636934995651E-002,-6.307632327079773E-001,-7.684870362281799E-001,
2.838333333333334E+009,1.189649254083633E-001,1.403109543025494E-002,-6.575995087623596E-001,-7.325959205627441E-001,1.189649254083633E-001,1.403109543025494E-002,-6.575995087623596E-001,-7.325959205627441E-001,
2.850000000000000E+009,1.353875398635864E-001,-3.668770939111710E-002,-6.759598851203919E-001,-7.089610695838928E-001,1.353875398635864E-001,-3.668770939111710E-002,-6.759598851203919E-001,-7.089610695838928E-001,
2.861666666666667E+009,1.122074127197266E-001,-8.460265398025513E-002,-6.874262690544128E-001,-6.922643780708313E-001,1.122074127197266E-001,-8.460265398025513E-002,-6.874262690544128E-001,-6.922643780708313E-001,
2.873333333333334E+009,5.865864828228951E-002,-1.072702407836914E-001,-7.197791337966919E-001,-6.688519120216370E-001,5.865864828228951E-002,-1.072702407836914E-001,-7.197791337966919E-001,-6.688519120216370E-001,
2.885000000000000E+009,1.180962473154068E-002,-9.200017154216766E-002,-7.429500222206116E-001,-6.500580310821533E-001,1.180962473154068E-002,-9.200017154216766E-002,-7.429500222206116E-001,-6.500580310821533E-001,
2.896666666666667E+009,-9.690396487712860E-003,-4.869576916098595E-002,-7.703934311866760E-001,-6.192886829376221E-001,-9.690396487712860E-003,-4.869576916098595E-002,-7.703934311866760E-001,-6.192886829376221E-001,
2.908333333333334E+009,1.267828885465860E-002,-6.512830499559641E-003,-7.971636056900024E-001,-5.931637883186340E-001,1.267828885465860E-002,-6.512830499559641E-003,-7.971636056900024E-001,-5.931637883186340E-001,
2.920000000000000E+009,6.358573585748673E-002,8.728220127522945E-003,-8.153779506683350E-001,-5.624050498008728E-001,6.358573585748673E-002,8.728220127522945E-003,-8.153779506683350E-001,-5.624050498008728E-001,
2.931666666666667E+009,1.110632643103600E-001,-1.442004460841417E-002,-8.334211707115173E-001,-5.208353400230408E-001,1.110632643103600E-001,-1.442004460841417E-002,-8.334211707115173E-001,-5.208353400230408E-001,
2.943333333333334E+009,1.227554678916931E-001,-6.548197567462921E-002,-8.500750660896301E-001,-4.894605278968811E-001,1.227554678916931E-001,-6.548197567462921E-002,-8.500750660896301E-001,-4.894605278968811E-001,
2.955000000000000E+009,9.327105432748795E-002,-1.130815297365189E-001,-8.626207709312439E-001,-4.588593840599060E-001,9.327105432748795E-002,-1.130815297365189E-001,-8.626207709312439E-001,-4.588593840599060E-001,
2.966666666666667E+009,3.662052378058434E-002,-1.336534172296524E-001,-8.756728172302246E-001,-4.408878684043884E-001,3.662052378058434E-002,-1.336534172296524E-001,-8.756728172302246E-001,-4.408878684043884E-001,
2.978333333333334E+009,-1.664460636675358E-002,-1.123118773102760E-001,-8.938625454902649E-001,-4.138742089271545E-001,-1.664460636675358E-002,-1.123118773102760E-001,-8.938625454902649E-001,-4.138742089271545E-001,
2.990000000000000E+009,-3.683539107441902E-002,-6.385242938995361E-002,-9.109399318695068E-001,-3.780200481414795E-001,-3.683539107441902E-002,-6.385242938995361E-002,-9.109399318695068E-001,-3.780200481414795E-001,
3.001666666666667E+009,-1.304356567561626E-002,-1.913833804428577E-002,-9.303074479103088E-001,-3.508923351764679E-001,-1.304356567561626E-002,-1.913833804428577E-002,-9.303074479103088E-001,-3.508923351764679E-001,
3.013333333333334E+009,4.282397776842117E-002,-8.801099844276905E-003,-9.387598633766174E-001,-3.135876059532166E-001,4.282397776842117E-002,-8.801099844276905E-003,-9.387598633766174E-001,-3.135876059532166E-001,
3.025000000000000E+009,9.035543352365494E-002,-4.055105894804001E-002,-9.379157423973084E-001,-2.805170118808746E-001,9.035543352365494E-002,-4.055105894804001E-002,-9.379157423973084E-001,-2.805170118808746E-001,
3.036666666666667E+009,1.005679070949554E-001,-9.448141604661942E-002,-9.551610946655273E-001,-2.365503013134003E-001,1.005679070949554E-001,-9.448141604661942E-002,-9.551610946655273E-001,-2.365503013134003E-001,
3.048333333333333E+009,6.382615119218826E-002,-1.466935724020004E-001,-9.549304842948914E-001,-2.032994776964188E-001,6.382615119218826E-002,-1.466935724020004E-001,-9.549304842948914E-001,-2.032994776964188E-001,
3.060000000000000E+009,-3.531235735863447E-003,-1.560254991054535E-001,-9.533970355987549E-001,-1.732338368892670E-001,-3.531235735863447E-003,-1.560254991054535E-001,-9.533970355987549E-001,-1.732338368892670E-001,
3.071666666666667E+009,-6.017988920211792E-002,-1.210737004876137E-001,-9.639741778373718E-001,-1.455389559268951E-001,-6.017988920211792E-002,-1.210737004876137E-001,-9.639741778373718E-001,-1.455389559268951E-001,
3.083333333333333E+009,-7.808300852775574E-002,-6.169856712222099E-002,-9.775412082672119E-001,-1.156821176409721E-001,-7.808300852775574E-002,-6.169856712222099E-002,-9.775412082672119E-001,-1.156821176409721E-001,
3.095000000000000E+009,-4.585975781083107E-002,-1.073170918971300E-002,-9.880183935165405E-001,-8.327621221542358E-002,-4.585975781083107E-002,-1.073170918971300E-002,-9.880183935165405E-001,-8.327621221542358E-002,
3.106666666666667E+009,2.019206620752811E-002,-3.483169944956899E-003,-9.937831163406372E-001,-3.993667662143707E-002,2.019206620752811E-002,-3.483169944956899E-003,-9.937831163406372E-001,-3.993667662143707E-002,
3.118333333333333E+009,7.325650006532669E-002,-4.661030322313309E-002,-9.938194155693054E-001,3.584044170565903E-004,7.325650006532669E-002,-4.661030322313309E-002,-9.938194155693054E-001,3.584044170565903E-004,
3.130000000000000E+009,8.160509914159775E-002,-1.189274936914444E-001,-9.770072698593140E-001,4.958720132708550E-002,8.160509914159775E-002,-1.189274936914444E-001,-9.770072698593140E-001,4.958720132708550E-002,
3.141666666666667E+009,3.675032779574394E-002,-1.735526919364929E-001,-9.749106168746948E-001,7.898361235857010E-002,3.675032779574394E-002,-1.735526919364929E-001,-9.749106168746948E-001,7.898361235857010E-002,
3.153333333333333E+009,-4.120719432830811E-002,-1.803531646728516E-001,-9.608179926872253E-001,1.009849905967712E-001,-4.120719432830811E-002,-1.803531646728516E-001,-9.608179926872253E-001,1.009849905967712E-001,
3.165000000000000E+009,-1.046451926231384E-001,-1.386303603649139E-001,-9.659358263015747E-001,1.397717744112015E-001,-1.046451926231384E-001,-1.386303603649139E-001,-9.659358263015747E-001,1.397717744112015E-001,
3.176666666666667E+009,-1.260410398244858E-001,-6.737795472145081E-002,-9.652758836746216E-001,1.582386195659638E-001,-1.260410398244858E-001,-6.737795472145081E-002,-9.652758836746216E-001,1.582386195659638E-001,
3.188333333333333E+009,-9.214201569557190E-002,-8.164038881659508E-003,-9.650783538818359E-001,1.962352693080902E-001,-9.214201569557190E-002,-8.164038881659508E-003,-9.650783538818359E-001,1.962352693080902E-001,
3.200000000000000E+009,-2.309655025601387E-002,4.555395571514964E-004,-9.660351276397705E-001,2.356724143028259E-001,-2.309655025601387E-002,4.555395571514964E-004,-9.660351276397705E-001,2.356724143028259E-001,
3.211666666666667E+009,3.209974244236946E-002,-4.715282097458839E-002,-9.551781415939331E-001,2.755870223045349E-001,3.209974244236946E-002,-4.715282097458839E-002,-9.551781415939331E-001,2.755870223045349E-001,
3.223333333333333E+009,3.490276262164116E-002,-1.222273185849190E-001,-9.350029230117798E-001,3.155071437358856E-001,3.490276262164116E-002,-1.222273185849190E-001,-9.350029230117798E-001,3.155071437358856E-001,
3.235000000000000E+009,-1.912432909011841E-002,-1.744909882545471E-001,-9.135617613792419E-001,3.398731052875519E-001,-1.912432909011841E-002,-1.744909882545471E-001,-9.135617613792419E-001,3.398731052875519E-001,
