% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
2.500000000000000E+009,1.308151613920927E-002,9.158168733119965E-002,2.236938625574112E-001,-9.606319069862366E-001,1.308151613920927E-002,9.158168733119965E-002,2.236938625574112E-001,-9.606319069862366E-001,
2.511666666666667E+009,-2.439775876700878E-002,1.001160070300102E-001,1.728180795907974E-001,-9.701587557792664E-001,-2.439775876700878E-002,1.001160070300102E-001,1.728180795907974E-001,-9.701587557792664E-001,
2.523333333333334E+009,-4.358093813061714E-002,1.400032788515091E-001,1.473817229270935E-001,-9.718720912933350E-001,-4.358093813061714E-002,1.400032788515091E-001,1.473817229270935E-001,-9.718720912933350E-001,
2.535000000000000E+009,-2.657624892890453E-002,1.831488311290741E-001,9.569019824266434E-002,-9.648626446723938E-001,-2.657624892890453E-002,1.831488311290741E-001,9.569019824266434E-002,-9.648626446723938E-001,
2.546666666666667E+009,1.951440423727036E-002,2.037607729434967E-001,7.008998095989227E-002,-9.688685536384583E-001,1.951440423727036E-002,2.037607729434967E-001,7.008998095989227E-002,-9.688685536384583E-001,
2.558333333333334E+009,6.899413466453552E-002,1.880509853363037E-001,4.738020524382591E-002,-9.670873284339905E-001,6.899413466453552E-002,1.880509853363037E-001,4.738020524382591E-002,-9.670873284339905E-001,
2.570000000000000E+009,9.617947787046433E-002,1.460707336664200E-001,9.475598111748695E-003,-9.670886993408203E-001,9.617947787046433E-002,1.460707336664200E-001,9.475598111748695E-003,-9.670886993408203E-001,
2.581666666666667E+009,8.767352998256683E-002,1.010378077626228E-001,-2.378137968480587E-002,-9.733852148056030E-001,8.767352998256683E-002,1.010378077626228E-001,-2.378137968480587E-002,-9.733852148056030E-001,
2.593333333333334E+009,5.229841172695160E-002,7.916478067636490E-002,-6.526250392198563E-002,-9.769874811172485E-001,5.229841172695160E-002,7.916478067636490E-002,-6.526250392198563E-002,-9.769874811172485E-001,
2.605000000000000E+009,1.331784203648567E-002,9.575984627008438E-002,-1.061646938323975E-001,-9.781941175460815E-001,1.331784203648567E-002,9.575984627008438E-002,-1.061646938323975E-001,-9.781941175460815E-001,
2.616666666666667E+009,2.151672728359699E-003,1.391209363937378E-001,-1.481985896825790E-001,-9.678689837455750E-001,2.151672728359699E-003,1.391209363937378E-001,-1.481985896825790E-001,-9.678689837455750E-001,
2.628333333333334E+009,2.479444444179535E-002,1.831212341785431E-001,-1.839173734188080E-001,-9.517785310745239E-001,2.479444444179535E-002,1.831212341785431E-001,-1.839173734188080E-001,-9.517785310745239E-001,
2.640000000000000E+009,7.015462964773178E-002,1.967965364456177E-001,-2.064452171325684E-001,-9.459723830223084E-001,7.015462964773178E-002,1.967965364456177E-001,-2.064452171325684E-001,-9.459723830223084E-001,
2.651666666666667E+009,1.185022071003914E-001,1.765480637550354E-001,-2.322574704885483E-001,-9.354531764984131E-001,1.185022071003914E-001,1.765480637550354E-001,-2.322574704885483E-001,-9.354531764984131E-001,
2.663333333333334E+009,1.414050906896591E-001,1.319569349288940E-001,-2.609235644340515E-001,-9.334064126014710E-001,1.414050906896591E-001,1.319569349288940E-001,-2.609235644340515E-001,-9.334064126014710E-001,
