% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
2.500000000000000E+009,1.148856058716774E-001,2.155350893735886E-002,2.367809563875198E-001,-9.488524794578552E-001,1.148856058716774E-001,2.155350893735886E-002,2.367809563875198E-001,-9.488524794578552E-001,
2.511666666666667E+009,7.598826289176941E-002,2.318027988076210E-002,1.911733001470566E-001,-9.654639363288879E-001,7.598826289176941E-002,2.318027988076210E-002,1.911733001470566E-001,-9.654639363288879E-001,
2.523333333333334E+009,5.332834646105766E-002,5.915337055921555E-002,1.647738367319107E-001,-9.728775024414063E-001,5.332834646105766E-002,5.915337055921555E-002,1.647738367319107E-001,-9.728775024414063E-001,
2.535000000000000E+009,6.639892607927322E-002,1.010638996958733E-001,1.080476939678192E-001,-9.702910184860230E-001,6.639892607927322E-002,1.010638996958733E-001,1.080476939678192E-001,-9.702910184860230E-001,
2.546666666666667E+009,1.090291216969490E-001,1.189684420824051E-001,7.646170258522034E-002,-9.736586213111877E-001,1.090291216969490E-001,1.189684420824051E-001,7.646170258522034E-002,-9.736586213111877E-001,
2.558333333333334E+009,1.550505757331848E-001,9.924667328596115E-002,5.189293622970581E-002,-9.656690955162048E-001,1.550505757331848E-001,9.924667328596115E-002,5.189293622970581E-002,-9.656690955162048E-001,
2.570000000000000E+009,1.779958009719849E-001,5.150089785456657E-002,1.227419264614582E-002,-9.600607156753540E-001,1.779958009719849E-001,5.150089785456657E-002,1.227419264614582E-002,-9.600607156753540E-001,
2.581666666666667E+009,1.649279743432999E-001,-9.439713321626186E-004,-1.668435707688332E-002,-9.637699723243713E-001,1.649279743432999E-001,-9.439713321626186E-004,-1.668435707688332E-002,-9.637699723243713E-001,
2.593333333333334E+009,1.259553581476212E-001,-3.042858093976975E-002,-4.921380057930946E-002,-9.701418876647949E-001,1.259553581476212E-001,-3.042858093976975E-002,-4.921380057930946E-002,-9.701418876647949E-001,
2.605000000000000E+009,8.246489614248276E-002,-1.982836239039898E-002,-8.585176616907120E-002,-9.768323898315430E-001,8.246489614248276E-002,-1.982836239039898E-002,-8.585176616907120E-002,-9.768323898315430E-001,
