% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
2.500000000000000E+009,2.090050838887692E-002,-5.500854924321175E-002,3.761212825775147E-001,-9.150570034980774E-001,2.090050838887692E-002,-5.500854924321175E-002,3.761212825775147E-001,-9.150570034980774E-001,
2.511666666666667E+009,-2.445525862276554E-002,-6.175225600600243E-002,3.379376530647278E-001,-9.292436242103577E-001,-2.445525862276554E-002,-6.175225600600243E-002,3.379376530647278E-001,-9.292436242103577E-001,
2.523333333333334E+009,-6.253474950790405E-002,-3.251028060913086E-002,3.192859292030335E-001,-9.373165965080261E-001,-6.253474950790405E-002,-3.251028060913086E-002,3.192859292030335E-001,-9.373165965080261E-001,
2.535000000000000E+009,-6.736568361520767E-002,1.349164079874754E-002,2.701536417007446E-001,-9.470465183258057E-001,-6.736568361520767E-002,1.349164079874754E-002,2.701536417007446E-001,-9.470465183258057E-001,
2.546666666666667E+009,-3.651152551174164E-002,4.778983071446419E-002,2.417893111705780E-001,-9.630373716354370E-001,-3.651152551174164E-002,4.778983071446419E-002,2.417893111705780E-001,-9.630373716354370E-001,
2.558333333333334E+009,1.119567919522524E-002,4.766828566789627E-002,2.117235064506531E-001,-9.662193655967712E-001,1.119567919522524E-002,4.766828566789627E-002,2.117235064506531E-001,-9.662193655967712E-001,
2.570000000000000E+009,4.446157068014145E-002,1.465251948684454E-002,1.641474664211273E-001,-9.688830375671387E-001,4.446157068014145E-002,1.465251948684454E-002,1.641474664211273E-001,-9.688830375671387E-001,
2.581666666666667E+009,4.261467605829239E-002,-3.221689909696579E-002,1.344568133354187E-001,-9.725797176361084E-001,4.261467605829239E-002,-3.221689909696579E-002,1.344568133354187E-001,-9.725797176361084E-001,
2.593333333333334E+009,8.049641735851765E-003,-6.526888906955719E-002,1.010082587599754E-001,-9.769297838211060E-001,8.049641735851765E-003,-6.526888906955719E-002,1.010082587599754E-001,-9.769297838211060E-001,
2.605000000000000E+009,-4.223116487264633E-002,-6.155885383486748E-002,6.733907759189606E-002,-9.830778837203980E-001,-4.223116487264633E-002,-6.155885383486748E-002,6.733907759189606E-002,-9.830778837203980E-001,
2.616666666666667E+009,-7.599455118179321E-002,-2.469908446073532E-002,3.013236261904240E-002,-9.841468334197998E-001,-7.599455118179321E-002,-2.469908446073532E-002,3.013236261904240E-002,-9.841468334197998E-001,
2.628333333333334E+009,-7.719803601503372E-002,2.719535864889622E-002,-6.651224568486214E-003,-9.842836856842041E-001,-7.719803601503372E-002,2.719535864889622E-002,-6.651224568486214E-003,-9.842836856842041E-001,
2.640000000000000E+009,-4.457292333245277E-002,5.892839655280113E-002,-3.392745181918144E-002,-9.887193441390991E-001,-4.457292333245277E-002,5.892839655280113E-002,-3.392745181918144E-002,-9.887193441390991E-001,
2.651666666666667E+009,4.070174414664507E-003,5.682608857750893E-002,-6.828346103429794E-002,-9.838097095489502E-001,4.070174414664507E-003,5.682608857750893E-002,-6.828346103429794E-002,-9.838097095489502E-001,
2.663333333333334E+009,3.491812944412231E-002,2.251943945884705E-002,-1.018448919057846E-001,-9.818340539932251E-001,3.491812944412231E-002,2.251943945884705E-002,-1.018448919057846E-001,-9.818340539932251E-001,
