% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
2.500000000000000E+009,8.384617418050766E-002,-6.080905720591545E-002,2.942223250865936E-001,-9.392917752265930E-001,8.384617418050766E-002,-6.080905720591545E-002,2.942223250865936E-001,-9.392917752265930E-001,
2.511666666666667E+009,3.974872082471848E-002,-6.148893013596535E-002,2.551053166389465E-001,-9.578163623809815E-001,3.974872082471848E-002,-6.148893013596535E-002,2.551053166389465E-001,-9.578163623809815E-001,
2.523333333333334E+009,8.195206522941589E-003,-2.516739070415497E-002,2.338534146547318E-001,-9.676828980445862E-001,8.195206522941589E-003,-2.516739070415497E-002,2.338534146547318E-001,-9.676828980445862E-001,
2.535000000000000E+009,1.201278436928988E-002,2.265973575413227E-002,1.782843321561813E-001,-9.737454056739807E-001,1.201278436928988E-002,2.265973575413227E-002,1.782843321561813E-001,-9.737454056739807E-001,
2.546666666666667E+009,4.839114099740982E-002,5.150241032242775E-002,1.460123658180237E-001,-9.839470982551575E-001,4.839114099740982E-002,5.150241032242775E-002,1.460123658180237E-001,-9.839470982551575E-001,
2.558333333333334E+009,9.408327937126160E-002,4.199452325701714E-002,1.173236593604088E-001,-9.789730906486511E-001,9.408327937126160E-002,4.199452325701714E-002,1.173236593604088E-001,-9.789730906486511E-001,
2.570000000000000E+009,1.195548400282860E-001,7.144892588257790E-004,7.181052118539810E-002,-9.748010635375977E-001,1.195548400282860E-001,7.144892588257790E-004,7.181052118539810E-002,-9.748010635375977E-001,
2.581666666666667E+009,1.091504469513893E-001,-4.876864701509476E-002,4.204211011528969E-002,-9.759233593940735E-001,1.091504469513893E-001,-4.876864701509476E-002,4.204211011528969E-002,-9.759233593940735E-001,
2.593333333333334E+009,7.006249576807022E-002,-7.841304689645767E-002,9.180845692753792E-003,-9.801325798034668E-001,7.006249576807022E-002,-7.841304689645767E-002,9.180845692753792E-003,-9.801325798034668E-001,
2.605000000000000E+009,2.285111322999001E-002,-6.835378706455231E-002,-2.251628972589970E-002,-9.875600934028626E-001,2.285111322999001E-002,-6.835378706455231E-002,-2.251628972589970E-002,-9.875600934028626E-001,
2.616666666666667E+009,-1.776875578798354E-003,-2.599086053669453E-002,-6.243950873613358E-002,-9.884984493255615E-001,-1.776875578798354E-003,-2.599086053669453E-002,-6.243950873613358E-002,-9.884984493255615E-001,
2.628333333333334E+009,8.057773113250732E-003,2.604847773909569E-002,-1.043574512004852E-001,-9.827222228050232E-001,8.057773113250732E-003,2.604847773909569E-002,-1.043574512004852E-001,-9.827222228050232E-001,
2.640000000000000E+009,4.724245518445969E-002,5.219905823469162E-002,-1.340869367122650E-001,-9.832653403282166E-001,4.724245518445969E-002,5.219905823469162E-002,-1.340869367122650E-001,-9.832653403282166E-001,
2.651666666666667E+009,9.422777593135834E-002,4.089320078492165E-002,-1.676086932420731E-001,-9.714359045028687E-001,9.422777593135834E-002,4.089320078492165E-002,-1.676086932420731E-001,-9.714359045028687E-001,
2.663333333333334E+009,1.160013228654862E-001,-3.976677253376693E-004,-1.975928395986557E-001,-9.634069204330444E-001,1.160013228654862E-001,-3.976677253376693E-004,-1.975928395986557E-001,-9.634069204330444E-001,
2.675000000000000E+009,1.023734360933304E-001,-4.804560169577599E-002,-2.308062463998795E-001,-9.566376805305481E-001,1.023734360933304E-001,-4.804560169577599E-002,-2.308062463998795E-001,-9.566376805305481E-001,
