% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
2.500000000000000E+009,7.446987926959992E-002,-2.422186546027660E-003,3.087505996227264E-001,-9.384376406669617E-001,7.446987926959992E-002,-2.422186546027660E-003,3.087505996227264E-001,-9.384376406669617E-001,
2.511666666666667E+009,3.180329129099846E-002,-5.337444134056568E-003,2.676565945148468E-001,-9.572300314903259E-001,3.180329129099846E-002,-5.337444134056568E-003,2.676565945148468E-001,-9.572300314903259E-001,
2.523333333333334E+009,1.051541534252465E-003,2.867919579148293E-002,2.443873435258865E-001,-9.656965732574463E-001,1.051541534252465E-003,2.867919579148293E-002,2.443873435258865E-001,-9.656965732574463E-001,
2.535000000000000E+009,5.621726159006357E-003,7.481504976749420E-002,1.895346492528915E-001,-9.703799486160278E-001,5.621726159006357E-003,7.481504976749420E-002,1.895346492528915E-001,-9.703799486160278E-001,
2.546666666666667E+009,4.370335116982460E-002,1.022045463323593E-001,1.580864787101746E-001,-9.785441756248474E-001,4.370335116982460E-002,1.022045463323593E-001,1.580864787101746E-001,-9.785441756248474E-001,
2.558333333333334E+009,9.173713624477387E-002,9.171138703823090E-002,1.309537142515183E-001,-9.744212627410889E-001,9.173713624477387E-002,9.171138703823090E-002,1.309537142515183E-001,-9.744212627410889E-001,
2.570000000000000E+009,1.204175725579262E-001,4.956583306193352E-002,8.762854337692261E-002,-9.725787639617920E-001,1.204175725579262E-001,4.956583306193352E-002,8.762854337692261E-002,-9.725787639617920E-001,
2.581666666666667E+009,1.134087890386581E-001,-2.131567569449544E-003,5.911935493350029E-002,-9.766438007354736E-001,1.134087890386581E-001,-2.131567569449544E-003,5.911935493350029E-002,-9.766438007354736E-001,
2.593333333333334E+009,7.621707022190094E-002,-3.481024876236916E-002,2.508675679564476E-002,-9.827631711959839E-001,7.621707022190094E-002,-3.481024876236916E-002,2.508675679564476E-002,-9.827631711959839E-001,
2.605000000000000E+009,2.902217581868172E-002,-2.822477929294109E-002,-1.008352171629667E-002,-9.900419116020203E-001,2.902217581868172E-002,-2.822477929294109E-002,-1.008352171629667E-002,-9.900419116020203E-001,
2.616666666666667E+009,3.962021786719561E-003,1.134670060127974E-002,-5.104451999068260E-002,-9.903234839439392E-001,3.962021786719561E-003,1.134670060127974E-002,-5.104451999068260E-002,-9.903234839439392E-001,
2.628333333333334E+009,1.363272313028574E-002,6.086651608347893E-002,-9.189267456531525E-002,-9.836665987968445E-001,1.363272313028574E-002,6.086651608347893E-002,-9.189267456531525E-002,-9.836665987968445E-001,
2.640000000000000E+009,5.273741111159325E-002,8.485021442174912E-002,-1.210637539625168E-001,-9.829238057136536E-001,5.273741111159325E-002,8.485021442174912E-002,-1.210637539625168E-001,-9.829238057136536E-001,
2.651666666666667E+009,1.008155345916748E-001,7.183412462472916E-002,-1.534484773874283E-001,-9.720562696456909E-001,1.008155345916748E-001,7.183412462472916E-002,-1.534484773874283E-001,-9.720562696456909E-001,
2.663333333333334E+009,1.243795529007912E-001,2.834862843155861E-002,-1.834906935691834E-001,-9.653434753417969E-001,1.243795529007912E-001,2.834862843155861E-002,-1.834906935691834E-001,-9.653434753417969E-001,
2.675000000000000E+009,1.126062646508217E-001,-2.191207371652126E-002,-2.161515504121780E-001,-9.595251679420471E-001,1.126062646508217E-001,-2.191207371652126E-002,-2.161515504121780E-001,-9.595251679420471E-001,
2.686666666666667E+009,7.168495655059815E-002,-4.825103655457497E-002,-2.467553466558456E-001,-9.594274759292603E-001,7.168495655059815E-002,-4.825103655457497E-002,-2.467553466558456E-001,-9.594274759292603E-001,
