% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-2.014023815672169E+003,2.521892943397384E+002,-1.579554826021195E-001,-9.781689643859863E-001,
7.015500000000000E+008,-2.299623129842290E+003,2.850826244540755E+003,-1.863432079553604E-001,-9.725556969642639E-001,
7.131000000000000E+008,2.058797732286832E+002,2.254055394252686E+003,-2.047253549098969E-001,-9.810104966163635E-001,
7.246500000000000E+008,3.308208434580468E+003,2.819265066291012E+003,-2.328308075666428E-001,-9.673476219177246E-001,
7.362000000000000E+008,1.378123874786862E+003,-9.091785245962196E+001,-2.678468525409699E-001,-9.580067396163940E-001,
7.477500000000000E+008,1.245915321025831E+003,-1.385978037629476E+003,-3.006009459495544E-001,-9.382509589195252E-001,
7.593000000000000E+008,-1.110520305606614E+002,-2.548283733404957E+003,-3.187487125396729E-001,-9.364323019981384E-001,
7.708500000000000E+008,-1.688955121075863E+003,-1.569090586634441E+003,-3.532674312591553E-001,-9.287059307098389E-001,
7.824000000000000E+008,-3.979310708098724E+003,1.229874370590586E+002,-3.802509903907776E-001,-9.176328182220459E-001,
7.939500000000000E+008,-6.287647152968251E+003,6.653792449518908E+003,-3.930484354496002E-001,-9.053242802619934E-001,
8.055000000000000E+008,8.133563619198159E+001,3.085654970552506E+003,-4.298951625823975E-001,-8.959102034568787E-001,
8.170500000000000E+008,3.404967080908236E+003,3.220772463693704E+003,-4.564003646373749E-001,-8.907760977745056E-001,
8.286000000000000E+008,1.925532585316031E+003,-5.347440860871384E+001,-4.792765080928803E-001,-8.699872493743897E-001,
8.401500000000000E+008,4.928008743699240E+003,-5.190555495412841E+003,-5.012936592102051E-001,-8.552718162536621E-001,
8.517000000000000E+008,-4.600979587080502E+001,-2.056505487655940E+003,-5.311849117279053E-001,-8.450301885604858E-001,
8.632500000000000E+008,-2.435277212654652E+003,-2.340875710472436E+003,-5.468598008155823E-001,-8.208250999450684E-001,
8.748000000000000E+008,-5.428098908790702E+003,1.043243904219263E+002,-5.786817073822022E-001,-8.084213137626648E-001,
8.863500000000000E+008,-1.571740060063252E+003,1.635121784704256E+003,-6.016830801963806E-001,-7.831168174743652E-001,
8.979000000000000E+008,4.508472171530391E+001,2.364094401177405E+003,-6.227382421493530E-001,-7.778117060661316E-001,
9.094500000000000E+008,1.675337153320583E+003,1.583612424860561E+003,-6.392025351524353E-001,-7.596676945686340E-001,
9.210000000000000E+008,1.569627172619603E+004,-5.748455543066472E+002,-6.680932641029358E-001,-7.316925525665283E-001,
9.325500000000000E+008,1.552603488833802E+003,-1.704359728036698E+003,-6.909121274948120E-001,-7.187646031379700E-001,
9.441000000000000E+008,-5.110564458966716E+002,-9.690519023628740E+003,-7.106270790100098E-001,-6.937025189399719E-001,
9.556500000000000E+008,-3.269829831288799E+003,-2.895569323946395E+003,-7.295556068420410E-001,-6.731626987457275E-001,
9.672000000000000E+008,-2.697340118066642E+003,1.852002869631603E+002,-7.519050836563110E-001,-6.496024131774902E-001,
9.787500000000000E+008,-1.163106166733000E+003,1.348291826944173E+003,-7.674185037612915E-001,-6.329461336135864E-001,
9.903000000000000E+008,6.583476878518341E+002,9.159039118580620E+003,-7.846536636352539E-001,-6.077124476432800E-001,
1.001850000000000E+009,5.889108430148728E+003,5.095588255192852E+003,-8.025093078613281E-001,-5.853172540664673E-001,
1.013400000000000E+009,2.778726897491195E+003,-2.067692769401971E+002,-8.212881088256836E-001,-5.603700280189514E-001,
1.024950000000000E+009,1.736062252735605E+003,-2.032488529679098E+003,-8.333113193511963E-001,-5.401406884193420E-001,
1.036500000000000E+009,-2.120678427257865E+002,-2.474695584480178E+003,-8.414124250411987E-001,-5.154042243957520E-001,
1.048050000000000E+009,-4.063264579212530E+003,-3.350518640207779E+003,-8.639749884605408E-001,-4.894672632217407E-001,
1.059600000000000E+009,-3.408787701711874E+003,3.668412269498589E+002,-8.732205033302307E-001,-4.602347016334534E-001,
1.071150000000000E+009,-2.565023121889656E+003,3.257509941252360E+003,-8.942834138870239E-001,-4.339926838874817E-001,
1.082700000000000E+009,3.724888789454553E+003,2.848815438316267E+004,-9.111194014549255E-001,-4.105976819992065E-001,
1.094250000000000E+009,1.146183963933505E+004,8.710623080382036E+003,-9.115238785743713E-001,-3.807637691497803E-001,
1.105800000000000E+009,9.668897368410790E+003,-1.408063140660674E+003,-9.254258275032044E-001,-3.572264015674591E-001,
1.117350000000000E+009,1.515946146123895E+003,-2.075435652856235E+003,-9.361676573753357E-001,-3.377569615840912E-001,
1.128900000000000E+009,-7.052591404934800E+002,-4.323984017659420E+003,-9.448913335800171E-001,-3.039329349994659E-001,
1.140450000000000E+009,-4.005345425832395E+003,-2.834261773287677E+003,-9.457975625991821E-001,-2.736360430717468E-001,
1.152000000000000E+009,-1.019960984423482E+004,1.838165627103636E+003,-9.617782235145569E-001,-2.522321045398712E-001,
1.163550000000000E+009,-5.240261688187818E+003,7.741714493721109E+003,-9.666189551353455E-001,-2.213694453239441E-001,
1.175100000000000E+009,5.644024423590487E+002,2.753732367317057E+003,-9.732380509376526E-001,-1.921876072883606E-001,
1.186650000000000E+009,6.483435216444326E+003,4.186993949191355E+003,-9.773339033126831E-001,-1.626961380243301E-001,
1.198200000000000E+009,4.849952491469922E+003,-1.116970813418178E+003,-9.858297109603882E-001,-1.364696770906448E-001,
1.209750000000000E+009,2.006943631480680E+003,-3.314615805231627E+003,-9.775502681732178E-001,-1.119681075215340E-001,
1.221300000000000E+009,-8.409527177381153E+002,-3.267656018195637E+003,-9.857219457626343E-001,-8.108584582805634E-002,
1.232850000000000E+009,-5.259169314308739E+003,-3.060165300668170E+003,-9.891869425773621E-001,-5.741169676184654E-002,
