% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-2.013054757247726E+003,2.466108692900270E+002,-1.549199670553207E-001,-9.781115651130676E-001,
7.015500000000000E+008,-2.304632272139702E+003,2.848471915665296E+003,-1.850420683622360E-001,-9.735769033432007E-001,
7.131000000000000E+008,2.019165161275587E+002,2.255032585995848E+003,-2.032870203256607E-001,-9.819183945655823E-001,
7.246500000000000E+008,3.304121956365027E+003,2.827872061272650E+003,-2.312649637460709E-001,-9.683405160903931E-001,
7.362000000000000E+008,1.380737343436714E+003,-8.842930394400101E+001,-2.666912674903870E-001,-9.599253535270691E-001,
7.477500000000000E+008,1.249815257738384E+003,-1.386697288051171E+003,-2.998027503490448E-001,-9.398180842399597E-001,
7.593000000000000E+008,-1.077844764706311E+002,-2.552171917269928E+003,-3.175104856491089E-001,-9.379978775978088E-001,
7.708500000000000E+008,-1.686628059599062E+003,-1.568406042381375E+003,-3.520215749740601E-001,-9.281623363494873E-001,
7.824000000000000E+008,-3.980903967747023E+003,1.134289567169669E+002,-3.778978586196899E-001,-9.192971587181091E-001,
7.939500000000000E+008,-6.297401085744233E+003,6.635126065102424E+003,-3.908922970294952E-001,-9.060222506523132E-001,
8.055000000000000E+008,7.560903716091038E+001,3.085318004010251E+003,-4.286121129989624E-001,-8.968692421913147E-001,
8.170500000000000E+008,3.399107616937457E+003,3.232147060260481E+003,-4.548832774162293E-001,-8.925718069076538E-001,
8.286000000000000E+008,1.929706057754675E+003,-4.986632715210853E+001,-4.788996875286102E-001,-8.723599910736084E-001,
8.401500000000000E+008,4.946448786102932E+003,-5.193472894668678E+003,-5.008743405342102E-001,-8.573512434959412E-001,
8.517000000000000E+008,-4.288437146176906E+001,-2.058119058969898E+003,-5.298146009445190E-001,-8.461953997612000E-001,
8.632500000000000E+008,-2.433085606764596E+003,-2.345004936201636E+003,-5.453990697860718E-001,-8.219912052154541E-001,
8.748000000000000E+008,-5.430940694060866E+003,9.032047150409198E+001,-5.765283703804016E-001,-8.108914494514465E-001,
8.863500000000000E+008,-1.572722709338189E+003,1.628523918134436E+003,-5.989094376564026E-001,-7.837843894958496E-001,
8.979000000000000E+008,4.014824261656758E+001,2.362033827426837E+003,-6.211671233177185E-001,-7.787873148918152E-001,
9.094500000000000E+008,1.669277799556670E+003,1.586252611905508E+003,-6.371307969093323E-001,-7.604282498359680E-001,
9.210000000000000E+008,1.570838667205645E+004,-5.358845872234647E+002,-6.670873761177063E-001,-7.333391904830933E-001,
9.325500000000000E+008,1.558490677324085E+003,-1.702128502395064E+003,-6.896308660507202E-001,-7.205877304077148E-001,
9.441000000000000E+008,-4.922308954522815E+002,-9.699098386789225E+003,-7.091993093490601E-001,-6.952674388885498E-001,
9.556500000000000E+008,-3.262635167727117E+003,-2.899694207679061E+003,-7.271727323532105E-001,-6.742950677871704E-001,
9.672000000000000E+008,-2.697837433114939E+003,1.799275987818102E+002,-7.503313422203064E-001,-6.518223285675049E-001,
9.787500000000000E+008,-1.165747532119276E+003,1.344766921783097E+003,-7.656396627426148E-001,-6.353322267532349E-001,
