% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.522121561852146E+003,8.883959093705772E+002,-4.767897427082062E-001,-7.669717669487000E-001,
7.015500000000000E+008,-8.762812079532888E+002,3.076696080926687E+003,-5.079763531684876E-001,-7.365890741348267E-001,
7.131000000000000E+008,9.629897159158411E+002,1.760370308946556E+003,-5.437242388725281E-001,-7.157473564147949E-001,
7.246500000000000E+008,3.723695345044242E+003,1.069350000386423E+003,-5.756896734237671E-001,-6.882189512252808E-001,
7.362000000000000E+008,1.075894913149236E+003,-6.052617896790129E+002,-5.990493297576904E-001,-6.765909790992737E-001,
7.477500000000000E+008,4.336966718843228E+002,-1.587403009401749E+003,-6.120841503143311E-001,-6.600481271743774E-001,
7.593000000000000E+008,-1.087168960343193E+003,-1.917461277726615E+003,-6.454659104347229E-001,-6.142235398292542E-001,
7.708500000000000E+008,-1.886350237325942E+003,-5.511478795413569E+002,-6.455757617950440E-001,-5.944916009902954E-001,
7.824000000000000E+008,-2.987657116064531E+003,1.574188196182513E+003,-6.595467925071716E-001,-5.790959596633911E-001,
7.939500000000000E+008,-2.379861578088603E+003,7.461772405940365E+003,-6.777607798576355E-001,-5.509810447692871E-001,
8.055000000000000E+008,1.235215217033186E+003,2.376787713454416E+003,-7.053170204162598E-001,-5.400299429893494E-001,
8.170500000000000E+008,3.937941794676627E+003,1.178537130516718E+003,-7.254091501235962E-001,-5.104446411132813E-001,
8.286000000000000E+008,1.476734341872574E+003,-8.366798704049672E+002,-7.362598180770874E-001,-4.938773512840271E-001,
8.401500000000000E+008,1.523871392426594E+003,-6.049558535807177E+003,-7.625415921211243E-001,-4.542635977268219E-001,
8.517000000000000E+008,-9.100633926159826E+002,-1.500896941550502E+003,-7.658173441886902E-001,-4.136335551738739E-001,
8.632500000000000E+008,-2.745228240857627E+003,-6.872192242191263E+002,-7.649694681167603E-001,-3.928526341915131E-001,
8.748000000000000E+008,-3.898090894784894E+003,2.266865014175016E+003,-7.871016860008240E-001,-3.610481917858124E-001,
8.863500000000000E+008,-4.987743684301136E+002,1.821234910777272E+003,-7.879221439361572E-001,-3.298268318176270E-001,
8.979000000000000E+008,9.846083561433462E+002,1.732501048075204E+003,-8.015289902687073E-001,-3.024702966213226E-001,
9.094500000000000E+008,1.913673044631701E+003,4.887957769983537E+002,-8.135268688201904E-001,-2.858676314353943E-001,
9.210000000000000E+008,1.143347590038112E+004,-7.213023737500760E+003,-8.251344561576843E-001,-2.587053775787354E-001,
9.325500000000000E+008,3.715747604088356E+002,-1.938916620534162E+003,-8.347624540328980E-001,-2.378230839967728E-001,
9.441000000000000E+008,-4.756309374344295E+003,-6.678274561896568E+003,-8.489155769348145E-001,-1.851407885551453E-001,
9.556500000000000E+008,-3.567740268879104E+003,-5.536129242224789E+002,-8.544009923934937E-001,-1.529073864221573E-001,
9.672000000000000E+008,-1.776119008578845E+003,1.296617163859686E+003,-8.352001309394836E-001,-1.303229779005051E-001,
9.787500000000000E+008,-2.330286981120534E+002,1.427279548279898E+003,-8.421427011489868E-001,-1.055988222360611E-001,
9.903000000000000E+008,4.344638693821277E+003,6.152304410874602E+003,-8.271265029907227E-001,-7.040049135684967E-002,
1.001850000000000E+009,6.362512365516877E+003,1.064918493702861E+003,-8.330273032188416E-001,-4.843686893582344E-002,
1.013400000000000E+009,1.877540419058530E+003,-1.389658419098029E+003,-8.460722565650940E-001,-8.728942833840847E-003,
1.024950000000000E+009,2.779372254065821E+002,-2.215310719617170E+003,-8.450351357460022E-001,1.621945388615131E-002,
1.036500000000000E+009,-1.312266823415091E+003,-1.596128633415047E+003,-8.293647766113281E-001,3.591474890708923E-002,
1.048050000000000E+009,-4.265784057747739E+003,-3.202410814780478E+002,-8.313825726509094E-001,7.760196179151535E-002,
1.059600000000000E+009,-2.054883861101176E+003,1.799851219054626E+003,-8.242041468620300E-001,1.162102967500687E-001,
1.071150000000000E+009,-2.174815779938083E+002,3.278168284294036E+003,-8.031120300292969E-001,1.388815194368362E-001,
1.082700000000000E+009,1.504341215337004E+004,1.713333501848680E+004,-8.021895289421082E-001,1.635170429944992E-001,
1.094250000000000E+009,1.154047609630438E+004,6.980021582141566E+002,-7.967167496681213E-001,1.769695430994034E-001,
1.105800000000000E+009,5.850454522763127E+003,-5.384197650676577E+003,-7.998080253601074E-001,2.040001153945923E-001,
1.117350000000000E+009,3.070796078998416E+001,-2.107816516137526E+003,-7.987147569656372E-001,2.338559031486511E-001,
1.128900000000000E+009,-2.571700399080379E+003,-2.494304296418593E+003,-7.877795100212097E-001,2.694831788539887E-001,
1.140450000000000E+009,-3.942877550763843E+003,1.617043394888170E+002,-7.739881873130798E-001,2.971735298633575E-001,
1.152000000000000E+009,-5.433278833305230E+003,6.062967631740046E+003,-7.645581960678101E-001,3.303328752517700E-001,
1.163550000000000E+009,4.078134773880094E+002,7.211762240549713E+003,-7.209373116493225E-001,3.506283760070801E-001,
1.175100000000000E+009,1.623852930109925E+003,1.450702225125875E+003,-7.067236304283142E-001,3.656500875949860E-001,
1.186650000000000E+009,6.022610708876309E+003,-3.571409757021813E+002,-6.966390013694763E-001,3.712099790573120E-001,
1.198200000000000E+009,2.547575533764611E+003,-2.983403340680236E+003,-6.869691014289856E-001,3.920594155788422E-001,
1.209750000000000E+009,-3.262062556000640E+002,-3.068771332486283E+003,-6.805320978164673E-001,4.178376197814941E-001,
1.221300000000000E+009,-2.144861758505524E+003,-1.630578584666397E+003,-6.822533607482910E-001,4.488339722156525E-001,
1.232850000000000E+009,-4.747293610577074E+003,7.855837589291108E+002,-6.500082612037659E-001,4.744803607463837E-001,
1.244400000000000E+009,-1.477432544158021E+003,2.148084550257444E+003,-6.351298093795776E-001,5.048463940620422E-001,
1.255950000000000E+009,2.694009501396188E+002,1.442374989550274E+003,-6.073307394981384E-001,5.262405276298523E-001,
1.267500000000000E+009,3.201350788498749E+003,2.218606758874376E+003,-5.732849240303040E-001,5.339043736457825E-001,
1.279050000000000E+009,3.542565396488744E+003,-6.325647548748998E+002,-5.522770285606384E-001,5.405738949775696E-001,
1.290600000000000E+009,8.588313926209528E+002,-1.256829735461810E+003,-5.383878350257874E-001,5.519952774047852E-001,
1.302150000000000E+009,-3.844405953780474E+003,-1.760468228745657E+004,-5.285379290580750E-001,5.696124434471130E-001,
1.313700000000000E+009,-1.747351030709137E+003,-1.035661389382754E+003,-5.181233882904053E-001,5.953988432884216E-001,
1.325250000000000E+009,-2.858271615041466E+003,8.328450972269802E+002,-4.962126910686493E-001,6.235628724098206E-001,
1.336800000000000E+009,-2.073080193079736E+003,4.033683570800969E+003,-4.606419503688812E-001,6.365908384323120E-001,
1.348350000000000E+009,9.302465157385213E+002,2.776590938393657E+003,-4.280022382736206E-001,6.526381373405457E-001,
1.359900000000000E+009,1.310854787207820E+004,6.491475640400645E+003,-3.917175829410553E-001,6.508867740631104E-001,
1.371450000000000E+009,2.621019509693772E+003,-8.875410017369861E+002,-3.756619691848755E-001,6.491405367851257E-001,
1.383000000000000E+009,2.668765941516047E+003,-5.460861703390316E+003,-3.567141592502594E-001,6.492835879325867E-001,
1.394550000000000E+009,-1.264508088222377E+003,-3.440223011756373E+003,-3.514586091041565E-001,6.625814437866211E-001,
1.406100000000000E+009,-6.391907425031038E+003,-2.798735047949637E+003,-3.265620172023773E-001,6.809964179992676E-001,
1.417650000000000E+009,-2.385088255776462E+003,9.909243506590885E+002,-3.137395083904266E-001,7.003180980682373E-001,
1.429200000000000E+009,-1.085945259439656E+003,2.835809482126491E+003,-2.805740833282471E-001,7.197011709213257E-001,
1.440750000000000E+009,1.591176158661990E+003,3.388089685137585E+003,-2.297214716672897E-001,7.297436594963074E-001,
1.452300000000000E+009,2.377825881023176E+003,8.256849303694722E+002,-2.047112286090851E-001,7.273925542831421E-001,
1.463850000000000E+009,4.069497997332501E+003,-2.005843301073284E+003,-1.719750314950943E-001,7.129383683204651E-001,
1.475400000000000E+009,6.941657193277129E+002,-2.131974026597258E+003,-1.649845242500305E-001,7.108104825019836E-001,
1.486950000000000E+009,-1.007274735438450E+003,-1.899503031608427E+003,-1.449483782052994E-001,7.112213373184204E-001,
1.498500000000000E+009,-5.711950429066199E+003,-1.644400108578050E+003,-1.278733909130096E-001,7.181347608566284E-001,
1.510050000000000E+009,-8.819701612628964E+003,5.134269888258747E+003,-1.183566376566887E-001,7.267399430274963E-001,
1.521600000000000E+009,-1.066672513587129E+003,4.290691081248498E+003,-7.806414365768433E-002,7.447914481163025E-001,
1.533150000000000E+009,4.124655585618819E+003,6.763848791733491E+003,-4.297477379441261E-002,7.359367609024048E-001,
1.544700000000000E+009,2.395686170462174E+003,5.629872867061368E+002,-1.435374561697245E-002,7.245513200759888E-001,
1.556250000000000E+009,3.671427136365579E+003,-2.284040098055931E+003,1.849424466490746E-002,7.190942168235779E-001,
1.567800000000000E+009,1.806560935193312E+003,-8.152898125875785E+003,2.853665873408318E-002,7.141904234886169E-001,
1.579350000000000E+009,-9.874502745163327E+003,-1.484000579218540E+004,3.728691115975380E-002,7.042548656463623E-001,
1.590900000000000E+009,-5.902793140424014E+003,-1.010539829532223E+003,5.483301728963852E-002,7.173074483871460E-001,
1.602450000000000E+009,-5.332172870831806E+003,3.968968360738734E+003,8.621508628129959E-002,7.133073210716248E-001,
1.614000000000000E+009,-7.697499048958141E+003,6.123813766468546E+004,1.058808639645577E-001,7.202740907669067E-001,
1.625550000000000E+009,3.292328484058239E+003,4.071584830491117E+003,1.445084065198898E-001,7.138056755065918E-001,
1.637100000000000E+009,7.847382767224823E+003,7.357968550481376E+002,1.736751645803452E-001,6.957776546478272E-001,
1.648650000000000E+009,5.899841352482559E+003,-4.996964397955242E+003,2.028978914022446E-001,6.767248511314392E-001,
1.660200000000000E+009,5.908160238597394E+002,-8.361507796625539E+003,2.179925739765167E-001,6.674295663833618E-001,
1.671750000000000E+009,-4.514905033661077E+003,-4.991457508030998E+003,2.247857749462128E-001,6.553344130516052E-001,
1.683300000000000E+009,-2.684938422501892E+003,-8.271985129074857E+001,2.371457368135452E-001,6.457343101501465E-001,
1.694850000000000E+009,-2.115044748819437E+003,2.066032667602496E+003,2.606998383998871E-001,6.513036489486694E-001,
1.706400000000000E+009,2.902921200452397E+001,4.324486259265871E+003,2.840278446674347E-001,6.404548287391663E-001,
1.717950000000000E+009,1.978748720485633E+003,1.897039131872181E+003,3.084178268909454E-001,6.387302279472351E-001,
