% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.540657379861234E+003,8.798014541246209E+002,-4.735445678234100E-001,-7.746183872222900E-001,
7.015500000000000E+008,-9.099129080860743E+002,3.100999242109058E+003,-5.066787600517273E-001,-7.463874220848084E-001,
7.131000000000000E+008,9.565304042866516E+002,1.782555543230762E+003,-5.405586957931519E-001,-7.253330349922180E-001,
7.246500000000000E+008,3.755217806308906E+003,1.113735038459756E+003,-5.744328498840332E-001,-7.015193104743958E-001,
7.362000000000000E+008,1.088014712481908E+003,-6.004784865487434E+002,-5.969544649124146E-001,-6.878405213356018E-001,
7.477500000000000E+008,4.519852127495524E+002,-1.593353819571044E+003,-6.100133657455444E-001,-6.722804307937622E-001,
7.593000000000000E+008,-1.075652143467576E+003,-1.944132758625962E+003,-6.465176343917847E-001,-6.261664628982544E-001,
7.708500000000000E+008,-1.897478555529026E+003,-5.751769972538676E+002,-6.474519371986389E-001,-6.052463054656982E-001,
7.824000000000000E+008,-3.035876393417240E+003,1.560677022319194E+003,-6.614046692848206E-001,-5.896534323692322E-001,
7.939500000000000E+008,-2.474088078635314E+003,7.511142901749938E+003,-6.780093312263489E-001,-5.605599284172058E-001,
8.055000000000000E+008,1.226049207586064E+003,2.410467847119617E+003,-7.050018310546875E-001,-5.502907037734985E-001,
8.170500000000000E+008,3.961464862791399E+003,1.218711722658165E+003,-7.252496480941773E-001,-5.214997529983521E-001,
8.286000000000000E+008,1.493650977760826E+003,-8.307070755896802E+002,-7.367088198661804E-001,-5.057662725448608E-001,
8.401500000000000E+008,1.608011129055124E+003,-6.076999208774811E+003,-7.644580602645874E-001,-4.690761864185333E-001,
8.517000000000000E+008,-8.991560051988928E+002,-1.522660158079549E+003,-7.689645886421204E-001,-4.262007772922516E-001,
8.632500000000000E+008,-2.762285539847828E+003,-7.278667154140341E+002,-7.697134017944336E-001,-4.043736159801483E-001,
8.748000000000000E+008,-3.963919430534978E+003,2.247827687348819E+003,-7.923731207847595E-001,-3.703185617923737E-001,
8.863500000000000E+008,-5.222753671110576E+002,1.837572994325860E+003,-7.920992374420166E-001,-3.385060429573059E-001,
8.979000000000000E+008,9.815379804497210E+002,1.761009700815753E+003,-8.053500056266785E-001,-3.117645680904388E-001,
9.094500000000000E+008,1.929060808245606E+003,5.066355960028113E+002,-8.164128661155701E-001,-2.962116599082947E-001,
9.210000000000000E+008,1.155680899800863E+004,-7.176401581026523E+003,-8.275986909866333E-001,-2.694257497787476E-001,
9.325500000000000E+008,3.954114806894128E+002,-1.944899976160532E+003,-8.385297656059265E-001,-2.511328160762787E-001,
9.441000000000000E+008,-4.682587133858796E+003,-6.764143254121762E+003,-8.529570698738098E-001,-1.970305591821671E-001,
9.556500000000000E+008,-3.590287381582156E+003,-6.130826425641623E+002,-8.621351718902588E-001,-1.637196540832520E-001,
9.672000000000000E+008,-1.815475041355699E+003,1.286466663320570E+003,-8.430737257003784E-001,-1.399498134851456E-001,
9.787500000000000E+008,-2.554696584247565E+002,1.442578948994493E+003,-8.494186401367188E-001,-1.152848005294800E-001,
9.903000000000000E+008,4.351413735765293E+003,6.287564126266847E+003,-8.349158763885498E-001,-7.898879051208496E-002,
1.001850000000000E+009,6.428360232153184E+003,1.121552287685990E+003,-8.386162519454956E-001,-5.723969265818596E-002,
1.013400000000000E+009,1.900646302931066E+003,-1.384547630356356E+003,-8.505803942680359E-001,-1.866301707923412E-002,
1.024950000000000E+009,2.987339589757665E+002,-2.225207494476453E+003,-8.513845801353455E-001,6.032213568687439E-003,
1.036500000000000E+009,-1.298882545805519E+003,-1.619868947918675E+003,-8.367668986320496E-001,2.513430453836918E-002,
1.048050000000000E+009,-4.294518053402035E+003,-3.945279109777482E+002,-8.416459560394287E-001,6.674130260944367E-002,
1.059600000000000E+009,-2.112032035498312E+003,1.789521880443421E+003,-8.365889787673950E-001,1.080172508955002E-001,
1.071150000000000E+009,-2.677325570639451E+002,3.323262291289678E+003,-8.136516213417053E-001,1.320798099040985E-001,
1.082700000000000E+009,1.509215121236197E+004,1.756656466043092E+004,-8.121509552001953E-001,1.576669365167618E-001,
1.094250000000000E+009,1.169888795464782E+004,7.859508872361076E+002,-8.055373430252075E-001,1.711472868919373E-001,
1.105800000000000E+009,5.925954212059638E+003,-5.395137599894561E+003,-8.063924312591553E-001,1.962427347898483E-001,
