% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-2.008034750972706E+003,2.694474638208029E+002,-1.661711633205414E-001,-9.759470224380493E-001,
7.015500000000000E+008,-2.271988722504983E+003,2.867652527598090E+003,-1.953222453594208E-001,-9.704717993736267E-001,
7.131000000000000E+008,2.253732286532686E+002,2.250707837567741E+003,-2.140091210603714E-001,-9.787179231643677E-001,
7.246500000000000E+008,3.333711768380862E+003,2.791363028119918E+003,-2.419065684080124E-001,-9.650224447250366E-001,
7.362000000000000E+008,1.378747417924545E+003,-1.047374833780367E+002,-2.776594460010529E-001,-9.555631279945374E-001,
7.477500000000000E+008,1.231848370052426E+003,-1.400290993291504E+003,-3.101616799831390E-001,-9.350292682647705E-001,
7.593000000000000E+008,-1.412789759153596E+002,-2.547085778547699E+003,-3.287400305271149E-001,-9.328717589378357E-001,
7.708500000000000E+008,-1.702540001857725E+003,-1.545462115089229E+003,-3.623888492584229E-001,-9.230968952178955E-001,
7.824000000000000E+008,-3.967819146333071E+003,1.649432001427974E+002,-3.891331553459168E-001,-9.124050140380859E-001,
7.939500000000000E+008,-6.202562676207548E+003,6.695903799246545E+003,-4.016889631748200E-001,-8.994721770286560E-001,
8.055000000000000E+008,1.101778569761726E+002,3.078171636364791E+003,-4.385704696178436E-001,-8.898975849151611E-001,
8.170500000000000E+008,3.434560233266163E+003,3.184180747124410E+003,-4.656988680362701E-001,-8.848019242286682E-001,
8.286000000000000E+008,1.926496890095837E+003,-7.364364065676182E+001,-4.887871146202087E-001,-8.646354675292969E-001,
8.401500000000000E+008,4.866977407277259E+003,-5.259047732444576E+003,-5.120189189910889E-001,-8.490432500839233E-001,
8.517000000000000E+008,-7.180984416525362E+001,-2.054548718690659E+003,-5.402822494506836E-001,-8.378387093544006E-001,
8.632500000000000E+008,-2.459864961678124E+003,-2.304603601720786E+003,-5.552912354469299E-001,-8.129295706748962E-001,
8.748000000000000E+008,-5.408881326019253E+003,1.689351497834809E+002,-5.865616798400879E-001,-8.002373576164246E-001,
8.863500000000000E+008,-1.545724640702005E+003,1.644469117634538E+003,-6.084281802177429E-001,-7.735087275505066E-001,
8.979000000000000E+008,6.885450365329974E+001,2.354376597493837E+003,-6.296665668487549E-001,-7.684161663055420E-001,
9.094500000000000E+008,1.686356435494531E+003,1.563682478828947E+003,-6.458847522735596E-001,-7.508317828178406E-001,
9.210000000000000E+008,1.567479705233537E+004,-7.392480345053866E+002,-6.751880049705505E-001,-7.226821780204773E-001,
9.325500000000000E+008,1.533007943844097E+003,-1.721828390253982E+003,-6.980993747711182E-001,-7.098583579063416E-001,
9.441000000000000E+008,-6.331746192480003E+002,-9.677970291285101E+003,-7.175185680389404E-001,-6.842246651649475E-001,
9.556500000000000E+008,-3.303518893942671E+003,-2.842878700397150E+003,-7.364215850830078E-001,-6.624790430068970E-001,
9.672000000000000E+008,-2.686156132402210E+003,2.225894844614435E+002,-7.588149905204773E-001,-6.385386586189270E-001,
9.787500000000000E+008,-1.139982826898249E+003,1.357040232092315E+003,-7.731941938400269E-001,-6.212220788002014E-001,
9.903000000000000E+008,7.675978812080588E+002,9.107145312962895E+003,-7.901279330253601E-001,-5.954055786132813E-001,
1.001850000000000E+009,5.926344362315635E+003,5.010802569559092E+003,-8.077874183654785E-001,-5.731368660926819E-001,
1.013400000000000E+009,2.768615299590471E+003,-2.380239056228081E+002,-8.258153200149536E-001,-5.479303002357483E-001,
1.024950000000000E+009,1.707573676734415E+003,-2.049450627652507E+003,-8.375048041343689E-001,-5.276839137077332E-001,
1.036500000000000E+009,-2.477214679812324E+002,-2.467133150242646E+003,-8.461138606071472E-001,-5.020923018455505E-001,
1.048050000000000E+009,-4.100597316187574E+003,-3.277938804893800E+003,-8.675685524940491E-001,-4.756446480751038E-001,
1.059600000000000E+009,-3.388001800791457E+003,4.198564499059064E+002,-8.770324587821960E-001,-4.457285106182098E-001,
1.071150000000000E+009,-2.500749058672005E+003,3.276719363447933E+003,-8.968130350112915E-001,-4.190144538879395E-001,
1.082700000000000E+009,4.070565865917407E+003,2.825290156542819E+004,-9.123176336288452E-001,-3.959706425666809E-001,
1.094250000000000E+009,1.148758265403410E+004,8.530348502947720E+003,-9.115628004074097E-001,-3.671734035015106E-001,
1.105800000000000E+009,9.609455127725491E+003,-1.509744420896411E+003,-9.254390597343445E-001,-3.436068892478943E-001,
1.117350000000000E+009,1.488919280178082E+003,-2.087682670243400E+003,-9.368765950202942E-001,-3.252456188201904E-001,
1.128900000000000E+009,-7.693140846804724E+002,-4.305894200699371E+003,-9.464510679244995E-001,-2.890457212924957E-001,
1.140450000000000E+009,-4.040169271102021E+003,-2.764166289460503E+003,-9.467543363571167E-001,-2.592102587223053E-001,
1.152000000000000E+009,-1.013276839252783E+004,2.011847316021629E+003,-9.631256461143494E-001,-2.361047416925430E-001,
1.163550000000000E+009,-5.078212272548579E+003,7.782610327921696E+003,-9.660859704017639E-001,-2.048739194869995E-001,
1.175100000000000E+009,6.029629817126522E+002,2.725128448550543E+003,-9.713397622108460E-001,-1.753999590873718E-001,
1.186650000000000E+009,6.489754481798763E+003,4.070474093924944E+003,-9.735689163208008E-001,-1.470516622066498E-001,
1.198200000000000E+009,4.803499837352573E+003,-1.169517576652961E+003,-9.809127449989319E-001,-1.212258413434029E-001,
1.209750000000000E+009,1.958965600305284E+003,-3.326142550018129E+003,-9.739610552787781E-001,-9.803847968578339E-002,
1.221300000000000E+009,-8.852264204871401E+002,-3.247543049428592E+003,-9.826350808143616E-001,-6.668254733085632E-002,
1.232850000000000E+009,-5.296823345679717E+003,-2.967446505498686E+003,-9.866830706596375E-001,-4.237639904022217E-002,
1.244400000000000E+009,-3.220073952598951E+003,9.369460284522421E+002,-9.859079718589783E-001,-9.659451432526112E-003,
1.255950000000000E+009,-9.162807736592063E+002,1.684429284420265E+003,-9.890359640121460E-001,1.813494227826595E-002,
1.267500000000000E+009,1.487449730989480E+003,4.889265990260593E+003,-9.874895215034485E-001,5.293875187635422E-002,
1.279050000000000E+009,4.156918969725068E+003,2.191151921455322E+003,-9.788163304328919E-001,7.961040735244751E-002,
1.290600000000000E+009,1.871684642386073E+003,-5.949649023565753E+002,-9.741780757904053E-001,1.100734025239945E-001,
1.302150000000000E+009,1.024814954217659E+004,-2.072695531254462E+004,-9.750640392303467E-001,1.322878003120422E-001,
1.313700000000000E+009,-8.746876920284242E+002,-2.437343256689099E+003,-9.712839722633362E-001,1.623008400201798E-001,
1.325250000000000E+009,-3.475851486166493E+003,-1.590670961432733E+003,-9.632474780082703E-001,1.911850869655609E-001,
1.336800000000000E+009,-5.531673313957442E+003,2.131116830157207E+003,-9.654630422592163E-001,2.198261022567749E-001,
1.348350000000000E+009,-1.541314854877784E+003,3.591420162879899E+003,-9.559531807899475E-001,2.420779019594193E-001,
1.359900000000000E+009,7.597207411817571E+003,1.823357618686398E+004,-9.427227377891541E-001,2.770210206508637E-001,
1.371450000000000E+009,3.472482995578497E+003,1.376182255870441E+003,-9.389470219612122E-001,3.086726665496826E-001,
1.383000000000000E+009,7.442262003541908E+003,-3.290454516300854E+003,-9.243426918983460E-001,3.306043744087219E-001,
1.394550000000000E+009,1.681719759660766E+003,-4.549660312972994E+003,-9.109870195388794E-001,3.524754047393799E-001,
1.406100000000000E+009,-3.930071842961722E+003,-8.303981993498366E+003,-9.066806435585022E-001,3.754543066024780E-001,
1.417650000000000E+009,-3.198186759511191E+003,-1.127072561679840E+003,-8.957445025444031E-001,4.030380547046661E-001,
1.429200000000000E+009,-3.611603980019911E+003,1.761171829270116E+003,-8.801746368408203E-001,4.314811527729034E-001,
1.440750000000000E+009,-1.595024369114098E+003,4.768259444972562E+003,-8.708147406578064E-001,4.600828588008881E-001,
1.452300000000000E+009,1.584194133498692E+003,3.051691594206792E+003,-8.573026061058044E-001,4.850353002548218E-001,
1.463850000000000E+009,5.959222427443066E+003,1.782861675139831E+003,-8.386358022689819E-001,5.140249133110046E-001,
1.475400000000000E+009,2.672012015902941E+003,-1.493567337092909E+003,-8.239935636520386E-001,5.297842025756836E-001,
1.486950000000000E+009,7.616680658938267E+002,-2.809064283642925E+003,-8.087313771247864E-001,5.554878115653992E-001,
1.498500000000000E+009,-4.070799263925730E+003,-6.942072482918569E+003,-7.993360161781311E-001,5.770562291145325E-001,
1.510050000000000E+009,-1.339701971748682E+004,-3.364192558633214E+003,-7.777066230773926E-001,5.932942032814026E-001,
1.521600000000000E+009,-5.174389001572331E+003,3.100544933216000E+003,-7.611373662948608E-001,6.239851117134094E-001,
1.533150000000000E+009,-2.662904071093291E+003,1.062255916011899E+004,-7.484779953956604E-001,6.501777768135071E-001,
1.544700000000000E+009,1.807219973983370E+003,2.945803673769774E+003,-7.258165478706360E-001,6.690693497657776E-001,
1.556250000000000E+009,5.934898125299996E+003,1.348177955097144E+003,-7.031081318855286E-001,6.916951537132263E-001,
1.567800000000000E+009,9.773557852107013E+003,-6.362193697257837E+003,-6.813551187515259E-001,7.076781392097473E-001,
1.579350000000000E+009,4.784100481687850E+003,-2.433991231857456E+004,-6.628490090370178E-001,7.164914011955261E-001,
1.590900000000000E+009,-4.751703139447285E+003,-6.809917462393306E+003,-6.371920704841614E-001,7.438486218452454E-001,
1.602450000000000E+009,-9.118749618442469E+003,-1.485102536449684E+003,-6.211822628974915E-001,7.603945136070252E-001,
1.614000000000000E+009,-6.945824911811500E+004,5.079631387612829E+004,-5.962631106376648E-001,7.740702033042908E-001,
1.625550000000000E+009,-1.066173191464665E+003,7.334436058958596E+003,-5.773230791091919E-001,7.946023941040039E-001,
1.637100000000000E+009,6.853815420856413E+003,8.969289790700048E+003,-5.519425868988037E-001,8.141351342201233E-001,
1.648650000000000E+009,1.103371364997510E+004,1.280963775069778E+003,-5.243907570838928E-001,8.290678262710571E-001,
1.660200000000000E+009,9.292469016860910E+003,-7.584462247497300E+003,-5.019011497497559E-001,8.455791473388672E-001,
1.671750000000000E+009,8.346168989760229E+002,-9.553358440205779E+003,-4.760538935661316E-001,8.613464236259460E-001,
1.683300000000000E+009,-2.493035309229105E+003,-2.915360769621408E+003,-4.579477608203888E-001,8.714115619659424E-001,
1.694850000000000E+009,-4.219322157434035E+003,-2.885689314760306E+002,-4.246193766593933E-001,8.816775083541870E-001,
1.706400000000000E+009,-4.648638877999904E+003,4.144162941398779E+003,-4.051264226436615E-001,8.933132290840149E-001,
1.717950000000000E+009,-1.890547567990692E+002,3.981100546128234E+003,-3.774257302284241E-001,9.136174321174622E-001,
1.729500000000000E+009,3.724161203619245E+003,3.962316615531015E+003,-3.537076711654663E-001,9.211236834526062E-001,
1.741050000000000E+009,6.781733648211157E+003,8.189088829644820E+001,-3.215561509132385E-001,9.277257323265076E-001,
1.752600000000000E+009,1.970800966985437E+003,-1.981825673295495E+003,-2.960576713085175E-001,9.361185431480408E-001,
1.764150000000000E+009,-1.389509288125672E+002,-8.039892481215629E+003,-2.652351558208466E-001,9.455470442771912E-001,
1.775700000000000E+009,-3.582745693848224E+003,-3.411204956068709E+003,-2.382977306842804E-001,9.545317292213440E-001,
1.787250000000000E+009,-4.650373824241501E+003,1.510767463404833E+002,-2.132164239883423E-001,9.615389108657837E-001,
1.798800000000000E+009,-8.227203972992842E+003,8.949034949991192E+003,-1.831880658864975E-001,9.585772752761841E-001,
1.810350000000000E+009,3.283105181871737E+002,7.142601974425981E+003,-1.575568318367004E-001,9.679474830627441E-001,
1.821900000000000E+009,2.646196319067428E+003,2.361850184295199E+003,-1.323036253452301E-001,9.704630374908447E-001,
1.833450000000000E+009,1.058935570653162E+004,-7.878527312421990E+002,-9.948000311851502E-002,9.797952175140381E-001,
1.845000000000000E+009,9.046128386390561E+003,-1.091357848336002E+004,-7.106300443410873E-002,9.807967543601990E-001,
1.856550000000000E+009,-3.877560173820467E+002,-3.399316351374254E+003,-4.434473440051079E-002,9.778785109519959E-001,
1.868100000000000E+009,-5.846349114759746E+003,-4.535608031867529E+003,-1.357960514724255E-002,9.826942086219788E-001,
1.879650000000000E+009,-4.962792080954099E+003,6.939219049795311E+002,1.464019902050495E-002,9.840670228004456E-001,
1.891200000000000E+009,-1.371811418640055E+004,1.853966052928341E+004,4.208070039749146E-002,9.760427474975586E-001,
1.902750000000000E+009,1.351668632373663E+003,8.394436670918236E+003,6.908750534057617E-002,9.734660983085632E-001,
1.914300000000000E+009,2.696862538587276E+003,1.911251655944345E+003,9.757301956415176E-002,9.746225476264954E-001,
1.925850000000000E+009,4.494220840064965E+003,-8.264989148998866E+002,1.214375123381615E-001,9.764046072959900E-001,
1.937400000000000E+009,1.936057617855990E+003,-2.888060897497973E+003,1.512630283832550E-001,9.744205474853516E-001,
1.948950000000000E+009,-8.000774362735866E+002,-3.904108177803490E+003,1.824571639299393E-001,9.686737060546875E-001,
1.960500000000000E+009,-3.806565548003620E+003,-2.465728463241599E+003,2.153395563364029E-001,9.596377015113831E-001,
1.972050000000000E+009,-9.810476607716770E+003,2.217549550922416E+003,2.382806688547134E-001,9.516958594322205E-001,
1.983600000000000E+009,-3.177870210424819E+003,5.321125566828640E+003,2.686751186847687E-001,9.411770105361939E-001,
1.995150000000000E+009,1.032253925312373E+003,3.784901186066672E+003,2.916067838668823E-001,9.304066300392151E-001,
2.006700000000000E+009,1.329590470344220E+004,7.247934490158170E+003,3.184319436550140E-001,9.257556796073914E-001,
2.018250000000000E+009,3.722252215901594E+003,-1.141367153083608E+003,3.460780382156372E-001,9.198356270790100E-001,
2.029800000000000E+009,2.313980291954262E+003,-4.465610759914586E+003,3.685770928859711E-001,9.085209369659424E-001,
2.041350000000000E+009,-9.872223392792297E+002,-3.013877106236973E+003,3.963260054588318E-001,9.005003571510315E-001,
2.052900000000000E+009,-2.677829964320210E+003,-1.322636219822028E+003,4.222424924373627E-001,8.878974914550781E-001,
2.064450000000000E+009,-4.422794957550449E+003,1.522914949244291E+003,4.528436660766602E-001,8.743444681167603E-001,
2.076000000000000E+009,-2.963701517959463E+003,6.247458016435597E+003,4.743478596210480E-001,8.527067303657532E-001,
2.087550000000000E+009,2.732072851653916E+003,7.482461987933045E+003,5.030649304389954E-001,8.420004248619080E-001,
2.099100000000000E+009,3.417101914654251E+003,1.553423495093799E+003,5.228729248046875E-001,8.224785923957825E-001,
2.110650000000000E+009,2.957753510124168E+003,-1.129234576209890E+003,5.481773614883423E-001,8.085237145423889E-001,
2.122200000000000E+009,2.801969574944031E+003,-6.491225610610632E+003,5.719950795173645E-001,7.954953908920288E-001,
2.133750000000000E+009,-4.300829510533581E+003,-1.029125043922624E+004,5.960345268249512E-001,7.826611995697022E-001,
2.145300000000000E+009,-3.633347424408584E+003,-1.394602591609147E+003,6.194807887077332E-001,7.656217813491821E-001,
2.156850000000000E+009,-2.683784552309679E+003,1.273583258751083E+003,6.443902850151062E-001,7.468889355659485E-001,
2.168400000000000E+009,-8.696018079625947E+002,2.676121687363227E+003,6.644689440727234E-001,7.252525091171265E-001,
2.179950000000000E+009,8.130360002511028E+003,1.497067460843965E+004,6.876606941223145E-001,6.936773061752319E-001,
2.191500000000000E+009,6.034610789034424E+003,1.669451155101089E+003,7.007632851600647E-001,6.800134181976318E-001,
2.203050000000000E+009,1.189523926244901E+004,-6.769050297756739E+003,7.179042696952820E-001,6.612778306007385E-001,
2.214600000000000E+009,3.739980459765658E+003,-1.307208107519499E+004,7.348656058311462E-001,6.392225623130798E-001,
2.226150000000000E+009,-3.155333684105917E+003,-5.785992709925466E+003,7.543874382972717E-001,6.294284462928772E-001,
2.237700000000000E+009,-3.025251329336849E+003,-8.762785256551226E+002,7.722201943397522E-001,6.055983901023865E-001,
2.249250000000000E+009,-5.320038064995371E+003,3.030107979362641E+003,7.975389361381531E-001,5.801903009414673E-001,
2.260800000000000E+009,-4.168910846159190E+003,1.639432527500717E+004,8.164607286453247E-001,5.527226924896240E-001,
2.272350000000000E+009,2.548832351640073E+003,4.029926148724289E+003,8.262801170349121E-001,5.223936438560486E-001,
2.283900000000000E+009,6.493112188115618E+003,1.275650345852703E+003,8.364156484603882E-001,4.974859058856964E-001,
2.295450000000000E+009,4.534880210691705E+003,-3.090573880981428E+003,8.520696759223938E-001,4.765782952308655E-001,
2.307000000000000E+009,1.712430564173849E+003,-9.112753154402926E+003,8.618829250335693E-001,4.567739665508270E-001,
2.318550000000000E+009,-4.844879175683904E+003,-7.030091507337110E+003,8.778430223464966E-001,4.365195035934448E-001,
2.330100000000000E+009,-4.183803681952184E+003,-6.990807715409798E+002,8.888244032859802E-001,4.087594747543335E-001,
2.341650000000000E+009,-2.918834493033310E+003,2.163958275102106E+003,9.081460833549500E-001,3.811077177524567E-001,
2.353200000000000E+009,-6.139705086175463E+002,4.816768592434426E+003,9.183741807937622E-001,3.517127931118012E-001,
2.364750000000000E+009,2.206310751530823E+003,2.727378457713562E+003,9.250648021697998E-001,3.180410563945770E-001,
2.376300000000000E+009,4.696610938114485E+003,4.201850764193509E+002,9.289697408676148E-001,2.912192344665527E-001,
2.387850000000000E+009,1.401461931591386E+004,-1.185042001422816E+004,9.373225569725037E-001,2.702994048595429E-001,
2.399400000000000E+009,9.033338411129826E+002,-1.009291358311071E+004,9.354223608970642E-001,2.443142682313919E-001,
2.410950000000000E+009,-1.460804387632925E+004,-1.760797030195046E+004,9.473723769187927E-001,2.213790118694305E-001,
2.422500000000000E+009,-4.996283755242948E+003,-4.282263242085066E+002,9.584453701972961E-001,1.949114203453064E-001,
2.434050000000000E+009,-3.650927292963523E+003,3.207786445796434E+003,9.598484635353088E-001,1.654588580131531E-001,
2.445600000000000E+009,-1.640763173173266E+002,4.639784917688477E+003,9.737570285797119E-001,1.319867074489594E-001,
2.457150000000000E+009,3.209718961575168E+003,3.229466508162595E+003,9.791529178619385E-001,1.004353538155556E-001,
2.468700000000000E+009,9.843200281329517E+003,-2.695735197611900E+002,9.705432653427124E-001,7.035975158214569E-002,
2.480250000000000E+009,2.244625861678015E+003,-2.450087553848583E+003,9.688732624053955E-001,4.358151927590370E-002,
2.491800000000000E+009,-8.675895886510689E+002,-2.194910602335503E+004,9.728195667266846E-001,1.939888857305050E-002,
2.503350000000000E+009,-3.040145066377731E+003,-2.768638477911428E+003,9.688766002655029E-001,-6.102113053202629E-003,
2.514900000000000E+009,-3.764933113877516E+003,1.892158665371514E+002,9.786867499351502E-001,-3.310468047857285E-002,
2.526450000000000E+009,-4.356449453448950E+003,4.983249485776536E+003,9.791572690010071E-001,-6.215023249387741E-002,
2.538000000000000E+009,7.714903944397623E+002,8.618731148147070E+003,9.771932959556580E-001,-9.590505808591843E-002,
2.549550000000000E+009,2.350780098121695E+003,1.890637752986803E+003,9.743368625640869E-001,-1.281072348356247E-001,
2.561100000000000E+009,2.273538795939863E+003,-3.015271249989447E+002,9.671714901924133E-001,-1.575059741735458E-001,
2.572650000000000E+009,1.498462571517332E+003,-2.056519472972368E+003,9.523658156394959E-001,-1.885039657354355E-001,
2.584200000000000E+009,-7.678401198079439E+002,-4.590203125139940E+003,9.502395987510681E-001,-2.124938666820526E-001,
2.595750000000000E+009,-1.361778081002888E+004,-9.866410715594717E+003,9.434643387794495E-001,-2.305129915475845E-001,
2.607300000000000E+009,-5.079148948358940E+003,8.589233548187292E+002,9.425832033157349E-001,-2.565736174583435E-001,
2.618850000000000E+009,-1.484264484042826E+003,2.174322811940484E+003,9.352508783340454E-001,-2.836162149906158E-001,
2.630400000000000E+009,9.159359471991047E+002,4.348612433835654E+003,9.273203015327454E-001,-3.189591765403748E-001,
2.641950000000000E+009,1.262402422357554E+004,7.882973438930771E+003,9.181911349296570E-001,-3.487233817577362E-001,
2.653500000000000E+009,1.075442995180981E+004,-2.611223977929269E+003,9.023252725601196E-001,-3.783689737319946E-001,
2.665050000000000E+009,1.699028111572975E+003,-2.877375815501703E+003,8.904946446418762E-001,-4.004972577095032E-001,
2.676600000000000E+009,-7.923335002227416E+002,-3.070610386354269E+003,8.757908344268799E-001,-4.230715632438660E-001,
2.688150000000000E+009,-4.777374598849793E+003,-2.847668655742818E+003,8.627042770385742E-001,-4.411350190639496E-001,
2.699700000000000E+009,-3.569228775299717E+003,9.051771838260381E+002,8.518301248550415E-001,-4.640925526618958E-001,
2.711250000000000E+009,-5.353784816807422E+003,9.359197019356248E+003,8.417008519172669E-001,-4.951578378677368E-001,
2.722800000000000E+009,1.342083464019094E+003,4.443696763649522E+003,8.323137760162354E-001,-5.156932473182678E-001,
2.734350000000000E+009,4.055607956566166E+003,2.034348420000486E+003,8.184040188789368E-001,-5.434991717338562E-001,
2.745900000000000E+009,3.562076883060228E+003,-1.278744856768537E+003,7.973291277885437E-001,-5.745628476142883E-001,
2.757450000000000E+009,2.933057251401901E+003,-6.506139516804281E+003,7.777141332626343E-001,-5.954276323318481E-001,
2.769000000000000E+009,-2.070072510543764E+003,-5.322435156321612E+003,7.514877915382385E-001,-6.125703454017639E-001,
2.780550000000000E+009,-4.787336219436671E+003,-2.119356606652715E+003,7.371025085449219E-001,-6.277642846107483E-001,
2.792100000000000E+009,-2.889332737619412E+003,1.103266139703498E+003,7.172361016273499E-001,-6.450003385543823E-001,
2.803650000000000E+009,-2.345963495798413E+003,5.333845784900386E+003,7.053427696228027E-001,-6.654193997383118E-001,
2.815200000000000E+009,2.949075775650403E+003,7.299304821948163E+003,6.892909407615662E-001,-6.864100098609924E-001,
2.826750000000000E+009,1.797303180776769E+003,7.313969107626093E+002,6.738872528076172E-001,-7.195510864257813E-001,
2.838300000000000E+009,5.650089701829447E+004,-2.453254410329778E+004,6.477420330047607E-001,-7.444725632667542E-001,
2.849850000000000E+009,1.446975177027212E+003,-3.835483270488917E+003,6.180332303047180E-001,-7.583585381507874E-001,
2.861400000000000E+009,-2.594334176101391E+003,-5.454695432201801E+003,5.903571248054504E-001,-7.702464461326599E-001,
