% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-2.000650969750000E+003,2.928758790148486E+002,-1.781504750251770E-001,-9.723896384239197E-001,
7.015500000000000E+008,-2.239794293281487E+003,2.897329834725113E+003,-2.077689319849014E-001,-9.687911868095398E-001,
7.131000000000000E+008,2.561735673080634E+002,2.244815360225932E+003,-2.276662141084671E-001,-9.740858078002930E-001,
7.246500000000000E+008,3.368070052782723E+003,2.740583877939294E+003,-2.549885213375092E-001,-9.596733450889587E-001,
7.362000000000000E+008,1.376554904020084E+003,-1.261621161537034E+002,-2.919309437274933E-001,-9.504940509796143E-001,
7.477500000000000E+008,1.206291748362675E+003,-1.418346671162117E+003,-3.244923651218414E-001,-9.283512830734253E-001,
7.593000000000000E+008,-1.823992564048019E+002,-2.541050807947433E+003,-3.430064320564270E-001,-9.270125031471252E-001,
7.708500000000000E+008,-1.723197756475956E+003,-1.517960311386830E+003,-3.760399818420410E-001,-9.172418117523193E-001,
7.824000000000000E+008,-3.958058952980243E+003,2.229267003761874E+002,-4.026658833026886E-001,-9.053298234939575E-001,
7.939500000000000E+008,-6.093677884928966E+003,6.776244826260154E+003,-4.150796830654144E-001,-8.917214274406433E-001,
8.055000000000000E+008,1.533282741057782E+002,3.076587544119340E+003,-4.513834714889526E-001,-8.829559087753296E-001,
8.170500000000000E+008,3.483459041828637E+003,3.125668422146977E+003,-4.794739484786987E-001,-8.758057355880737E-001,
8.286000000000000E+008,1.925670195746677E+003,-1.056592458974684E+002,-5.026041269302368E-001,-8.563303351402283E-001,
8.401500000000000E+008,4.779493820542968E+003,-5.340281876384984E+003,-5.254477858543396E-001,-8.407673835754395E-001,
8.517000000000000E+008,-1.083765765122561E+002,-2.053632815240259E+003,-5.549191236495972E-001,-8.291761279106140E-001,
8.632500000000000E+008,-2.497202161902588E+003,-2.259812694355555E+003,-5.691206455230713E-001,-8.034178614616394E-001,
8.748000000000000E+008,-5.403817661084659E+003,2.593807971032222E+002,-6.007397174835205E-001,-7.904383540153503E-001,
8.863500000000000E+008,-1.517295147947998E+003,1.670153861490143E+003,-6.223284602165222E-001,-7.624886631965637E-001,
8.979000000000000E+008,1.100962120186348E+002,2.354567412622395E+003,-6.438516974449158E-001,-7.568095326423645E-001,
9.094500000000000E+008,1.714908389590129E+003,1.533625861134651E+003,-6.592301130294800E-001,-7.384650707244873E-001,
9.210000000000000E+008,1.566967330975934E+004,-1.046382004271881E+003,-6.888950467109680E-001,-7.095486521720886E-001,
9.325500000000000E+008,1.499616539736098E+003,-1.749556715037477E+003,-7.101584076881409E-001,-6.966290473937988E-001,
9.441000000000000E+008,-8.292637730962332E+002,-9.664833681244389E+003,-7.309789657592773E-001,-6.705802679061890E-001,
9.556500000000000E+008,-3.355967095455173E+003,-2.774074203951100E+003,-7.491860985755920E-001,-6.480625867843628E-001,
9.672000000000000E+008,-2.678351149656579E+003,2.749598415086625E+002,-7.714454531669617E-001,-6.231189370155335E-001,
9.787500000000000E+008,-1.114671604969486E+003,1.380621506575914E+003,-7.872320413589478E-001,-6.062793135643005E-001,
9.903000000000000E+008,9.472205386751042E+002,9.082823563761886E+003,-8.016682863235474E-001,-5.779936909675598E-001,
1.001850000000000E+009,6.025284186797284E+003,4.892127789961882E+003,-8.186623454093933E-001,-5.557491779327393E-001,
1.013400000000000E+009,2.763580171588920E+003,-2.915658618669182E+002,-8.353416919708252E-001,-5.313271284103394E-001,
1.024950000000000E+009,1.667553441676092E+003,-2.088410049639423E+003,-8.489987850189209E-001,-5.113015770912170E-001,
