% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-2.194820528892632E+004,1.494718812487674E+004,-1.911468207836151E-001,-9.723234176635742E-001,
6.990500000000000E+008,-2.729234314850275E+003,7.134876659422935E+003,-2.409056276082993E-001,-9.714340567588806E-001,
7.081000000000000E+008,1.500649170046469E+003,5.984448373019412E+003,-2.540719211101532E-001,-1.018700361251831E+000,
7.171500000000000E+008,5.801372651719493E+003,5.019252211359375E+003,-3.070045113563538E-001,-9.444915652275085E-001,
7.262000000000000E+008,3.953004332463409E+003,4.108771087532553E+002,-2.487687766551971E-001,-9.943402409553528E-001,
7.352500000000000E+008,1.243575152716507E+004,-6.975310981307319E+003,-2.748742997646332E-001,-9.341834187507629E-001,
7.443000000000000E+008,2.513416261757176E+003,-5.263976812853120E+003,-3.463057875633240E-001,-9.520683288574219E-001,
7.533500000000000E+008,-1.422562912656444E+003,-8.679931276432344E+003,-3.629305958747864E-001,-9.962621927261353E-001,
7.624000000000000E+008,-8.035791342908740E+003,-8.143897654815285E+003,-3.665264546871185E-001,-9.745623469352722E-001,
7.714500000000000E+008,-1.025352358986142E+004,-1.885934880645917E+003,-3.814597725868225E-001,-9.460607171058655E-001,
7.805000000000000E+008,-4.516332353993507E+003,2.121153156531547E+003,-4.038588702678680E-001,-9.019631743431091E-001,
7.895500000000000E+008,-2.433109859367022E+003,4.304785425563960E+003,-4.370414316654205E-001,-9.274954795837402E-001,
7.986000000000000E+008,9.448230451537759E+002,8.953852662227388E+003,-4.870179593563080E-001,-8.858159184455872E-001,
8.076500000000000E+008,4.693604544639919E+003,5.268149122835046E+003,-4.837906658649445E-001,-8.692429065704346E-001,
8.167000000000000E+008,3.924952956200350E+003,8.770447249958112E+002,-5.185748338699341E-001,-8.788411617279053E-001,
8.257500000000000E+008,1.830972148798143E+004,-7.834722909190774E+003,-5.021360516548157E-001,-8.461066484451294E-001,
8.348000000000000E+008,3.537146147670776E+003,-5.864957980225221E+003,-4.772402644157410E-001,-7.919037342071533E-001,
8.438500000000000E+008,-6.742675023035145E+002,-8.739442800005229E+003,-6.421602964401245E-001,-8.019106984138489E-001,
8.529000000000000E+008,-1.408629083601162E+003,-1.707190409186856E+003,-5.712462663650513E-001,-7.806208133697510E-001,
8.619500000000000E+008,-7.760956516752017E+003,-2.099253552777526E+003,-5.994157791137695E-001,-8.610221147537231E-001,
8.710000000000000E+008,-3.557805743712047E+003,1.325085104492652E+003,-5.921813845634460E-001,-8.105826377868652E-001,
8.800500000000000E+008,-1.628376932427559E+003,2.427084479705474E+003,-6.410459280014038E-001,-7.398601174354553E-001,
8.891000000000000E+008,1.208221586195677E+002,3.319653811421106E+003,-6.298062205314636E-001,-7.091364860534668E-001,
8.981500000000000E+008,2.198937233444407E+003,2.853948558002682E+003,-7.088164091110230E-001,-6.193001270294190E-001,
