% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.938328927435970E+003,2.826201318155253E+002,-1.623068600893021E-001,-9.788370728492737E-001,
7.015500000000000E+008,-2.173240364093653E+003,2.797024257586001E+003,-2.058794200420380E-001,-9.657785296440125E-001,
7.131000000000000E+008,2.444792188893499E+002,2.178765356141734E+003,-2.451883256435394E-001,-9.562318325042725E-001,
7.246500000000000E+008,3.275395785991094E+003,2.658212821600353E+003,-2.825605273246765E-001,-9.444163441658020E-001,
7.362000000000000E+008,1.334594771908679E+003,-1.202122776644729E+002,-2.991956174373627E-001,-9.448716044425964E-001,
7.477500000000000E+008,1.178702159814137E+003,-1.372653951019204E+003,-3.089920580387116E-001,-9.482501745223999E-001,
7.593000000000000E+008,-1.656028805895769E+002,-2.471013040819611E+003,-3.625666797161102E-001,-9.241976141929627E-001,
7.708500000000000E+008,-1.675536956022618E+003,-1.486429480807814E+003,-3.757424950599670E-001,-9.121370911598206E-001,
7.824000000000000E+008,-3.844635178360054E+003,2.129992961290745E+002,-3.974961042404175E-001,-9.043072462081909E-001,
7.939500000000000E+008,-5.919357064394421E+003,6.562047214266917E+003,-4.271678030490875E-001,-8.819188475608826E-001,
8.055000000000000E+008,1.480011724287109E+002,2.990351151228262E+003,-4.546227157115936E-001,-8.845509290695190E-001,
8.170500000000000E+008,3.359766595202773E+003,3.042155289624780E+003,-4.787478446960449E-001,-8.646904826164246E-001,
8.286000000000000E+008,1.871791000729489E+003,-9.438809460994645E+001,-4.904015660285950E-001,-8.623607158660889E-001,
8.401500000000000E+008,4.670834559311844E+003,-5.171126368318115E+003,-5.288499593734741E-001,-8.476575016975403E-001,
8.517000000000000E+008,-9.751892542879031E+001,-1.995246310424931E+003,-5.519253611564636E-001,-8.201129436492920E-001,
8.632500000000000E+008,-2.419888756509764E+003,-2.209250219790437E+003,-5.630910992622376E-001,-8.042666316032410E-001,
8.748000000000000E+008,-5.244060035465819E+003,2.363312830808783E+002,-6.050999164581299E-001,-7.841565608978272E-001,
8.863500000000000E+008,-1.483244006397202E+003,1.613388829127613E+003,-6.208273768424988E-001,-7.605615854263306E-001,
8.979000000000000E+008,9.727360989647993E+001,2.286302713793631E+003,-6.495046019554138E-001,-7.391498684883118E-001,
9.094500000000000E+008,1.661921665864331E+003,1.501383891733911E+003,-6.651396751403809E-001,-7.327921986579895E-001,
9.210000000000000E+008,1.524016092372693E+004,-9.464576160940088E+002,-6.860454678535461E-001,-7.148972153663635E-001,
