% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.943739966780964E+003,2.823709711232179E+002,-1.601557433605194E-001,-9.825208783149719E-001,
7.015500000000000E+008,-2.162505373693508E+003,2.801172229316014E+003,-2.079369276762009E-001,-9.659614562988281E-001,
7.131000000000000E+008,2.444274886679321E+002,2.178127361995492E+003,-2.459755688905716E-001,-9.576909542083740E-001,
7.246500000000000E+008,3.265874248540822E+003,2.666924594285181E+003,-2.811571061611176E-001,-9.454029202461243E-001,
7.362000000000000E+008,1.337879966013057E+003,-1.176607754621734E+002,-2.995393276214600E-001,-9.467484951019287E-001,
7.477500000000000E+008,1.179905553671929E+003,-1.378387521721350E+003,-3.125110864639282E-001,-9.487244486808777E-001,
7.593000000000000E+008,-1.694405924327168E+002,-2.470764662519115E+003,-3.624860048294067E-001,-9.216586947441101E-001,
7.708500000000000E+008,-1.674071894834083E+003,-1.485062298435214E+003,-3.730497062206268E-001,-9.104353785514832E-001,
7.824000000000000E+008,-3.850287229303427E+003,2.127456363718079E+002,-3.956311643123627E-001,-9.069635272026062E-001,
7.939500000000000E+008,-5.932225755269778E+003,6.568092938531969E+003,-4.263597130775452E-001,-8.858736157417297E-001,
8.055000000000000E+008,1.407243303533459E+002,2.981310275350812E+003,-4.519153833389282E-001,-8.853362202644348E-001,
8.170500000000000E+008,3.365484931211142E+003,3.055181584184627E+003,-4.814207851886749E-001,-8.686333894729614E-001,
8.286000000000000E+008,1.871661774056326E+003,-9.165408969821401E+001,-4.914812445640564E-001,-8.617952466011047E-001,
8.401500000000000E+008,4.672074294616878E+003,-5.176412375035871E+003,-5.302195549011231E-001,-8.453311920166016E-001,
8.517000000000000E+008,-1.002411857609464E+002,-1.997431461602682E+003,-5.525280833244324E-001,-8.181219696998596E-001,
8.632500000000000E+008,-2.425890443828510E+003,-2.206924362583575E+003,-5.619565844535828E-001,-8.030634522438049E-001,
8.748000000000000E+008,-5.252896405336914E+003,2.399125082980713E+002,-6.033645868301392E-001,-7.864776253700256E-001,
8.863500000000000E+008,-1.474792252190268E+003,1.618187748178783E+003,-6.223950386047363E-001,-7.604356408119202E-001,
8.979000000000000E+008,9.981625086526063E+001,2.281081472629041E+003,-6.500940918922424E-001,-7.397498488426209E-001,
9.094500000000000E+008,1.661947256774283E+003,1.500614197314781E+003,-6.687446236610413E-001,-7.337335348129273E-001,
9.210000000000000E+008,1.523227949695165E+004,-9.148956941853047E+002,-6.872663497924805E-001,-7.146145701408386E-001,
