% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-2.001142120463926E+003,3.017743617185038E+002,-1.822086721658707E-001,-9.727541804313660E-001,
7.015500000000000E+008,-2.224195809870911E+003,2.901367544579353E+003,-2.113581299781799E-001,-9.666770100593567E-001,
7.131000000000000E+008,2.603469813627780E+002,2.245328749866785E+003,-2.297787219285965E-001,-9.743655920028687E-001,
7.246500000000000E+008,3.379742435749552E+003,2.735712536652055E+003,-2.581240236759186E-001,-9.602757692337036E-001,
7.362000000000000E+008,1.376818069285640E+003,-1.289889303818912E+002,-2.941188812255859E-001,-9.499948620796204E-001,
7.477500000000000E+008,1.205084223161676E+003,-1.422782760959412E+003,-3.267410695552826E-001,-9.286506175994873E-001,
7.593000000000000E+008,-1.914236294318742E+002,-2.540983870723407E+003,-3.459868133068085E-001,-9.258074164390564E-001,
7.708500000000000E+008,-1.728633723006352E+003,-1.509923337927549E+003,-3.792544305324554E-001,-9.153004288673401E-001,
7.824000000000000E+008,-3.955278636219418E+003,2.399021850854454E+002,-4.061296284198761E-001,-9.035756587982178E-001,
7.939500000000000E+008,-6.059900665793854E+003,6.794498796291142E+003,-4.184106886386871E-001,-8.896355628967285E-001,
8.055000000000000E+008,1.655737230358875E+002,3.071017026521090E+003,-4.546445012092590E-001,-8.800020217895508E-001,
8.170500000000000E+008,3.491420368283470E+003,3.115971030956967E+003,-4.821811020374298E-001,-8.743532299995422E-001,
8.286000000000000E+008,1.923413118686697E+003,-1.118453115364015E+002,-5.051522850990295E-001,-8.534993529319763E-001,
8.401500000000000E+008,4.753822349114294E+003,-5.354038912285798E+003,-5.281813740730286E-001,-8.374658226966858E-001,
8.517000000000000E+008,-1.164892209063246E+002,-2.048744522795395E+003,-5.566833019256592E-001,-8.248746395111084E-001,
8.632500000000000E+008,-2.502351139102614E+003,-2.244183436756714E+003,-5.710656642913818E-001,-7.993874549865723E-001,
8.748000000000000E+008,-5.386744567666086E+003,2.817400548229788E+002,-6.020387411117554E-001,-7.860517501831055E-001,
8.863500000000000E+008,-1.506287647121824E+003,1.670066662859594E+003,-6.231114864349365E-001,-7.583371400833130E-001,
8.979000000000000E+008,1.146030907169098E+002,2.345907894198361E+003,-6.436511278152466E-001,-7.531418204307556E-001,
9.094500000000000E+008,1.714339617654732E+003,1.526667576172816E+003,-6.598875522613525E-001,-7.354319095611572E-001,
9.210000000000000E+008,1.563163749666231E+004,-1.060915341726786E+003,-6.883871555328369E-001,-7.067061066627502E-001,
9.325500000000000E+008,1.494287293319312E+003,-1.753005015085352E+003,-7.117083668708801E-001,-6.938784122467041E-001,
9.441000000000000E+008,-8.561197911464369E+002,-9.644804095811596E+003,-7.311238646507263E-001,-6.668582558631897E-001,
9.556500000000000E+008,-3.359659671854726E+003,-2.758121561463109E+003,-7.494617104530335E-001,-6.446178555488586E-001,
