% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.117826855735005E+002,-3.403084457902143E+002,1.370697189122438E-002,5.542205763049424E-004,
6.990500000000000E+008,-8.770122326844169E+001,-5.115736566652804E+001,1.318447384983301E-002,-1.729831565171480E-003,
7.081000000000000E+008,-8.458398528633384E+001,9.507496634781816E+000,1.382814068347216E-002,-2.205581404268742E-003,
7.171500000000000E+008,-7.806195038681096E+001,7.360507676778492E+001,1.299563609063625E-002,-3.031201427802444E-003,
7.262000000000000E+008,-1.231484636222907E+001,5.918410648538733E+001,1.485378108918667E-002,-1.937128719873726E-003,
7.352500000000000E+008,8.476891165689908E+001,1.977415953255770E+002,1.416206825524569E-002,-2.068107249215245E-003,
7.443000000000000E+008,8.156853599657242E+001,4.233675689429506E+001,1.543087698519230E-002,-4.310874734073877E-003,
7.533500000000000E+008,1.313848034271229E+002,-5.598676885285208E+000,1.606183871626854E-002,-3.170904237776995E-003,
7.624000000000000E+008,1.233213054108691E+002,-1.061056930276121E+002,1.492035761475563E-002,-4.216864239424467E-003,
7.714500000000000E+008,4.899421811476197E+001,-1.531539127508679E+002,1.585084758698940E-002,-4.446933045983315E-003,
7.805000000000000E+008,-2.323798961159010E+001,-7.208561069217083E+001,1.476924028247595E-002,-5.057562608271837E-003,
7.895500000000000E+008,-6.413294895534385E+001,-4.575691658234796E+001,1.531072147190571E-002,-6.189772859215736E-003,
7.986000000000000E+008,-1.494160962075757E+002,-6.255750140749406E+000,1.520726643502712E-002,-6.502507720142603E-003,
8.076500000000000E+008,-9.669103217155762E+001,6.381055064401617E+001,1.436479389667511E-002,-6.100961938500404E-003,
8.167000000000000E+008,-2.710591858782022E+001,6.474495965409095E+001,1.588184013962746E-002,-6.096441764384508E-003,
8.257500000000000E+008,6.532334533041950E+001,3.196883544296923E+002,1.469140686094761E-002,-4.734700545668602E-003,
8.348000000000000E+008,1.004767342618164E+002,6.741317281414996E+001,1.441726181656122E-002,-7.038302719593048E-003,
8.438500000000000E+008,1.351868970292963E+002,3.317816573682776E-001,1.364944409579039E-002,-8.424382656812668E-003,
8.529000000000000E+008,2.954439146902636E+001,-2.207888171174547E+001,1.422858610749245E-002,-8.849755860865116E-003,
8.619500000000000E+008,5.343845057797352E+001,-1.217109097822828E+002,1.639685407280922E-002,-7.874990813434124E-003,
