% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,8.779898407344139E-001,-2.825722657458661E+001,1.462810207158327E-002,-5.816488992422819E-004,
7.015500000000000E+008,-3.635747618341281E+001,-4.007171959798346E+001,1.486995723098517E-002,-1.199831138364971E-003,
7.131000000000000E+008,-3.501524203532804E+001,-8.313326202231076E-001,1.501592807471752E-002,-2.083230763673782E-003,
7.246500000000000E+008,-4.778072408919699E+001,4.864234212256670E+001,1.507090125232935E-002,-2.860969165340066E-003,
7.362000000000000E+008,7.154568309271375E-001,2.110980728182896E+001,1.494364254176617E-002,-3.248617285862565E-003,
7.477500000000000E+008,1.981541973717799E+001,1.926406935769392E+001,1.486891414970160E-002,-3.148065414279699E-003,
7.593000000000000E+008,3.701217711405073E+001,1.613832285043937E+000,1.510803587734699E-002,-3.720107721164823E-003,
7.708500000000000E+008,2.628608761398846E+001,-2.178865133235350E+001,1.535168103873730E-002,-3.801722545176745E-003,
7.824000000000000E+008,8.462912871968204E+000,-6.152048885189547E+001,1.587818562984467E-002,-4.253069404512644E-003,
7.939500000000000E+008,-9.030474338930114E+001,-1.220857569025883E+002,1.611455343663693E-002,-4.961580969393253E-003,
8.055000000000000E+008,-5.366229798084409E+001,-6.783362914470117E+000,1.651162467896938E-002,-5.832700524479151E-003,
8.170500000000000E+008,-6.390411467859506E+001,5.548004136509452E+001,1.630207523703575E-002,-6.709268782287836E-003,
8.286000000000000E+008,-1.060932356833896E+000,3.427096323297664E+001,1.606563664972782E-002,-6.911916192620993E-003,
8.401500000000000E+008,8.581210379463862E+001,8.793088772850672E+001,1.583296246826649E-002,-7.597397547215223E-003,
8.517000000000000E+008,3.415521411059668E+001,1.391946403848786E+000,1.545573584735394E-002,-7.834193296730518E-003,
8.632500000000000E+008,4.287937828994505E+001,-3.497034611651146E+001,1.566069014370441E-002,-7.671646773815155E-003,
8.748000000000000E+008,1.351918807520730E+001,-9.168225785997896E+001,1.620729640126228E-002,-8.633380755782127E-003,
8.863500000000000E+008,-2.332690135806545E+001,-3.353505073051621E+001,1.617991738021374E-002,-9.163733571767807E-003,
8.979000000000000E+008,-4.485800043783681E+001,-7.565225026342999E+000,1.636027358472347E-002,-1.019305735826492E-002,
9.094500000000000E+008,-3.677831952694217E+001,2.865508429863694E+001,1.633330062031746E-002,-1.083684898912907E-002,
9.210000000000000E+008,-1.839142265432517E+001,3.216779949206947E+002,1.609089411795139E-002,-1.182112656533718E-002,
9.325500000000000E+008,3.202397452232859E+001,3.273934956789487E+001,1.584694907069206E-002,-1.213111262768507E-002,
9.441000000000000E+008,1.844973749607854E+002,1.359463596564777E+000,1.526740938425064E-002,-1.285247411578894E-002,
9.556500000000000E+008,5.959158632389710E+001,-5.503416414217931E+001,1.530687976628542E-002,-1.337794028222561E-002,
9.672000000000000E+008,4.090676686001140E+000,-5.033371221926185E+001,1.503770984709263E-002,-1.321810577064753E-002,
9.787500000000000E+008,-2.111270401794089E+001,-2.738951541810365E+001,1.549751777201891E-002,-1.365925557911396E-002,
9.903000000000000E+008,-1.885560183677332E+002,-2.675272446778703E+001,1.503053866326809E-002,-1.442706864327192E-002,
1.001850000000000E+009,-1.349477329128379E+002,1.045218516397945E+002,1.508354581892490E-002,-1.528287492692471E-002,
1.013400000000000E+009,-4.592300495426352E+000,6.313657015934609E+001,1.462443638592959E-002,-1.678719744086266E-002,
1.024950000000000E+009,4.154596057366992E+001,4.327890534698583E+001,1.393343228846788E-002,-1.730694249272347E-002,
1.036500000000000E+009,5.394359268011247E+001,-4.772017779388351E-001,1.327118929475546E-002,-1.706575229763985E-002,
1.048050000000000E+009,7.765443940922954E+001,-7.733247282725935E+001,1.296561490744352E-002,-1.757831126451492E-002,
1.059600000000000E+009,2.710280779133037E+000,-7.033349367552478E+001,1.271956693381071E-002,-1.806005649268627E-002,
1.071150000000000E+009,-5.671960575773894E+001,-6.659100875350447E+001,1.260059978812933E-002,-1.821861229836941E-002,
1.082700000000000E+009,-6.374451007810312E+002,-6.694018457605073E+001,1.296593714505434E-002,-1.920144818723202E-002,
1.094250000000000E+009,-2.624590489252776E+002,2.179308926992204E+002,1.281166169792414E-002,-1.997678168118000E-002,
1.105800000000000E+009,-1.007467512153371E+001,2.442802605808552E+002,1.222669705748558E-002,-2.134314551949501E-002,
1.117350000000000E+009,4.704698635330243E+001,4.453881723711707E+001,1.127520762383938E-002,-2.230065315961838E-002,
1.128900000000000E+009,1.068688366620262E+002,-8.242184906547207E+000,1.003343984484673E-002,-2.263333834707737E-002,
1.140450000000000E+009,7.398846006664169E+001,-8.708384592098837E+001,9.493874385952950E-003,-2.242841757833958E-002,
1.152000000000000E+009,-1.132758965138513E+001,-2.327767280425211E+002,9.181296452879906E-003,-2.264283597469330E-002,
1.163550000000000E+009,-1.490675767193994E+002,-1.497572998554191E+002,8.791285566985607E-003,-2.234126068651676E-002,
1.175100000000000E+009,-6.675798111366849E+001,-2.939875647966983E+000,9.159240871667862E-003,-2.298346348106861E-002,
1.186650000000000E+009,-1.455483315786487E+002,1.330306387168657E+002,9.317201562225819E-003,-2.391329780220985E-002,
1.198200000000000E+009,-2.000202259269881E-001,1.350434065119491E+002,8.518445305526257E-003,-2.522535994648933E-002,
1.209750000000000E+009,8.252103600533599E+001,7.104930206228620E+001,7.191333919763565E-003,-2.649214304983616E-002,
1.221300000000000E+009,9.229798920676022E+001,-1.308013450709502E+001,5.895659793168306E-003,-2.706518024206162E-002,
1.232850000000000E+009,9.192528660371836E+001,-1.314766320330100E+002,4.493444226682186E-003,-2.648725174367428E-002,
1.244400000000000E+009,-1.327687382966924E+001,-8.300898656244793E+001,4.080705810338259E-003,-2.640480361878872E-002,
1.255950000000000E+009,-3.684936726016198E+001,-2.997056362027662E+001,3.989032935351133E-003,-2.655880339443684E-002,
1.267500000000000E+009,-1.305646906127824E+002,6.470889401683588E+000,3.899815957993269E-003,-2.651086822152138E-002,
1.279050000000000E+009,-8.836685265581711E+001,9.241004457787500E+001,3.721936373040080E-003,-2.728528529405594E-002,
1.290600000000000E+009,2.601652016708862E+000,5.732916172913173E+001,2.785244258120656E-003,-2.857303805649281E-002,
1.302150000000000E+009,5.528611657625504E+002,4.372136258180526E+002,1.427188050001860E-003,-2.942250110208988E-002,
1.313700000000000E+009,7.717529789504056E+001,-1.558063799929328E+001,-2.473085187375546E-004,-2.996148169040680E-002,
1.325250000000000E+009,5.695002124689774E+001,-9.522986254615672E+001,-1.593782799318433E-003,-2.943120338022709E-002,
1.336800000000000E+009,-3.966172139646357E+001,-1.569283943451345E+002,-2.164075616747141E-003,-2.828517742455006E-002,
1.348350000000000E+009,-8.616807323355273E+001,-5.712497141168193E+001,-2.142273122444749E-003,-2.816236577928066E-002,
1.359900000000000E+009,-5.270552740917138E+002,7.550839604988923E+001,-2.008618554100394E-003,-2.809468843042851E-002,
1.371450000000000E+009,-6.708350143622693E+001,8.296130636594974E+001,-1.783568644896150E-003,-2.915491722524166E-002,
1.383000000000000E+009,2.737928887384740E+001,2.503535655622071E+002,-2.818376291543245E-003,-3.041885979473591E-002,
1.394550000000000E+009,1.295629932440787E+002,9.320983919308719E+001,-4.171148408204317E-003,-3.173006325960159E-002,
1.406100000000000E+009,3.011826626416186E+002,-7.383789188186860E+001,-6.827755365520716E-003,-3.187058493494988E-002,
1.417650000000000E+009,5.137659578794011E+001,-9.875808668905829E+001,-8.504761382937431E-003,-3.125398606061935E-002,
1.429200000000000E+009,-4.031666824652294E+001,-1.179610690819074E+002,-9.495783597230911E-003,-3.016526438295841E-002,
1.440750000000000E+009,-1.315498849248885E+002,-6.931296889264075E+001,-1.010241825133562E-002,-2.911664731800556E-002,
1.452300000000000E+009,-9.732343209690787E+001,2.529758232576391E+001,-9.693459607660770E-003,-2.924490161240101E-002,
1.463850000000000E+009,-1.029606326884788E+002,1.589727602454609E+002,-9.779098443686962E-003,-2.945732139050961E-002,
1.475400000000000E+009,2.009489177744095E+001,9.751837114749434E+001,-1.011198665946722E-002,-3.073246404528618E-002,
1.486950000000000E+009,8.638946401778175E+001,5.281398022343419E+001,-1.179059501737356E-002,-3.139152377843857E-002,
1.498500000000000E+009,2.756427408535154E+002,-8.511404151917769E+001,-1.388507429510355E-002,-3.138835728168488E-002,
1.510050000000000E+009,2.000301486086985E+002,-4.472349941267937E+002,-1.493903249502182E-002,-3.106227144598961E-002,
1.521600000000000E+009,-7.717067559274084E+001,-1.890526630703603E+002,-1.654490642249584E-002,-3.013380244374275E-002,
1.533150000000000E+009,-3.235171412455827E+002,-1.446148484370970E+002,-1.678266748785973E-002,-2.878631837666035E-002,
1.544700000000000E+009,-1.045432222429780E+002,3.456207662809567E+001,-1.663534715771675E-002,-2.856209129095078E-002,
1.556250000000000E+009,-9.731045053475819E+001,1.736067161767601E+002,-1.753466762602329E-002,-2.892975509166718E-002,
1.567800000000000E+009,1.043567953189772E+002,3.933907648386721E+002,-1.818572357296944E-002,-3.003990836441517E-002,
1.579350000000000E+009,8.105892057823796E+002,4.420439345366026E+002,-1.949372887611389E-002,-3.039108403027058E-002,
1.590900000000000E+009,3.031818099225707E+002,-1.114338173693845E+002,-2.177113294601440E-002,-3.075925447046757E-002,
1.602450000000000E+009,1.250547500243947E+002,-3.358271488347648E+002,-2.406534552574158E-002,-2.871049568057060E-002,
1.614000000000000E+009,-1.468806361456377E+003,-2.862652848521262E+003,-2.450898475944996E-002,-2.773900702595711E-002,
1.625550000000000E+009,-2.501239680184924E+002,-7.933433900020434E+001,-2.525407448410988E-002,-2.651555836200714E-002,
1.637100000000000E+009,-3.503353608482757E+002,1.666343562733799E+002,-2.497444674372673E-002,-2.580822631716728E-002,
1.648650000000000E+009,-1.440824864584958E+002,3.583860392321864E+002,-2.539905905723572E-002,-2.563861757516861E-002,
1.660200000000000E+009,1.601151975688779E+002,4.064413174816532E+002,-2.625748887658119E-002,-2.654293179512024E-002,
1.671750000000000E+009,3.428012387096510E+002,1.449401183422832E+002,-2.716392651200295E-002,-2.653535269200802E-002,
1.683300000000000E+009,1.424375910002893E+002,-6.491286503087646E+001,-2.899513021111488E-002,-2.616449072957039E-002,
1.694850000000000E+009,5.085021833810545E+001,-1.687316151321348E+002,-3.126018121838570E-002,-2.532743103802204E-002,
1.706400000000000E+009,-1.323522852613688E+002,-2.150649954336088E+002,-3.202410042285919E-002,-2.318646013736725E-002,
1.717950000000000E+009,-1.507724566021291E+002,-3.256752809940668E+001,-3.272831812500954E-002,-2.229800261557102E-002,
1.729500000000000E+009,-1.724731300977264E+002,1.074969208793083E+002,-3.274625539779663E-002,-2.095547690987587E-002,
1.741050000000000E+009,-6.512309940250256E+001,2.424895386068975E+002,-3.266343101859093E-002,-2.059051766991615E-002,
1.752600000000000E+009,5.031466615947457E+001,9.412003303206423E+001,-3.332103788852692E-002,-2.069287560880184E-002,
1.764150000000000E+009,3.102273790395216E+002,9.681943949606814E+001,-3.384075686335564E-002,-2.015606872737408E-002,
1.775700000000000E+009,1.843013234057212E+002,-1.025744389291885E+002,-3.583326190710068E-002,-2.015469036996365E-002,
1.787250000000000E+009,4.580145078959534E+001,-1.996913743468996E+002,-3.733671456575394E-002,-1.889703609049320E-002,
1.798800000000000E+009,-3.080524549831493E+002,-4.343993846264776E+002,-3.862809017300606E-002,-1.750710420310497E-002,
1.810350000000000E+009,-2.996613478837720E+002,-4.206718500592611E+001,-3.951567038893700E-002,-1.619447767734528E-002,
