% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.558462710717197E+003,9.130355587532098E+002,-4.863689243793488E-001,-7.467037439346314E-001,
7.015500000000000E+008,-8.770258656412011E+002,3.191566296691100E+003,-5.148878693580627E-001,-7.302250862121582E-001,
7.131000000000000E+008,1.009716991774161E+003,1.809179905382396E+003,-5.393678545951843E-001,-7.333244681358337E-001,
7.246500000000000E+008,3.841534661183874E+003,1.059520374832885E+003,-5.617864727973938E-001,-7.042394280433655E-001,
7.362000000000000E+008,1.093602008577907E+003,-6.348402934533506E+002,-5.973247885704041E-001,-6.757392883300781E-001,
7.477500000000000E+008,4.284638076401257E+002,-1.623543143250577E+003,-6.170004606246948E-001,-6.381219029426575E-001,
7.593000000000000E+008,-1.133406613301414E+003,-1.959818935601173E+003,-6.374061703681946E-001,-6.225615739822388E-001,
7.708500000000000E+008,-1.943015607989520E+003,-5.546629959910781E+002,-6.582165956497192E-001,-5.936737060546875E-001,
7.824000000000000E+008,-3.066992811984946E+003,1.649635906577526E+003,-6.711109280586243E-001,-5.676549673080444E-001,
7.939500000000000E+008,-2.373864121706889E+003,7.748336614261582E+003,-6.768897175788879E-001,-5.522769689559937E-001,
8.055000000000000E+008,1.295644293779965E+003,2.435198877410062E+003,-7.001006007194519E-001,-5.304912924766541E-001,
8.170500000000000E+008,4.074726303089289E+003,1.148571557785582E+003,-7.295088768005371E-001,-5.124623775482178E-001,
8.286000000000000E+008,1.501489194919220E+003,-8.734794324137000E+002,-7.419732809066773E-001,-4.820955097675324E-001,
8.401500000000000E+008,1.510196418334796E+003,-6.195185613930339E+003,-7.576095461845398E-001,-4.491322934627533E-001,
8.517000000000000E+008,-9.419903765080223E+002,-1.534828108526061E+003,-7.767245173454285E-001,-4.194004237651825E-001,
8.632500000000000E+008,-2.817828523492281E+003,-6.970179490664741E+002,-7.722603678703308E-001,-3.854348957538605E-001,
8.748000000000000E+008,-4.008631622924744E+003,2.352693515230885E+003,-7.878054380416870E-001,-3.567195534706116E-001,
8.863500000000000E+008,-4.999627680051175E+002,1.889292604847638E+003,-7.902884483337402E-001,-3.239462971687317E-001,
8.979000000000000E+008,1.041946896355745E+003,1.769803483923836E+003,-7.988440394401550E-001,-3.061978518962860E-001,
9.094500000000000E+008,1.974260489152166E+003,4.682290313158744E+002,-8.098534941673279E-001,-2.880688905715942E-001,
9.210000000000000E+008,1.150711939638294E+004,-7.605438937844908E+003,-8.214742541313171E-001,-2.458188980817795E-001,
9.325500000000000E+008,3.558217109038120E+002,-1.977725073052958E+003,-8.352704644203186E-001,-2.223382294178009E-001,
9.441000000000000E+008,-4.889749777112588E+003,-6.711275801624380E+003,-8.366917371749878E-001,-1.809137612581253E-001,
9.556500000000000E+008,-3.648653287753258E+003,-5.554903759567626E+002,-8.412494063377380E-001,-1.509094983339310E-001,
9.672000000000000E+008,-1.831438238159412E+003,1.347988978233749E+003,-8.429954648017883E-001,-1.157929524779320E-001,
9.787500000000000E+008,-2.321476389513486E+002,1.478651992134913E+003,-8.386164903640747E-001,-9.508345276117325E-002,
9.903000000000000E+008,4.594914782772800E+003,6.302890897791971E+003,-8.349780440330505E-001,-6.585869938135147E-002,
1.001850000000000E+009,6.600074266422428E+003,9.461975444707824E+002,-8.334172368049622E-001,-3.991732746362686E-002,
1.013400000000000E+009,1.891118036880986E+003,-1.465296780714646E+003,-8.380796313285828E-001,-1.365305110812187E-002,
1.024950000000000E+009,2.511529158255365E+002,-2.264574876451208E+003,-8.382046222686768E-001,7.939451374113560E-003,
1.036500000000000E+009,-1.349561529391659E+003,-1.608245198748530E+003,-8.355705738067627E-001,4.049287363886833E-002,
1.048050000000000E+009,-4.375656395437626E+003,-3.179274967590253E+002,-8.340364694595337E-001,7.787432521581650E-002,
1.059600000000000E+009,-2.118265908542845E+003,1.871730211586976E+003,-8.196986317634583E-001,1.140524223446846E-001,
1.071150000000000E+009,-1.991793002541728E+002,3.390967730791418E+003,-8.093378543853760E-001,1.429324448108673E-001,
1.082700000000000E+009,1.590702547521464E+004,1.762758856624353E+004,-8.040529489517212E-001,1.647666245698929E-001,
1.094250000000000E+009,1.195663996677726E+004,4.453610832420249E+002,-7.851611375808716E-001,1.836388856172562E-001,
1.105800000000000E+009,5.857759168264984E+003,-5.666744743177502E+003,-7.863232493400574E-001,2.032102495431900E-001,
1.117350000000000E+009,-9.175293082961115E+000,-2.136051991258122E+003,-7.883102893829346E-001,2.238987684249878E-001,
1.128900000000000E+009,-2.613403842740417E+003,-2.496104406674543E+003,-7.777798175811768E-001,2.587701082229614E-001,
1.140450000000000E+009,-4.015760759310391E+003,1.546568040581355E+002,-7.636383175849915E-001,2.898469567298889E-001,
1.152000000000000E+009,-5.630131803577154E+003,6.188007413228599E+003,-7.528914213180542E-001,3.180175721645355E-001,
