% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-7.691526412963867E-002,2.269230410456657E-002,-1.880303472280502E-001,-9.732397198677063E-001,
7.015500000000000E+008,-6.713575124740601E-002,4.054930433630943E-002,-2.170667350292206E-001,-9.647408127784729E-001,
7.131000000000000E+008,-5.033226683735848E-002,4.774910956621170E-002,-2.435397952795029E-001,-9.610360264778137E-001,
7.246500000000000E+008,-3.533038869500160E-002,4.244059696793556E-002,-2.717790603637695E-001,-9.542567729949951E-001,
7.362000000000000E+008,-3.005119785666466E-002,2.909926883876324E-002,-3.003170490264893E-001,-9.460170269012451E-001,
7.477500000000000E+008,-3.656133264303207E-002,1.647495105862618E-002,-3.289288282394409E-001,-9.365301132202148E-001,
7.593000000000000E+008,-5.079375207424164E-002,1.275560166686773E-002,-3.571946918964386E-001,-9.258160591125488E-001,
7.708500000000000E+008,-6.432228535413742E-002,2.088072337210178E-002,-3.836224377155304E-001,-9.139932990074158E-001,
7.824000000000000E+008,-6.951984763145447E-002,3.753285109996796E-002,-4.097392261028290E-001,-9.018799066543579E-001,
7.939500000000000E+008,-6.315317004919052E-002,5.497910827398300E-002,-4.351756572723389E-001,-8.890212178230286E-001,
8.055000000000000E+008,-4.812045767903328E-002,6.523098051548004E-002,-4.607480764389038E-001,-8.767116665840149E-001,
8.170500000000000E+008,-3.158812969923019E-002,6.406752765178680E-002,-4.864368140697479E-001,-8.633880019187927E-001,
8.286000000000000E+008,-2.151636406779289E-002,5.317284166812897E-002,-5.117985606193543E-001,-8.491780757904053E-001,
8.401500000000000E+008,-2.227997034788132E-002,3.899799287319183E-002,-5.374585390090942E-001,-8.338608145713806E-001,
8.517000000000000E+008,-3.290357440710068E-002,2.949152700603008E-002,-5.624154806137085E-001,-8.174605369567871E-001,
8.632500000000000E+008,-4.741739854216576E-002,3.023816645145416E-002,-5.869424343109131E-001,-7.998380661010742E-001,
8.748000000000000E+008,-5.801329016685486E-002,4.159065335988998E-002,-6.091542243957520E-001,-7.815139889717102E-001,
8.863500000000000E+008,-5.917783454060555E-002,5.880337581038475E-002,-6.310936212539673E-001,-7.631224393844605E-001,
8.979000000000000E+008,-4.981502518057823E-002,7.445511221885681E-002,-6.520064473152161E-001,-7.445868849754334E-001,
