% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-3.321699798107147E-002,3.392293816432357E-003,-1.411675214767456E-001,-9.839773178100586E-001,
7.015500000000000E+008,-2.472805790603161E-002,2.033321186900139E-002,-1.706632673740387E-001,-9.767087101936340E-001,
7.131000000000000E+008,-8.387238718569279E-003,2.728680521249771E-002,-1.972683668136597E-001,-9.736263751983643E-001,
7.246500000000000E+008,7.135501597076654E-003,2.156998403370380E-002,-2.247923463582993E-001,-9.675920009613037E-001,
7.362000000000000E+008,1.368387043476105E-002,7.078630384057760E-003,-2.521798014640808E-001,-9.607348442077637E-001,
7.477500000000000E+008,8.498426526784897E-003,-7.841011509299278E-003,-2.796440422534943E-001,-9.531682133674622E-001,
7.593000000000000E+008,-5.242372397333384E-003,-1.469439081847668E-002,-3.072868883609772E-001,-9.448052644729614E-001,
7.708500000000000E+008,-1.950109191238880E-002,-9.834156371653080E-003,-3.337742388248444E-001,-9.354599118232727E-001,
7.824000000000000E+008,-2.647047862410545E-002,4.285726230591536E-003,-3.604650795459747E-001,-9.256802201271057E-001,
7.939500000000000E+008,-2.211362682282925E-002,2.035044878721237E-002,-3.866472244262695E-001,-9.144574999809265E-001,
8.055000000000000E+008,-8.526331745088100E-003,3.019412048161030E-002,-4.128297269344330E-001,-9.033142328262329E-001,
8.170500000000000E+008,7.618440780788660E-003,2.886279486119747E-002,-4.385838806629181E-001,-8.908491730690002E-001,
8.286000000000000E+008,1.832121051847935E-002,1.727490313351154E-002,-4.635472595691681E-001,-8.778427243232727E-001,
8.401500000000000E+008,1.864822022616863E-002,1.307719852775335E-003,-4.885967969894409E-001,-8.643044233322144E-001,
8.517000000000000E+008,8.691455237567425E-003,-1.115064695477486E-002,-5.129365324974060E-001,-8.502398729324341E-001,
8.632500000000000E+008,-6.279528606683016E-003,-1.402906794101000E-002,-5.375382900238037E-001,-8.353167772293091E-001,
8.748000000000000E+008,-1.878762431442738E-002,-6.028870120644569E-003,-5.604530572891235E-001,-8.196260333061218E-001,
8.863500000000000E+008,-2.275791205465794E-002,8.893022313714027E-003,-5.837594866752625E-001,-8.033617734909058E-001,
8.979000000000000E+008,-1.624063961207867E-002,2.356177009642124E-002,-6.060438752174377E-001,-7.863562703132629E-001,
9.094500000000000E+008,-2.365618478506804E-003,3.115679696202278E-002,-6.284705996513367E-001,-7.685214877128601E-001,
9.210000000000000E+008,1.226849388331175E-002,2.818264067173004E-002,-6.501636505126953E-001,-7.500229477882385E-001,
9.325500000000000E+008,2.073821797966957E-002,1.628563180565834E-002,-6.719360947608948E-001,-7.312117815017700E-001,
9.441000000000000E+008,1.926913671195507E-002,1.464656204916537E-003,-6.918652653694153E-001,-7.111918926239014E-001,
9.556500000000000E+008,8.805369958281517E-003,-9.008070454001427E-003,-7.125583291053772E-001,-6.910632252693176E-001,
9.672000000000000E+008,-5.093616433441639E-003,-9.790225885808468E-003,-7.321469783782959E-001,-6.703506112098694E-001,
9.787500000000000E+008,-1.500056218355894E-002,-3.252640308346599E-004,-7.505626678466797E-001,-6.493410468101502E-001,
9.903000000000000E+008,-1.516710966825485E-002,1.463248673826456E-002,-7.692270874977112E-001,-6.276292204856873E-001,
1.001850000000000E+009,-4.866344388574362E-003,2.714653126895428E-002,-7.866390347480774E-001,-6.053485870361328E-001,
1.013400000000000E+009,1.115769799798727E-002,3.044125996530056E-002,-8.030573129653931E-001,-5.825489163398743E-001,
1.024950000000000E+009,2.475612424314022E-002,2.208944223821163E-002,-8.198190927505493E-001,-5.588840842247009E-001,
1.036500000000000E+009,2.846919931471348E-002,5.928666796535254E-003,-8.356077671051025E-001,-5.349687337875366E-001,
1.048050000000000E+009,1.944850012660027E-002,-9.568440727889538E-003,-8.507667183876038E-001,-5.108420252799988E-001,
1.059600000000000E+009,2.121609635651112E-003,-1.557728182524443E-002,-8.646799325942993E-001,-4.863986074924469E-001,
1.071150000000000E+009,-1.444570533931255E-002,-8.076017722487450E-003,-8.782651424407959E-001,-4.613833725452423E-001,
1.082700000000000E+009,-2.044975571334362E-002,9.754572063684464E-003,-8.914552330970764E-001,-4.362163543701172E-001,
1.094250000000000E+009,-1.136957947164774E-002,2.855542488396168E-002,-9.031431674957275E-001,-4.103747904300690E-001,
