% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-2.686491608619690E-001,1.323634088039398E-001,-4.745895862579346E-001,-7.495129108428955E-001,
7.015500000000000E+008,-2.536982297897339E-001,1.459456980228424E-001,-4.995650351047516E-001,-7.326045632362366E-001,
7.131000000000000E+008,-2.406005710363388E-001,1.485857665538788E-001,-5.263123512268066E-001,-7.190239429473877E-001,
7.246500000000000E+008,-2.354407310485840E-001,1.452029496431351E-001,-5.539852380752564E-001,-6.991482377052307E-001,
7.362000000000000E+008,-2.402826100587845E-001,1.425868421792984E-001,-5.796949267387390E-001,-6.748489141464233E-001,
7.477500000000000E+008,-2.508458793163300E-001,1.477607339620590E-001,-6.015483736991882E-001,-6.487627625465393E-001,
7.593000000000000E+008,-2.594691812992096E-001,1.625290513038635E-001,-6.198093295097351E-001,-6.227155327796936E-001,
7.708500000000000E+008,-2.603720724582672E-001,1.834491789340973E-001,-6.352005600929260E-001,-5.995743274688721E-001,
7.824000000000000E+008,-2.516398727893829E-001,2.040668874979019E-001,-6.507424712181091E-001,-5.781803727149963E-001,
7.939500000000000E+008,-2.363770604133606E-001,2.183838933706284E-001,-6.679147481918335E-001,-5.578988194465637E-001,
8.055000000000000E+008,-2.208322137594223E-001,2.237249016761780E-001,-6.881380677223206E-001,-5.369130969047546E-001,
8.170500000000000E+008,-2.110793143510819E-001,2.218490391969681E-001,-7.087420821189880E-001,-5.125597119331360E-001,
8.286000000000000E+008,-2.102173119783402E-001,2.186242043972015E-001,-7.278360128402710E-001,-4.844653308391571E-001,
8.401500000000000E+008,-2.163908928632736E-001,2.203252613544464E-001,-7.438280582427979E-001,-4.537717998027802E-001,
8.517000000000000E+008,-2.235857099294663E-001,2.305208295583725E-001,-7.554201483726502E-001,-4.229867756366730E-001,
8.632500000000000E+008,-2.258668243885040E-001,2.481989711523056E-001,-7.641546130180359E-001,-3.938764929771423E-001,
8.748000000000000E+008,-2.192327231168747E-001,2.683626115322113E-001,-7.708286046981812E-001,-3.681031763553619E-001,
8.863500000000000E+008,-2.049806118011475E-001,2.855887413024902E-001,-7.788929939270020E-001,-3.442797064781189E-001,
8.979000000000000E+008,-1.868648231029511E-001,2.959648072719574E-001,-7.888480424880981E-001,-3.208510875701904E-001,
9.094500000000000E+008,-1.705986857414246E-001,2.982037365436554E-001,-8.007958531379700E-001,-2.954325377941132E-001,
9.210000000000000E+008,-1.608930826187134E-001,2.955833375453949E-001,-8.124432563781738E-001,-2.666745781898499E-001,
9.325500000000000E+008,-1.591111421585083E-001,2.932664453983307E-001,-8.227497339248657E-001,-2.347787618637085E-001,
9.441000000000000E+008,-1.622114777565002E-001,2.965412735939026E-001,-8.278226256370544E-001,-2.017460167407990E-001,
9.556500000000000E+008,-1.644990742206574E-001,3.072269558906555E-001,-8.301422595977783E-001,-1.691397428512573E-001,
9.672000000000000E+008,-1.603806167840958E-001,3.235166072845459E-001,-8.290166854858398E-001,-1.394324749708176E-001,
9.787500000000000E+008,-1.477555334568024E-001,3.401330709457398E-001,-8.274078965187073E-001,-1.136089786887169E-001,
9.903000000000000E+008,-1.285014152526856E-001,3.520707190036774E-001,-8.281327486038208E-001,-8.887604624032974E-002,
1.001850000000000E+009,-1.080159470438957E-001,3.562210202217102E-001,-8.305900096893311E-001,-6.405860930681229E-002,
1.013400000000000E+009,-9.237276762723923E-002,3.534381687641144E-001,-8.344421386718750E-001,-3.689488396048546E-002,
1.024950000000000E+009,-8.547236770391464E-002,3.481350839138031E-001,-8.370754122734070E-001,-5.640682298690081E-003,
1.036500000000000E+009,-8.658091723918915E-002,3.469344973564148E-001,-8.362272977828980E-001,2.832006104290485E-002,
1.048050000000000E+009,-8.977416157722473E-002,3.539413809776306E-001,-8.300998210906982E-001,6.147390976548195E-002,
1.059600000000000E+009,-8.767523616552353E-002,3.686155974864960E-001,-8.200427293777466E-001,9.079699218273163E-002,
1.071150000000000E+009,-7.524991035461426E-002,3.857476115226746E-001,-8.092424869537354E-001,1.159944534301758E-001,
1.082700000000000E+009,-5.330530926585197E-002,3.981849253177643E-001,-8.010489940643311E-001,1.374632418155670E-001,
1.094250000000000E+009,-2.755755372345448E-002,4.010042846202850E-001,-7.958891391754150E-001,1.581557989120483E-001,
1.105800000000000E+009,-5.702637601643801E-003,3.941029310226440E-001,-7.937651872634888E-001,1.817867308855057E-001,
1.117350000000000E+009,5.660522729158402E-003,3.820694386959076E-001,-7.924607992172241E-001,2.106980532407761E-001,
1.128900000000000E+009,5.394829902797937E-003,3.738521635532379E-001,-7.857399582862854E-001,2.438683807849884E-001,
1.140450000000000E+009,-1.043450320139527E-003,3.762283027172089E-001,-7.722935676574707E-001,2.771489918231964E-001,
1.152000000000000E+009,-2.730913925915957E-003,3.902771174907684E-001,-7.532249093055725E-001,3.059654533863068E-001,
1.163550000000000E+009,7.723541930317879E-003,4.092287123203278E-001,-7.324577569961548E-001,3.276744186878204E-001,
1.175100000000000E+009,3.162435442209244E-002,4.233995378017426E-001,-7.147275805473328E-001,3.433475494384766E-001,
1.186650000000000E+009,6.209360063076019E-002,4.259780347347260E-001,-7.028126716613770E-001,3.579815924167633E-001,
1.198200000000000E+009,8.981058746576309E-002,4.159769117832184E-001,-6.958151459693909E-001,3.751389682292938E-001,
1.209750000000000E+009,1.059461906552315E-001,3.977769613265991E-001,-6.900304555892944E-001,3.983806669712067E-001,
1.221300000000000E+009,1.078501418232918E-001,3.816521465778351E-001,-6.804431676864624E-001,4.275645613670349E-001,
1.232850000000000E+009,1.002408042550087E-001,3.771983385086060E-001,-6.626852750778198E-001,4.584644436836243E-001,
1.244400000000000E+009,9.510853886604309E-002,3.869005441665649E-001,-6.377535462379456E-001,4.852733016014099E-001,
1.255950000000000E+009,1.025343388319016E-001,4.039748907089233E-001,-6.097833514213562E-001,5.036343336105347E-001,
1.267500000000000E+009,1.247089356184006E-001,4.168500900268555E-001,-5.853366851806641E-001,5.145651102066040E-001,
1.279050000000000E+009,1.544484049081802E-001,4.174815118312836E-001,-5.678098201751709E-001,5.233234763145447E-001,
