% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-2.302665561437607E-001,2.374814897775650E-001,-5.024693608283997E-001,-7.316693663597107E-001,
7.015500000000000E+008,-2.096569985151291E-001,2.514694333076477E-001,-5.249975919723511E-001,-7.132264375686646E-001,
7.131000000000000E+008,-1.916456818580627E-001,2.548609077930450E-001,-5.499066114425659E-001,-6.992480754852295E-001,
7.246500000000000E+008,-1.816914975643158E-001,2.527289390563965E-001,-5.767859816551209E-001,-6.795604228973389E-001,
7.362000000000000E+008,-1.817380040884018E-001,2.518770992755890E-001,-6.028193831443787E-001,-6.553404927253723E-001,
7.477500000000000E+008,-1.868687719106674E-001,2.588362395763397E-001,-6.258972287178040E-001,-6.279950141906738E-001,
7.593000000000000E+008,-1.892243325710297E-001,2.748468518257141E-001,-6.446616649627686E-001,-5.996012091636658E-001,
7.708500000000000E+008,-1.830224096775055E-001,2.961418628692627E-001,-6.592221856117249E-001,-5.735079646110535E-001,
7.824000000000000E+008,-1.671450883150101E-001,3.160013258457184E-001,-6.729197502136231E-001,-5.498739480972290E-001,
7.939500000000000E+008,-1.450671851634979E-001,3.289079964160919E-001,-6.873061656951904E-001,-5.280733704566956E-001,
8.055000000000000E+008,-1.233341842889786E-001,3.325618505477905E-001,-7.048099637031555E-001,-5.070471167564392E-001,
8.170500000000000E+008,-1.078944578766823E-001,3.298522233963013E-001,-7.241155505180359E-001,-4.831780195236206E-001,
8.286000000000000E+008,-1.012615114450455E-001,3.261880278587341E-001,-7.429089546203613E-001,-4.558418393135071E-001,
8.401500000000000E+008,-1.014297604560852E-001,3.274840712547302E-001,-7.595317959785461E-001,-4.250486791133881E-001,
8.517000000000000E+008,-1.018544286489487E-001,3.369592130184174E-001,-7.717210054397583E-001,-3.925956189632416E-001,
8.632500000000000E+008,-9.665661305189133E-002,3.531426191329956E-001,-7.800322175025940E-001,-3.609024882316589E-001,
8.748000000000000E+008,-8.233372867107391E-002,3.704373538494110E-001,-7.848263978958130E-001,-3.322742283344269E-001,
8.863500000000000E+008,-6.029732152819634E-002,3.837887942790985E-001,-7.898454666137695E-001,-3.063833415508270E-001,
8.979000000000000E+008,-3.506006300449371E-002,3.893680870532990E-001,-7.961392998695374E-001,-2.824068367481232E-001,
9.094500000000000E+008,-1.257491484284401E-002,3.874305486679077E-001,-8.051992654800415E-001,-2.577896118164063E-001,
9.210000000000000E+008,2.980117918923497E-003,3.812271058559418E-001,-8.150990009307861E-001,-2.307896763086319E-001,
9.325500000000000E+008,1.050698384642601E-002,3.756649792194367E-001,-8.253083229064941E-001,-2.003479301929474E-001,
9.441000000000000E+008,1.361138653010130E-002,3.757319152355194E-001,-8.310152888298035E-001,-1.673016846179962E-001,
9.556500000000000E+008,1.803035475313664E-002,3.826074898242950E-001,-8.335157632827759E-001,-1.333185434341431E-001,
9.672000000000000E+008,2.925021387636662E-002,3.939804136753082E-001,-8.314662575721741E-001,-1.011707186698914E-001,
