% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-4.065034165978432E-002,5.609025806188583E-002,-5.022965073585510E-001,-8.548685908317566E-001,
7.015500000000000E+008,-2.206165157258511E-002,6.259440630674362E-002,-5.328769087791443E-001,-8.336482048034668E-001,
7.131000000000000E+008,-5.236579105257988E-003,5.634079873561859E-002,-5.611653923988342E-001,-8.182817697525024E-001,
7.246500000000000E+008,1.951830810867250E-003,4.224411398172379E-002,-5.903388261795044E-001,-7.984503507614136E-001,
7.362000000000000E+008,-3.100998932495713E-003,2.914088219404221E-002,-6.183769106864929E-001,-7.771610617637634E-001,
7.477500000000000E+008,-1.597261615097523E-002,2.501575276255608E-002,-6.456036567687988E-001,-7.545450925827026E-001,
7.593000000000000E+008,-2.805641107261181E-002,3.259703516960144E-002,-6.719235181808472E-001,-7.296814322471619E-001,
7.708500000000000E+008,-3.156529366970062E-002,4.795985668897629E-002,-6.966324448585510E-001,-7.060673236846924E-001,
7.824000000000000E+008,-2.348395623266697E-002,6.307336688041687E-002,-7.204573154449463E-001,-6.812269687652588E-001,
7.939500000000000E+008,-7.118880283087492E-003,7.016856968402863E-002,-7.429961562156677E-001,-6.555621623992920E-001,
8.055000000000000E+008,9.872502647340298E-003,6.588055938482285E-002,-7.661327123641968E-001,-6.298481225967407E-001,
8.170500000000000E+008,1.974887028336525E-002,5.290748551487923E-002,-7.878438830375671E-001,-6.029568910598755E-001,
8.286000000000000E+008,1.854408718645573E-002,3.825979307293892E-002,-8.090059161186218E-001,-5.750765800476074E-001,
8.401500000000000E+008,8.094944991171360E-003,2.968108467757702E-002,-8.293452858924866E-001,-5.459899306297302E-001,
8.517000000000000E+008,-5.076846573501825E-003,3.169000148773193E-002,-8.485766649246216E-001,-5.161810517311096E-001,
8.632500000000000E+008,-1.331482082605362E-002,4.315302148461342E-002,-8.657953143119812E-001,-4.854501485824585E-001,
8.748000000000000E+008,-1.140260882675648E-002,5.836632847785950E-002,-8.819165825843811E-001,-4.541086852550507E-001,
8.863500000000000E+008,4.928294220007956E-004,6.997033208608627E-002,-8.969509601593018E-001,-4.230498969554901E-001,
8.979000000000000E+008,1.755945570766926E-002,7.226368039846420E-002,-9.109715819358826E-001,-3.920375406742096E-001,
9.094500000000000E+008,3.248466551303864E-002,6.443325430154800E-002,-9.241819381713867E-001,-3.604810535907745E-001,
9.210000000000000E+008,3.922867402434349E-002,5.024592205882072E-002,-9.364444017410278E-001,-3.274042904376984E-001,
9.325500000000000E+008,3.564728796482086E-002,3.690061718225479E-002,-9.483527541160584E-001,-2.950928807258606E-001,
9.441000000000000E+008,2.490429021418095E-002,3.090637736022472E-002,-9.588099122047424E-001,-2.609257698059082E-001,
9.556500000000000E+008,1.376904360949993E-002,3.499545529484749E-002,-9.669594168663025E-001,-2.262246459722519E-001,
9.672000000000000E+008,9.367031976580620E-003,4.691328480839729E-002,-9.739753007888794E-001,-1.908977925777435E-001,
9.787500000000000E+008,1.535642333328724E-002,5.990708246827126E-002,-9.794661402702332E-001,-1.562854200601578E-001,
9.903000000000000E+008,3.014259971678257E-002,6.645599752664566E-002,-9.836715459823608E-001,-1.221198961138725E-001,
1.001850000000000E+009,4.692998155951500E-002,6.220519542694092E-002,-9.873446226119995E-001,-8.793982863426209E-002,
1.013400000000000E+009,5.778429657220841E-002,4.837090894579887E-002,-9.901781678199768E-001,-5.370105803012848E-002,
1.024950000000000E+009,5.734336748719215E-002,3.150146082043648E-002,-9.917984008789063E-001,-1.925461553037167E-002,
1.036500000000000E+009,4.625091329216957E-002,2.044450305402279E-002,-9.924234747886658E-001,1.602429896593094E-002,
1.048050000000000E+009,3.130324184894562E-002,2.130042016506195E-002,-9.912938475608826E-001,5.140582099556923E-002,
1.059600000000000E+009,2.224480919539928E-002,3.375632688403130E-002,-9.884121417999268E-001,8.700466901063919E-002,
1.071150000000000E+009,2.612595073878765E-002,5.070274695754051E-002,-9.841499924659729E-001,1.223964542150497E-001,
1.082700000000000E+009,4.283649474382401E-002,6.147352606058121E-002,-9.781425595283508E-001,1.570905148983002E-001,
1.094250000000000E+009,6.487193703651428E-002,5.823423713445664E-002,-9.718416333198547E-001,1.897882670164108E-001,
1.105800000000000E+009,8.096830546855927E-002,4.061479121446610E-002,-9.646255373954773E-001,2.226367443799973E-001,
1.117350000000000E+009,8.219881355762482E-002,1.646314375102520E-002,-9.581971764564514E-001,2.561613023281097E-001,
1.128900000000000E+009,6.735868006944656E-002,-2.023074310272932E-003,-9.491912126541138E-001,2.899484336376190E-001,
1.140450000000000E+009,4.469167441129684E-002,-4.542589187622070E-003,-9.385448694229126E-001,3.243646621704102E-001,
1.152000000000000E+009,2.767230756580830E-002,1.034187339246273E-002,-9.269306063652039E-001,3.577792048454285E-001,
1.163550000000000E+009,2.757201902568340E-002,3.399240598082542E-002,-9.124304056167603E-001,3.907176554203033E-001,
1.175100000000000E+009,4.628333449363709E-002,5.184540897607803E-002,-8.965392112731934E-001,4.220941364765167E-001,
1.186650000000000E+009,7.470632344484329E-002,5.202866718173027E-002,-8.805260062217712E-001,4.521251618862152E-001,
1.198200000000000E+009,9.792170673608780E-002,3.221532702445984E-002,-8.641269803047180E-001,4.810403287410736E-001,
1.209750000000000E+009,1.031115502119064E-001,1.378492102958262E-003,-8.480652570724487E-001,5.098494291305542E-001,
1.221300000000000E+009,8.737320452928543E-002,-2.489019557833672E-002,-8.316101431846619E-001,5.389125347137451E-001,
1.232850000000000E+009,5.956476926803589E-002,-3.311371430754662E-002,-8.136946558952332E-001,5.686556696891785E-001,
1.244400000000000E+009,3.589365258812904E-002,-1.984932087361813E-002,-7.932000160217285E-001,5.989066958427429E-001,
1.255950000000000E+009,3.042509965598583E-002,5.500178784132004E-003,-7.704395651817322E-001,6.272746324539185E-001,
1.267500000000000E+009,4.653632640838623E-002,2.617458626627922E-002,-7.464122772216797E-001,6.538695096969605E-001,
1.279050000000000E+009,7.421619445085526E-002,2.789695002138615E-002,-7.221118211746216E-001,6.784474849700928E-001,
1.290600000000000E+009,9.622769802808762E-002,7.861746475100517E-003,-6.979207396507263E-001,7.010223865509033E-001,
1.302150000000000E+009,9.852724522352219E-002,-2.364788576960564E-002,-6.740070581436157E-001,7.240502238273621E-001,
1.313700000000000E+009,7.839135825634003E-002,-4.890085756778717E-002,-6.501966118812561E-001,7.477860450744629E-001,
1.325250000000000E+009,4.649459570646286E-002,-5.296272411942482E-002,-6.249167323112488E-001,7.716776132583618E-001,
1.336800000000000E+009,2.142614312469959E-002,-3.300919383764267E-002,-5.963785648345947E-001,7.957775592803955E-001,
1.348350000000000E+009,1.895253919064999E-002,-5.694667343050242E-004,-5.664663910865784E-001,8.179200887680054E-001,
1.359900000000000E+009,4.185014590620995E-002,2.454445697367191E-002,-5.344221591949463E-001,8.371000885963440E-001,
1.371450000000000E+009,7.779587060213089E-002,2.623339369893074E-002,-5.033240914344788E-001,8.535429239273071E-001,
1.383000000000000E+009,1.067352518439293E-001,1.817499287426472E-003,-4.731515049934387E-001,8.680425286293030E-001,
1.394550000000000E+009,1.124608740210533E-001,-3.698967769742012E-002,-4.444518983364105E-001,8.826870918273926E-001,
1.406100000000000E+009,9.155835211277008E-002,-7.022949308156967E-002,-4.155531227588654E-001,8.971167206764221E-001,
1.417650000000000E+009,5.543426796793938E-002,-8.136986196041107E-002,-3.856133222579956E-001,9.126700162887573E-001,
1.429200000000000E+009,2.352624014019966E-002,-6.609426438808441E-002,-3.535802960395813E-001,9.280911684036255E-001,
