% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.526319518685341E-002,3.315544500946999E-002,-5.016201734542847E-001,-8.564652800559998E-001,
7.015500000000000E+008,-3.760031238198280E-002,4.033363237977028E-002,-5.323836803436279E-001,-8.353875875473023E-001,
7.131000000000000E+008,-2.117624133825302E-002,3.424281626939774E-002,-5.612284541130066E-001,-8.196139335632324E-001,
7.246500000000000E+008,-1.450400426983833E-002,1.960161328315735E-002,-5.904779434204102E-001,-7.993838191032410E-001,
7.362000000000000E+008,-2.059417963027954E-002,5.537320394068956E-003,-6.185200214385986E-001,-7.777898907661438E-001,
7.477500000000000E+008,-3.522257506847382E-002,5.456633516587317E-004,-6.453952789306641E-001,-7.549117803573608E-001,
7.593000000000000E+008,-4.956850782036781E-002,7.830662652850151E-003,-6.713733077049255E-001,-7.303190827369690E-001,
7.708500000000000E+008,-5.544254183769226E-002,2.372198179364204E-002,-6.958391070365906E-001,-7.070854306221008E-001,
7.824000000000000E+008,-4.929654300212860E-002,3.994891792535782E-002,-7.197894454002380E-001,-6.828199028968811E-001,
7.939500000000000E+008,-3.419107943773270E-002,4.825250804424286E-002,-7.428182959556580E-001,-6.575307250022888E-001,
8.055000000000000E+008,-1.794799044728279E-002,4.470708593726158E-002,-7.664801478385925E-001,-6.317146420478821E-001,
8.170500000000000E+008,-8.782515302300453E-003,3.178335353732109E-002,-7.887696027755737E-001,-6.041809320449829E-001,
8.286000000000000E+008,-1.116591133177280E-002,1.668132655322552E-002,-8.099977374076843E-001,-5.757519602775574E-001,
8.401500000000000E+008,-2.344318106770515E-002,7.722200360149145E-003,-8.298403620719910E-001,-5.463609099388123E-001,
8.517000000000000E+008,-3.891359642148018E-002,9.892879985272884E-003,-8.484256863594055E-001,-5.164662003517151E-001,
8.632500000000000E+008,-4.953141510486603E-002,2.234746702015400E-002,-8.650923967361450E-001,-4.862567782402039E-001,
8.748000000000000E+008,-4.965818673372269E-002,3.921730071306229E-002,-8.811283111572266E-001,-4.554616212844849E-001,
8.863500000000000E+008,-3.916503861546516E-002,5.271280556917191E-002,-8.965758681297302E-001,-4.248825907707214E-001,
8.979000000000000E+008,-2.298921346664429E-002,5.660596489906311E-002,-9.112544059753418E-001,-3.938679695129395E-001,
9.094500000000000E+008,-8.810218423604965E-003,4.975686967372894E-002,-9.251288771629334E-001,-3.621365725994110E-001,
9.210000000000000E+008,-3.149030031636357E-003,3.598568215966225E-002,-9.377415180206299E-001,-3.286443650722504E-001,
9.325500000000000E+008,-8.433521725237370E-003,2.290370687842369E-002,-9.495028853416443E-001,-2.956263124942780E-001,
9.441000000000000E+008,-2.135157957673073E-002,1.758820004761219E-002,-9.592331647872925E-001,-2.611616551876068E-001,
9.556500000000000E+008,-3.475807234644890E-002,2.308746241033077E-002,-9.666910171508789E-001,-2.267656624317169E-001,
9.672000000000000E+008,-4.111922532320023E-002,3.707652539014816E-002,-9.733564853668213E-001,-1.920735388994217E-001,
9.787500000000000E+008,-3.650335595011711E-002,5.252014845609665E-002,-9.791012406349182E-001,-1.583309620618820E-001,
9.903000000000000E+008,-2.249851450324059E-002,6.145630031824112E-002,-9.840898513793945E-001,-1.246835067868233E-001,
1.001850000000000E+009,-6.156515795737505E-003,5.913899838924408E-002,-9.887428879737854E-001,-9.040136635303497E-002,
1.013400000000000E+009,4.107449669390917E-003,4.664556682109833E-002,-9.921683669090271E-001,-5.555208027362824E-002,
1.024950000000000E+009,2.608825219795108E-003,3.081789985299110E-002,-9.939124584197998E-001,-2.014046721160412E-002,
1.036500000000000E+009,-1.008294057101011E-002,2.099507488310337E-002,-9.940646886825562E-001,1.581996306777000E-002,
1.048050000000000E+009,-2.688200585544109E-002,2.372651174664497E-002,-9.920268058776856E-001,5.133389309048653E-002,
1.059600000000000E+009,-3.760716319084168E-002,3.871376067399979E-002,-9.884004592895508E-001,8.616122603416443E-002,
1.071150000000000E+009,-3.492031618952751E-002,5.866639316082001E-002,-9.841732382774353E-001,1.203933060169220E-001,
1.082700000000000E+009,-1.884486526250839E-002,7.258974015712738E-002,-9.789934754371643E-001,1.541350036859512E-001,
1.094250000000000E+009,3.156539518386126E-003,7.219885289669037E-002,-9.741617441177368E-001,1.870229244232178E-001,
1.105800000000000E+009,1.939005218446255E-002,5.677478015422821E-002,-9.679383635520935E-001,2.210326492786408E-001,
1.117350000000000E+009,2.036623843014240E-002,3.426864370703697E-002,-9.616765379905701E-001,2.560134530067444E-001,
1.128900000000000E+009,4.730280954390764E-003,1.741427928209305E-002,-9.516304731369019E-001,2.909169793128967E-001,
1.140450000000000E+009,-1.903281919658184E-002,1.701820455491543E-002,-9.393712282180786E-001,3.256593644618988E-001,
1.152000000000000E+009,-3.709023818373680E-002,3.468377888202667E-002,-9.265350699424744E-001,3.580689728260040E-001,
1.163550000000000E+009,-3.783226013183594E-002,6.170703470706940E-002,-9.117785096168518E-001,3.892799913883209E-001,
1.175100000000000E+009,-1.924004405736923E-002,8.325260877609253E-002,-8.970757126808167E-001,4.192744791507721E-001,
1.186650000000000E+009,9.748811833560467E-003,8.714557439088821E-002,-8.830669522285461E-001,4.491923749446869E-001,
1.198200000000000E+009,3.406659141182900E-002,7.043267041444778E-002,-8.683562278747559E-001,4.795466661453247E-001,
1.209750000000000E+009,4.016050323843956E-002,4.180213809013367E-002,-8.527037501335144E-001,5.105950236320496E-001,
1.221300000000000E+009,2.464745379984379E-002,1.734941639006138E-002,-8.348552584648132E-001,5.417947173118591E-001,
1.232850000000000E+009,-3.499305807054043E-003,1.133055612444878E-002,-8.146963119506836E-001,5.721856951713562E-001,
1.244400000000000E+009,-2.746924385428429E-002,2.750348486006260E-002,-7.922291755676270E-001,6.014242172241211E-001,
1.255950000000000E+009,-3.275864943861961E-002,5.629876255989075E-002,-7.688453197479248E-001,6.275759339332581E-001,
1.267500000000000E+009,-1.592198014259338E-002,8.081533014774323E-002,-7.458988428115845E-001,6.524377465248108E-001,
1.279050000000000E+009,1.327821426093578E-002,8.650788664817810E-002,-7.238070368766785E-001,6.767026782035828E-001,
1.290600000000000E+009,3.753197193145752E-002,6.994923204183579E-002,-7.013385295867920E-001,7.008869051933289E-001,
1.302150000000000E+009,4.206499829888344E-002,4.097075387835503E-002,-6.776309013366699E-001,7.264302372932434E-001,
1.313700000000000E+009,2.338897250592709E-002,1.767609454691410E-002,-6.520231962203980E-001,7.523700594902039E-001,
1.325250000000000E+009,-7.779638748615980E-003,1.582559011876583E-002,-6.238113641738892E-001,7.764812707901001E-001,
1.336800000000000E+009,-3.212245926260948E-002,3.854466974735260E-002,-5.929902195930481E-001,7.985290884971619E-001,
1.348350000000000E+009,-3.358146920800209E-002,7.416176795959473E-002,-5.626686215400696E-001,8.173666000366211E-001,
1.359900000000000E+009,-9.238767437636852E-003,1.028721407055855E-001,-5.327211618423462E-001,8.337922096252441E-001,
1.371450000000000E+009,2.895499020814896E-002,1.085612177848816E-001,-5.050469636917114E-001,8.499353528022766E-001,
1.383000000000000E+009,6.124242767691612E-002,8.781088143587112E-002,-4.777132570743561E-001,8.665708899497986E-001,
1.394550000000000E+009,7.074750214815140E-002,5.150019004940987E-002,-4.495941400527954E-001,8.847239613533020E-001,
1.406100000000000E+009,5.280335992574692E-002,1.972218975424767E-002,-4.187209606170654E-001,9.023260474205017E-001,
1.417650000000000E+009,1.851791888475418E-002,1.018907316029072E-002,-3.851832449436188E-001,9.188403487205505E-001,
1.429200000000000E+009,-1.180530339479446E-002,2.777707949280739E-002,-3.496857881546021E-001,9.325948357582092E-001,
1.440750000000000E+009,-2.059027925133705E-002,6.180329248309135E-002,-3.142438232898712E-001,9.427416324615479E-001,
1.452300000000000E+009,-3.094090148806572E-003,9.249239414930344E-002,-2.802747488021851E-001,9.506794810295105E-001,
1.463850000000000E+009,3.033703379333019E-002,1.033285036683083E-001,-2.478072196245194E-001,9.581850171089172E-001,
1.475400000000000E+009,6.119911372661591E-002,8.976958692073822E-002,-2.159183919429779E-001,9.656907320022583E-001,
1.486950000000000E+009,7.363828271627426E-002,6.131685152649880E-002,-1.841108798980713E-001,9.737518429756165E-001,
1.498500000000000E+009,6.297237426042557E-002,3.517628833651543E-002,-1.502217054367065E-001,9.814988970756531E-001,
1.510050000000000E+009,3.821224346756935E-002,2.657097205519676E-002,-1.143550798296928E-001,9.882075190544128E-001,
1.521600000000000E+009,1.653292030096054E-002,3.965812548995018E-002,-7.755863666534424E-002,9.919483065605164E-001,
1.533150000000000E+009,1.243201177567244E-002,6.500303000211716E-002,-4.043736308813095E-002,9.930398464202881E-001,
1.544700000000000E+009,2.933921478688717E-002,8.615346252918243E-002,-5.979147739708424E-003,9.914039969444275E-001,
1.556250000000000E+009,5.752515792846680E-002,8.970595151185989E-002,2.776434645056725E-002,9.893765449523926E-001,
1.567800000000000E+009,8.140525221824646E-002,7.323756068944931E-002,6.051358953118324E-002,9.879139661788940E-001,
1.579350000000000E+009,8.807719498872757E-002,4.571720585227013E-002,9.354402869939804E-002,9.861568808555603E-001,
1.590900000000000E+009,7.470504939556122E-002,2.247279882431030E-002,1.282405406236649E-001,9.848836064338684E-001,
1.602450000000000E+009,4.978837072849274E-002,1.624112017452717E-002,1.641288250684738E-001,9.813590049743652E-001,
1.614000000000000E+009,2.863392978906632E-002,2.972771041095257E-002,2.010502219200134E-001,9.752571582794190E-001,
1.625550000000000E+009,2.375697530806065E-002,5.436513200402260E-002,2.366066128015518E-001,9.661886692047119E-001,
1.637100000000000E+009,3.815453872084618E-002,7.560022175312042E-002,2.706307768821716E-001,9.545964002609253E-001,
1.648650000000000E+009,6.381216645240784E-002,8.155529201030731E-002,3.027195036411285E-001,9.427624344825745E-001,
1.660200000000000E+009,8.722628653049469E-002,6.948840618133545E-002,3.334733843803406E-001,9.316526651382446E-001,
1.671750000000000E+009,9.721846133470535E-002,4.630966857075691E-002,3.644469976425171E-001,9.203190207481384E-001,
1.683300000000000E+009,8.997175842523575E-002,2.443118020892143E-002,3.962050080299377E-001,9.088088274002075E-001,
1.694850000000000E+009,7.137624174356461E-002,1.487543713301420E-002,4.288817048072815E-001,8.960258960723877E-001,
1.706400000000000E+009,5.279622972011566E-002,2.172369137406349E-002,4.618802964687347E-001,8.806540369987488E-001,
1.717950000000000E+009,4.519454389810562E-002,3.987658396363258E-002,4.944329559803009E-001,8.632555007934570E-001,
1.729500000000000E+009,5.303391814231873E-002,5.875156447291374E-002,5.250070095062256E-001,8.429335355758667E-001,
1.741050000000000E+009,7.255326956510544E-002,6.783135235309601E-002,5.533831119537354E-001,8.224948048591614E-001,
