% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.305909156799316E-002,5.564075335860252E-002,-5.145857334136963E-001,-8.450856208801270E-001,
7.015500000000000E+008,-4.471009224653244E-002,6.224241107702255E-002,-5.448060035705566E-001,-8.237712383270264E-001,
7.131000000000000E+008,-2.850694954395294E-002,5.599802732467651E-002,-5.736255645751953E-001,-8.079479932785034E-001,
7.246500000000000E+008,-2.238088659942150E-002,4.215925559401512E-002,-6.028918027877808E-001,-7.874509692192078E-001,
7.362000000000000E+008,-2.861550636589527E-002,2.986837178468704E-002,-6.310940384864807E-001,-7.651353478431702E-001,
7.477500000000000E+008,-4.241456463932991E-002,2.708471007645130E-002,-6.578997969627380E-001,-7.414205670356751E-001,
7.593000000000000E+008,-5.491292476654053E-002,3.618129715323448E-002,-6.835146546363831E-001,-7.158485651016235E-001,
7.708500000000000E+008,-5.837291479110718E-002,5.288174375891686E-002,-7.073405981063843E-001,-6.917271614074707E-001,
7.824000000000000E+008,-5.008763819932938E-002,6.885284185409546E-002,-7.306327819824219E-001,-6.668005585670471E-001,
7.939500000000000E+008,-3.371940553188324E-002,7.638141512870789E-002,-7.529180645942688E-001,-6.411664485931397E-001,
8.055000000000000E+008,-1.718212850391865E-002,7.232105731964111E-002,-7.759984731674194E-001,-6.151151657104492E-001,
8.170500000000000E+008,-8.255359716713429E-003,5.978617072105408E-002,-7.980600595474243E-001,-5.875141024589539E-001,
8.286000000000000E+008,-1.069344580173492E-002,4.610522463917732E-002,-8.192229866981506E-001,-5.586418509483337E-001,
8.401500000000000E+008,-2.220386266708374E-002,3.916583955287933E-002,-8.389160633087158E-001,-5.286033749580383E-001,
8.517000000000000E+008,-3.586725890636444E-002,4.321970418095589E-002,-8.572892546653748E-001,-4.977351725101471E-001,
8.632500000000000E+008,-4.388753324747086E-002,5.667461827397347E-002,-8.734171390533447E-001,-4.665156900882721E-001,
8.748000000000000E+008,-4.134138301014900E-002,7.339391857385635E-002,-8.885084390640259E-001,-4.351576268672943E-001,
8.863500000000000E+008,-2.879007905721664E-002,8.589096367359161E-002,-9.028610587120056E-001,-4.042984843254089E-001,
8.979000000000000E+008,-1.148760877549648E-002,8.863046765327454E-002,-9.167633652687073E-001,-3.732765018939972E-001,
9.094500000000000E+008,3.082650247961283E-003,8.118461072444916E-002,-9.299424290657044E-001,-3.414288759231567E-001,
9.210000000000000E+008,8.967565372586250E-003,6.777920573949814E-002,-9.420943856239319E-001,-3.077237010002136E-001,
9.325500000000000E+008,4.385827574878931E-003,5.594597011804581E-002,-9.536597132682800E-001,-2.742285430431366E-001,
9.441000000000000E+008,-6.914650555700064E-003,5.218332260847092E-002,-9.631640911102295E-001,-2.389083802700043E-001,
9.556500000000000E+008,-1.780767366290093E-002,5.876667425036430E-002,-9.700527191162109E-001,-2.036791294813156E-001,
9.672000000000000E+008,-2.120633982121944E-002,7.284500449895859E-002,-9.756329655647278E-001,-1.681130528450012E-001,
9.787500000000000E+008,-1.392377633601427E-002,8.726117014884949E-002,-9.799916744232178E-001,-1.338221728801727E-001,
9.903000000000000E+008,1.876506255939603E-003,9.452450275421143E-002,-9.836310148239136E-001,-1.000757440924645E-001,
1.001850000000000E+009,1.896095462143421E-002,9.068936109542847E-002,-9.871280789375305E-001,-6.600725650787354E-002,
1.013400000000000E+009,2.939571999013424E-002,7.757735252380371E-002,-9.898645877838135E-001,-3.133755549788475E-002,
1.024950000000000E+009,2.822011150419712E-002,6.216848641633987E-002,-9.911381602287293E-001,3.922659438103437E-003,
1.036500000000000E+009,1.674499921500683E-002,5.346827954053879E-002,-9.906861186027527E-001,4.008170962333679E-002,
1.048050000000000E+009,2.354630036279559E-003,5.722735822200775E-002,-9.880450367927551E-001,7.613814622163773E-002,
1.059600000000000E+009,-5.018871277570725E-003,7.227589935064316E-002,-9.832388758659363E-001,1.118501946330071E-001,
1.071150000000000E+009,1.124565955251455E-003,9.081913530826569E-002,-9.775032997131348E-001,1.467552930116653E-001,
1.082700000000000E+009,1.979463919997215E-002,1.021615117788315E-001,-9.705929160118103E-001,1.804227977991104E-001,
1.094250000000000E+009,4.288915172219276E-002,9.895592182874680E-002,-9.643433094024658E-001,2.124210447072983E-001,
1.105800000000000E+009,5.899659171700478E-002,8.165229856967926E-002,-9.573428034782410E-001,2.452956736087799E-001,
1.117350000000000E+009,5.964109301567078E-002,5.878811702132225E-002,-9.509298801422119E-001,2.798244357109070E-001,
1.128900000000000E+009,4.447355493903160E-002,4.284243285655975E-002,-9.408438801765442E-001,3.148447275161743E-001,
1.140450000000000E+009,2.265098318457604E-002,4.369997605681419E-002,-9.281700253486633E-001,3.503054678440094E-001,
1.152000000000000E+009,8.036787621676922E-003,6.173001229763031E-002,-9.141002297401428E-001,3.836218416690826E-001,
1.163550000000000E+009,1.135855540633202E-002,8.719011396169663E-002,-8.973771333694458E-001,4.152995347976685E-001,
1.175100000000000E+009,3.319604694843292E-002,1.052369996905327E-001,-8.803985714912415E-001,4.448544681072235E-001,
1.186650000000000E+009,6.354789435863495E-002,1.047705113887787E-001,-8.645170927047730E-001,4.733850061893463E-001,
1.198200000000000E+009,8.732958137989044E-002,8.451706916093826E-002,-8.488734960556030E-001,5.019596219062805E-001,
1.209750000000000E+009,9.218473732471466E-002,5.431941524147987E-002,-8.332131505012512E-001,5.315912961959839E-001,
1.221300000000000E+009,7.621067762374878E-002,3.018721751868725E-002,-8.159641027450562E-001,5.622797012329102E-001,
1.232850000000000E+009,4.940069839358330E-002,2.530531585216522E-002,-7.959800362586975E-001,5.932295322418213E-001,
1.244400000000000E+009,2.863908559083939E-002,4.197199270129204E-002,-7.725309729576111E-001,6.234880089759827E-001,
1.255950000000000E+009,2.750853821635246E-002,6.926222145557404E-002,-7.471534013748169E-001,6.501654386520386E-001,
1.267500000000000E+009,4.778691008687019E-002,8.990479260683060E-002,-7.218250036239624E-001,6.742689013481140E-001,
1.279050000000000E+009,7.819937169551849E-002,9.047424793243408E-002,-6.979739665985107E-001,6.965861916542053E-001,
1.290600000000000E+009,1.013104170560837E-001,6.950804591178894E-002,-6.748128533363342E-001,7.183987498283386E-001,
1.302150000000000E+009,1.037307456135750E-001,3.827359899878502E-002,-6.516162157058716E-001,7.420564293861389E-001,
1.313700000000000E+009,8.382711559534073E-002,1.490223407745361E-002,-6.271083354949951E-001,7.673242688179016E-001,
1.325250000000000E+009,5.357126146554947E-002,1.395938266068697E-002,-5.992636084556580E-001,7.922102212905884E-001,
1.336800000000000E+009,3.239840641617775E-002,3.688491508364677E-002,-5.673249363899231E-001,8.154229521751404E-001,
1.348350000000000E+009,3.539885953068733E-002,7.043799012899399E-002,-5.345827937126160E-001,8.347346186637878E-001,
1.359900000000000E+009,6.341014802455902E-002,9.414925426244736E-002,-5.016561746597290E-001,8.500921130180359E-001,
1.371450000000000E+009,1.025083512067795E-001,9.317274391651154E-002,-4.718005359172821E-001,8.634957075119019E-001,
1.383000000000000E+009,1.325968205928803E-001,6.657272577285767E-002,-4.438184499740601E-001,8.767494559288025E-001,
1.394550000000000E+009,1.384393572807312E-001,2.706902846693993E-002,-4.166441857814789E-001,8.922418951988220E-001,
1.406100000000000E+009,1.177238076925278E-001,-5.120243877172470E-003,-3.876216411590576E-001,9.086841940879822E-001,
1.417650000000000E+009,8.306539058685303E-002,-1.372811011970043E-002,-3.552866280078888E-001,9.257750511169434E-001,
1.429200000000000E+009,5.489657074213028E-002,4.326617345213890E-003,-3.195217847824097E-001,9.408591389656067E-001,
1.440750000000000E+009,4.982957988977432E-002,3.674733266234398E-002,-2.821626663208008E-001,9.516777992248535E-001,
1.452300000000000E+009,7.068896293640137E-002,6.294891238212585E-002,-2.455472350120544E-001,9.586811065673828E-001,
1.463850000000000E+009,1.049734055995941E-001,6.725942343473434E-002,-2.110725641250610E-001,9.636287689208984E-001,
1.475400000000000E+009,1.334589272737503E-001,4.743913933634758E-002,-1.787614226341248E-001,9.676648974418640E-001,
1.486950000000000E+009,1.416830271482468E-001,1.500220783054829E-002,-1.480477154254913E-001,9.728416204452515E-001,
1.498500000000000E+009,1.272427886724472E-001,-1.242250390350819E-002,-1.160589680075645E-001,9.792401194572449E-001,
1.510050000000000E+009,1.008541807532311E-001,-2.084225043654442E-002,-8.154937624931335E-002,9.859575629234314E-001,
