% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.349028944969177E-001,2.319171726703644E-001,-6.051892638206482E-001,-6.702787876129150E-001,
7.015500000000000E+008,-1.131015792489052E-001,2.367807179689407E-001,-6.306351423263550E-001,-6.460376977920532E-001,
7.131000000000000E+008,-9.730810672044754E-002,2.324284315109253E-001,-6.570706367492676E-001,-6.261554360389710E-001,
7.246500000000000E+008,-9.142455458641052E-002,2.258222848176956E-001,-6.826301813125610E-001,-5.988920927047730E-001,
7.362000000000000E+008,-9.404034167528153E-002,2.244872450828552E-001,-7.051692008972168E-001,-5.688995122909546E-001,
7.477500000000000E+008,-9.832956641912460E-002,2.327210009098053E-001,-7.234774231910706E-001,-5.378500223159790E-001,
7.593000000000000E+008,-9.715086966753006E-002,2.486828565597534E-001,-7.388086318969727E-001,-5.069714188575745E-001,
7.708500000000000E+008,-8.620164543390274E-002,2.664624154567719E-001,-7.529234290122986E-001,-4.803808331489563E-001,
7.824000000000000E+008,-6.692472100257874E-002,2.792473137378693E-001,-7.675472497940064E-001,-4.542563855648041E-001,
7.939500000000000E+008,-4.463527724146843E-002,2.827497422695160E-001,-7.832650542259216E-001,-4.277822971343994E-001,
8.055000000000000E+008,-2.618561498820782E-002,2.776809334754944E-001,-8.011062145233154E-001,-3.994621634483337E-001,
8.170500000000000E+008,-1.613124646246433E-002,2.690214514732361E-001,-8.176608085632324E-001,-3.679263889789581E-001,
8.286000000000000E+008,-1.461067330092192E-002,2.636615931987763E-001,-8.319579362869263E-001,-3.336839079856873E-001,
8.401500000000000E+008,-1.665442995727062E-002,2.661336362361908E-001,-8.421475887298584E-001,-2.982713580131531E-001,
8.517000000000000E+008,-1.587537489831448E-002,2.766853272914887E-001,-8.487499356269836E-001,-2.637691795825958E-001,
8.632500000000000E+008,-7.333187852054834E-003,2.909367084503174E-001,-8.529428839683533E-001,-2.316711246967316E-001,
8.748000000000000E+008,9.839440695941448E-003,3.030945658683777E-001,-8.570590019226074E-001,-2.016356736421585E-001,
8.863500000000000E+008,3.221399337053299E-002,3.082398176193237E-001,-8.624498844146729E-001,-1.726769953966141E-001,
8.979000000000000E+008,5.439249798655510E-002,3.047969341278076E-001,-8.692338466644287E-001,-1.434254497289658E-001,
9.094500000000000E+008,7.108927518129349E-002,2.952028810977936E-001,-8.759817481040955E-001,-1.115890443325043E-001,
9.210000000000000E+008,7.988456636667252E-002,2.843262553215027E-001,-8.809677958488464E-001,-7.655205577611923E-002,
9.325500000000000E+008,8.212781697511673E-002,2.783312797546387E-001,-8.836409449577332E-001,-4.075224325060844E-002,
9.441000000000000E+008,8.302608132362366E-002,2.798474133014679E-001,-8.820269703865051E-001,-4.226266872137785E-003,
9.556500000000000E+008,8.834826946258545E-002,2.872691452503204E-001,-8.765051960945129E-001,3.024901635944843E-002,
9.672000000000000E+008,1.012602299451828E-001,2.962578237056732E-001,-8.698512911796570E-001,6.219845637679100E-002,
9.787500000000000E+008,1.210513934493065E-001,3.007526993751526E-001,-8.637753129005432E-001,9.144125878810883E-002,
9.903000000000000E+008,1.437376737594605E-001,2.972269356250763E-001,-8.595058917999268E-001,1.195917949080467E-001,
1.001850000000000E+009,1.629670560359955E-001,2.857525646686554E-001,-8.565126061439514E-001,1.494173854589462E-001,
1.013400000000000E+009,1.746454238891602E-001,2.706349194049835E-001,-8.528034687042236E-001,1.817725598812103E-001,
1.024950000000000E+009,1.777595877647400E-001,2.578541934490204E-001,-8.464307785034180E-001,2.162696570158005E-001,
1.036500000000000E+009,1.766692847013474E-001,2.530675530433655E-001,-8.355832695960999E-001,2.513936758041382E-001,
1.048050000000000E+009,1.785468906164169E-001,2.570159733295441E-001,-8.204699754714966E-001,2.842776477336884E-001,
1.059600000000000E+009,1.891766190528870E-001,2.647547721862793E-001,-8.033227324485779E-001,3.132338225841522E-001,
1.071150000000000E+009,2.094425261020660E-001,2.688655257225037E-001,-7.871531844139099E-001,3.389214575290680E-001,
1.082700000000000E+009,2.343985587358475E-001,2.632395625114441E-001,-7.731449604034424E-001,3.624674975872040E-001,
1.094250000000000E+009,2.563334107398987E-001,2.465509027242661E-001,-7.626020908355713E-001,3.864267468452454E-001,
1.105800000000000E+009,2.685674130916596E-001,2.234905213117600E-001,-7.523597478866577E-001,4.138885140419006E-001,
1.117350000000000E+009,2.689264714717865E-001,2.024299353361130E-001,-7.404438853263855E-001,4.460216462612152E-001,
1.128900000000000E+009,2.615818977355957E-001,1.914231777191162E-001,-7.215402722358704E-001,4.789506793022156E-001,
1.140450000000000E+009,2.564281523227692E-001,1.935662329196930E-001,-6.965816617012024E-001,5.094015598297119E-001,
1.152000000000000E+009,2.624677717685700E-001,2.030750960111618E-001,-6.697191596031189E-001,5.336475968360901E-001,
1.163550000000000E+009,2.821841835975647E-001,2.091787755489349E-001,-6.431615352630615E-001,5.516680479049683E-001,
1.175100000000000E+009,3.095595538616180E-001,2.031495124101639E-001,-6.212050318717957E-001,5.665053129196167E-001,
1.186650000000000E+009,3.344664573669434E-001,1.824223399162293E-001,-6.044312715530396E-001,5.825974941253662E-001,
1.198200000000000E+009,3.477451205253601E-001,1.520594954490662E-001,-5.895173549652100E-001,6.026825308799744E-001,
1.209750000000000E+009,3.455545902252197E-001,1.224921122193337E-001,-5.727935433387756E-001,6.281754970550537E-001,
1.221300000000000E+009,3.324549496173859E-001,1.045499518513680E-001,-5.499364733695984E-001,6.564962267875671E-001,
1.232850000000000E+009,3.199432194232941E-001,1.027490273118019E-001,-5.195364356040955E-001,6.822894215583801E-001,
1.244400000000000E+009,3.198606371879578E-001,1.114899963140488E-001,-4.843650162220001E-001,7.014233469963074E-001,
1.255950000000000E+009,3.355307877063751E-001,1.176836192607880E-001,-4.507464468479157E-001,7.121348381042481E-001,
1.267500000000000E+009,3.600891828536987E-001,1.108447611331940E-001,-4.226944148540497E-001,7.187274098396301E-001,
1.279050000000000E+009,3.818198144435883E-001,8.820551633834839E-002,-4.010901451110840E-001,7.265377640724182E-001,
1.290600000000000E+009,3.904725015163422E-001,5.592537298798561E-002,-3.822558224201202E-001,7.386645674705505E-001,
1.302150000000000E+009,3.828197121620178E-001,2.531515620648861E-002,-3.604565560817719E-001,7.573955655097961E-001,
1.313700000000000E+009,3.645880222320557E-001,8.135438896715641E-003,-3.319033384323120E-001,7.789217233657837E-001,
1.325250000000000E+009,3.490883111953735E-001,8.838598616421223E-003,-2.952032089233398E-001,7.966914772987366E-001,
1.336800000000000E+009,3.489372432231903E-001,1.956956088542938E-002,-2.534622550010681E-001,8.054741621017456E-001,
1.348350000000000E+009,3.669430911540985E-001,2.565683610737324E-002,-2.157439738512039E-001,8.048732280731201E-001,
1.359900000000000E+009,3.937766551971436E-001,1.519283000379801E-002,-1.855163723230362E-001,7.995518445968628E-001,
1.371450000000000E+009,4.155332148075104E-001,-1.315932441502810E-002,-1.639176905155182E-001,7.964000701904297E-001,
1.383000000000000E+009,4.218083620071411E-001,-5.178064480423927E-002,-1.458075046539307E-001,7.998647689819336E-001,
1.394550000000000E+009,4.092481732368469E-001,-8.847595006227493E-002,-1.254777759313583E-001,8.111849427223206E-001,
1.406100000000000E+009,3.838176727294922E-001,-1.108772307634354E-001,-9.721330553293228E-002,8.255872130393982E-001,
1.417650000000000E+009,3.593941926956177E-001,-1.139148250222206E-001,-5.944976210594177E-002,8.372406363487244E-001,
1.429200000000000E+009,3.497479557991028E-001,-1.038762331008911E-001,-1.631731167435646E-002,8.394812345504761E-001,
1.440750000000000E+009,3.592801988124847E-001,-9.582625329494476E-002,2.400898374617100E-002,8.310099840164185E-001,
1.452300000000000E+009,3.795965313911438E-001,-1.028392985463142E-001,5.601145327091217E-002,8.172015547752380E-001,
1.463850000000000E+009,3.967475295066834E-001,-1.269294321537018E-001,7.972311228513718E-002,8.051519989967346E-001,
1.475400000000000E+009,3.999809920787811E-001,-1.610126793384552E-001,9.938602149486542E-002,7.986277937889099E-001,
1.486950000000000E+009,3.870629370212555E-001,-1.933877617120743E-001,1.200506165623665E-001,7.987583279609680E-001,
1.498500000000000E+009,3.635039627552033E-001,-2.140896320343018E-001,1.472810208797455E-001,8.018928170204163E-001,
1.510050000000000E+009,3.406707942485809E-001,-2.193375080823898E-001,1.821593642234802E-001,8.023927807807922E-001,
1.521600000000000E+009,3.298439979553223E-001,-2.151000201702118E-001,2.203125804662705E-001,7.948942184448242E-001,
1.533150000000000E+009,3.336701393127441E-001,-2.134422510862351E-001,2.560484111309052E-001,7.788192629814148E-001,
1.544700000000000E+009,3.451227247714996E-001,-2.244102656841278E-001,2.832401990890503E-001,7.584640979766846E-001,
1.556250000000000E+009,3.519788682460785E-001,-2.488870322704315E-001,3.038927912712097E-001,7.402493357658386E-001,
1.567800000000000E+009,3.463009595870972E-001,-2.799611687660217E-001,3.215517699718475E-001,7.280523777008057E-001,
1.579350000000000E+009,3.265454173088074E-001,-3.072879016399384E-001,3.408443629741669E-001,7.208769917488098E-001,
1.590900000000000E+009,2.987654209136963E-001,-3.229411244392395E-001,3.665124177932739E-001,7.165625095367432E-001,
1.602450000000000E+009,2.729937434196472E-001,-3.244737684726715E-001,3.983657062053680E-001,7.088765501976013E-001,
1.614000000000000E+009,2.586061656475067E-001,-3.176207542419434E-001,4.332813918590546E-001,6.933318376541138E-001,
1.625550000000000E+009,2.578677833080292E-001,-3.139480948448181E-001,4.647557437419891E-001,6.695893406867981E-001,
1.637100000000000E+009,2.644238471984863E-001,-3.214306533336639E-001,4.884760379791260E-001,6.415038108825684E-001,
1.648650000000000E+009,2.674074172973633E-001,-3.413882255554199E-001,5.051711797714233E-001,6.155411601066589E-001,
1.660200000000000E+009,2.595432996749878E-001,-3.673956096172333E-001,5.183450579643250E-001,5.954145789146423E-001,
1.671750000000000E+009,2.396597266197205E-001,-3.906508088111877E-001,5.323178768157959E-001,5.799439549446106E-001,
1.683300000000000E+009,2.121405303478241E-001,-4.043744504451752E-001,5.512289404869080E-001,5.673260688781738E-001,
1.694850000000000E+009,1.851001381874085E-001,-4.064586460590363E-001,5.754567980766296E-001,5.526957511901856E-001,
1.706400000000000E+009,1.659877896308899E-001,-4.006113409996033E-001,6.024483442306519E-001,5.319211483001709E-001,
1.717950000000000E+009,1.578451246023178E-001,-3.949662148952484E-001,6.275758147239685E-001,5.047098398208618E-001,
1.729500000000000E+009,1.572053283452988E-001,-3.968973755836487E-001,6.465159654617310E-001,4.723840653896332E-001,
1.741050000000000E+009,1.560814678668976E-001,-4.091804027557373E-001,6.586557030677795E-001,4.412661194801331E-001,
1.752600000000000E+009,1.479283571243286E-001,-4.279042184352875E-001,6.663277149200440E-001,4.136544764041901E-001,
1.764150000000000E+009,1.301487535238266E-001,-4.466771781444550E-001,6.731242537498474E-001,3.906743824481964E-001,
1.775700000000000E+009,1.050478294491768E-001,-4.595748782157898E-001,6.826882362365723E-001,3.713352680206299E-001,
1.787250000000000E+009,7.748977094888687E-002,-4.632718563079834E-001,6.963147521018982E-001,3.522517085075378E-001,
1.798800000000000E+009,5.333130434155464E-002,-4.592647552490234E-001,7.124828100204468E-001,3.294407129287720E-001,
1.810350000000000E+009,3.645600751042366E-002,-4.520581066608429E-001,7.292679548263550E-001,3.021100163459778E-001,
1.821900000000000E+009,2.718309871852398E-002,-4.474371075630188E-001,7.428101301193237E-001,2.703008353710175E-001,
1.833450000000000E+009,2.109751664102078E-002,-4.497841894626617E-001,7.497184872627258E-001,2.366242855787277E-001,
