% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.008061766624451E-001,1.159641966223717E-001,-6.285896897315979E-001,-7.312448024749756E-001,
7.015500000000000E+008,-8.112298697233200E-002,1.193637475371361E-001,-6.560052037239075E-001,-7.049800157546997E-001,
7.131000000000000E+008,-6.732163578271866E-002,1.115683838725090E-001,-6.833571791648865E-001,-6.837856173515320E-001,
7.246500000000000E+008,-6.499443948268890E-002,1.000508740544319E-001,-7.107064127922058E-001,-6.569006443023682E-001,
7.362000000000000E+008,-7.334329932928085E-002,9.395118802785873E-002,-7.360038757324219E-001,-6.276663541793823E-001,
7.477500000000000E+008,-8.518660813570023E-002,9.914302825927734E-002,-7.588118910789490E-001,-5.967801213264465E-001,
7.593000000000000E+008,-9.169777482748032E-002,1.146234199404717E-001,-7.789502143859863E-001,-5.647060871124268E-001,
7.708500000000000E+008,-8.729970455169678E-002,1.338471919298172E-001,-7.971806526184082E-001,-5.352191925048828E-001,
7.824000000000000E+008,-7.252676039934158E-002,1.483101695775986E-001,-8.149232268333435E-001,-5.058505535125732E-001,
7.939500000000000E+008,-5.334571003913879E-002,1.523238271474838E-001,-8.323029279708862E-001,-4.762355089187622E-001,
8.055000000000000E+008,-3.791103139519692E-002,1.457940638065338E-001,-8.512216806411743E-001,-4.458091259002686E-001,
8.170500000000000E+008,-3.207269310951233E-002,1.342266052961350E-001,-8.689444661140442E-001,-4.130461812019348E-001,
8.286000000000000E+008,-3.667658194899559E-002,1.256423145532608E-001,-8.852088451385498E-001,-3.783466815948486E-001,
8.401500000000000E+008,-4.663121700286865E-002,1.263372004032135E-001,-8.988927602767944E-001,-3.421666920185089E-001,
8.517000000000000E+008,-5.424310639500618E-002,1.375687569379807E-001,-9.099178314208984E-001,-3.056967556476593E-001,
8.632500000000000E+008,-5.310183390974999E-002,1.547922044992447E-001,-9.179391264915466E-001,-2.701784074306488E-001,
8.748000000000000E+008,-4.136041551828384E-002,1.708295196294785E-001,-9.248424172401428E-001,-2.355891764163971E-001,
8.863500000000000E+008,-2.256759256124497E-002,1.792401820421219E-001,-9.316518902778626E-001,-2.023263871669769E-001,
8.979000000000000E+008,-3.359410911798477E-003,1.772590577602387E-001,-9.388076663017273E-001,-1.690263152122498E-001,
9.094500000000000E+008,9.618704207241535E-003,1.673896163702011E-001,-9.456673264503479E-001,-1.345390677452087E-001,
9.210000000000000E+008,1.299036480486393E-002,1.555640995502472E-001,-9.512578845024109E-001,-9.760015457868576E-002,
9.325500000000000E+008,8.044007234275341E-003,1.491225808858872E-001,-9.555336236953735E-001,-6.014271825551987E-002,
9.441000000000000E+008,7.685497403144836E-004,1.521985977888107E-001,-9.563891887664795E-001,-2.122636325657368E-002,
9.556500000000000E+008,-1.638064743019640E-003,1.637517958879471E-001,-9.536687731742859E-001,1.657014340162277E-002,
9.672000000000000E+008,5.473636090755463E-003,1.784197688102722E-001,-9.490906596183777E-001,5.333691090345383E-002,
9.787500000000000E+008,2.171997353434563E-002,1.887079030275345E-001,-9.439628720283508E-001,8.768261224031448E-002,
9.903000000000000E+008,4.212968796491623E-002,1.893929839134216E-001,-9.391151070594788E-001,1.207224503159523E-001,
1.001850000000000E+009,5.891612544655800E-002,1.800870746374130E-001,-9.348965883255005E-001,1.544261276721954E-001,
1.013400000000000E+009,6.637439131736755E-002,1.657515615224838E-001,-9.301971197128296E-001,1.893786191940308E-001,
1.024950000000000E+009,6.327769160270691E-002,1.541199088096619E-001,-9.236138463020325E-001,2.257405072450638E-001,
1.036500000000000E+009,5.458865687251091E-002,1.522981822490692E-001,-9.139025807380676E-001,2.630988359451294E-001,
1.048050000000000E+009,4.910246282815933E-002,1.618900746107101E-001,-9.006682634353638E-001,2.993950843811035E-001,
1.059600000000000E+009,5.455724149942398E-002,1.774643212556839E-001,-8.847262263298035E-001,3.335397541522980E-001,
1.071150000000000E+009,7.259628921747208E-002,1.897180080413818E-001,-8.681413531303406E-001,3.652511239051819E-001,
1.082700000000000E+009,9.744419157505035E-002,1.904230266809464E-001,-8.519837856292725E-001,3.945228457450867E-001,
1.094250000000000E+009,1.192973181605339E-001,1.773035824298859E-001,-8.382090330123901E-001,4.225813746452332E-001,
1.105800000000000E+009,1.292890310287476E-001,1.558529287576675E-001,-8.244943022727966E-001,4.525153040885925E-001,
1.117350000000000E+009,1.243985742330551E-001,1.365593075752258E-001,-8.105592131614685E-001,4.857648015022278E-001,
1.128900000000000E+009,1.099023818969727E-001,1.295788735151291E-001,-7.915344834327698E-001,5.195707678794861E-001,
1.140450000000000E+009,9.777181595563889E-002,1.389360725879669E-001,-7.678453922271729E-001,5.528707504272461E-001,
1.152000000000000E+009,9.952832013368607E-002,1.583631485700607E-001,-7.419568300247192E-001,5.820403099060059E-001,
1.163550000000000E+009,1.190260350704193E-001,1.749123483896256E-001,-7.141270637512207E-001,6.067553758621216E-001,
1.175100000000000E+009,1.493107527494431E-001,1.767437011003494E-001,-6.882655024528503E-001,6.277657747268677E-001,
1.186650000000000E+009,1.773134768009186E-001,1.602111905813217E-001,-6.659026741981506E-001,6.482426524162293E-001,
1.198200000000000E+009,1.909669935703278E-001,1.314664036035538E-001,-6.452733278274536E-001,6.702101230621338E-001,
1.209750000000000E+009,1.853134632110596E-001,1.035993024706841E-001,-6.242928504943848E-001,6.954721212387085E-001,
1.221300000000000E+009,1.661531925201416E-001,8.996593952178955E-002,-5.997009873390198E-001,7.230366468429565E-001,
