% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,1.862705219537020E-003,6.354972720146179E-002,3.570616543292999E-001,-9.199316501617432E-001,
2.517500000000000E+009,5.555833876132965E-002,2.241558209061623E-002,3.100439310073853E-001,-9.371786713600159E-001,
2.535000000000000E+009,3.862243518233299E-002,-4.204832762479782E-002,2.605211436748505E-001,-9.526270627975464E-001,
2.552500000000000E+009,-2.612784504890442E-002,-5.072881281375885E-002,2.100323289632797E-001,-9.654624462127686E-001,
2.570000000000000E+009,-5.760149285197258E-002,4.773087799549103E-003,1.588494777679443E-001,-9.746778607368469E-001,
2.587500000000000E+009,-1.876602135598660E-002,5.332363769412041E-002,1.076170206069946E-001,-9.811146855354309E-001,
2.605000000000000E+009,3.882222995162010E-002,3.559841588139534E-002,5.649651959538460E-002,-9.852701425552368E-001,
2.622500000000000E+009,4.217869043350220E-002,-2.281683497130871E-002,4.727771040052176E-003,-9.873610734939575E-001,
2.640000000000000E+009,-1.106831338256598E-002,-4.505287483334541E-002,-4.714116826653481E-002,-9.864544272422791E-001,
2.657500000000000E+009,-5.042287334799767E-002,-1.830238848924637E-003,-9.921734780073166E-002,-9.824553728103638E-001,
2.675000000000000E+009,-2.316264621913433E-002,5.183627083897591E-002,-1.505063623189926E-001,-9.755443930625916E-001,
2.692500000000000E+009,3.864873573184013E-002,4.645200446248055E-002,-2.014286071062088E-001,-9.657130241394043E-001,
2.710000000000000E+009,5.781716480851173E-002,-1.419581379741430E-002,-2.510279417037964E-001,-9.543579220771790E-001,
2.727500000000000E+009,8.551593869924545E-003,-5.591240152716637E-002,-3.008150160312653E-001,-9.402243494987488E-001,
2.745000000000000E+009,-4.984545707702637E-002,-2.571576647460461E-002,-3.501264154911041E-001,-9.229975938796997E-001,
2.762500000000000E+009,-4.423754289746285E-002,4.146548360586166E-002,-3.981447815895081E-001,-9.031130671501160E-001,
2.780000000000000E+009,2.126856707036495E-002,6.358715891838074E-002,-4.448522627353668E-001,-8.805816173553467E-001,
2.797500000000000E+009,6.885502487421036E-002,1.168385241180658E-002,-4.899056553840637E-001,-8.561897873878479E-001,
2.815000000000000E+009,4.052477329969406E-002,-5.378690734505653E-002,-5.337944626808167E-001,-8.295217156410217E-001,
2.832500000000000E+009,-3.106767497956753E-002,-5.432983487844467E-002,-5.768031477928162E-001,-8.008265495300293E-001,
2.850000000000000E+009,-5.994290113449097E-002,1.134191080927849E-002,-6.182803511619568E-001,-7.692636847496033E-001,
2.867500000000000E+009,-1.064186915755272E-002,6.401941180229187E-002,-6.578792929649353E-001,-7.358280420303345E-001,
2.885000000000000E+009,5.741944164037705E-002,3.940600529313088E-002,-6.951278448104858E-001,-6.998116374015808E-001,
2.902500000000000E+009,6.116841733455658E-002,-3.295490518212318E-002,-7.306032180786133E-001,-6.625034809112549E-001,
2.920000000000000E+009,-4.091645125299692E-003,-6.428981572389603E-002,-7.643715739250183E-001,-6.234539151191711E-001,
2.937500000000000E+009,-5.728964507579804E-002,-1.496454235166311E-002,-7.961883544921875E-001,-5.826835632324219E-001,
2.955000000000000E+009,-2.952077426016331E-002,5.384866148233414E-002,-8.256786465644836E-001,-5.400244593620300E-001,
2.972500000000000E+009,4.779555648565292E-002,5.333640053868294E-002,-8.528553843498230E-001,-4.959296584129334E-001,
2.990000000000000E+009,7.820612937211990E-002,-2.152686193585396E-002,-8.773184418678284E-001,-4.503946006298065E-001,
3.007500000000000E+009,1.902013085782528E-002,-8.148856461048126E-002,-8.996708393096924E-001,-4.040219485759735E-001,
3.025000000000000E+009,-6.176402419805527E-002,-5.048780888319016E-002,-9.193461537361145E-001,-3.568915426731110E-001,
3.042500000000000E+009,-6.462121009826660E-002,3.746423125267029E-002,-9.366584420204163E-001,-3.082744479179382E-001,
3.060000000000000E+009,1.767169684171677E-002,7.412412762641907E-002,-9.519872069358826E-001,-2.586961090564728E-001,
3.077500000000000E+009,8.501850068569183E-002,9.654417634010315E-003,-9.641615748405457E-001,-2.079109698534012E-001,
3.095000000000000E+009,5.042809620499611E-002,-8.097843080759049E-002,-9.731068611145020E-001,-1.572592258453369E-001,
3.112500000000000E+009,-4.967248067259789E-002,-8.589216321706772E-002,-9.799731373786926E-001,-1.063609197735786E-001,
3.130000000000000E+009,-9.527595341205597E-002,5.305657628923655E-003,-9.839568734169006E-001,-5.515798926353455E-002,
3.147500000000000E+009,-2.891347743570805E-002,8.410011231899262E-002,-9.857255220413208E-001,-3.986841998994350E-003,
3.165000000000000E+009,7.013890892267227E-002,5.326675623655319E-002,-9.849739074707031E-001,4.794114083051682E-002,
3.182500000000000E+009,7.919625937938690E-002,-5.146475881338120E-002,-9.812328815460205E-001,1.000802889466286E-001,
3.200000000000000E+009,-1.566747203469276E-002,-1.013759672641754E-001,-9.741364121437073E-001,1.512096524238586E-001,
3.217500000000000E+009,-1.001311764121056E-001,-3.308415785431862E-002,-9.644147157669067E-001,2.016641050577164E-001,
3.235000000000000E+009,-7.089298218488693E-002,7.088234275579453E-002,-9.526968598365784E-001,2.513298392295837E-001,
3.252500000000000E+009,3.508178517222405E-002,8.345266431570053E-002,-9.391577839851379E-001,3.008899986743927E-001,
3.270000000000000E+009,8.530954271554947E-002,-9.709647856652737E-003,-9.222173690795898E-001,3.504964709281921E-001,
3.287500000000000E+009,1.576073281466961E-002,-9.008142352104187E-002,-9.020434021949768E-001,3.984459638595581E-001,
3.305000000000000E+009,-8.615948259830475E-002,-5.331487953662872E-002,-8.793001770973206E-001,4.447925984859467E-001,
3.322500000000000E+009,-9.063824266195297E-002,5.732458457350731E-002,-8.547350168228149E-001,4.892030954360962E-001,
3.340000000000000E+009,1.103688497096300E-002,1.050281077623367E-001,-8.287073373794556E-001,5.326327681541443E-001,
3.357500000000000E+009,9.470949321985245E-002,2.945921756327152E-002,-8.001655340194702E-001,5.760582685470581E-001,
3.375000000000000E+009,5.638559907674789E-002,-7.665502279996872E-002,-7.684308886528015E-001,6.181928515434265E-001,
3.392500000000000E+009,-5.664820224046707E-002,-8.019515126943588E-002,-7.341892123222351E-001,6.574494242668152E-001,
3.410000000000000E+009,-1.019607707858086E-001,2.429010160267353E-002,-6.983336806297302E-001,6.937776803970337E-001,
3.427500000000000E+009,-2.085191570222378E-002,1.064917296171188E-001,-6.621686816215515E-001,7.284777164459229E-001,
3.445000000000000E+009,8.787180483341217E-002,6.246415898203850E-002,-6.243129968643189E-001,7.623943090438843E-001,
3.462500000000000E+009,8.949084579944611E-002,-5.615332350134850E-002,-5.837696790695190E-001,7.952116131782532E-001,
3.480000000000000E+009,-2.019986696541309E-002,-1.042048856616020E-001,-5.400637388229370E-001,8.251245617866516E-001,
3.497500000000000E+009,-1.074649319052696E-001,-2.181622944772244E-002,-4.955586194992065E-001,8.515372276306152E-001,
3.515000000000000E+009,-6.548666208982468E-002,8.982418477535248E-002,-4.506741464138031E-001,8.750938773155212E-001,
3.532500000000000E+009,5.326068028807640E-002,9.421621263027191E-002,-4.057235121726990E-001,8.970257043838501E-001,
3.550000000000000E+009,1.024671047925949E-001,-1.386805344372988E-002,-3.588894307613373E-001,9.181649088859558E-001,
3.567500000000000E+009,2.017205581068993E-002,-1.006620973348618E-001,-3.096349835395813E-001,9.364286065101624E-001,
3.585000000000000E+009,-9.307596832513809E-002,-5.744548514485359E-002,-2.587027251720429E-001,9.508958458900452E-001,
3.602500000000000E+009,-9.830866754055023E-002,6.495390832424164E-002,-2.081995755434036E-001,9.617814421653748E-001,
3.620000000000000E+009,1.205560192465782E-002,1.190615072846413E-001,-1.587443947792053E-001,9.703373908996582E-001,
3.637500000000000E+009,1.056942641735077E-001,4.004009440541267E-002,-1.091911047697067E-001,9.778737425804138E-001,
3.655000000000000E+009,7.035868614912033E-002,-7.620291411876679E-002,-5.745596438646317E-002,9.836740493774414E-001,
3.672500000000000E+009,-5.019441619515419E-002,-8.803064376115799E-002,-4.172030370682478E-003,9.853500127792358E-001,
3.690000000000000E+009,-1.084287166595459E-001,1.911434717476368E-002,4.812032729387283E-002,9.832348823547363E-001,
3.707500000000000E+009,-3.290425613522530E-002,1.160434111952782E-001,9.916144609451294E-002,9.780380129814148E-001,
3.725000000000000E+009,8.667017519474030E-002,8.675803989171982E-002,1.487861871719360E-001,9.712851643562317E-001,
3.742500000000000E+009,1.088419333100319E-001,-3.296639025211334E-002,1.989119797945023E-001,9.633192420005798E-001,
3.760000000000000E+009,9.609268978238106E-003,-9.972694516181946E-002,2.497639209032059E-001,9.527930617332459E-001,
3.777500000000000E+009,-8.877599984407425E-002,-3.470535576343536E-002,3.002545833587647E-001,9.377620220184326E-001,
3.795000000000000E+009,-6.589028239250183E-002,8.047391474246979E-002,3.488540649414063E-001,9.194619059562683E-001,
3.812500000000000E+009,5.015517026185989E-002,1.036153212189674E-001,3.955166935920715E-001,8.993166685104370E-001,
3.830000000000000E+009,1.182444244623184E-001,5.368316080421209E-003,4.409750998020172E-001,8.783757686614990E-001,
3.847500000000000E+009,5.558384954929352E-002,-9.636680781841278E-002,4.862570166587830E-001,8.549760580062866E-001,
3.865000000000000E+009,-6.262651085853577E-002,-7.894439995288849E-002,5.313817858695984E-001,8.287380337715149E-001,
3.882500000000000E+009,-9.261481463909149E-002,3.665042296051979E-002,5.745323896408081E-001,7.989314794540405E-001,
3.900000000000000E+009,2.904623746871948E-003,1.092192307114601E-001,6.151233911514282E-001,7.668033838272095E-001,
3.917500000000000E+009,1.080314368009567E-001,4.867352172732353E-002,6.535381674766541E-001,7.338362336158752E-001,
3.935000000000000E+009,9.377095848321915E-002,-7.312174886465073E-002,6.906467676162720E-001,6.997274160385132E-001,
3.952500000000000E+009,-2.408488094806671E-002,-1.086876988410950E-001,7.269992828369141E-001,6.632777452468872E-001,
3.970000000000000E+009,-1.031666547060013E-001,-1.374859083443880E-002,7.619283795356751E-001,6.242032051086426E-001,
3.987500000000000E+009,-4.589533805847168E-002,9.705027192831039E-002,7.933692336082459E-001,5.824972987174988E-001,
4.005000000000000E+009,8.033208549022675E-002,8.761406689882278E-002,8.222594261169434E-001,5.393846631050110E-001,
4.022500000000000E+009,1.222197934985161E-001,-3.382251784205437E-002,8.484312891960144E-001,4.962717294692993E-001,
4.040000000000000E+009,2.714025974273682E-002,-1.229585558176041E-001,8.732392787933350E-001,4.520760178565979E-001,
4.057500000000000E+009,-9.338298439979553E-002,-7.263375818729401E-002,8.964478373527527E-001,4.060652554035187E-001,
4.075000000000000E+009,-9.590355306863785E-002,5.751067772507668E-002,9.171046614646912E-001,3.581304550170898E-001,
4.092500000000000E+009,2.190622873604298E-002,1.117874607443810E-001,9.343892335891724E-001,3.089512884616852E-001,
4.110000000000000E+009,1.178803443908691E-001,2.583293244242668E-002,9.484868049621582E-001,2.594118416309357E-001,
4.127500000000000E+009,7.709968835115433E-002,-9.574729949235916E-002,9.606231451034546E-001,2.099255174398422E-001,
4.145000000000000E+009,-4.973082616925240E-002,-1.061540767550468E-001,9.704470634460449E-001,1.597252488136292E-001,
4.162500000000000E+009,-1.075766831636429E-001,5.600082222372294E-003,9.779818058013916E-001,1.087352931499481E-001,
4.180000000000000E+009,-2.557195164263248E-002,1.009884104132652E-001,9.827281236648560E-001,5.728791281580925E-002,
4.197500000000000E+009,9.532843530178070E-002,6.013479456305504E-002,9.842826128005981E-001,4.959929734468460E-003,
4.215000000000000E+009,1.045122668147087E-001,-7.086568325757980E-002,9.828228354454041E-001,-4.667522013187408E-002,
4.232500000000000E+009,-1.481050532311201E-002,-1.344747245311737E-001,9.785991907119751E-001,-9.747076034545898E-002,
4.250000000000000E+009,-1.240041404962540E-001,-5.189462751150131E-002,9.723210334777832E-001,-1.479597687721252E-001,
4.267500000000000E+009,-9.472815692424774E-002,8.187206834554672E-002,9.639366269111633E-001,-1.984742134809494E-001,
4.285000000000000E+009,3.813077136874199E-002,1.101320162415505E-001,9.525070190429688E-001,-2.489213794469833E-001,
4.302500000000000E+009,1.162425428628922E-001,4.725279868580401E-004,9.381922483444214E-001,-2.992039918899536E-001,
4.320000000000000E+009,4.571328312158585E-002,-1.151194125413895E-001,9.207527637481690E-001,-3.482832312583923E-001,
4.337500000000000E+009,-8.955684304237366E-002,-9.758478403091431E-002,9.001729488372803E-001,-3.952737450599670E-001,
4.355000000000000E+009,-1.294479817152023E-001,3.219527751207352E-002,8.787863254547119E-001,-4.408068060874939E-001,
4.372500000000000E+009,-2.851183153688908E-002,1.212152242660523E-001,8.553384542465210E-001,-4.859063327312470E-001,
4.390000000000000E+009,9.193514287471771E-002,6.590749323368073E-002,8.295693397521973E-001,-5.305638909339905E-001,
4.407500000000000E+009,8.764936029911041E-002,-6.485659629106522E-002,8.002899885177612E-001,-5.742765069007874E-001,
4.425000000000000E+009,-3.540461137890816E-002,-1.108044162392616E-001,7.679019570350647E-001,-6.152659654617310E-001,
4.442500000000000E+009,-1.268478631973267E-001,-1.468269899487495E-002,7.342745661735535E-001,-6.533792614936829E-001,
4.460000000000000E+009,-7.470300793647766E-002,1.086203008890152E-001,6.999525427818298E-001,-6.901092529296875E-001,
4.477500000000000E+009,6.077319383621216E-002,1.112728565931320E-001,6.642652750015259E-001,-7.256809473037720E-001,
4.495000000000000E+009,1.187572330236435E-001,-1.200946234166622E-002,6.259210109710693E-001,-7.611110210418701E-001,
4.512500000000000E+009,2.843806892633438E-002,-1.153355687856674E-001,5.839612483978272E-001,-7.936383485794067E-001,
4.530000000000000E+009,-1.037392839789391E-001,-7.466131448745728E-002,5.401098132133484E-001,-8.224009871482849E-001,
4.547500000000000E+009,-1.210537254810333E-001,6.139300018548966E-002,4.964088797569275E-001,-8.478707075119019E-001,
4.565000000000000E+009,-5.808415357023478E-003,1.312114894390106E-001,4.529854357242584E-001,-8.718420863151550E-001,
4.582500000000000E+009,1.017288863658905E-001,5.447397753596306E-002,4.079636335372925E-001,-8.956503868103027E-001,
4.600000000000000E+009,7.072380930185318E-002,-7.166619598865509E-002,3.603987991809845E-001,-9.173348546028137E-001,
4.617500000000000E+009,-5.965384840965271E-002,-8.708992600440979E-002,3.103207349777222E-001,-9.350168108940125E-001,
4.635000000000000E+009,-1.240262761712074E-001,3.213055431842804E-002,2.602762579917908E-001,-9.480094313621521E-001,
4.652500000000000E+009,-3.670430183410645E-002,1.415234953165054E-001,2.117253690958023E-001,-9.590782523155212E-001,
4.670000000000000E+009,1.026717573404312E-001,1.059277430176735E-001,1.634597778320313E-001,-9.694528579711914E-001,
4.687500000000000E+009,1.291008442640305E-001,-3.724345192313194E-002,1.126448959112167E-001,-9.787412881851196E-001,
4.705000000000000E+009,9.031725116074085E-003,-1.189229935407639E-001,5.961744487285614E-002,-9.847701787948608E-001,
4.722500000000000E+009,-1.128467768430710E-001,-3.992827981710434E-002,6.293586455285549E-003,-9.852203726768494E-001,
4.740000000000000E+009,-8.746182918548584E-002,1.030533537268639E-001,-4.497764259576798E-002,-9.821447134017944E-001,
4.757500000000000E+009,5.440073832869530E-002,1.355860084295273E-001,-9.372199326753616E-002,-9.777502417564392E-001,
4.775000000000000E+009,1.412407904863358E-001,1.797363162040710E-002,-1.434531062841415E-001,-9.733750224113464E-001,
4.792500000000000E+009,6.862452626228333E-002,-1.083089858293533E-001,-1.951976120471954E-001,-9.664614796638489E-001,
4.810000000000000E+009,-7.490150630474091E-002,-9.055618196725845E-002,-2.476197481155396E-001,-9.550663828849793E-001,
4.827500000000000E+009,-1.132151857018471E-001,4.778027907013893E-002,-2.980874180793762E-001,-9.387634992599487E-001,
4.845000000000000E+009,-9.190561249852181E-004,1.352757066488266E-001,-3.447971940040588E-001,-9.203303456306458E-001,
4.862500000000000E+009,1.223574653267860E-001,6.597130000591278E-002,-3.906893730163574E-001,-9.021757841110230E-001,
4.880000000000000E+009,1.065565794706345E-001,-7.381054759025574E-002,-4.372092485427856E-001,-8.828012943267822E-001,
4.897500000000000E+009,-2.709012851119041E-002,-1.120185405015945E-001,-4.846989512443543E-001,-8.599193096160889E-001,
4.915000000000000E+009,-1.119937300682068E-001,-2.692594425752759E-003,-5.306612849235535E-001,-8.313837647438049E-001,
4.932500000000000E+009,-4.292728379368782E-002,1.168140098452568E-001,-5.727943778038025E-001,-8.011868000030518E-001,
4.950000000000000E+009,9.371752291917801E-002,9.904351830482483E-002,-6.117653250694275E-001,-7.698483467102051E-001,
4.967500000000000E+009,1.310229897499085E-001,-3.320369496941567E-002,-6.504546999931335E-001,-7.389345169067383E-001,
4.985000000000000E+009,2.571004442870617E-002,-1.187098622322083E-001,-6.896324753761292E-001,-7.050353884696960E-001,
5.002500000000000E+009,-9.109444916248322E-002,-5.534012615680695E-002,-7.275814414024353E-001,-6.674879789352417E-001,
5.020000000000000E+009,-7.633186876773834E-002,7.476209104061127E-002,-7.615599036216736E-001,-6.274254918098450E-001,
5.037500000000000E+009,4.891625046730042E-002,1.093004643917084E-001,-7.914130687713623E-001,-5.861724019050598E-001,
5.055000000000000E+009,1.285987496376038E-001,6.815323606133461E-003,-8.199910521507263E-001,-5.447800159454346E-001,
5.072500000000000E+009,6.607864797115326E-002,-1.070562079548836E-001,-8.486379384994507E-001,-5.028489232063294E-001,
5.090000000000000E+009,-6.190898269414902E-002,-9.532573074102402E-002,-8.751980066299439E-001,-4.580370187759399E-001,
5.107500000000000E+009,-1.009154617786408E-001,2.528515830636025E-002,-8.989846110343933E-001,-4.102735519409180E-001,
5.125000000000000E+009,-6.863154936581850E-003,1.075457111001015E-001,-9.183772206306458E-001,-3.614821135997772E-001,
5.142500000000000E+009,1.041298434138298E-001,5.498666688799858E-002,-9.356035590171814E-001,-3.132735192775726E-001,
5.160000000000000E+009,1.011296063661575E-001,-6.565545499324799E-002,-9.501016139984131E-001,-2.649268507957459E-001,
5.177500000000000E+009,-6.763499230146408E-003,-1.114321127533913E-001,-9.636514186859131E-001,-2.157667279243469E-001,
5.195000000000000E+009,-8.782250434160233E-002,-3.403632715344429E-002,-9.744087457656860E-001,-1.648129224777222E-001,
5.212500000000000E+009,-4.807323962450028E-002,6.612931191921234E-002,-9.824421405792236E-001,-1.131953001022339E-001,
5.230000000000000E+009,5.736954510211945E-002,6.599965691566467E-002,-9.869242310523987E-001,-6.058238819241524E-002,
5.247500000000000E+009,9.656965732574463E-002,-3.203286975622177E-002,-9.879801869392395E-001,-9.638288058340550E-003,
5.265000000000000E+009,2.186165563762188E-002,-1.081800088286400E-001,-9.879880547523499E-001,4.183155298233032E-002,
5.282500000000000E+009,-7.850588858127594E-002,-7.306124269962311E-002,-9.854201674461365E-001,9.306256473064423E-002,
5.300000000000000E+009,-8.850389719009399E-002,2.948219329118729E-002,-9.793981313705444E-001,1.449405103921890E-001,
5.317500000000000E+009,-3.002675250172615E-003,7.840618491172791E-002,-9.712554216384888E-001,1.961687207221985E-001,
5.335000000000000E+009,7.142761349678040E-002,2.087782882153988E-002,-9.595276713371277E-001,2.474552392959595E-001,
5.352500000000000E+009,4.588146507740021E-002,-6.725156307220459E-002,-9.451576471328735E-001,2.974726557731628E-001,
5.370000000000000E+009,-4.449210688471794E-002,-7.697355002164841E-002,-9.284192919731140E-001,3.462970554828644E-001,
5.387500000000000E+009,-8.774337917566299E-002,1.624984783120453E-003,-9.100899696350098E-001,3.951003849506378E-001,
5.405000000000000E+009,-3.238072618842125E-002,7.083556056022644E-002,-8.884882926940918E-001,4.429739117622376E-001,
5.422500000000000E+009,5.171848461031914E-002,4.574666544795036E-002,-8.642871975898743E-001,4.901408851146698E-001,
5.440000000000000E+009,5.874116346240044E-002,-4.214578866958618E-002,-8.368853330612183E-001,5.361033678054810E-001,
