% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,3.079352676868439E-001,-1.007398292422295E-001,-1.436164975166321E-001,-8.458444476127625E-001,
2.517500000000000E+009,2.979045808315277E-001,-1.601742953062058E-001,-1.766654849052429E-001,-8.296685218811035E-001,
2.535000000000000E+009,2.490700781345367E-001,-1.837644726037979E-001,-2.114524692296982E-001,-8.278567194938660E-001,
2.552500000000000E+009,2.161172926425934E-001,-1.564052850008011E-001,-2.624204158782959E-001,-8.279635310173035E-001,
2.570000000000000E+009,2.365632802248001E-001,-1.251310557126999E-001,-3.228950202465057E-001,-8.098112344741821E-001,
2.587500000000000E+009,2.768599689006805E-001,-1.435424834489822E-001,-3.706347346305847E-001,-7.753404378890991E-001,
2.605000000000000E+009,2.789561152458191E-001,-1.956967413425446E-001,-4.007250666618347E-001,-7.446737885475159E-001,
2.622500000000000E+009,2.382572442293167E-001,-2.265983968973160E-001,-4.298263192176819E-001,-7.279242277145386E-001,
2.640000000000000E+009,2.010265141725540E-001,-2.102212011814117E-001,-4.722927212715149E-001,-7.150238156318665E-001,
2.657500000000000E+009,2.101307064294815E-001,-1.795862317085266E-001,-5.246804952621460E-001,-6.871467232704163E-001,
2.675000000000000E+009,2.475926578044891E-001,-1.897158622741699E-001,-5.660994052886963E-001,-6.423059701919556E-001,
2.692500000000000E+009,2.549512982368469E-001,-2.399950176477432E-001,-5.886439681053162E-001,-5.995121598243713E-001,
2.710000000000000E+009,2.149158120155335E-001,-2.783688604831696E-001,-6.068348288536072E-001,-5.725548863410950E-001,
2.727500000000000E+009,1.663314253091812E-001,-2.688356935977936E-001,-6.382098793983460E-001,-5.522674918174744E-001,
2.745000000000000E+009,1.601124852895737E-001,-2.302890121936798E-001,-6.823242306709290E-001,-5.194160938262940E-001,
2.762500000000000E+009,1.986057907342911E-001,-2.221253663301468E-001,-7.186262011528015E-001,-4.662689268589020E-001,
2.780000000000000E+009,2.222176194190979E-001,-2.672118246555328E-001,-7.327089905738831E-001,-4.109040796756744E-001,
2.797500000000000E+009,1.918590813875198E-001,-3.182124197483063E-001,-7.367038130760193E-001,-3.727112710475922E-001,
2.815000000000000E+009,1.338731199502945E-001,-3.252118527889252E-001,-7.511996626853943E-001,-3.472778499126434E-001,
