% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,4.062246084213257E-001,1.265043020248413E-001,-2.396198511123657E-001,-7.571796774864197E-001,
2.517500000000000E+009,3.980827033519745E-001,5.963179096579552E-002,-2.662758231163025E-001,-7.550700902938843E-001,
2.535000000000000E+009,3.620085120201111E-001,3.161020949482918E-002,-3.144950568675995E-001,-7.561659812927246E-001,
2.552500000000000E+009,3.527084887027741E-001,4.448008164763451E-002,-3.761515617370606E-001,-7.368627190589905E-001,
2.570000000000000E+009,3.895927965641022E-001,4.324703663587570E-002,-4.237508773803711E-001,-6.945744752883911E-001,
2.587500000000000E+009,4.258502423763275E-001,-5.688133183866739E-003,-4.477974176406860E-001,-6.552425026893616E-001,
2.605000000000000E+009,4.196054041385651E-001,-7.228633016347885E-002,-4.666817188262940E-001,-6.344019174575806E-001,
2.622500000000000E+009,3.803174793720245E-001,-1.109497323632240E-001,-5.005702376365662E-001,-6.231928467750549E-001,
2.640000000000000E+009,3.543760478496552E-001,-1.089798659086227E-001,-5.502264499664307E-001,-5.992993712425232E-001,
2.657500000000000E+009,3.714500069618225E-001,-1.081646829843521E-001,-5.936812758445740E-001,-5.519851446151733E-001,
2.675000000000000E+009,3.979383707046509E-001,-1.499608755111694E-001,-6.129630804061890E-001,-5.008305907249451E-001,
2.692500000000000E+009,3.864472508430481E-001,-2.154840826988220E-001,-6.206760406494141E-001,-4.667519629001617E-001,
2.710000000000000E+009,3.369607031345367E-001,-2.586329877376556E-001,-6.388510465621948E-001,-4.484415948390961E-001,
2.727500000000000E+009,2.902639508247376E-001,-2.579554021358490E-001,-6.761936545372009E-001,-4.241579473018646E-001,
2.745000000000000E+009,2.870519459247589E-001,-2.427866160869598E-001,-7.163692116737366E-001,-3.755474984645844E-001,
2.762500000000000E+009,3.113186955451965E-001,-2.662105858325958E-001,-7.330037951469421E-001,-3.124293386936188E-001,
2.780000000000000E+009,3.056627213954926E-001,-3.277806639671326E-001,-7.276304960250855E-001,-2.634582519531250E-001,
2.797500000000000E+009,2.530274391174316E-001,-3.777627348899841E-001,-7.251886129379273E-001,-2.367847263813019E-001,
2.815000000000000E+009,1.874064803123474E-001,-3.831088542938232E-001,-7.423231005668640E-001,-2.155230939388275E-001,
2.832500000000000E+009,1.557088494300842E-001,-3.558075129985809E-001,-7.739863991737366E-001,-1.760914772748947E-001,
2.850000000000000E+009,1.687522679567337E-001,-3.491367399692535E-001,-7.924170494079590E-001,-1.116754412651062E-001,
2.867500000000000E+009,1.742857694625855E-001,-3.922454118728638E-001,-7.810992598533630E-001,-4.883072525262833E-002,
2.885000000000000E+009,1.299433410167694E-001,-4.433979988098145E-001,-7.591935992240906E-001,-1.101143099367619E-002,
2.902500000000000E+009,5.759084224700928E-002,-4.546678066253662E-001,-7.533843517303467E-001,1.035156752914190E-002,
2.920000000000000E+009,5.769127514213324E-003,-4.235830008983612E-001,-7.679223418235779E-001,3.977569565176964E-002,
2.937500000000000E+009,2.611745148897171E-003,-3.930107653141022E-001,-7.826650142669678E-001,9.492561221122742E-002,
2.955000000000000E+009,1.439234334975481E-002,-4.115297496318817E-001,-7.687168717384338E-001,1.622732132673264E-001,
2.972500000000000E+009,-1.939843967556953E-002,-4.573727250099182E-001,-7.321221232414246E-001,2.074204236268997E-001,
2.990000000000000E+009,-9.486226737499237E-002,-4.694048464298248E-001,-7.050205469131470E-001,2.263754159212112E-001,
3.007500000000000E+009,-1.606258153915405E-001,-4.300123453140259E-001,-7.031753063201904E-001,2.437436878681183E-001,
3.025000000000000E+009,-1.760082542896271E-001,-3.738573491573334E-001,-7.138031721115112E-001,2.843045890331268E-001,
3.042500000000000E+009,-1.528745889663696E-001,-3.608132600784302E-001,-7.035806179046631E-001,3.510858714580536E-001,
