% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,3.070264756679535E-001,-9.985583275556564E-002,-1.406197547912598E-001,-8.484516739845276E-001,
2.517500000000000E+009,2.962641716003418E-001,-1.592324972152710E-001,-1.728271991014481E-001,-8.324344754219055E-001,
2.535000000000000E+009,2.475767135620117E-001,-1.833937615156174E-001,-2.075159102678299E-001,-8.309497833251953E-001,
2.552500000000000E+009,2.145211547613144E-001,-1.561170071363449E-001,-2.586735188961029E-001,-8.313924074172974E-001,
2.570000000000000E+009,2.347820252180100E-001,-1.242827698588371E-001,-3.191268742084503E-001,-8.135564327239990E-001,
2.587500000000000E+009,2.752040922641754E-001,-1.420913487672806E-001,-3.671123385429382E-001,-7.793914079666138E-001,
2.605000000000000E+009,2.769168019294739E-001,-1.937927454710007E-001,-3.974093496799469E-001,-7.489007115364075E-001,
2.622500000000000E+009,2.357374727725983E-001,-2.249759584665299E-001,-4.267290830612183E-001,-7.324305772781372E-001,
2.640000000000000E+009,1.986535191535950E-001,-2.089769393205643E-001,-4.693179130554199E-001,-7.199007868766785E-001,
2.657500000000000E+009,2.078156620264053E-001,-1.778079122304916E-001,-5.218739509582520E-001,-6.923378109931946E-001,
2.675000000000000E+009,2.457171231508255E-001,-1.872371733188629E-001,-5.635439157485962E-001,-6.478087902069092E-001,
2.692500000000000E+009,2.533370554447174E-001,-2.370579242706299E-001,-5.864884853363037E-001,-6.051412820816040E-001,
2.710000000000000E+009,2.129083573818207E-001,-2.752860188484192E-001,-6.049963831901550E-001,-5.783708095550537E-001,
2.727500000000000E+009,1.639592796564102E-001,-2.661783695220947E-001,-6.365776658058167E-001,-5.583258867263794E-001,
2.745000000000000E+009,1.577844768762589E-001,-2.275691926479340E-001,-6.809843778610230E-001,-5.257265567779541E-001,
2.762500000000000E+009,1.967846751213074E-001,-2.186207622289658E-001,-7.177226543426514E-001,-4.728157222270966E-001,
2.780000000000000E+009,2.212906479835510E-001,-2.633734941482544E-001,-7.322704195976257E-001,-4.176314175128937E-001,
2.797500000000000E+009,1.911818683147430E-001,-3.141587972640991E-001,-7.367733120918274E-001,-3.794533610343933E-001,
2.815000000000000E+009,1.326209157705307E-001,-3.213447928428650E-001,-7.515978217124939E-001,-3.541648089885712E-001,
2.832500000000000E+009,1.020061820745468E-001,-2.834646701812744E-001,-7.830496430397034E-001,-3.221524357795715E-001,
2.850000000000000E+009,1.277953386306763E-001,-2.522277534008026E-001,-8.138627409934998E-001,-2.682258784770966E-001,
2.867500000000000E+009,1.669762581586838E-001,-2.776610255241394E-001,-8.224809169769287E-001,-2.045851945877075E-001,
2.885000000000000E+009,1.571399420499802E-001,-3.337778151035309E-001,-8.133482336997986E-001,-1.557463258504868E-001,
2.902500000000000E+009,1.016270741820335E-001,-3.582507669925690E-001,-8.104709982872009E-001,-1.253239363431931E-001,
2.920000000000000E+009,5.394736304879189E-002,-3.305409550666809E-001,-8.252881765365601E-001,-9.445448964834213E-002,
2.937500000000000E+009,6.084683910012245E-002,-2.881049215793610E-001,-8.458195328712463E-001,-4.402256757020950E-002,
2.955000000000000E+009,1.032925918698311E-001,-2.941301763057709E-001,-8.464640378952026E-001,2.208741009235382E-002,
2.972500000000000E+009,1.090980023145676E-001,-3.498244583606720E-001,-8.241976499557495E-001,7.557211816310883E-002,
2.990000000000000E+009,5.606401339173317E-002,-3.880829811096191E-001,-8.039872646331787E-001,1.060117930173874E-001,
3.007500000000000E+009,-6.839002016931772E-003,-3.672843277454376E-001,-8.040535449981690E-001,1.310911476612091E-001,
3.025000000000000E+009,-1.985935680568218E-002,-3.110620677471161E-001,-8.162806034088135E-001,1.744400858879089E-001,
3.042500000000000E+009,2.605166658759117E-002,-2.903262078762054E-001,-8.123540878295898E-001,2.405387610197067E-001,
3.060000000000000E+009,5.647999793291092E-002,-3.408381342887878E-001,-7.779099345207214E-001,2.999801635742188E-001,
3.077500000000000E+009,1.474785897880793E-002,-3.987927734851837E-001,-7.382763624191284E-001,3.296074569225311E-001,
3.095000000000000E+009,-6.095357239246368E-002,-3.953166306018829E-001,-7.209311127662659E-001,3.451161682605743E-001,
3.112500000000000E+009,-9.912393987178803E-002,-3.343543112277985E-001,-7.240978479385376E-001,3.761902749538422E-001,
3.130000000000000E+009,-6.321740895509720E-002,-2.825408875942230E-001,-7.185858488082886E-001,4.354310929775238E-001,
3.147500000000000E+009,-7.649414241313934E-003,-3.107378780841827E-001,-6.781799793243408E-001,4.980735182762146E-001,
3.165000000000000E+009,-2.409755252301693E-002,-3.822040259838104E-001,-6.210445165634155E-001,5.281757116317749E-001,
3.182500000000000E+009,-1.021169871091843E-001,-4.035129547119141E-001,-5.857831835746765E-001,5.343800783157349E-001,
3.200000000000000E+009,-1.627409607172012E-001,-3.522832095623016E-001,-5.770192146301270E-001,5.495781302452087E-001,
3.217500000000000E+009,-1.511970013380051E-001,-2.815851271152496E-001,-5.691957473754883E-001,5.944214463233948E-001,
3.235000000000000E+009,-8.785555511713028E-002,-2.764282524585724E-001,-5.290372371673584E-001,6.533915996551514E-001,
3.252500000000000E+009,-7.420504838228226E-002,-3.442662060260773E-001,-4.616056382656097E-001,6.842342615127564E-001,
3.270000000000000E+009,-1.409461647272110E-001,-3.868096172809601E-001,-4.104372262954712E-001,6.815265417098999E-001,
3.287500000000000E+009,-2.135422974824905E-001,-3.516303896903992E-001,-3.906661570072174E-001,6.817206740379334E-001,
3.305000000000000E+009,-2.213467657566071E-001,-2.765051722526550E-001,-3.789360821247101E-001,7.104916572570801E-001,
3.322500000000000E+009,-1.614107489585877E-001,-2.461765259504318E-001,-3.397589623928070E-001,7.598036527633667E-001,
3.340000000000000E+009,-1.235876381397247E-001,-3.026806116104126E-001,-2.665296792984009E-001,7.870297431945801E-001,
3.357500000000000E+009,-1.767177283763886E-001,-3.620670735836029E-001,-2.027884572744370E-001,7.742117047309876E-001,
3.375000000000000E+009,-2.600585222244263E-001,-3.441078662872315E-001,-1.748356670141220E-001,7.573455572128296E-001,
3.392500000000000E+009,-2.903414070606232E-001,-2.684881091117859E-001,-1.621640771627426E-001,7.678472995758057E-001,
3.410000000000000E+009,-2.429019063711166E-001,-2.137468308210373E-001,-1.286182701587677E-001,8.042502999305725E-001,
3.427500000000000E+009,-1.840753853321075E-001,-2.470208257436752E-001,-5.699888616800308E-002,8.285027146339417E-001,
3.445000000000000E+009,-2.124754041433334E-001,-3.176608681678772E-001,1.561635453253985E-002,8.082556724548340E-001,
3.462500000000000E+009,-2.994039058685303E-001,-3.202709555625916E-001,4.992677643895149E-002,7.739910483360291E-001,
3.480000000000000E+009,-3.514407277107239E-001,-2.500507235527039E-001,6.126677617430687E-002,7.649686336517334E-001,
3.497500000000000E+009,-3.241486251354218E-001,-1.750010997056961E-001,8.536893129348755E-002,7.864487171173096E-001,
3.515000000000000E+009,-2.530291378498077E-001,-1.743657141923904E-001,1.478446274995804E-001,8.074294924736023E-001,
3.532500000000000E+009,-2.436768561601639E-001,-2.445205748081207E-001,2.254190146923065E-001,7.860597372055054E-001,
3.550000000000000E+009,-3.198109269142151E-001,-2.739685177803040E-001,2.676638662815094E-001,7.371319532394409E-001,
3.567500000000000E+009,-3.886368274688721E-001,-2.187349349260330E-001,2.771123051643372E-001,7.082976102828980E-001,
3.585000000000000E+009,-3.843918144702911E-001,-1.344105005264282E-001,2.914135754108429E-001,7.126460671424866E-001,
3.602500000000000E+009,-3.160949945449829E-001,-1.015702039003372E-001,3.401750028133392E-001,7.271695733070374E-001,
3.620000000000000E+009,-2.712321281433106E-001,-1.571263670921326E-001,4.157655835151672E-001,7.079071998596191E-001,
3.637500000000000E+009,-3.231546878814697E-001,-2.142127603292465E-001,4.658329188823700E-001,6.483560204505920E-001,
3.655000000000000E+009,-4.046183526515961E-001,-1.843432933092117E-001,4.740357697010040E-001,5.988683700561523E-001,
3.672500000000000E+009,-4.270428419113159E-001,-9.961796551942825E-002,4.758618175983429E-001,5.851202011108398E-001,
3.690000000000000E+009,-3.751811683177948E-001,-3.865418955683708E-002,5.060070157051086E-001,5.908501744270325E-001,
3.707500000000000E+009,-3.075957596302033E-001,-6.226064264774323E-002,5.700938701629639E-001,5.759177803993225E-001,
3.725000000000000E+009,-3.200618326663971E-001,-1.336005032062531E-001,6.256204247474670E-001,5.149962306022644E-001,
3.742500000000000E+009,-4.007410705089569E-001,-1.392351388931274E-001,6.347471475601196E-001,4.472772777080536E-001,
3.760000000000000E+009,-4.480542242527008E-001,-6.650194525718689E-002,6.243960857391357E-001,4.149520993232727E-001,
