% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-6.576743721961975E-002,5.503895506262779E-002,-5.167689919471741E-001,-8.427120447158814E-001,
7.015500000000000E+008,-4.774255678057671E-002,6.277555972337723E-002,-5.463859438896179E-001,-8.211035728454590E-001,
7.131000000000000E+008,-3.098996169865131E-002,5.746781080961227E-002,-5.744459629058838E-001,-8.053340911865234E-001,
7.246500000000000E+008,-2.395601011812687E-002,4.379620403051376E-002,-6.037818193435669E-001,-7.843287587165833E-001,
7.362000000000000E+008,-2.947271242737770E-002,3.093446791172028E-002,-6.317370533943176E-001,-7.621695995330811E-001,
7.477500000000000E+008,-4.314032942056656E-002,2.738167345523834E-002,-6.586794257164002E-001,-7.382978796958923E-001,
7.593000000000000E+008,-5.614047124981880E-002,3.610572591423988E-002,-6.840743422508240E-001,-7.121503949165344E-001,
7.708500000000000E+008,-6.037939712405205E-002,5.323388427495956E-002,-7.075528502464294E-001,-6.885890364646912E-001,
7.824000000000000E+008,-5.275072529911995E-002,7.012382149696350E-002,-7.313929796218872E-001,-6.628665924072266E-001,
7.939500000000000E+008,-3.646770492196083E-002,7.847174257040024E-002,-7.526965737342835E-001,-6.366962790489197E-001,
8.055000000000000E+008,-1.935314759612083E-002,7.475236803293228E-002,-7.757902145385742E-001,-6.112467646598816E-001,
8.170500000000000E+008,-9.796714410185814E-003,6.201374158263207E-002,-7.975764274597168E-001,-5.829156041145325E-001,
8.286000000000000E+008,-1.192522887140513E-002,4.767930507659912E-002,-8.181750178337097E-001,-5.539898276329041E-001,
8.401500000000000E+008,-2.348061092197895E-002,4.015014693140984E-002,-8.373754620552063E-001,-5.238339304924011E-001,
8.517000000000000E+008,-3.740571439266205E-002,4.414596036076546E-002,-8.551378250122070E-001,-4.930660426616669E-001,
8.632500000000000E+008,-4.559046775102615E-002,5.822443217039108E-002,-8.708694577217102E-001,-4.625423550605774E-001,
8.748000000000000E+008,-4.290437698364258E-002,7.594855874776840E-002,-8.861451745033264E-001,-4.310451149940491E-001,
8.863500000000000E+008,-3.000176511704922E-002,8.924251049757004E-002,-8.996325731277466E-001,-4.001285135746002E-001,
8.979000000000000E+008,-1.232205796986818E-002,9.213571995496750E-002,-9.134628772735596E-001,-3.699470758438110E-001,
9.094500000000000E+008,2.363424748182297E-003,8.449535816907883E-002,-9.266318082809448E-001,-3.379743099212647E-001,
9.210000000000000E+008,8.020707406103611E-003,7.076501101255417E-002,-9.385025501251221E-001,-3.045268356800079E-001,
9.325500000000000E+008,3.065864555537701E-003,5.864019691944122E-002,-9.501205086708069E-001,-2.711814343929291E-001,
9.441000000000000E+008,-8.344658650457859E-003,5.485838279128075E-002,-9.594255089759827E-001,-2.359764128923416E-001,
