% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.101768389344215E-001,1.261886358261108E-001,-6.190352439880371E-001,-7.077741026878357E-001,
7.015500000000000E+008,-9.067360311746597E-002,1.304509043693543E-001,-6.458434462547302E-001,-6.818863153457642E-001,
7.131000000000000E+008,-7.639228552579880E-002,1.237155199050903E-001,-6.725932359695435E-001,-6.608654260635376E-001,
7.246500000000000E+008,-7.292503118515015E-002,1.130537763237953E-001,-6.991474628448486E-001,-6.342988014221191E-001,
7.362000000000000E+008,-7.977240532636643E-002,1.071641743183136E-001,-7.233995199203491E-001,-6.054146885871887E-001,
7.477500000000000E+008,-9.032097458839417E-002,1.120151206851006E-001,-7.450594902038574E-001,-5.750047564506531E-001,
7.593000000000000E+008,-9.614967554807663E-002,1.268436759710312E-001,-7.640280723571777E-001,-5.436438918113709E-001,
7.708500000000000E+008,-9.174199402332306E-002,1.455289721488953E-001,-7.814279198646545E-001,-5.149405598640442E-001,
7.824000000000000E+008,-7.736593484878540E-002,1.600319594144821E-001,-7.985809445381165E-001,-4.862275123596191E-001,
7.939500000000000E+008,-5.846894532442093E-002,1.646355241537094E-001,-8.153889179229736E-001,-4.571666717529297E-001,
8.055000000000000E+008,-4.281234368681908E-002,1.589513272047043E-001,-8.335839509963989E-001,-4.271301329135895E-001,
8.170500000000000E+008,-3.615431115031242E-002,1.479904055595398E-001,-8.505318164825440E-001,-3.948748409748077E-001,
8.286000000000000E+008,-3.954374417662621E-002,1.393781751394272E-001,-8.659951686859131E-001,-3.606858551502228E-001,
8.401500000000000E+008,-4.830002412199974E-002,1.395173519849777E-001,-8.785874843597412E-001,-3.252320885658264E-001,
8.517000000000000E+008,-5.514277890324593E-002,1.498970538377762E-001,-8.887235522270203E-001,-2.897769212722778E-001,
8.632500000000000E+008,-5.377048254013062E-002,1.663884669542313E-001,-8.962579369544983E-001,-2.552815377712250E-001,
8.748000000000000E+008,-4.219383373856545E-002,1.822623759508133E-001,-9.027098417282105E-001,-2.217999696731567E-001,
8.863500000000000E+008,-2.361291646957398E-002,1.911176145076752E-001,-9.091760516166687E-001,-1.895240396261215E-001,
8.979000000000000E+008,-4.345051478594542E-003,1.898743212223053E-001,-9.158359766006470E-001,-1.571004092693329E-001,
9.094500000000000E+008,9.033286944031715E-003,1.805480271577835E-001,-9.222989082336426E-001,-1.232932060956955E-001,
9.210000000000000E+008,1.307821366935968E-002,1.687627881765366E-001,-9.272443652153015E-001,-8.696514368057251E-002,
9.325500000000000E+008,8.937732316553593E-003,1.619607359170914E-001,-9.307184815406799E-001,-5.043864995241165E-002,
9.441000000000000E+008,2.295597689226270E-003,1.642907559871674E-001,-9.307646751403809E-001,-1.260366197675467E-002,
9.556500000000000E+008,2.237128210254014E-004,1.750287264585495E-001,-9.275091290473938E-001,2.389069087803364E-002,
9.672000000000000E+008,7.408834993839264E-003,1.892395317554474E-001,-9.226683974266052E-001,5.919032543897629E-002,
9.787500000000000E+008,2.363809570670128E-002,1.995537281036377E-001,-9.174935221672058E-001,9.208783507347107E-002,
