% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,6.263156980276108E-002,2.123151272535324E-001,2.070842385292053E-001,-9.416984319686890E-001,
2.517500000000000E+009,1.100337356328964E-001,1.587516218423843E-001,1.653628498315811E-001,-9.561424255371094E-001,
2.535000000000000E+009,8.880413323640823E-002,1.014545485377312E-001,1.133718863129616E-001,-9.737904667854309E-001,
2.552500000000000E+009,3.890226408839226E-002,1.077066063880920E-001,5.166394263505936E-002,-9.819137454032898E-001,
2.570000000000000E+009,3.775020688772202E-002,1.623479574918747E-001,-7.718849927186966E-003,-9.753015637397766E-001,
2.587500000000000E+009,9.594972431659699E-002,1.885607540607452E-001,-5.536111071705818E-002,-9.646818637847900E-001,
2.605000000000000E+009,1.502763926982880E-001,1.506646573543549E-001,-9.690916538238525E-002,-9.607998132705689E-001,
2.622500000000000E+009,1.459718495607376E-001,9.130167216062546E-002,-1.453345268964768E-001,-9.628096222877502E-001,
2.640000000000000E+009,1.013953685760498E-001,7.928397506475449E-002,-2.036169618368149E-001,-9.591620564460754E-001,
2.657500000000000E+009,8.878598362207413E-002,1.216602548956871E-001,-2.625363171100617E-001,-9.416613578796387E-001,
2.675000000000000E+009,1.376648694276810E-001,1.515222489833832E-001,-3.104472756385803E-001,-9.166129827499390E-001,
2.692500000000000E+009,1.961843371391296E-001,1.187314465641975E-001,-3.491641581058502E-001,-8.964503407478333E-001,
2.710000000000000E+009,2.007015049457550E-001,5.053928494453430E-002,-3.900899589061737E-001,-8.850689530372620E-001,
2.727500000000000E+009,1.503991931676865E-001,1.786022633314133E-002,-4.422335922718048E-001,-8.717396259307861E-001,
2.745000000000000E+009,1.136085093021393E-001,5.219084769487381E-002,-4.990543425083160E-001,-8.448835015296936E-001,
2.762500000000000E+009,1.461859941482544E-001,9.843068569898605E-002,-5.460576415061951E-001,-8.059512376785278E-001,
2.780000000000000E+009,2.144194245338440E-001,8.437630534172058E-002,-5.791649222373962E-001,-7.683994770050049E-001,
2.797500000000000E+009,2.413018047809601E-001,1.299400813877583E-002,-6.089017987251282E-001,-7.417406439781189E-001,
2.815000000000000E+009,1.980599910020828E-001,-4.708544909954071E-002,-6.475304365158081E-001,-7.197563052177429E-001,
2.832500000000000E+009,1.355469822883606E-001,-3.751022741198540E-002,-6.961882710456848E-001,-6.890578269958496E-001,
2.850000000000000E+009,1.327395141124725E-001,1.796635799109936E-002,-7.409170866012573E-001,-6.421397328376770E-001,
2.867500000000000E+009,1.946480721235275E-001,3.418008610606194E-002,-7.699446678161621E-001,-5.901274681091309E-001,
2.885000000000000E+009,2.435081750154495E-001,-2.288314141333103E-002,-7.876228690147400E-001,-5.471428036689758E-001,
2.902500000000000E+009,2.205129712820053E-001,-9.808049350976944E-002,-8.098469376564026E-001,-5.151337385177612E-001,
2.920000000000000E+009,1.503946483135223E-001,-1.164112165570259E-001,-8.438068628311157E-001,-4.807521104812622E-001,
2.937500000000000E+009,1.162442713975906E-001,-6.707803159952164E-002,-8.804562091827393E-001,-4.314885139465332E-001,
2.955000000000000E+009,1.614883989095688E-001,-2.852840721607208E-002,-9.029536247253418E-001,-3.705105781555176E-001,
2.972500000000000E+009,2.231560796499252E-001,-6.930204480886459E-002,-9.089115858078003E-001,-3.158675134181976E-001,
2.990000000000000E+009,2.162378281354904E-001,-1.548819988965988E-001,-9.135264158248901E-001,-2.759738564491272E-001,
3.007500000000000E+009,1.377263665199280E-001,-1.968655139207840E-001,-9.307795763015747E-001,-2.409486472606659E-001,
3.025000000000000E+009,6.858535856008530E-002,-1.528331190347672E-001,-9.571093320846558E-001,-1.939920932054520E-001,
3.042500000000000E+009,8.895345777273178E-002,-8.315642923116684E-002,-9.743663072586060E-001,-1.292215734720230E-001,
3.060000000000000E+009,1.666685491800308E-001,-9.224876016378403E-002,-9.702470898628235E-001,-6.333598494529724E-002,
3.077500000000000E+009,1.902938485145569E-001,-1.823605895042419E-001,-9.553817510604858E-001,-1.492989156395197E-002,
3.095000000000000E+009,1.182284876704216E-001,-2.547342777252197E-001,-9.507918953895569E-001,1.889054663479328E-002,
3.112500000000000E+009,1.882457733154297E-002,-2.320297211408615E-001,-9.625743031501770E-001,5.841346085071564E-002,
3.130000000000000E+009,-1.983613474294543E-003,-1.411779373884201E-001,-9.743426442146301E-001,1.183516830205917E-001,
3.147500000000000E+009,7.565979659557343E-002,-1.015552431344986E-001,-9.647887945175171E-001,1.893608272075653E-001,
3.165000000000000E+009,1.375158280134201E-001,-1.739855557680130E-001,-9.342730045318604E-001,2.462845295667648E-001,
3.182500000000000E+009,9.148789197206497E-002,-2.705767750740051E-001,-9.074902534484863E-001,2.808848619461060E-001,
3.200000000000000E+009,-1.990413293242455E-002,-2.812610268592835E-001,-8.991758227348328E-001,3.110626041889191E-001,
3.217500000000000E+009,-8.384829014539719E-002,-1.944194585084915E-001,-9.008387327194214E-001,3.582517206668854E-001,
3.235000000000000E+009,-3.346188366413117E-002,-1.131553202867508E-001,-8.887618780136108E-001,4.245795607566834E-001,
3.252500000000000E+009,5.232923105359078E-002,-1.459366977214813E-001,-8.503572940826416E-001,4.864913523197174E-001,
3.270000000000000E+009,4.283916950225830E-002,-2.476129680871964E-001,-8.039460778236389E-001,5.230098366737366E-001,
3.287500000000000E+009,-6.103740632534027E-002,-2.868274152278900E-001,-7.751163840293884E-001,5.446738600730896E-001,
3.305000000000000E+009,-1.481739282608032E-001,-2.154752761125565E-001,-7.634254097938538E-001,5.768776535987854E-001,
3.322500000000000E+009,-1.256787627935410E-001,-1.122337207198143E-001,-7.471799254417419E-001,6.308792233467102E-001,
3.340000000000000E+009,-2.849119156599045E-002,-1.053848192095757E-001,-7.046092748641968E-001,6.907412409782410E-001,
3.357500000000000E+009,-8.938509854488075E-004,-2.036545872688294E-001,-6.435295343399048E-001,7.276152968406677E-001,
3.375000000000000E+009,-9.154561907052994E-002,-2.717964947223663E-001,-5.951375961303711E-001,7.403497099876404E-001,
3.392500000000000E+009,-1.997637897729874E-001,-2.233690619468689E-001,-5.695570707321167E-001,7.550330162048340E-001,
3.410000000000000E+009,-2.119854688644409E-001,-1.082877367734909E-001,-5.493654012680054E-001,7.908668518066406E-001,
3.427500000000000E+009,-1.192347779870033E-001,-5.657060444355011E-002,-5.088544487953186E-001,8.420941233634949E-001,
3.445000000000000E+009,-5.166185274720192E-002,-1.329512894153595E-001,-4.412740468978882E-001,8.787001371383667E-001,
3.462500000000000E+009,-1.144999936223030E-001,-2.263490557670593E-001,-3.759357035160065E-001,8.843711614608765E-001,
3.480000000000000E+009,-2.361512035131455E-001,-2.092487215995789E-001,-3.354853093624115E-001,8.804419040679932E-001,
3.497500000000000E+009,-2.857175171375275E-001,-9.491673111915588E-002,-3.113046586513519E-001,8.937990069389343E-001,
3.515000000000000E+009,-2.151537090539932E-001,-8.886003633961082E-004,-2.763507962226868E-001,9.288594126701355E-001,
3.532500000000000E+009,-1.136271953582764E-001,-3.168883547186852E-002,-2.124482840299606E-001,9.627302289009094E-001,
3.550000000000000E+009,-1.251292526721954E-001,-1.361048370599747E-001,-1.359440386295319E-001,9.663879275321960E-001,
3.567500000000000E+009,-2.403867393732071E-001,-1.587995290756226E-001,-8.121348172426224E-002,9.471634030342102E-001,
3.585000000000000E+009,-3.204379677772522E-001,-6.167644634842873E-002,-5.092446506023407E-002,9.368090629577637E-001,
3.602500000000000E+009,-2.812660038471222E-001,5.816608294844627E-002,-2.176708728075028E-002,9.502650499343872E-001,
3.620000000000000E+009,-1.655576080083847E-001,7.885720580816269E-002,3.103216551244259E-002,9.752170443534851E-001,
3.637500000000000E+009,-1.159672290086746E-001,-1.679274067282677E-002,1.083164140582085E-001,9.799340367317200E-001,
3.655000000000000E+009,-2.019344270229340E-001,-8.670943975448608E-002,1.772464066743851E-001,9.519034028053284E-001,
3.672500000000000E+009,-3.081987798213959E-001,-2.669777721166611E-002,2.152178138494492E-001,9.185029268264771E-001,
3.690000000000000E+009,-3.101195096969605E-001,1.008754298090935E-001,2.388152778148651E-001,9.067043066024780E-001,
3.707500000000000E+009,-2.058708220720291E-001,1.695292890071869E-001,2.763658761978149E-001,9.156317114830017E-001,
3.725000000000000E+009,-1.069272756576538E-001,1.107228845357895E-001,3.421541154384613E-001,9.196577072143555E-001,
3.742500000000000E+009,-1.360298246145248E-001,7.894759066402912E-003,4.169678688049316E-001,8.910582661628723E-001,
3.760000000000000E+009,-2.486862838268280E-001,1.227975916117430E-002,4.649411141872406E-001,8.409211635589600E-001,
3.777500000000000E+009,-2.943036854267120E-001,1.248081773519516E-001,4.858365654945374E-001,8.033615946769714E-001,
3.795000000000000E+009,-2.201002687215805E-001,2.240760177373886E-001,5.079155564308167E-001,7.913658618927002E-001,
3.812500000000000E+009,-1.021211147308350E-001,2.115741074085236E-001,5.547026395797730E-001,7.881076931953430E-001,
3.830000000000000E+009,-7.233341783285141E-002,1.072560027241707E-001,6.225679516792297E-001,7.627139091491699E-001,
3.847500000000000E+009,-1.658368855714798E-001,5.870858579874039E-002,6.766914725303650E-001,7.046160697937012E-001,
3.865000000000000E+009,-2.468838393688202E-001,1.424856036901474E-001,6.973841786384583E-001,6.456483006477356E-001,
3.882500000000000E+009,-2.078091502189636E-001,2.610168457031250E-001,7.047978639602661E-001,6.124655008316040E-001,
3.900000000000000E+009,-8.655034750699997E-002,2.920972406864166E-001,7.291443943977356E-001,5.988855361938477E-001,
3.917500000000000E+009,-5.783418193459511E-003,2.061209231615067E-001,7.807145714759827E-001,5.769841670989990E-001,
3.935000000000000E+009,-5.771984159946442E-002,1.107337176799774E-001,8.360050916671753E-001,5.213126540184021E-001,
3.952500000000000E+009,-1.634520739316940E-001,1.443407088518143E-001,8.592444658279419E-001,4.468049108982086E-001,
3.970000000000000E+009,-1.684132963418961E-001,2.675747871398926E-001,8.547538518905640E-001,3.925483822822571E-001,
3.987500000000000E+009,-5.851984769105911E-002,3.376749157905579E-001,8.555869460105896E-001,3.667230010032654E-001,
4.005000000000000E+009,5.919399857521057E-002,2.841794490814209E-001,8.839309215545654E-001,3.469214439392090E-001,
4.022500000000000E+009,6.303989142179489E-002,1.624210476875305E-001,9.309633374214172E-001,3.014078140258789E-001,
4.040000000000000E+009,-4.685835540294647E-002,1.279108375310898E-001,9.592370986938477E-001,2.227375656366348E-001,
4.057500000000000E+009,-1.086548566818237E-001,2.324591130018234E-001,9.483223557472229E-001,1.481723636388779E-001,
4.075000000000000E+009,-3.155379369854927E-002,3.389963507652283E-001,9.263018369674683E-001,1.070054769515991E-001,
4.092500000000000E+009,1.032312512397766E-001,3.310222625732422E-001,9.262511730194092E-001,8.632081747055054E-002,
4.110000000000000E+009,1.659779548645020E-001,2.179437577724457E-001,9.534994363784790E-001,5.413042008876801E-002,
4.127500000000000E+009,9.464873373508453E-002,1.230862438678742E-001,9.818952679634094E-001,-1.273815613240004E-002,
4.145000000000000E+009,-6.873294711112976E-003,1.699802428483963E-001,9.740361571311951E-001,-9.647744894027710E-002,
4.162500000000000E+009,1.656126976013184E-002,2.875564396381378E-001,9.369722604751587E-001,-1.537718176841736E-001,
4.180000000000000E+009,1.426068544387817E-001,3.189790844917297E-001,9.112185239791870E-001,-1.786258667707443E-001,
