% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,1.266900002956390E-001,-6.591309607028961E-002,2.014343291521072E-001,-9.580828547477722E-001,
2.517500000000000E+009,1.579896658658981E-001,-1.232524514198303E-001,1.493035405874252E-001,-9.574003219604492E-001,
2.535000000000000E+009,1.214007213711739E-001,-1.802049130201340E-001,1.067273095250130E-001,-9.595939517021179E-001,
2.552500000000000E+009,5.801521241664887E-002,-1.751808226108551E-001,6.254035979509354E-002,-9.706436991691589E-001,
2.570000000000000E+009,4.001238942146301E-002,-1.208419352769852E-001,6.666851695626974E-003,-9.812463521957398E-001,
2.587500000000000E+009,8.341383188962936E-002,-9.205519407987595E-002,-5.537844076752663E-002,-9.796864390373230E-001,
2.605000000000000E+009,1.233305633068085E-001,-1.286937743425369E-001,-1.098617091774941E-001,-9.662627577781677E-001,
2.622500000000000E+009,1.032412424683571E-001,-1.842423975467682E-001,-1.541358530521393E-001,-9.534737467765808E-001,
2.640000000000000E+009,4.578156769275665E-002,-1.920731365680695E-001,-1.971446871757507E-001,-9.486536383628845E-001,
2.657500000000000E+009,1.846720091998577E-002,-1.459994763135910E-001,-2.499451488256455E-001,-9.454515576362610E-001,
2.675000000000000E+009,5.332317575812340E-002,-1.094204708933830E-001,-3.096829354763031E-001,-9.312977194786072E-001,
2.692500000000000E+009,9.974105656147003E-002,-1.366338431835175E-001,-3.631202578544617E-001,-9.039291739463806E-001,
2.710000000000000E+009,8.997432887554169E-002,-1.978158652782440E-001,-4.031989872455597E-001,-8.762676715850830E-001,
2.727500000000000E+009,2.832434698939323E-002,-2.211185395717621E-001,-4.397889673709869E-001,-8.570234179496765E-001,
2.745000000000000E+009,-1.919526793062687E-002,-1.798558235168457E-001,-4.848205745220184E-001,-8.426008224487305E-001,
2.762500000000000E+009,7.605222053825855E-004,-1.239464432001114E-001,-5.392853021621704E-001,-8.195701837539673E-001,
2.780000000000000E+009,5.987250804901123E-002,-1.275175213813782E-001,-5.902056097984314E-001,-7.809584736824036E-001,
2.797500000000000E+009,7.648274302482605E-002,-1.901327967643738E-001,-6.260687112808228E-001,-7.376629710197449E-001,
2.815000000000000E+009,2.291015908122063E-002,-2.376725524663925E-001,-6.525479555130005E-001,-7.032229900360107E-001,
2.832500000000000E+009,-4.552025720477104E-002,-2.167930454015732E-001,-6.845512986183167E-001,-6.782677769660950E-001,
2.850000000000000E+009,-5.657382309436798E-002,-1.513365656137466E-001,-7.281236052513123E-001,-6.492968201637268E-001,
2.867500000000000E+009,-1.670255442149937E-003,-1.214983016252518E-001,-7.733818292617798E-001,-6.048676371574402E-001,
2.885000000000000E+009,4.272762686014175E-002,-1.671539992094040E-001,-8.037974834442139E-001,-5.498023629188538E-001,
2.902500000000000E+009,1.298026088625193E-002,-2.300438582897186E-001,-8.202149868011475E-001,-5.018073320388794E-001,
2.920000000000000E+009,-6.063881143927574E-002,-2.339166849851608E-001,-8.375721573829651E-001,-4.662319123744965E-001,
2.937500000000000E+009,-9.717223048210144E-002,-1.737843900918961E-001,-8.666193485260010E-001,-4.321057796478272E-001,
2.955000000000000E+009,-5.599220842123032E-002,-1.220275759696960E-001,-9.012557864189148E-001,-3.837827444076538E-001,
