% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,-2.030579894781113E-001,9.593056142330170E-002,1.469810009002686E-001,-9.068039059638977E-001,
2.517500000000000E+009,-1.748610585927963E-001,5.825899168848991E-002,8.677756786346436E-002,-9.181349873542786E-001,
2.535000000000000E+009,-2.083270102739334E-001,2.879142016172409E-002,2.806948311626911E-002,-9.112229347229004E-001,
2.552500000000000E+009,-2.547226250171661E-001,5.840870365500450E-002,-1.536065991967917E-002,-8.992450833320618E-001,
2.570000000000000E+009,-2.541145384311676E-001,1.215964034199715E-001,-5.100245401263237E-002,-8.965492844581604E-001,
2.587500000000000E+009,-2.049989104270935E-001,1.564407795667648E-001,-9.418365359306335E-002,-9.034960865974426E-001,
2.605000000000000E+009,-1.631969362497330E-001,1.354687362909317E-001,-1.514212787151337E-001,-9.047349095344544E-001,
2.622500000000000E+009,-1.760129034519196E-001,1.030639261007309E-001,-2.104593515396118E-001,-8.890118002891541E-001,
2.640000000000000E+009,-2.154416739940643E-001,1.186263635754585E-001,-2.555249631404877E-001,-8.642972111701965E-001,
2.657500000000000E+009,-2.195347696542740E-001,1.746073961257935E-001,-2.897511720657349E-001,-8.465490341186523E-001,
2.675000000000000E+009,-1.731075346469879E-001,2.140015214681625E-001,-3.278592228889465E-001,-8.396745920181274E-001,
2.692500000000000E+009,-1.216566190123558E-001,1.983545571565628E-001,-3.798522651195526E-001,-8.303257822990418E-001,
2.710000000000000E+009,-1.216409057378769E-001,1.565786153078079E-001,-4.361976683139801E-001,-8.051397204399109E-001,
2.727500000000000E+009,-1.635349839925766E-001,1.551636606454849E-001,-4.802920222282410E-001,-7.666478157043457E-001,
2.745000000000000E+009,-1.816436201334000E-001,2.076779901981354E-001,-5.084952712059021E-001,-7.326080799102783E-001,
2.762500000000000E+009,-1.414644122123718E-001,2.605651915073395E-001,-5.355911850929260E-001,-7.123643755912781E-001,
2.780000000000000E+009,-7.527248561382294E-002,2.604446709156036E-001,-5.758544802665710E-001,-6.962753534317017E-001,
2.797500000000000E+009,-4.847212508320808E-002,2.119815498590469E-001,-6.267208456993103E-001,-6.669021844863892E-001,
2.815000000000000E+009,-8.316031098365784E-002,1.825760900974274E-001,-6.693790555000305E-001,-6.186929941177368E-001,
2.832500000000000E+009,-1.207960993051529E-001,2.171560525894165E-001,-6.923336386680603E-001,-5.690307021141052E-001,
2.850000000000000E+009,-1.012565344572067E-001,2.782628536224365E-001,-7.064350843429565E-001,-5.335899591445923E-001,
2.867500000000000E+009,-3.390667960047722E-002,3.003455996513367E-001,-7.301600575447083E-001,-5.097886919975281E-001,
2.885000000000000E+009,1.901544444262981E-002,2.611711621284485E-001,-7.679712772369385E-001,-4.791105091571808E-001,
2.902500000000000E+009,7.082545664161444E-003,2.105332612991333E-001,-8.059820532798767E-001,-4.288678169250488E-001,
2.920000000000000E+009,-3.786894306540489E-002,2.179197371006012E-001,-8.244754672050476E-001,-3.687621653079987E-001,
2.937500000000000E+009,-3.912587463855743E-002,2.749668061733246E-001,-8.267965912818909E-001,-3.210297822952271E-001,
2.955000000000000E+009,2.154144831001759E-002,3.108252286911011E-001,-8.332962393760681E-001,-2.897629439830780E-001,
2.972500000000000E+009,8.956106007099152E-002,2.806580662727356E-001,-8.565869331359863E-001,-2.589113116264343E-001,
2.990000000000000E+009,9.637595713138580E-002,2.142072618007660E-001,-8.865576982498169E-001,-2.091945856809616E-001,
3.007500000000000E+009,4.288119822740555E-002,1.946130692958832E-001,-8.996721506118774E-001,-1.421512663364410E-001,
3.025000000000000E+009,1.510754134505987E-002,2.488193958997726E-001,-8.883879780769348E-001,-8.376198261976242E-002,
