% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,2.084261924028397E-001,5.163885653018951E-002,1.713160872459412E-001,-9.516231417655945E-001,
2.517500000000000E+009,2.410223782062531E-001,-1.601023599505425E-002,1.294285506010056E-001,-9.519814252853394E-001,
2.535000000000000E+009,2.055353671312332E-001,-8.094836771488190E-002,8.829949796199799E-002,-9.619531631469727E-001,
2.552500000000000E+009,1.448106020689011E-001,-8.263552188873291E-002,3.674812242388725E-002,-9.765293002128601E-001,
2.570000000000000E+009,1.327530145645142E-001,-3.711232170462608E-002,-2.599538117647171E-002,-9.809495806694031E-001,
2.587500000000000E+009,1.794454008340836E-001,-2.183166891336441E-002,-8.597207814455032E-002,-9.701306819915772E-001,
2.605000000000000E+009,2.168405205011368E-001,-7.058736681938171E-002,-1.334601938724518E-001,-9.544928669929504E-001,
2.622500000000000E+009,1.932619512081146E-001,-1.343679279088974E-001,-1.745274960994721E-001,-9.460751414299011E-001,
2.640000000000000E+009,1.333436667919159E-001,-1.485507637262344E-001,-2.212115079164505E-001,-9.446143507957459E-001,
2.657500000000000E+009,1.061646193265915E-001,-1.100573316216469E-001,-2.794491052627564E-001,-9.380199909210205E-001,
2.675000000000000E+009,1.400860995054245E-001,-8.519002050161362E-002,-3.387179970741272E-001,-9.164729714393616E-001,
2.692500000000000E+009,1.799568384885788E-001,-1.237823218107224E-001,-3.863205015659332E-001,-8.856216073036194E-001,
2.710000000000000E+009,1.618995815515518E-001,-1.916441470384598E-001,-4.222139418125153E-001,-8.604465723037720E-001,
2.727500000000000E+009,9.360669553279877E-002,-2.184971570968628E-001,-4.599312841892242E-001,-8.446204066276550E-001,
2.745000000000000E+009,4.206478968262672E-002,-1.808186173439026E-001,-5.090327858924866E-001,-8.293688893318176E-001,
2.762500000000000E+009,5.895968154072762E-002,-1.322877109050751E-001,-5.650616288185120E-001,-8.009285330772400E-001,
2.780000000000000E+009,1.102933585643768E-001,-1.452266573905945E-001,-6.123746633529663E-001,-7.575257420539856E-001,
2.797500000000000E+009,1.149761155247688E-001,-2.126879245042801E-001,-6.433818340301514E-001,-7.140347361564636E-001,
2.815000000000000E+009,5.118651688098908E-002,-2.599749863147736E-001,-6.681112647056580E-001,-6.818215250968933E-001,
2.832500000000000E+009,-2.421431057155132E-002,-2.373284101486206E-001,-7.013561725616455E-001,-6.578096747398377E-001,
2.850000000000000E+009,-4.013864696025848E-002,-1.729778349399567E-001,-7.463684678077698E-001,-6.269053816795349E-001,
2.867500000000000E+009,7.439921610057354E-003,-1.477887034416199E-001,-7.907654047012329E-001,-5.789964199066162E-001,
2.885000000000000E+009,3.949467837810516E-002,-1.962166726589203E-001,-8.183633685112000E-001,-5.216319561004639E-001,
2.902500000000000E+009,-2.989874687045813E-003,-2.558010518550873E-001,-8.319923281669617E-001,-4.731145203113556E-001,
2.920000000000000E+009,-8.460124582052231E-002,-2.526902258396149E-001,-8.472957611083984E-001,-4.378930926322937E-001,
2.937500000000000E+009,-1.254415661096573E-001,-1.872043609619141E-001,-8.753202557563782E-001,-4.044268429279327E-001,
2.955000000000000E+009,-8.965334296226502E-002,-1.342468559741974E-001,-9.099355340003967E-001,-3.561261594295502E-001,
2.972500000000000E+009,-3.820317611098290E-002,-1.607210636138916E-001,-9.324853420257568E-001,-2.923857867717743E-001,
2.990000000000000E+009,-5.980705842375755E-002,-2.287914007902145E-001,-9.346006512641907E-001,-2.314430177211762E-001,
3.007500000000000E+009,-1.477286666631699E-001,-2.434299588203430E-001,-9.309808611869812E-001,-1.874643564224243E-001,
3.025000000000000E+009,-2.148311883211136E-001,-1.756487041711807E-001,-9.385973215103149E-001,-1.542311608791351E-001,
3.042500000000000E+009,-1.954285800457001E-001,-8.994130045175552E-002,-9.603747725486755E-001,-1.118628159165382E-001,
3.060000000000000E+009,-1.209577396512032E-001,-8.076689392328262E-002,-9.793555736541748E-001,-4.841431230306625E-002,
3.077500000000000E+009,-1.022742614150047E-001,-1.532629430294037E-001,-9.742875099182129E-001,2.275200746953487E-002,
3.095000000000000E+009,-1.811864227056503E-001,-1.986479908227921E-001,-9.516426920890808E-001,7.650776207447052E-002,
3.112500000000000E+009,-2.722760438919067E-001,-1.445351839065552E-001,-9.359965324401856E-001,1.104675531387329E-001,
3.130000000000000E+009,-2.800729572772980E-001,-3.629257529973984E-002,-9.390353560447693E-001,1.432479619979858E-001,
3.147500000000000E+009,-1.988886147737503E-001,1.956390775740147E-002,-9.508643746376038E-001,1.954248249530792E-001,
3.165000000000000E+009,-1.317250281572342E-001,-3.383672609925270E-002,-9.450656175613403E-001,2.674483358860016E-001,
3.182500000000000E+009,-1.766006946563721E-001,-1.103502660989761E-001,-9.115924835205078E-001,3.318253159523010E-001,
3.200000000000000E+009,-2.793902158737183E-001,-8.979827910661697E-002,-8.727111220359802E-001,3.693679571151733E-001,
3.217500000000000E+009,-3.181818723678589E-001,1.926147192716599E-002,-8.522176146507263E-001,3.934101462364197E-001,
3.235000000000000E+009,-2.518990039825440E-001,1.097245663404465E-001,-8.500964045524597E-001,4.290139675140381E-001,
3.252500000000000E+009,-1.555645167827606E-001,9.335070848464966E-002,-8.431150317192078E-001,4.894728064537048E-001,
3.270000000000000E+009,-1.522329151630402E-001,7.008721120655537E-003,-8.068277239799500E-001,5.561235547065735E-001,
3.287500000000000E+009,-2.446534037590027E-001,-9.691818617284298E-003,-7.521713972091675E-001,5.978429913520813E-001,
3.305000000000000E+009,-3.029723465442658E-001,8.429360389709473E-002,-7.102127671241760E-001,6.155132651329041E-001,
3.322500000000000E+009,-2.513035535812378E-001,1.912433505058289E-001,-6.919213533401489E-001,6.350911855697632E-001,
3.340000000000000E+009,-1.391663253307343E-001,2.045890390872955E-001,-6.801585555076599E-001,6.781039237976074E-001,
3.357500000000000E+009,-9.154944121837616E-002,1.178048923611641E-001,-6.452320218086243E-001,7.391062974929810E-001,
3.375000000000000E+009,-1.657631397247315E-001,5.970283597707748E-002,-5.811665654182434E-001,7.846296429634094E-001,
3.392500000000000E+009,-2.481411248445511E-001,1.265942752361298E-001,-5.188907980918884E-001,7.973912954330444E-001,
3.410000000000000E+009,-2.215089648962021E-001,2.433231770992279E-001,-4.827045500278473E-001,7.994842529296875E-001,
3.427500000000000E+009,-1.065364480018616E-001,2.862567603588104E-001,-4.647143781185150E-001,8.201229572296143E-001,
3.445000000000000E+009,-1.951419375836849E-002,2.137250602245331E-001,-4.348811209201813E-001,8.660293817520142E-001,
3.462500000000000E+009,-5.892266705632210E-002,1.200225800275803E-001,-3.721147477626801E-001,9.115293622016907E-001,
3.480000000000000E+009,-1.602629870176315E-001,1.437256485223770E-001,-2.944146096706390E-001,9.236891269683838E-001,
3.497500000000000E+009,-1.709111779928207E-001,2.607687115669251E-001,-2.394647747278214E-001,9.105988144874573E-001,
3.515000000000000E+009,-6.723733246326447E-002,3.340420722961426E-001,-2.122124582529068E-001,9.058617949485779E-001,
3.532500000000000E+009,4.892061650753021E-002,2.905204892158508E-001,-1.877212822437286E-001,9.279660582542419E-001,
3.550000000000000E+009,6.048703938722611E-002,1.808639913797379E-001,-1.361699998378754E-001,9.648657441139221E-001,
3.567500000000000E+009,-3.528657928109169E-002,1.491766870021820E-001,-5.622496828436852E-002,9.797914028167725E-001,
