% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,1.916237324476242E-001,1.284972280263901E-001,1.747072041034699E-001,-9.450516700744629E-001,
2.517500000000000E+009,2.277587205171585E-001,7.159689813852310E-002,1.358738541603088E-001,-9.495791196823120E-001,
2.535000000000000E+009,1.971969455480576E-001,1.611709035933018E-002,9.197843074798584E-002,-9.643322825431824E-001,
2.552500000000000E+009,1.413093954324722E-001,2.375952526926994E-002,3.440934419631958E-002,-9.780694842338562E-001,
2.570000000000000E+009,1.350392252206802E-001,7.799611240625382E-002,-2.946966141462326E-002,-9.758438467979431E-001,
2.587500000000000E+009,1.872713267803192E-001,1.014641448855400E-001,-8.328837901353836E-002,-9.614834785461426E-001,
2.605000000000000E+009,2.318414151668549E-001,6.211087480187416E-002,-1.250875890254974E-001,-9.502737522125244E-001,
2.622500000000000E+009,2.179980874061585E-001,6.226917263120413E-003,-1.681498885154724E-001,-9.488984346389771E-001,
2.640000000000000E+009,1.677307039499283E-001,-1.098293694667518E-003,-2.226024419069290E-001,-9.479861855506897E-001,
2.657500000000000E+009,1.513295322656632E-001,4.399828985333443E-002,-2.839043736457825E-001,-9.333823919296265E-001,
2.675000000000000E+009,1.958675980567932E-001,7.396125048398972E-002,-3.357980847358704E-001,-9.056695103645325E-001,
2.692500000000000E+009,2.466963827610016E-001,4.159578308463097E-002,-3.742481172084808E-001,-8.796942830085754E-001,
2.710000000000000E+009,2.428463697433472E-001,-2.129960805177689E-002,-4.108016192913055E-001,-8.652165532112122E-001,
2.727500000000000E+009,1.881808340549469E-001,-4.595870152115822E-002,-4.592087268829346E-001,-8.534629940986633E-001,
2.745000000000000E+009,1.501680463552475E-001,-5.448019132018089E-003,-5.167619585990906E-001,-8.288925290107727E-001,
2.762500000000000E+009,1.816253513097763E-001,4.365535080432892E-002,-5.662552714347839E-001,-7.882076501846314E-001,
2.780000000000000E+009,2.454473525285721E-001,3.097587637603283E-002,-5.988424420356751E-001,-7.465483546257019E-001,
2.797500000000000E+009,2.657146155834198E-001,-3.518805280327797E-002,-6.251145005226135E-001,-7.176213860511780E-001,
2.815000000000000E+009,2.191172391176224E-001,-8.586846292018890E-002,-6.609042286872864E-001,-6.963077187538147E-001,
2.832500000000000E+009,1.580063849687576E-001,-6.718272715806961E-002,-7.094464302062988E-001,-6.666092872619629E-001,
2.850000000000000E+009,1.584857851266861E-001,-6.409847177565098E-003,-7.548307180404663E-001,-6.180744767189026E-001,
2.867500000000000E+009,2.209991216659546E-001,1.169225107878447E-002,-7.818784117698669E-001,-5.632475018501282E-001,
2.885000000000000E+009,2.667670845985413E-001,-4.151866212487221E-002,-7.962292432785034E-001,-5.198326110839844E-001,
2.902500000000000E+009,2.421544343233109E-001,-1.083663925528526E-001,-8.170253038406372E-001,-4.892288148403168E-001,
2.920000000000000E+009,1.751850396394730E-001,-1.170280277729034E-001,-8.517968654632568E-001,-4.549109339714050E-001,
2.937500000000000E+009,1.477701067924500E-001,-6.100857630372047E-002,-8.881559371948242E-001,-4.026528000831604E-001,
2.955000000000000E+009,1.984046548604965E-001,-2.093504182994366E-002,-9.064256548881531E-001,-3.391627967357636E-001,
2.972500000000000E+009,2.603334486484528E-001,-6.005346029996872E-002,-9.077197909355164E-001,-2.866711914539337E-001,
2.990000000000000E+009,2.538024187088013E-001,-1.391409784555435E-001,-9.121257066726685E-001,-2.509158551692963E-001,
