% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,-9.219911694526672E-002,-8.152413368225098E-002,1.970929801464081E-001,-9.610056281089783E-001,
2.517500000000000E+009,-6.445632129907608E-002,-1.304240971803665E-001,1.356193423271179E-001,-9.687857627868652E-001,
2.535000000000000E+009,-1.063782945275307E-001,-1.762360632419586E-001,8.089148998260498E-002,-9.641461968421936E-001,
2.552500000000000E+009,-1.708686798810959E-001,-1.579053401947022E-001,3.747506067156792E-002,-9.610357880592346E-001,
2.570000000000000E+009,-1.878645867109299E-001,-9.460945427417755E-002,-5.378310568630695E-003,-9.662899374961853E-001,
2.587500000000000E+009,-1.462472379207611E-001,-5.725121125578880E-002,-5.860087648034096E-002,-9.740690588951111E-001,
2.605000000000000E+009,-1.078171879053116E-001,-8.419184386730194E-002,-1.202303618192673E-001,-9.711490869522095E-001,
2.622500000000000E+009,-1.300083100795746E-001,-1.288986206054688E-001,-1.769241243600845E-001,-9.548003673553467E-001,
2.640000000000000E+009,-1.875792443752289E-001,-1.229273155331612E-001,-2.213370800018311E-001,-9.366970658302307E-001,
2.657500000000000E+009,-2.115007042884827E-001,-6.617414206266403E-002,-2.623297870159149E-001,-9.267743825912476E-001,
2.675000000000000E+009,-1.756375432014465E-001,-2.086550928652287E-002,-3.115328550338745E-001,-9.210759997367859E-001,
2.692500000000000E+009,-1.282933801412582E-001,-3.785540908575058E-002,-3.703595697879791E-001,-9.060117006301880E-001,
2.710000000000000E+009,-1.374166160821915E-001,-8.883083611726761E-002,-4.250722229480743E-001,-8.768766522407532E-001,
2.727500000000000E+009,-1.977708786725998E-001,-9.812717139720917E-002,-4.661614000797272E-001,-8.428608775138855E-001,
2.745000000000000E+009,-2.390123605728149E-001,-4.399871826171875E-002,-4.995138943195343E-001,-8.172658681869507E-001,
2.762500000000000E+009,-2.142335176467896E-001,1.985680498182774E-002,-5.386667251586914E-001,-8.001143932342529E-001,
2.780000000000000E+009,-1.525833308696747E-001,2.621781267225742E-002,-5.896366834640503E-001,-7.778553366661072E-001,
2.797500000000000E+009,-1.320335865020752E-001,-2.650495432317257E-002,-6.415387988090515E-001,-7.396183609962463E-001,
2.815000000000000E+009,-1.828414499759674E-001,-6.243758276104927E-002,-6.790106296539307E-001,-6.910367608070374E-001,
2.832500000000000E+009,-2.438702285289764E-001,-2.686835825443268E-002,-7.028363347053528E-001,-6.495820879936218E-001,
2.850000000000000E+009,-2.446604371070862E-001,4.727208241820335E-002,-7.278062701225281E-001,-6.200938820838928E-001,
2.867500000000000E+009,-1.843113303184509E-001,8.437680453062058E-002,-7.649341225624085E-001,-5.923153162002564E-001,
2.885000000000000E+009,-1.335925012826920E-001,4.873441159725189E-002,-8.083760738372803E-001,-5.500161647796631E-001,
2.902500000000000E+009,-1.571984440088272E-001,-5.130483303219080E-003,-8.412334322929382E-001,-4.931299090385437E-001,
2.920000000000000E+009,-2.233463823795319E-001,4.027517978101969E-003,-8.562331199645996E-001,-4.382206797599793E-001,
2.937500000000000E+009,-2.465686053037643E-001,7.457934319972992E-002,-8.662629723548889E-001,-3.978618979454041E-001,
2.955000000000000E+009,-1.956828832626343E-001,1.309682428836823E-001,-8.871282339096069E-001,-3.646124303340912E-001,
2.972500000000000E+009,-1.265693157911301E-001,1.116125285625458E-001,-9.192683100700378E-001,-3.211503624916077E-001,
2.990000000000000E+009,-1.259578019380570E-001,4.438594356179237E-002,-9.446838498115540E-001,-2.589724659919739E-001,
3.007500000000000E+009,-1.976718008518219E-001,2.736474759876728E-002,-9.486944675445557E-001,-1.936964243650436E-001,
3.025000000000000E+009,-2.477259784936905E-001,9.565158188343048E-002,-9.405145645141602E-001,-1.454594433307648E-001,
3.042500000000000E+009,-2.113430351018906E-001,1.776597201824188E-001,-9.418451189994812E-001,-1.114026084542275E-001,
3.060000000000000E+009,-1.234154850244522E-001,1.862490773200989E-001,-9.602670073509216E-001,-7.192081958055496E-002,
3.077500000000000E+009,-8.399552106857300E-002,1.128040552139282E-001,-9.789708256721497E-001,-1.124657969921827E-002,
3.095000000000000E+009,-1.456026881933212E-001,5.700946226716042E-002,-9.748207330703735E-001,6.073179841041565E-002,
3.112500000000000E+009,-2.250432819128037E-001,1.047051995992661E-001,-9.501694440841675E-001,1.174346357584000E-001,
3.130000000000000E+009,-2.171981185674667E-001,2.056152671575546E-001,-9.298888444900513E-001,1.517438739538193E-001,
3.147500000000000E+009,-1.252792030572891E-001,2.517386078834534E-001,-9.299185276031494E-001,1.828749179840088E-001,
3.165000000000000E+009,-4.520949348807335E-002,1.949661374092102E-001,-9.398444294929504E-001,2.338230460882187E-001,
3.182500000000000E+009,-7.157475501298904E-002,1.067773923277855E-001,-9.325983524322510E-001,3.054475188255310E-001,
3.200000000000000E+009,-1.664122045040131E-001,1.126857325434685E-001,-8.963027596473694E-001,3.686402440071106E-001,
3.217500000000000E+009,-1.962787657976151E-001,2.124047726392746E-001,-8.553601503372192E-001,4.038587808609009E-001,
3.235000000000000E+009,-1.211146637797356E-001,2.893041372299194E-001,-8.353081941604614E-001,4.264303147792816E-001,
3.252500000000000E+009,-2.005544863641262E-002,2.632541358470917E-001,-8.328678607940674E-001,4.641480445861816E-001,
3.270000000000000E+009,-4.481074865907431E-003,1.675120592117310E-001,-8.208534121513367E-001,5.261434912681580E-001,
3.287500000000000E+009,-8.934429287910461E-002,1.322919726371765E-001,-7.786267995834351E-001,5.889740586280823E-001,
3.305000000000000E+009,-1.466293931007385E-001,2.135218381881714E-001,-7.224394083023071E-001,6.237958669662476E-001,
3.322500000000000E+009,-9.086316078901291E-002,3.076704740524292E-001,-6.846740245819092E-001,6.375274658203125E-001,
3.340000000000000E+009,2.069424279034138E-002,3.079852163791657E-001,-6.697358489036560E-001,6.600282192230225E-001,
3.357500000000000E+009,7.168585062026978E-002,2.135576009750366E-001,-6.538325548171997E-001,7.084454298019409E-001,
3.375000000000000E+009,4.150279331952334E-003,1.389161348342896E-001,-6.093996763229370E-001,7.677153944969177E-001,
3.392500000000000E+009,-8.266177028417587E-002,1.891738474369049E-001,-5.413388013839722E-001,8.020127415657044E-001,
3.410000000000000E+009,-5.922114476561546E-002,2.958359122276306E-001,-4.859689176082611E-001,8.060987591743469E-001,
3.427500000000000E+009,5.208067595958710E-002,3.266944289207459E-001,-4.590975344181061E-001,8.112015128135681E-001,
3.445000000000000E+009,1.345693469047546E-001,2.468298822641373E-001,-4.403066635131836E-001,8.414839506149292E-001,
3.462500000000000E+009,9.796710312366486E-002,1.429274976253510E-001,-3.983508050441742E-001,8.911505341529846E-001,
3.480000000000000E+009,-8.433378301560879E-003,1.491003334522247E-001,-3.244428038597107E-001,9.245042204856873E-001,
