% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,-1.372158527374268E-001,1.381070166826248E-001,2.009242624044418E-001,-9.487899541854858E-001,
2.517500000000000E+009,-9.756838530302048E-002,9.536149352788925E-002,1.476701050996780E-001,-9.689169526100159E-001,
2.535000000000000E+009,-1.276901215314865E-001,5.248212814331055E-002,8.423520624637604E-002,-9.764462709426880E-001,
2.552500000000000E+009,-1.812751144170761E-001,7.520393282175064E-002,2.690725401043892E-002,-9.697817564010620E-001,
2.570000000000000E+009,-1.844311356544495E-001,1.420006603002548E-001,-1.822663098573685E-002,-9.612402915954590E-001,
2.587500000000000E+009,-1.302469968795776E-001,1.806184351444244E-001,-5.979558825492859E-002,-9.615564942359924E-001,
2.605000000000000E+009,-7.915434986352921E-002,1.563046872615814E-001,-1.101293340325356E-001,-9.667936563491821E-001,
2.622500000000000E+009,-8.723006397485733E-002,1.121199652552605E-001,-1.711266040802002E-001,-9.634383320808411E-001,
2.640000000000000E+009,-1.324663907289505E-001,1.182767152786255E-001,-2.290898561477661E-001,-9.453368186950684E-001,
2.657500000000000E+009,-1.420755833387375E-001,1.755651533603668E-001,-2.747147381305695E-001,-9.225086569786072E-001,
2.675000000000000E+009,-9.222564846277237E-002,2.185703217983246E-001,-3.133316040039063E-001,-9.072578549385071E-001,
2.692500000000000E+009,-3.217842802405357E-002,2.003713846206665E-001,-3.583383262157440E-001,-8.987064957618713E-001,
2.710000000000000E+009,-2.613210864365101E-002,1.470456123352051E-001,-4.140786230564117E-001,-8.854884505271912E-001,
2.727500000000000E+009,-7.350663840770721E-002,1.330221444368362E-001,-4.709088206291199E-001,-8.562368154525757E-001,
2.745000000000000E+009,-1.014006882905960E-001,1.843612492084503E-001,-5.145030617713928E-001,-8.176743984222412E-001,
2.762500000000000E+009,-6.130472570657730E-002,2.424195110797882E-001,-5.458874702453613E-001,-7.855615019798279E-001,
2.780000000000000E+009,1.247655041515827E-002,2.419586330652237E-001,-5.790371894836426E-001,-7.641521692276001E-001,
2.797500000000000E+009,4.684203118085861E-002,1.842944622039795E-001,-6.241399049758911E-001,-7.435342669487000E-001,
