% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-4.211941659450531E-001,1.444288045167923E-001,-2.405043393373489E-001,-8.342337608337402E-001,
7.015500000000000E+008,-4.119524657726288E-001,1.682355105876923E-001,-2.617243230342865E-001,-8.257230520248413E-001,
7.131000000000000E+008,-3.990887403488159E-001,1.832814812660217E-001,-2.837105393409729E-001,-8.230811953544617E-001,
7.246500000000000E+008,-3.893429934978485E-001,1.902266889810562E-001,-3.112202584743500E-001,-8.155509233474731E-001,
7.362000000000000E+008,-3.875645101070404E-001,1.931855380535126E-001,-3.400979042053223E-001,-8.030771613121033E-001,
7.477500000000000E+008,-3.939493298530579E-001,1.992371529340744E-001,-3.671795725822449E-001,-7.856349349021912E-001,
7.593000000000000E+008,-4.036193788051605E-001,2.128327190876007E-001,-3.898538053035736E-001,-7.647728323936462E-001,
7.708500000000000E+008,-4.098630547523499E-001,2.347569465637207E-001,-4.065684080123901E-001,-7.461097836494446E-001,
7.824000000000000E+008,-4.084156453609467E-001,2.608013451099396E-001,-4.212055206298828E-001,-7.301266193389893E-001,
7.939500000000000E+008,-3.984630703926086E-001,2.851230800151825E-001,-4.356932044029236E-001,-7.174152135848999E-001,
8.055000000000000E+008,-3.831418752670288E-001,3.029365241527557E-001,-4.538084864616394E-001,-7.074975371360779E-001,
8.170500000000000E+008,-3.677822351455689E-001,3.130538463592529E-001,-4.752959012985230E-001,-6.960954070091248E-001,
8.286000000000000E+008,-3.581249117851257E-001,3.175525665283203E-001,-4.994567334651947E-001,-6.812900900840759E-001,
8.401500000000000E+008,-3.557505011558533E-001,3.217644989490509E-001,-5.229811668395996E-001,-6.613567471504211E-001,
8.517000000000000E+008,-3.591872751712799E-001,3.308572471141815E-001,-5.432493090629578E-001,-6.376110911369324E-001,
8.632500000000000E+008,-3.627112209796906E-001,3.472561240196228E-001,-5.579268932342529E-001,-6.128185987472534E-001,
8.748000000000000E+008,-3.614158332347870E-001,3.698399066925049E-001,-5.685538053512573E-001,-5.896570682525635E-001,
8.863500000000000E+008,-3.526759147644043E-001,3.940402269363403E-001,-5.772725939750671E-001,-5.707378983497620E-001,
8.979000000000000E+008,-3.369462192058563E-001,4.150023758411408E-001,-5.869574546813965E-001,-5.554943084716797E-001,
9.094500000000000E+008,-3.176831305027008E-001,4.300129711627960E-001,-5.996364951133728E-001,-5.415846109390259E-001,
9.210000000000000E+008,-2.991820871829987E-001,4.381277263164520E-001,-6.159378886222839E-001,-5.257776975631714E-001,
9.325500000000000E+008,-2.863447666168213E-001,4.420622587203980E-001,-6.341143846511841E-001,-5.076585412025452E-001,
9.441000000000000E+008,-2.798017263412476E-001,4.464625716209412E-001,-6.512190699577332E-001,-4.837756156921387E-001,
9.556500000000000E+008,-2.772060036659241E-001,4.554455280303955E-001,-6.637755036354065E-001,-4.567525982856751E-001,
9.672000000000000E+008,-2.741945087909699E-001,4.708728492259979E-001,-6.716417670249939E-001,-4.291735291481018E-001,
9.787500000000000E+008,-2.660427093505859E-001,4.908854365348816E-001,-6.750844120979309E-001,-4.050776660442352E-001,
9.903000000000000E+008,-2.502548098564148E-001,5.108606219291687E-001,-6.774614453315735E-001,-3.855163156986237E-001,
1.001850000000000E+009,-2.289132326841354E-001,5.261093974113464E-001,-6.821680665016174E-001,-3.695633709430695E-001,
1.013400000000000E+009,-2.057900875806809E-001,5.353229045867920E-001,-6.908617615699768E-001,-3.542255163192749E-001,
1.024950000000000E+009,-1.855390518903732E-001,5.374851226806641E-001,-7.030760645866394E-001,-3.366698920726776E-001,
1.036500000000000E+009,-1.723223924636841E-001,5.369685888290405E-001,-7.163236141204834E-001,-3.136830627918243E-001,
1.048050000000000E+009,-1.658941656351090E-001,5.396907329559326E-001,-7.261173129081726E-001,-2.857001721858978E-001,
1.059600000000000E+009,-1.616547256708145E-001,5.493707656860352E-001,-7.295196652412415E-001,-2.555166482925415E-001,
1.071150000000000E+009,-1.532653421163559E-001,5.663530230522156E-001,-7.270694375038147E-001,-2.278282046318054E-001,
1.082700000000000E+009,-1.367924660444260E-001,5.855339765548706E-001,-7.212694883346558E-001,-2.061255127191544E-001,
1.094250000000000E+009,-1.121569946408272E-001,6.005551218986511E-001,-7.174059152603149E-001,-1.912649869918823E-001,
1.105800000000000E+009,-8.368592709302902E-002,6.075432896614075E-001,-7.182245850563049E-001,-1.790045499801636E-001,
1.117350000000000E+009,-5.690589547157288E-002,6.063374280929565E-001,-7.269463539123535E-001,-1.652561128139496E-001,
1.128900000000000E+009,-3.767411783337593E-002,5.988791584968567E-001,-7.375417947769165E-001,-1.450052410364151E-001,
1.140450000000000E+009,-2.837103791534901E-002,5.928366184234619E-001,-7.464721202850342E-001,-1.166230887174606E-001,
1.152000000000000E+009,-2.529839240014553E-002,5.948938131332398E-001,-7.481100559234619E-001,-8.415677398443222E-002,
1.163550000000000E+009,-1.962520554661751E-002,6.074314713478088E-001,-7.395497560501099E-001,-5.282870307564735E-002,
1.175100000000000E+009,-4.647901747375727E-003,6.250713467597961E-001,-7.250787615776062E-001,-2.947493083775044E-002,
1.186650000000000E+009,2.101027406752110E-002,6.401640772819519E-001,-7.120861411094666E-001,-1.524419523775578E-002,
1.198200000000000E+009,5.333443358540535E-002,6.464712023735046E-001,-7.049599885940552E-001,-6.463945377618074E-003,
1.209750000000000E+009,8.522910624742508E-002,6.422384977340698E-001,-7.063840627670288E-001,1.996406121179462E-003,
1.221300000000000E+009,1.100904196500778E-001,6.299917101860046E-001,-7.140999436378479E-001,1.620598137378693E-002,
1.232850000000000E+009,1.238807141780853E-001,6.163885593414307E-001,-7.225075364112854E-001,3.992998600006104E-002,
1.244400000000000E+009,1.286992877721787E-001,6.097240447998047E-001,-7.238765954971314E-001,7.206616550683975E-002,
1.255950000000000E+009,1.330108791589737E-001,6.140880584716797E-001,-7.134395837783814E-001,1.044050753116608E-001,
1.267500000000000E+009,1.456376463174820E-001,6.261999607086182E-001,-6.948379278182983E-001,1.291687488555908E-001,
1.279050000000000E+009,1.693820804357529E-001,6.372052431106567E-001,-6.759792566299439E-001,1.429637670516968E-001,
1.290600000000000E+009,2.002850174903870E-001,6.397746801376343E-001,-6.631841659545898E-001,1.491690725088120E-001,
1.302150000000000E+009,2.317562699317932E-001,6.313859820365906E-001,-6.600466966629028E-001,1.553298979997635E-001,
1.313700000000000E+009,2.562900781631470E-001,6.144101619720459E-001,-6.646742820739746E-001,1.673815846443176E-001,
1.325250000000000E+009,2.697887718677521E-001,5.959898233413696E-001,-6.702966094017029E-001,1.897473186254501E-001,
1.336800000000000E+009,2.734613418579102E-001,5.842667222023010E-001,-6.682371497154236E-001,2.222693264484406E-001,
1.348350000000000E+009,2.754362225532532E-001,5.850722193717957E-001,-6.527527570724487E-001,2.555290460586548E-001,
1.359900000000000E+009,2.863444983959198E-001,5.951908826828003E-001,-6.261970996856690E-001,2.795535922050476E-001,
1.371450000000000E+009,3.100324869155884E-001,6.047729253768921E-001,-5.993518829345703E-001,2.901182472705841E-001,
1.383000000000000E+009,3.417875468730927E-001,6.058127284049988E-001,-5.800518393516541E-001,2.908410727977753E-001,
1.394550000000000E+009,3.747783601284027E-001,5.949641466140747E-001,-5.720102190971375E-001,2.899133563041687E-001,
1.406100000000000E+009,4.016631841659546E-001,5.745802521705627E-001,-5.729176402091980E-001,2.941336631774902E-001,
1.417650000000000E+009,4.185417592525482E-001,5.506344437599182E-001,-5.776264667510986E-001,3.089362084865570E-001,
1.429200000000000E+009,4.247796535491943E-001,5.300631523132324E-001,-5.775161385536194E-001,3.348259627819061E-001,
1.440750000000000E+009,4.257884919643402E-001,5.202682614326477E-001,-5.653206706047058E-001,3.654390573501587E-001,
1.452300000000000E+009,4.316058754920960E-001,5.209848284721375E-001,-5.407364964485169E-001,3.906390368938446E-001,
1.463850000000000E+009,4.481070637702942E-001,5.246633291244507E-001,-5.116525888442993E-001,4.036313295364380E-001,
1.475400000000000E+009,4.734456539154053E-001,5.222756862640381E-001,-4.872038066387177E-001,4.056486189365387E-001,
1.486950000000000E+009,5.011304020881653E-001,5.106108784675598E-001,-4.728628098964691E-001,4.036283195018768E-001,
1.498500000000000E+009,5.246168375015259E-001,4.905788004398346E-001,-4.669868648052216E-001,4.050721824169159E-001,
1.510050000000000E+009,5.402610301971436E-001,4.670408070087433E-001,-4.649935662746429E-001,4.148174822330475E-001,
1.521600000000000E+009,5.480964183807373E-001,4.458210766315460E-001,-4.599972367286682E-001,4.329312741756439E-001,
1.533150000000000E+009,5.516108274459839E-001,4.317792654037476E-001,-4.457795619964600E-001,4.557451009750366E-001,
1.544700000000000E+009,5.580766201019287E-001,4.257925748825073E-001,-4.219928979873657E-001,4.735662043094635E-001,
1.556250000000000E+009,5.720843672752380E-001,4.219633042812347E-001,-3.939691483974457E-001,4.819407761096954E-001,
1.567800000000000E+009,5.932597517967224E-001,4.139533638954163E-001,-3.703951835632324E-001,4.812509417533875E-001,
1.579350000000000E+009,6.158011555671692E-001,3.977231681346893E-001,-3.547910153865814E-001,4.765511453151703E-001,
1.590900000000000E+009,6.351085901260376E-001,3.750872015953064E-001,-3.473413288593292E-001,4.757429957389832E-001,
1.602450000000000E+009,6.475054025650024E-001,3.490323126316071E-001,-3.435037732124329E-001,4.812288582324982E-001,
1.614000000000000E+009,6.529759168624878E-001,3.243044018745422E-001,-3.373330533504486E-001,4.946240484714508E-001,
1.625550000000000E+009,6.549016237258911E-001,3.054605722427368E-001,-3.240638077259064E-001,5.122127532958984E-001,
1.637100000000000E+009,6.573707461357117E-001,2.935891747474670E-001,-3.011618256568909E-001,5.275280475616455E-001,
1.648650000000000E+009,6.656206250190735E-001,2.849250733852387E-001,-2.731994390487671E-001,5.348923206329346E-001,
1.660200000000000E+009,6.796392798423767E-001,2.744600176811218E-001,-2.475644946098328E-001,5.330475568771362E-001,
1.671750000000000E+009,6.966963410377502E-001,2.578290104866028E-001,-2.280055731534958E-001,5.262410044670105E-001,
1.683300000000000E+009,7.116102576255798E-001,2.354107350111008E-001,-2.159621566534042E-001,5.203005075454712E-001,
1.694850000000000E+009,7.217862010002136E-001,2.094485610723496E-001,-2.081124186515808E-001,5.190309882164002E-001,
1.706400000000000E+009,7.269605398178101E-001,1.835926473140717E-001,-2.000649720430374E-001,5.236234068870544E-001,
1.717950000000000E+009,7.281807661056519E-001,1.603572517633438E-001,-1.874868422746658E-001,5.324648618698120E-001,
1.729500000000000E+009,7.281903624534607E-001,1.424081474542618E-001,-1.680288910865784E-001,5.404716134071350E-001,
1.741050000000000E+009,7.311931252479553E-001,1.276778131723404E-001,-1.438418775796890E-001,5.433628559112549E-001,
1.752600000000000E+009,7.384565472602844E-001,1.129980459809303E-001,-1.189922019839287E-001,5.381417274475098E-001,
1.764150000000000E+009,7.487428188323975E-001,9.455025941133499E-002,-9.859906882047653E-002,5.258536934852600E-001,
1.775700000000000E+009,7.586405277252197E-001,7.146052271127701E-002,-8.607470989227295E-002,5.108380317687988E-001,
1.787250000000000E+009,7.658185362815857E-001,4.405897855758667E-002,-8.106707781553268E-002,4.974302947521210E-001,
1.798800000000000E+009,7.677458524703980E-001,1.438827533274889E-002,-8.205422759056091E-002,4.880350828170776E-001,
1.810350000000000E+009,7.648081779479981E-001,-1.509056612849236E-002,-8.750113844871521E-002,4.867368936538696E-001,
1.821900000000000E+009,7.560250163078308E-001,-4.041307047009468E-002,-9.162073582410812E-002,4.946970343589783E-001,
1.833450000000000E+009,7.461380362510681E-001,-6.044612452387810E-002,-8.862142264842987E-002,5.093331336975098E-001,
1.845000000000000E+009,7.376807332038879E-001,-7.539603114128113E-002,-7.561944425106049E-002,5.256065726280212E-001,
1.856550000000000E+009,7.330642938613892E-001,-8.738619089126587E-002,-5.500261858105660E-002,5.372281670570374E-001,
1.868100000000000E+009,7.336769104003906E-001,-1.008599251508713E-001,-3.136813268065453E-002,5.407638549804688E-001,
1.879650000000000E+009,7.360709309577942E-001,-1.179286539554596E-001,-1.067359745502472E-002,5.375272035598755E-001,
1.891200000000000E+009,7.374102473258972E-001,-1.397851556539536E-001,4.365716129541397E-003,5.327871441841126E-001,
1.902750000000000E+009,7.345818281173706E-001,-1.632035225629807E-001,1.526258233934641E-002,5.301899909973145E-001,
1.914300000000000E+009,7.278396487236023E-001,-1.867027133703232E-001,2.665876783430576E-002,5.319579839706421E-001,
1.925850000000000E+009,7.180398106575012E-001,-2.065611779689789E-001,4.094044119119644E-002,5.367013216018677E-001,
1.937400000000000E+009,7.081168293952942E-001,-2.218289226293564E-001,6.166563183069229E-002,5.410563349723816E-001,
1.948950000000000E+009,7.012470960617065E-001,-2.339240908622742E-001,8.721100538969040E-002,5.401251316070557E-001,
1.960500000000000E+009,6.990584135055542E-001,-2.464530616998673E-001,1.126670241355896E-001,5.305324196815491E-001,
1.972050000000000E+009,7.000647783279419E-001,-2.628800868988037E-001,1.324325501918793E-001,5.143261551856995E-001,
1.983600000000000E+009,6.995859742164612E-001,-2.848252058029175E-001,1.438003480434418E-001,4.972087442874908E-001,
1.995150000000000E+009,6.948995590209961E-001,-3.100802898406982E-001,1.482771486043930E-001,4.845736920833588E-001,
2.006700000000000E+009,6.848626732826233E-001,-3.354856073856354E-001,1.509500890970230E-001,4.792621433734894E-001,
2.018250000000000E+009,6.699638962745667E-001,-3.579641878604889E-001,1.562044322490692E-001,4.805389940738678E-001,
2.029800000000000E+009,6.531686782836914E-001,-3.748144805431366E-001,1.688823997974396E-001,4.848821461200714E-001,
2.041350000000000E+009,6.381304264068604E-001,-3.860891163349152E-001,1.899530738592148E-001,4.864638149738312E-001,
2.052900000000000E+009,6.284507513046265E-001,-3.948927223682404E-001,2.153156548738480E-001,4.787659347057343E-001,
2.064450000000000E+009,6.242055296897888E-001,-4.064243137836456E-001,2.372613400220871E-001,4.609725475311279E-001,
2.076000000000000E+009,6.211032867431641E-001,-4.235344231128693E-001,2.488247007131577E-001,4.389574229717255E-001,
2.087550000000000E+009,6.140847802162170E-001,-4.454772174358368E-001,2.516476809978485E-001,4.206787049770355E-001,
2.099100000000000E+009,6.012321114540100E-001,-4.684585332870483E-001,2.503109872341156E-001,4.106483757495880E-001,
2.110650000000000E+009,5.831836462020874E-001,-4.890902936458588E-001,2.512862682342529E-001,4.084989726543427E-001,
2.122200000000000E+009,5.622695088386536E-001,-5.044755935668945E-001,2.597366571426392E-001,4.109334647655487E-001,
2.133750000000000E+009,5.430283546447754E-001,-5.140000581741333E-001,2.775797247886658E-001,4.114891588687897E-001,
2.145300000000000E+009,5.291565656661987E-001,-5.198959112167358E-001,3.012181222438812E-001,4.028433859348297E-001,
2.156850000000000E+009,5.215147733688355E-001,-5.282887220382690E-001,3.219745457172394E-001,3.821786940097809E-001,
2.168400000000000E+009,5.154054760932922E-001,-5.426900982856751E-001,3.313511312007904E-001,3.560241162776947E-001,
2.179950000000000E+009,5.057480931282044E-001,-5.625951886177063E-001,3.299758136272430E-001,3.338388204574585E-001,
2.191500000000000E+009,4.896919429302216E-001,-5.834721326828003E-001,3.236603438854218E-001,3.214702308177948E-001,
2.203050000000000E+009,4.678156673908234E-001,-6.013209819793701E-001,3.197165429592133E-001,3.181412816047669E-001,
2.214600000000000E+009,4.432279765605927E-001,-6.134383082389832E-001,3.231360316276550E-001,3.204641342163086E-001,
2.226150000000000E+009,4.200112521648407E-001,-6.192236542701721E-001,3.366374373435974E-001,3.221472799777985E-001,
2.237700000000000E+009,4.020087122917175E-001,-6.208739876747131E-001,3.580235838890076E-001,3.151400089263916E-001,
2.249250000000000E+009,3.910094797611237E-001,-6.235917806625366E-001,3.783030211925507E-001,2.949891090393066E-001,
2.260800000000000E+009,3.830935060977936E-001,-6.327679753303528E-001,3.874270319938660E-001,2.665860056877136E-001,
2.272350000000000E+009,3.717336952686310E-001,-6.480953693389893E-001,3.836537003517151E-001,2.412624210119247E-001,
2.283900000000000E+009,3.544255197048187E-001,-6.646741628646851E-001,3.736999034881592E-001,2.261742949485779E-001,
2.295450000000000E+009,3.310948908329010E-001,-6.783593893051148E-001,3.656148016452789E-001,2.212960571050644E-001,
2.307000000000000E+009,3.050473928451538E-001,-6.867980360984802E-001,3.649792671203613E-001,2.226518690586090E-001,
2.318550000000000E+009,2.799710929393768E-001,-6.892915964126587E-001,3.739940226078033E-001,2.239154875278473E-001,
2.330100000000000E+009,2.595197856426239E-001,-6.873916387557983E-001,3.912033140659332E-001,2.179362475872040E-001,
2.341650000000000E+009,2.457684427499771E-001,-6.857542991638184E-001,4.087923169136047E-001,1.996466219425201E-001,
2.353200000000000E+009,2.357918322086334E-001,-6.896119713783264E-001,4.170539081096649E-001,1.719224601984024E-001,
2.364750000000000E+009,2.233486175537109E-001,-6.996378302574158E-001,4.116968214511871E-001,1.453382819890976E-001,
2.376300000000000E+009,2.049884349107742E-001,-7.114391922950745E-001,3.990913331508637E-001,1.287097483873367E-001,
2.387850000000000E+009,1.813899427652359E-001,-7.202885150909424E-001,3.880864083766937E-001,1.223493665456772E-001,
2.399400000000000E+009,1.555390357971191E-001,-7.243621945381165E-001,3.837845623493195E-001,1.225690022110939E-001,
2.410950000000000E+009,1.304564177989960E-001,-7.230493426322937E-001,3.885689079761505E-001,1.232343018054962E-001,
2.422500000000000E+009,1.094688400626183E-001,-7.178657650947571E-001,4.009620547294617E-001,1.176172420382500E-001,
2.434050000000000E+009,9.457550197839737E-002,-7.126271724700928E-001,4.148101806640625E-001,1.012154296040535E-001,
2.445600000000000E+009,8.334125578403473E-002,-7.117012739181519E-001,4.202188849449158E-001,7.537344098091126E-002,
2.457150000000000E+009,7.068584859371185E-002,-7.166572213172913E-001,4.130774140357971E-001,4.948497563600540E-002,
2.468700000000000E+009,5.267616733908653E-002,-7.234172821044922E-001,3.979226946830750E-001,3.302078694105148E-002,
2.480250000000000E+009,2.987340651452541E-002,-7.278026938438416E-001,3.837689757347107E-001,2.689511142671108E-002,
2.491800000000000E+009,4.933011718094349E-003,-7.271422743797302E-001,3.761818706989288E-001,2.719118446111679E-002,
2.503350000000000E+009,-2.180804871022701E-002,-7.220990657806397E-001,3.775765001773834E-001,2.768218331038952E-002,
2.514900000000000E+009,-4.218742251396179E-002,-7.131268978118897E-001,3.855576217174530E-001,2.408800460398197E-002,
2.526450000000000E+009,-5.705381184816361E-002,-7.038577198982239E-001,3.962066173553467E-001,1.107752975076437E-002,
2.538000000000000E+009,-6.801051646471024E-002,-6.980502605438232E-001,4.011211991310120E-001,-1.136279199272394E-002,
2.549550000000000E+009,-7.925185561180115E-002,-6.971201300621033E-001,3.945041000843048E-001,-3.584070131182671E-002,
2.561100000000000E+009,-9.488237649202347E-002,-6.988218426704407E-001,3.788737952709198E-001,-5.354096367955208E-002,
2.572650000000000E+009,-1.151864007115364E-001,-6.988205313682556E-001,3.624622523784638E-001,-6.088376045227051E-002,
2.584200000000000E+009,-1.374395638704300E-001,-6.946917176246643E-001,3.512809574604034E-001,-6.140122935175896E-002,
2.595750000000000E+009,-1.588102430105209E-001,-6.868250966072083E-001,3.478409349918366E-001,-6.017859280109406E-002,
2.607300000000000E+009,-1.770458221435547E-001,-6.761205196380615E-001,3.509195446968079E-001,-6.249444186687470E-002,
2.618850000000000E+009,-1.915136724710465E-001,-6.648803949356079E-001,3.563301861286163E-001,-7.223623991012573E-002,
2.630400000000000E+009,-2.023779451847076E-001,-6.560006141662598E-001,3.579986095428467E-001,-8.945671468973160E-002,
2.641950000000000E+009,-2.133430987596512E-001,-6.508255600929260E-001,3.508403897285461E-001,-1.096135228872299E-001,
2.653500000000000E+009,-2.272066920995712E-001,-6.478707194328308E-001,3.353284001350403E-001,-1.243852600455284E-001,
2.665050000000000E+009,-2.448360472917557E-001,-6.435891985893250E-001,3.183028399944305E-001,-1.303488314151764E-001,
2.676600000000000E+009,-2.639937996864319E-001,-6.364197134971619E-001,3.061221539974213E-001,-1.297988295555115E-001,
2.688150000000000E+009,-2.826335430145264E-001,-6.253712773323059E-001,3.005470335483551E-001,-1.272885203361511E-001,
2.699700000000000E+009,-2.986155152320862E-001,-6.122418045997620E-001,3.011573553085327E-001,-1.275857985019684E-001,
2.711250000000000E+009,-3.112110197544098E-001,-5.986536741256714E-001,3.046123087406158E-001,-1.341879814863205E-001,
2.722800000000000E+009,-3.203446269035339E-001,-5.867816805839539E-001,3.057461082935333E-001,-1.481819599866867E-001,
2.734350000000000E+009,-3.286293447017670E-001,-5.784802436828613E-001,2.988162338733673E-001,-1.660198122262955E-001,
2.745900000000000E+009,-3.393216431140900E-001,-5.726815462112427E-001,2.831920087337494E-001,-1.804679632186890E-001,
2.757450000000000E+009,-3.534373641014099E-001,-5.663493275642395E-001,2.643972933292389E-001,-1.860445439815521E-001,
2.769000000000000E+009,-3.698024153709412E-001,-5.570273995399475E-001,2.491896301507950E-001,-1.839846968650818E-001,
2.780550000000000E+009,-3.856682777404785E-001,-5.442840456962585E-001,2.408310323953629E-001,-1.789193749427795E-001,
2.792100000000000E+009,-3.994767963886261E-001,-5.293704867362976E-001,2.389030605554581E-001,-1.756901293992996E-001,
2.803650000000000E+009,-4.105277359485626E-001,-5.135164260864258E-001,2.409149855375290E-001,-1.775406152009964E-001,
2.815200000000000E+009,-4.183939993381500E-001,-4.988348186016083E-001,2.426139861345291E-001,-1.863352209329605E-001,
2.826750000000000E+009,-4.242895543575287E-001,-4.869349598884583E-001,2.386827766895294E-001,-2.005630284547806E-001,
2.838300000000000E+009,-4.341592490673065E-001,-4.802191555500031E-001,2.312992662191391E-001,-2.191383987665176E-001,
2.849850000000000E+009,-4.442389309406281E-001,-4.721694588661194E-001,2.123298794031143E-001,-2.265876531600952E-001,
2.861400000000000E+009,-4.570040404796600E-001,-4.622401893138886E-001,1.945404708385468E-001,-2.249772101640701E-001,
2.872950000000000E+009,-4.700708985328674E-001,-4.490770101547241E-001,1.829872578382492E-001,-2.185038477182388E-001,
2.884500000000000E+009,-4.817425906658173E-001,-4.331833422183991E-001,1.782188266515732E-001,-2.122768163681030E-001,
2.896050000000000E+009,-4.906332790851593E-001,-4.161276221275330E-001,1.783183515071869E-001,-2.101421058177948E-001,
2.907600000000000E+009,-4.966726303100586E-001,-3.994630277156830E-001,1.795052736997604E-001,-2.141132056713104E-001,
2.919150000000000E+009,-5.005982518196106E-001,-3.847147226333618E-001,1.774275600910187E-001,-2.238804697990418E-001,
2.930700000000000E+009,-5.042290687561035E-001,-3.727476596832275E-001,1.679024845361710E-001,-2.357323765754700E-001,
2.942250000000000E+009,-5.097849369049072E-001,-3.623115718364716E-001,1.514024585485458E-001,-2.428286671638489E-001,
2.953800000000000E+009,-5.182646512985230E-001,-3.512061834335327E-001,1.337955147027969E-001,-2.414711415767670E-001,
2.965350000000000E+009,-5.276110768318176E-001,-3.372945487499237E-001,1.211364045739174E-001,-2.340304553508759E-001,
2.976900000000000E+009,-5.361289381980896E-001,-3.208001255989075E-001,1.155112087726593E-001,-2.256731092929840E-001,
2.988450000000000E+009,-5.420510768890381E-001,-3.030965328216553E-001,1.151042804121971E-001,-2.206182628870010E-001,
3.000000000000000E+009,-5.453993678092957E-001,-2.856760323047638E-001,1.168241128325462E-001,-2.212134897708893E-001,
