% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.465030670166016E-001,4.280970096588135E-001,-3.814512491226196E-001,-5.362871885299683E-001,
7.015500000000000E+008,-5.260592699050903E-001,4.502016007900238E-001,-3.953990936279297E-001,-5.243797898292542E-001,
7.131000000000000E+008,-5.076320171356201E-001,4.645239412784576E-001,-4.135268926620483E-001,-5.153108239173889E-001,
7.246500000000000E+008,-4.952113330364227E-001,4.791986942291260E-001,-4.348833262920380E-001,-4.975417852401733E-001,
7.362000000000000E+008,-4.860802590847015E-001,4.944201111793518E-001,-4.531345069408417E-001,-4.741577804088593E-001,
7.477500000000000E+008,-4.803127348423004E-001,5.112951993942261E-001,-4.655413329601288E-001,-4.478551447391510E-001,
7.593000000000000E+008,-4.724202156066895E-001,5.331169962882996E-001,-4.716125428676605E-001,-4.229732155799866E-001,
7.708500000000000E+008,-4.572900533676148E-001,5.543597936630249E-001,-4.741661846637726E-001,-4.043474495410919E-001,
7.824000000000000E+008,-4.392669200897217E-001,5.723891258239746E-001,-4.781249165534973E-001,-3.896599113941193E-001,
7.939500000000000E+008,-4.158048927783966E-001,5.932260155677795E-001,-4.831389486789703E-001,-3.690462410449982E-001,
8.055000000000000E+008,-3.919780850410461E-001,6.026223897933960E-001,-4.941180348396301E-001,-3.542788624763489E-001,
8.170500000000000E+008,-3.739535808563232E-001,6.105839610099793E-001,-5.061837434768677E-001,-3.348625004291534E-001,
8.286000000000000E+008,-3.598926365375519E-001,6.214829683303833E-001,-5.155797600746155E-001,-3.112532198429108E-001,
8.401500000000000E+008,-3.488725721836090E-001,6.338872909545898E-001,-5.199023485183716E-001,-2.859243154525757E-001,
8.517000000000000E+008,-3.391391336917877E-001,6.504480838775635E-001,-5.200854539871216E-001,-2.630753517150879E-001,
8.632500000000000E+008,-3.227225542068481E-001,6.681843400001526E-001,-5.170526504516602E-001,-2.441514730453491E-001,
8.748000000000000E+008,-3.020842671394348E-001,6.838081479072571E-001,-5.134468078613281E-001,-2.288138568401337E-001,
8.863500000000000E+008,-2.780507802963257E-001,6.977688670158386E-001,-5.126054883003235E-001,-2.175523191690445E-001,
8.979000000000000E+008,-2.497362196445465E-001,7.058535814285278E-001,-5.157894492149353E-001,-2.075667977333069E-001,
9.094500000000000E+008,-2.221926748752594E-001,7.116552591323853E-001,-5.222133994102478E-001,-1.945225596427918E-001,
9.210000000000000E+008,-1.973109841346741E-001,7.154924869537354E-001,-5.311783552169800E-001,-1.774996519088745E-001,
9.325500000000000E+008,-1.767199635505676E-001,7.189091444015503E-001,-5.392839908599854E-001,-1.568122506141663E-001,
9.441000000000000E+008,-1.596112400293350E-001,7.242226004600525E-001,-5.421963930130005E-001,-1.318139135837555E-001,
9.556500000000000E+008,-1.416286528110504E-001,7.298976778984070E-001,-5.402511358261108E-001,-1.078214198350906E-001,
9.672000000000000E+008,-1.199349984526634E-001,7.326943278312683E-001,-5.351212620735169E-001,-8.643440902233124E-002,
9.787500000000000E+008,-9.881009906530380E-002,7.371789813041687E-001,-5.283377766609192E-001,-6.909476220607758E-002,
9.903000000000000E+008,-7.076390832662582E-002,7.372483611106873E-001,-5.241142511367798E-001,-5.464138835668564E-002,
1.001850000000000E+009,-4.376965016126633E-002,7.303512692451477E-001,-5.242357850074768E-001,-3.998014330863953E-002,
1.013400000000000E+009,-1.646956428885460E-002,7.260732054710388E-001,-5.277411937713623E-001,-2.052078209817410E-002,
1.024950000000000E+009,1.218841504305601E-002,7.128557562828064E-001,-5.336989164352417E-001,7.806810550391674E-003,
1.036500000000000E+009,3.138624131679535E-002,6.848251223564148E-001,-5.343961715698242E-001,5.418451502919197E-002,
1.048050000000000E+009,2.946139127016068E-002,6.518833637237549E-001,-5.088765621185303E-001,1.076382249593735E-001,
1.059600000000000E+009,1.080185361206532E-002,6.402088999748230E-001,-4.624584317207336E-001,1.353622078895569E-001,
1.071150000000000E+009,-1.789016090333462E-002,6.716504693031311E-001,-4.089865088462830E-001,1.195929720997810E-001,
1.082700000000000E+009,9.044458158314228E-003,7.246986031532288E-001,-3.989394605159760E-001,8.118016272783279E-002,
1.094250000000000E+009,5.580989643931389E-002,7.370893955230713E-001,-4.053681492805481E-001,6.789400428533554E-002,
1.105800000000000E+009,8.623982965946198E-002,7.342319488525391E-001,-4.024642407894135E-001,6.099592521786690E-002,
1.117350000000000E+009,1.092311069369316E-001,7.320007085800171E-001,-4.108728468418121E-001,4.736239090561867E-002,
1.128900000000000E+009,1.308991461992264E-001,7.344573736190796E-001,-4.340811073780060E-001,4.749147966504097E-002,
1.140450000000000E+009,1.567807197570801E-001,7.349593639373779E-001,-4.581381976604462E-001,7.092187553644180E-002,
1.152000000000000E+009,1.820518821477890E-001,7.300933003425598E-001,-4.622900784015656E-001,1.076755821704865E-001,
1.163550000000000E+009,2.063662856817246E-001,7.212375402450562E-001,-4.491319358348846E-001,1.378069370985031E-001,
1.175100000000000E+009,2.326689511537552E-001,7.082136869430542E-001,-4.309138357639313E-001,1.575757861137390E-001,
1.186650000000000E+009,2.548378407955170E-001,6.939623951911926E-001,-4.119279086589813E-001,1.672545522451401E-001,
1.198200000000000E+009,2.802064418792725E-001,6.812788248062134E-001,-4.046513140201569E-001,1.701878607273102E-001,
1.209750000000000E+009,3.088281750679016E-001,6.612145304679871E-001,-4.032213389873505E-001,1.831445842981339E-001,
1.221300000000000E+009,3.258652687072754E-001,6.411052346229553E-001,-3.959797322750092E-001,2.012094557285309E-001,
1.232850000000000E+009,3.341200351715088E-001,6.249658465385437E-001,-3.822859823703766E-001,2.161441743373871E-001,
1.244400000000000E+009,3.426295816898346E-001,6.119470000267029E-001,-3.693290650844574E-001,2.277678251266480E-001,
1.255950000000000E+009,3.482956290245056E-001,6.023533344268799E-001,-3.563876152038574E-001,2.398678809404373E-001,
1.267500000000000E+009,3.527991175651550E-001,5.972042083740234E-001,-3.393579125404358E-001,2.492556571960449E-001,
1.279050000000000E+009,3.666472136974335E-001,5.919574499130249E-001,-3.243485689163208E-001,2.548057734966278E-001,
1.290600000000000E+009,3.857845664024353E-001,5.819058418273926E-001,-3.131417036056519E-001,2.601677775382996E-001,
1.302150000000000E+009,4.028946459293366E-001,5.631257891654968E-001,-3.026432991027832E-001,2.698766291141510E-001,
1.313700000000000E+009,4.155501127243042E-001,5.425752401351929E-001,-2.912337183952332E-001,2.840727567672730E-001,
1.325250000000000E+009,4.234624505043030E-001,5.282446146011353E-001,-2.740856409072876E-001,3.010406494140625E-001,
1.336800000000000E+009,4.273498356342316E-001,5.153810381889343E-001,-2.462128847837448E-001,3.126308917999268E-001,
1.348350000000000E+009,4.349733889102936E-001,5.048349499702454E-001,-2.162243872880936E-001,3.141724169254303E-001,
1.359900000000000E+009,4.519095420837402E-001,4.962314069271088E-001,-1.917352825403214E-001,3.076681792736054E-001,
1.371450000000000E+009,4.694200456142426E-001,4.804111123085022E-001,-1.748589724302292E-001,2.966233193874359E-001,
1.383000000000000E+009,4.855289161205292E-001,4.615640640258789E-001,-1.665072441101074E-001,2.861967682838440E-001,
1.394550000000000E+009,5.031994581222534E-001,4.431664645671845E-001,-1.640547513961792E-001,2.808170020580292E-001,
1.406100000000000E+009,5.148628950119019E-001,4.224403798580170E-001,-1.623300164937973E-001,2.807912528514862E-001,
1.417650000000000E+009,5.177488327026367E-001,4.025174677371979E-001,-1.573425829410553E-001,2.856165170669556E-001,
1.429200000000000E+009,5.201541781425476E-001,3.852852880954742E-001,-1.473849415779114E-001,2.934126853942871E-001,
1.440750000000000E+009,5.252554416656494E-001,3.713038563728333E-001,-1.319919675588608E-001,2.997531592845917E-001,
1.452300000000000E+009,5.306565761566162E-001,3.576287031173706E-001,-1.134683936834335E-001,2.997223138809204E-001,
1.463850000000000E+009,5.413535833358765E-001,3.420511782169342E-001,-9.865456819534302E-002,2.943257391452789E-001,
1.475400000000000E+009,5.612636208534241E-001,3.241844773292542E-001,-9.202248603105545E-002,2.885942459106445E-001,
1.486950000000000E+009,5.713848471641541E-001,3.040890693664551E-001,-8.816253393888474E-002,2.833776175975800E-001,
1.498500000000000E+009,5.751808285713196E-001,2.818939685821533E-001,-8.477273583412170E-002,2.814173102378845E-001,
1.510050000000000E+009,5.818430781364441E-001,2.634995877742767E-001,-8.127965033054352E-002,2.845058143138886E-001,
1.521600000000000E+009,5.752691030502319E-001,2.466316372156143E-001,-7.053302973508835E-002,2.872568070888519E-001,
1.533150000000000E+009,5.689358115196228E-001,2.314414381980896E-001,-5.526112765073776E-002,2.888151407241821E-001,
1.544700000000000E+009,5.733645558357239E-001,2.185483574867249E-001,-4.048426076769829E-002,2.883489727973938E-001,
1.556250000000000E+009,5.855230093002319E-001,2.026648074388504E-001,-2.842080220580101E-002,2.854795157909393E-001,
1.567800000000000E+009,5.910208225250244E-001,1.833869516849518E-001,-1.923797093331814E-002,2.796106636524200E-001,
1.579350000000000E+009,6.044420599937439E-001,1.624576598405838E-001,-1.670319959521294E-002,2.781234681606293E-001,
1.590900000000000E+009,6.128871440887451E-001,1.399525105953217E-001,-1.513312477618456E-002,2.790310382843018E-001,
1.602450000000000E+009,6.000932455062866E-001,1.206280365586281E-001,-7.266504690051079E-003,2.781836092472076E-001,
1.614000000000000E+009,5.929246544837952E-001,1.062629595398903E-001,3.440787084400654E-003,2.797279357910156E-001,
1.625550000000000E+009,5.868000984191895E-001,9.365590661764145E-002,1.847291179001331E-002,2.793274223804474E-001,
1.637100000000000E+009,5.809689164161682E-001,8.413664996623993E-002,3.574540093541145E-002,2.740748822689056E-001,
1.648650000000000E+009,5.859158635139465E-001,6.992707401514053E-002,5.049007758498192E-002,2.677261233329773E-001,
1.660200000000000E+009,5.961343050003052E-001,4.920351505279541E-002,6.037815287709236E-002,2.631661295890808E-001,
1.671750000000000E+009,6.038304567337036E-001,2.670681104063988E-002,6.623000651597977E-002,2.596707344055176E-001,
1.683300000000000E+009,6.075474619865418E-001,3.315644571557641E-003,6.973349303007126E-002,2.579637169837952E-001,
1.694850000000000E+009,5.927166342735291E-001,-1.374477706849575E-002,7.693953067064285E-002,2.506442368030548E-001,
1.706400000000000E+009,5.783656239509583E-001,-2.552538923919201E-002,8.619247376918793E-002,2.429117709398270E-001,
1.717950000000000E+009,5.677599310874939E-001,-3.710673004388809E-002,9.738164395093918E-002,2.349156290292740E-001,
1.729500000000000E+009,5.564613938331604E-001,-4.333913326263428E-002,1.089871376752853E-001,2.220139950513840E-001,
1.741050000000000E+009,5.582619905471802E-001,-5.792486295104027E-002,1.191930621862412E-001,2.119085788726807E-001,
1.752600000000000E+009,5.696600675582886E-001,-8.380346745252609E-002,1.268489062786102E-001,2.095019966363907E-001,
1.764150000000000E+009,5.726945400238037E-001,-1.071774140000343E-001,1.292617321014404E-001,2.031439691781998E-001,
1.775700000000000E+009,5.678721070289612E-001,-1.266550123691559E-001,1.271616071462631E-001,1.950067132711411E-001,
1.787250000000000E+009,5.451003909111023E-001,-1.357250660657883E-001,1.229830384254456E-001,1.801166236400604E-001,
1.798800000000000E+009,5.095093846321106E-001,-1.287493109703064E-001,1.161114126443863E-001,1.609796583652496E-001,
1.810350000000000E+009,4.598400890827179E-001,-6.814289093017578E-002,8.373828232288361E-002,1.278000473976135E-001,
1.821900000000000E+009,4.703871905803680E-001,-7.565121352672577E-002,6.745197623968124E-002,1.384211629629135E-001,
1.833450000000000E+009,5.083395242691040E-001,-1.210409328341484E-001,8.130270242691040E-002,1.502558588981628E-001,
1.845000000000000E+009,5.017294883728027E-001,-1.418340057134628E-001,1.256277412176132E-001,1.505249291658402E-001,
1.856550000000000E+009,4.870966076850891E-001,-1.787623316049576E-001,1.581365317106247E-001,1.618620157241821E-001,
1.868100000000000E+009,4.811737835407257E-001,-2.088029235601425E-001,1.713547110557556E-001,1.669335365295410E-001,
1.879650000000000E+009,4.879371523857117E-001,-2.368533164262772E-001,1.744949668645859E-001,1.698073148727417E-001,
1.891200000000000E+009,4.673829972743988E-001,-2.368634641170502E-001,1.749615669250488E-001,1.507004052400589E-001,
1.902750000000000E+009,4.595322608947754E-001,-2.466328144073486E-001,1.761591881513596E-001,1.431576609611511E-001,
1.914300000000000E+009,4.528543353080750E-001,-2.573962211608887E-001,1.789773404598236E-001,1.379518061876297E-001,
1.925850000000000E+009,4.511878788471222E-001,-2.718658745288849E-001,1.838191896677017E-001,1.364002376794815E-001,
1.937400000000000E+009,4.468049108982086E-001,-2.829347550868988E-001,1.892080008983612E-001,1.304802149534226E-001,
1.948950000000000E+009,4.363089501857758E-001,-2.886835634708405E-001,1.929934471845627E-001,1.170729547739029E-001,
1.960500000000000E+009,4.263959825038910E-001,-2.968746125698090E-001,1.941871345043182E-001,1.036752834916115E-001,
1.972050000000000E+009,4.157595634460449E-001,-3.062677979469299E-001,1.925693452358246E-001,9.217935055494309E-002,
1.983600000000000E+009,4.041507542133331E-001,-3.159450888633728E-001,1.892181187868118E-001,8.442523330450058E-002,
1.995150000000000E+009,3.901338279247284E-001,-3.205473124980927E-001,1.848219484090805E-001,7.788558304309845E-002,
2.006700000000000E+009,3.783803880214691E-001,-3.253600001335144E-001,1.823481619358063E-001,7.468786090612412E-002,
2.018250000000000E+009,3.744671642780304E-001,-3.380217552185059E-001,1.832336932420731E-001,7.822836190462112E-002,
2.029800000000000E+009,3.656835258007050E-001,-3.406072556972504E-001,1.846829205751419E-001,7.525964826345444E-002,
2.041350000000000E+009,3.548420071601868E-001,-3.415114879608154E-001,1.870254129171372E-001,6.736544519662857E-002,
2.052900000000000E+009,3.479859828948975E-001,-3.524584472179413E-001,1.888237893581390E-001,6.228376924991608E-002,
2.064450000000000E+009,3.379102945327759E-001,-3.613100945949554E-001,1.866322308778763E-001,5.500587448477745E-002,
2.076000000000000E+009,3.235748708248138E-001,-3.685927689075470E-001,1.813150942325592E-001,4.834981262683868E-002,
2.087550000000000E+009,3.073482513427734E-001,-3.786503076553345E-001,1.755913197994232E-001,4.531755298376083E-002,
2.099100000000000E+009,2.874869108200073E-001,-3.816385567188263E-001,1.710072308778763E-001,4.109150916337967E-002,
2.110650000000000E+009,2.708455324172974E-001,-3.854414820671082E-001,1.690043061971664E-001,3.853528574109078E-002,
2.122200000000000E+009,2.640973627567291E-001,-4.041635394096375E-001,1.693339347839356E-001,4.155021160840988E-002,
2.133750000000000E+009,2.505427598953247E-001,-4.015854597091675E-001,1.698526144027710E-001,3.400196135044098E-002,
2.145300000000000E+009,2.420219182968140E-001,-4.096400737762451E-001,1.692567467689514E-001,2.764715626835823E-002,
2.156850000000000E+009,2.412714362144470E-001,-4.294076561927795E-001,1.638983041048050E-001,2.401960641145706E-002,
2.168400000000000E+009,2.396824806928635E-001,-4.363999068737030E-001,1.514434963464737E-001,1.830039359629154E-002,
2.179950000000000E+009,2.369088679552078E-001,-4.293254315853119E-001,1.346780806779862E-001,1.158263720571995E-002,
2.191500000000000E+009,2.359182238578796E-001,-4.108220636844635E-001,1.161283105611801E-001,3.216857090592384E-003,
2.203050000000000E+009,2.177007198333740E-001,-3.880815804004669E-001,1.027813777327538E-001,-1.122334040701389E-002,
2.214600000000000E+009,2.055021375417709E-001,-3.798849582672119E-001,1.015482917428017E-001,-2.733137272298336E-002,
2.226150000000000E+009,1.966257244348526E-001,-3.835687041282654E-001,1.134332790970802E-001,-3.287891298532486E-002,
2.237700000000000E+009,1.890109479427338E-001,-3.857176601886749E-001,1.194531098008156E-001,-3.425162658095360E-002,
2.249250000000000E+009,1.844455152750015E-001,-3.980497121810913E-001,1.247084364295006E-001,-3.333562612533569E-002,
2.260800000000000E+009,1.815542131662369E-001,-4.122663736343384E-001,1.264718919992447E-001,-2.984592691063881E-002,
2.272350000000000E+009,1.753453612327576E-001,-4.128504991531372E-001,1.224765181541443E-001,-2.731876634061337E-002,
2.283900000000000E+009,1.658722907304764E-001,-4.143894016742706E-001,1.211485713720322E-001,-2.105145715177059E-002,
2.295450000000000E+009,1.511188298463821E-001,-4.157474339008331E-001,1.212386712431908E-001,-1.315886899828911E-002,
