% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.668143458664417E-002,-2.386975660920143E-002,1.770381927490234E-001,-9.769977927207947E-001,
7.015500000000000E+008,-1.908532902598381E-002,-6.891189143061638E-003,1.515094637870789E-001,-9.783670306205750E-001,
7.131000000000000E+008,-9.871300309896469E-003,6.833620369434357E-003,1.313252747058868E-001,-9.835439920425415E-001,
7.246500000000000E+008,5.565152969211340E-003,1.045218668878079E-002,1.074436828494072E-001,-9.861654043197632E-001,
7.362000000000000E+008,1.871868595480919E-002,2.710627391934395E-003,8.435022830963135E-002,-9.879032373428345E-001,
7.477500000000000E+008,2.253394201397896E-002,-1.188139710575342E-002,6.173993647098541E-002,-9.900379180908203E-001,
7.593000000000000E+008,1.533355936408043E-002,-2.532099373638630E-002,3.879231959581375E-002,-9.906463623046875E-001,
7.708500000000000E+008,7.294185925275087E-004,-3.046665154397488E-002,1.572054065763950E-002,-9.915403723716736E-001,
7.824000000000000E+008,-1.366353221237660E-002,-2.474432811141014E-002,-7.749292533844709E-003,-9.916791319847107E-001,
7.939500000000000E+008,-2.064573951065540E-002,-1.104730274528265E-002,-3.083240054547787E-002,-9.909417629241943E-001,
8.055000000000000E+008,-1.691658049821854E-002,3.641890827566385E-003,-5.442778021097183E-002,-9.905935525894165E-001,
8.170500000000000E+008,-4.450801759958267E-003,1.220445334911346E-002,-7.761088758707047E-002,-9.889477491378784E-001,
8.286000000000000E+008,1.032753847539425E-002,1.042082440108061E-002,-1.003805994987488E-001,-9.866229295730591E-001,
8.401500000000000E+008,2.014339342713356E-002,-5.966691533103585E-004,-1.239435449242592E-001,-9.839262366294861E-001,
8.517000000000000E+008,2.029252424836159E-002,-1.554214302450419E-002,-1.464335322380066E-001,-9.805349707603455E-001,
8.632500000000000E+008,1.070181932300329E-002,-2.736306935548782E-002,-1.693005263805389E-001,-9.776084423065186E-001,
8.748000000000000E+008,-4.398779943585396E-003,-3.056033141911030E-002,-1.915906816720963E-001,-9.730300903320313E-001,
8.863500000000000E+008,-1.795315928757191E-002,-2.386008761823177E-002,-2.146621048450470E-001,-9.684919714927673E-001,
8.979000000000000E+008,-2.413087897002697E-002,-1.053938828408718E-002,-2.368918657302856E-001,-9.629317522048950E-001,
9.094500000000000E+008,-2.045583538711071E-002,3.287136787548661E-003,-2.593605220317841E-001,-9.573175907135010E-001,
9.210000000000000E+008,-9.065271355211735E-003,1.120712794363499E-002,-2.817167937755585E-001,-9.509774446487427E-001,
9.325500000000000E+008,4.285627976059914E-003,9.770778007805347E-003,-3.039948940277100E-001,-9.443708658218384E-001,
9.441000000000000E+008,1.297309435904026E-002,-1.393414713675156E-004,-3.253805041313171E-001,-9.367195367813110E-001,
9.556500000000000E+008,1.259683351963759E-002,-1.356458943337202E-002,-3.476199805736542E-001,-9.290215373039246E-001,
9.672000000000000E+008,2.856703940778971E-003,-2.364354580640793E-002,-3.687633574008942E-001,-9.202428460121155E-001,
9.787500000000000E+008,-1.168438326567411E-002,-2.513981051743031E-002,-3.905441462993622E-001,-9.115372300148010E-001,
9.903000000000000E+008,-2.395738475024700E-002,-1.681595295667648E-002,-4.116135835647583E-001,-9.020022153854370E-001,
1.001850000000000E+009,-2.789476886391640E-002,-2.374897478148341E-003,-4.320581257343292E-001,-8.918499350547791E-001,
1.013400000000000E+009,-2.118315547704697E-002,1.098354719579220E-002,-4.531381130218506E-001,-8.820359110832214E-001,
