% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-1.603973098099232E-002,-2.589348331093788E-002,1.785962879657745E-001,-9.755785465240479E-001,
7.015500000000000E+008,-2.030483819544315E-002,-9.062355384230614E-003,1.530245095491409E-001,-9.768729805946350E-001,
7.131000000000000E+008,-1.227703411132097E-002,5.634590052068234E-003,1.332145482301712E-001,-9.813131690025330E-001,
7.246500000000000E+008,3.374991938471794E-003,1.084980927407742E-002,1.093149855732918E-001,-9.840840697288513E-001,
7.362000000000000E+008,1.799676194787026E-002,4.336110316216946E-003,8.595829457044601E-002,-9.859657287597656E-001,
7.477500000000000E+008,2.363270521163940E-002,-1.007671561092138E-002,6.325209885835648E-002,-9.878152012825012E-001,
7.593000000000000E+008,1.750878244638443E-002,-2.423970215022564E-002,4.056182503700256E-002,-9.884990453720093E-001,
7.708500000000000E+008,2.666940912604332E-003,-3.063754178583622E-002,1.731009222567082E-002,-9.891445636749268E-001,
7.824000000000000E+008,-1.310677826404572E-002,-2.577826380729675E-002,-6.049094721674919E-003,-9.895083904266357E-001,
7.939500000000000E+008,-2.185709401965141E-002,-1.212916709482670E-002,-2.949109673500061E-002,-9.885608553886414E-001,
8.055000000000000E+008,-1.933008059859276E-002,3.279071534052491E-003,-5.276596173644066E-002,-9.880674481391907E-001,
8.170500000000000E+008,-6.789858452975750E-003,1.281889993697405E-002,-7.609485089778900E-002,-9.862477183341980E-001,
8.286000000000000E+008,9.202930144965649E-003,1.165233179926872E-002,-9.855442494153976E-002,-9.835448861122131E-001,
8.401500000000000E+008,2.068486250936985E-002,4.951744922436774E-004,-1.220820471644402E-001,-9.805115461349487E-001,
8.517000000000000E+008,2.208559960126877E-002,-1.516216155141592E-002,-1.439805924892426E-001,-9.769983291625977E-001,
8.632500000000000E+008,1.270085386931896E-002,-2.782791107892990E-002,-1.666631251573563E-001,-9.743818044662476E-001,
8.748000000000000E+008,-3.266809508204460E-003,-3.151446953415871E-002,-1.886750608682632E-001,-9.699217677116394E-001,
8.863500000000000E+008,-1.818894781172276E-002,-2.453009039163590E-002,-2.114235460758209E-001,-9.656447172164917E-001,
8.979000000000000E+008,-2.566573023796082E-002,-1.045094802975655E-002,-2.332852631807327E-001,-9.603708386421204E-001,
9.094500000000000E+008,-2.256826311349869E-002,4.184900317341089E-003,-2.555842995643616E-001,-9.550442695617676E-001,
9.210000000000000E+008,-1.090336032211781E-002,1.251203566789627E-002,-2.781211733818054E-001,-9.485844373703003E-001,
9.325500000000000E+008,3.230513771995902E-003,1.088127680122852E-002,-3.005497157573700E-001,-9.421098232269287E-001,
9.441000000000000E+008,1.277405675500631E-002,2.509386395104230E-004,-3.221728503704071E-001,-9.345515370368958E-001,
9.556500000000000E+008,1.286717317998409E-002,-1.396013516932726E-002,-3.447307348251343E-001,-9.270354509353638E-001,
9.672000000000000E+008,3.052293555811048E-003,-2.454469166696072E-002,-3.660946488380432E-001,-9.182103276252747E-001,
9.787500000000000E+008,-1.195236574858427E-002,-2.609469927847385E-002,-3.883213698863983E-001,-9.093126058578491E-001,
9.903000000000000E+008,-2.485647983849049E-002,-1.733692735433579E-002,-4.094258546829224E-001,-8.990753889083862E-001,
1.001850000000000E+009,-2.932722494006157E-002,-2.339240396395326E-003,-4.301701486110687E-001,-8.888094425201416E-001,
1.013400000000000E+009,-2.283048257231712E-002,1.147415116429329E-002,-4.514664411544800E-001,-8.780332803726196E-001,
1.024950000000000E+009,-8.410333655774593E-003,1.724413596093655E-002,-4.716713428497315E-001,-8.662804961204529E-001,
1.036500000000000E+009,6.235332693904638E-003,1.133335568010807E-002,-4.909170866012573E-001,-8.540025353431702E-001,
