% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-4.668745677918196E-003,-3.247221559286118E-002,1.736012250185013E-001,-9.744461774826050E-001,
7.015500000000000E+008,-8.529955521225929E-003,-1.598026789724827E-002,1.473577767610550E-001,-9.762905836105347E-001,
7.131000000000000E+008,-5.080442642793059E-004,-2.134045818820596E-003,1.271561086177826E-001,-9.807873368263245E-001,
7.246500000000000E+008,1.463290769606829E-002,2.009984338656068E-003,1.037643253803253E-001,-9.834007620811462E-001,
7.362000000000000E+008,2.842789515852928E-002,-5.538774654269218E-003,8.067286014556885E-002,-9.850884675979614E-001,
7.477500000000000E+008,3.337246924638748E-002,-2.051729522645474E-002,5.793755874037743E-002,-9.860097169876099E-001,
7.593000000000000E+008,2.681170217692852E-002,-3.481997922062874E-002,3.478249162435532E-002,-9.867662191390991E-001,
7.708500000000000E+008,1.205474603921175E-002,-4.124398902058601E-002,1.241851318627596E-002,-9.878951907157898E-001,
7.824000000000000E+008,-3.323263255879283E-003,-3.642723709344864E-002,-1.058016065508127E-002,-9.884489178657532E-001,
7.939500000000000E+008,-1.167668681591749E-002,-2.300791814923286E-002,-3.383828699588776E-002,-9.874325394630432E-001,
8.055000000000000E+008,-9.020858444273472E-003,-8.147804066538811E-003,-5.737018957734108E-002,-9.869008660316467E-001,
8.170500000000000E+008,3.031548811122775E-003,5.666320794261992E-004,-8.088303357362747E-002,-9.847928881645203E-001,
8.286000000000000E+008,1.810295321047306E-002,-1.442637760192156E-003,-1.040199995040894E-001,-9.819582700729370E-001,
8.401500000000000E+008,2.847821265459061E-002,-1.325141359120607E-002,-1.265677809715271E-001,-9.783455133438110E-001,
8.517000000000000E+008,2.900091931223869E-002,-2.912957221269608E-002,-1.484907716512680E-001,-9.752916097640991E-001,
8.632500000000000E+008,1.900407671928406E-002,-4.178469628095627E-002,-1.706050336360931E-001,-9.716058373451233E-001,
8.748000000000000E+008,3.210108261555433E-003,-4.551726579666138E-002,-1.930174082517624E-001,-9.675773382186890E-001,
8.863500000000000E+008,-1.143797580152750E-002,-3.860728815197945E-002,-2.154318690299988E-001,-9.634443521499634E-001,
8.979000000000000E+008,-1.857792213559151E-002,-2.479915879666805E-002,-2.376578748226166E-001,-9.588333368301392E-001,
9.094500000000000E+008,-1.554198749363422E-002,-1.065160520374775E-002,-2.601411938667297E-001,-9.534811377525330E-001,
9.210000000000000E+008,-4.384904168546200E-003,-3.015897003933787E-003,-2.831553816795349E-001,-9.463853836059570E-001,
9.325500000000000E+008,8.799808099865913E-003,-5.300899036228657E-003,-3.052238225936890E-001,-9.398670196533203E-001,
9.441000000000000E+008,1.723187789320946E-002,-1.626413874328136E-002,-3.272956311702728E-001,-9.320371150970459E-001,
9.556500000000000E+008,1.625281572341919E-002,-3.058185614645481E-002,-3.485733568668366E-001,-9.239674210548401E-001,
9.672000000000000E+008,5.943451542407274E-003,-4.109080135822296E-002,-3.707098364830017E-001,-9.151599407196045E-001,
9.787500000000000E+008,-9.193425998091698E-003,-4.253682121634483E-002,-3.922266364097595E-001,-9.063623547554016E-001,
9.903000000000000E+008,-2.195292524993420E-002,-3.380279615521431E-002,-4.132820367813110E-001,-8.967263102531433E-001,
1.001850000000000E+009,-2.633617073297501E-002,-1.903252676129341E-002,-4.346860945224762E-001,-8.874265551567078E-001,
1.013400000000000E+009,-2.017700858414173E-002,-5.642179399728775E-003,-4.565436840057373E-001,-8.765429258346558E-001,
1.024950000000000E+009,-6.614411715418100E-003,-4.276867839507759E-004,-4.767695367336273E-001,-8.642581105232239E-001,
1.036500000000000E+009,6.876892410218716E-003,-6.683299783617258E-003,-4.961643517017365E-001,-8.518668413162231E-001,
1.048050000000000E+009,1.226945687085390E-002,-2.155489474534988E-002,-5.153258442878723E-001,-8.396989107131958E-001,
