% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.439729616045952E-002,4.761857166886330E-002,-5.031517148017883E-001,-8.526988625526428E-001,
7.015500000000000E+008,-3.478379547595978E-002,5.446739494800568E-002,-5.330983996391296E-001,-8.279044628143311E-001,
7.131000000000000E+008,-1.701460219919682E-002,4.710058495402336E-002,-5.613042712211609E-001,-8.151714801788330E-001,
7.246500000000000E+008,-1.046500541269779E-002,3.088947758078575E-002,-5.902243852615356E-001,-7.953842282295227E-001,
7.362000000000000E+008,-1.767539046704769E-002,1.612470485270023E-002,-6.184823513031006E-001,-7.735844850540161E-001,
7.477500000000000E+008,-3.359248116612434E-002,1.205948460847139E-002,-6.451490521430969E-001,-7.508196234703064E-001,
7.593000000000000E+008,-4.831228777766228E-002,2.154956758022308E-002,-6.699930429458618E-001,-7.265141010284424E-001,
7.708500000000000E+008,-5.284579470753670E-002,3.993548080325127E-002,-6.943389773368835E-001,-7.030777335166931E-001,
7.824000000000000E+008,-4.414363950490952E-002,5.760266259312630E-002,-7.191287279129028E-001,-6.780806779861450E-001,
7.939500000000000E+008,-2.619791775941849E-002,6.549724191427231E-002,-7.411214113235474E-001,-6.519153714179993E-001,
8.055000000000000E+008,-7.877838797867298E-003,5.989867821335793E-002,-7.640360593795776E-001,-6.273680329322815E-001,
8.170500000000000E+008,1.373767154291272E-003,4.447799921035767E-002,-7.859203219413757E-001,-5.996850132942200E-001,
8.286000000000000E+008,-2.598301041871309E-003,2.795031107962132E-002,-8.069429993629456E-001,-5.715314149856567E-001,
8.401500000000000E+008,-1.681565493345261E-002,1.960571482777596E-002,-8.263185024261475E-001,-5.417826175689697E-001,
8.517000000000000E+008,-3.310599923133850E-002,2.413251064717770E-002,-8.445658087730408E-001,-5.115697979927063E-001,
8.632500000000000E+008,-4.225603491067886E-002,3.954861685633659E-002,-8.607608079910278E-001,-4.821095466613770E-001,
