% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.386857315897942E-002,4.787335544824600E-002,-5.029159784317017E-001,-8.532173037528992E-001,
7.015500000000000E+008,-3.389185667037964E-002,5.435310676693916E-002,-5.334815979003906E-001,-8.284848928451538E-001,
7.131000000000000E+008,-1.626945286989212E-002,4.638287425041199E-002,-5.621442794799805E-001,-8.161279559135437E-001,
7.246500000000000E+008,-1.019731629639864E-002,2.981944382190704E-002,-5.910744071006775E-001,-7.965444922447205E-001,
7.362000000000000E+008,-1.800270192325115E-002,1.507568359375000E-002,-6.193957328796387E-001,-7.746582627296448E-001,
7.477500000000000E+008,-3.434632718563080E-002,1.135129109025002E-002,-6.461565494537354E-001,-7.518352270126343E-001,
7.593000000000000E+008,-4.906362295150757E-002,2.129085734486580E-002,-6.711259484291077E-001,-7.277598977088928E-001,
7.708500000000000E+008,-5.322422832250595E-002,3.986056894063950E-002,-6.956716179847717E-001,-7.038010358810425E-001,
7.824000000000000E+008,-4.394050315022469E-002,5.740316584706307E-002,-7.198635935783386E-001,-6.794947981834412E-001,
7.939500000000000E+008,-2.563630789518356E-002,6.510269641876221E-002,-7.427428364753723E-001,-6.537252068519592E-001,
8.055000000000000E+008,-7.384331431239843E-003,5.933906510472298E-002,-7.656809687614441E-001,-6.286479830741882E-001,
8.170500000000000E+008,1.630208455026150E-003,4.389026388525963E-002,-7.877676486968994E-001,-6.014755964279175E-001,
8.286000000000000E+008,-2.577991224825382E-003,2.757353708148003E-002,-8.091240525245667E-001,-5.733166337013245E-001,
8.401500000000000E+008,-1.698100753128529E-002,1.948682405054569E-002,-8.290002942085266E-001,-5.435928106307983E-001,
8.517000000000000E+008,-3.332623094320297E-002,2.415595203638077E-002,-8.477675318717957E-001,-5.131564736366272E-001,
8.632500000000000E+008,-4.246204346418381E-002,3.947288542985916E-002,-8.643031120300293E-001,-4.831011593341827E-001,
8.748000000000000E+008,-3.929294273257256E-002,5.803195387125015E-002,-8.803570270538330E-001,-4.526545405387878E-001,
8.863500000000000E+008,-2.506979741156101E-002,7.078899443149567E-002,-8.953258395195007E-001,-4.223696887493134E-001,
8.979000000000000E+008,-6.300323177129030E-003,7.207161933183670E-002,-9.099971652030945E-001,-3.923583328723908E-001,
9.094500000000000E+008,8.192595094442368E-003,6.194785982370377E-002,-9.234936833381653E-001,-3.600220084190369E-001,
9.210000000000000E+008,1.215036399662495E-002,4.620626196265221E-002,-9.362819194793701E-001,-3.270397782325745E-001,
9.325500000000000E+008,4.666384309530258E-003,3.343134000897408E-002,-9.485317468643189E-001,-2.929902374744415E-001,
9.441000000000000E+008,-9.335394017398357E-003,3.051731176674366E-002,-9.576547145843506E-001,-2.586775720119476E-001,
9.556500000000000E+008,-2.140576392412186E-002,3.919770196080208E-002,-9.659262895584106E-001,-2.237521559000015E-001,
9.672000000000000E+008,-2.414494007825851E-002,5.507961288094521E-002,-9.729772210121155E-001,-1.893821209669113E-001,
9.787500000000000E+008,-1.502788811922073E-002,6.986042112112045E-002,-9.780290722846985E-001,-1.552905589342117E-001,
9.903000000000000E+008,2.099548932164908E-003,7.574611902236939E-002,-9.822695255279541E-001,-1.214644014835358E-001,
1.001850000000000E+009,1.900051534175873E-002,6.954109668731690E-002,-9.860882163047791E-001,-8.716889470815659E-002,
1.013400000000000E+009,2.746420912444592E-002,5.429761856794357E-002,-9.889418482780457E-001,-5.231969058513641E-002,
1.024950000000000E+009,2.306219376623631E-002,3.816582635045052E-002,-9.911244511604309E-001,-1.702302508056164E-002,
1.036500000000000E+009,8.785581216216087E-003,3.052928484976292E-002,-9.905971884727478E-001,1.811139099299908E-002,
1.048050000000000E+009,-6.999229080975056E-003,3.637259453535080E-002,-9.883624911308289E-001,5.353131145238876E-002,
1.059600000000000E+009,-1.420924998819828E-002,5.332975089550018E-002,-9.851427078247070E-001,8.905430138111115E-002,
1.071150000000000E+009,-6.903592497110367E-003,7.244229316711426E-002,-9.808374047279358E-001,1.233878955245018E-001,
1.082700000000000E+009,1.293907221406698E-002,8.298176527023315E-002,-9.752977490425110E-001,1.569178402423859E-001,
1.094250000000000E+009,3.594325110316277E-002,7.802824676036835E-002,-9.694763422012329E-001,1.897359341382980E-001,
1.105800000000000E+009,5.026898533105850E-002,5.915750935673714E-002,-9.632699489593506E-001,2.230875045061112E-001,
1.117350000000000E+009,4.810330644249916E-002,3.576864302158356E-002,-9.562108516693115E-001,2.571478486061096E-001,
1.128900000000000E+009,3.020733967423439E-002,2.082523144781590E-002,-9.471372365951538E-001,2.924161255359650E-001,
1.140450000000000E+009,6.766544189304113E-003,2.355174906551838E-002,-9.356464743614197E-001,3.269767463207245E-001,
1.152000000000000E+009,-7.994189858436585E-003,4.325251653790474E-002,-9.221435785293579E-001,3.597074151039124E-001,
1.163550000000000E+009,-3.897320013493300E-003,6.940049678087235E-002,-9.071470499038696E-001,3.916128575801849E-001,
1.175100000000000E+009,1.875937543809414E-002,8.710006624460220E-002,-8.917687535285950E-001,4.220922887325287E-001,
1.186650000000000E+009,4.899932444095612E-002,8.537736535072327E-002,-8.772416710853577E-001,4.513160586357117E-001,
1.198200000000000E+009,7.138349860906601E-002,6.406983733177185E-002,-8.619022369384766E-001,4.803427755832672E-001,
1.209750000000000E+009,7.394549250602722E-002,3.376419469714165E-002,-8.465462327003479E-001,5.104171633720398E-001,
1.221300000000000E+009,5.548324435949326E-002,1.083571184426546E-002,-8.296130299568176E-001,5.413470268249512E-001,
1.232850000000000E+009,2.711496688425541E-002,8.049799129366875E-003,-8.094973564147949E-001,5.716437101364136E-001,
1.244400000000000E+009,6.005117204040289E-003,2.668527327477932E-002,-7.874068617820740E-001,6.009752750396729E-001,
1.255950000000000E+009,5.459285806864500E-003,5.509890988469124E-002,-7.637909650802612E-001,6.276348233222961E-001,
1.267500000000000E+009,2.634030394256115E-002,7.577800005674362E-002,-7.402318120002747E-001,6.519749760627747E-001,
1.279050000000000E+009,5.703737959265709E-002,7.536780089139938E-002,-7.174519300460815E-001,6.755606532096863E-001,
1.290600000000000E+009,7.918070256710053E-002,5.318940058350563E-002,-6.952174305915833E-001,6.989220976829529E-001,
1.302150000000000E+009,7.945393770933151E-002,2.143412269651890E-002,-6.721196770668030E-001,7.230696082115173E-001,
1.313700000000000E+009,5.682194605469704E-002,-1.076100626960397E-003,-6.476803421974182E-001,7.482209205627441E-001,
1.325250000000000E+009,2.436602115631104E-002,-4.440253542270511E-005,-6.205024719238281E-001,7.727625370025635E-001,
1.336800000000000E+009,2.023917157202959E-003,2.552433498203754E-002,-5.904638767242432E-001,7.955172061920166E-001,
1.348350000000000E+009,4.982671234756708E-003,6.143570691347122E-002,-5.592169761657715E-001,8.154746294021606E-001,
1.359900000000000E+009,3.367033600807190E-002,8.671059459447861E-002,-5.283445715904236E-001,8.323519825935364E-001,
1.371450000000000E+009,7.361603528261185E-002,8.613520115613937E-002,-4.995608031749725E-001,8.477707505226135E-001,
1.383000000000000E+009,1.037993654608727E-001,5.906908214092255E-002,-4.713797271251679E-001,8.630955219268799E-001,
1.394550000000000E+009,1.085767820477486E-001,1.917262747883797E-002,-4.438105225563049E-001,8.793419003486633E-001,
1.406100000000000E+009,8.606368303298950E-002,-1.249522436410189E-002,-4.140144884586334E-001,8.963578939437866E-001,
1.417650000000000E+009,4.967239126563072E-002,-1.926887035369873E-002,-3.820866346359253E-001,9.130833148956299E-001,
1.429200000000000E+009,2.058687061071396E-002,1.372583443298936E-003,-3.475910127162933E-001,9.278707504272461E-001,
1.440750000000000E+009,1.576125435531139E-002,3.613092377781868E-002,-3.124786317348480E-001,9.392969608306885E-001,
1.452300000000000E+009,3.751578927040100E-002,6.379760801792145E-002,-2.775739729404450E-001,9.475120902061462E-001,
1.463850000000000E+009,7.274953275918961E-002,6.835646182298660E-002,-2.440832257270813E-001,9.542288780212402E-001,
1.475400000000000E+009,1.014029085636139E-001,4.789371788501740E-002,-2.126624137163162E-001,9.598506689071655E-001,
1.486950000000000E+009,1.084363609552383E-001,1.493955403566361E-002,-1.812074184417725E-001,9.670890569686890E-001,
1.498500000000000E+009,9.183651953935623E-002,-1.176441367715597E-002,-1.486984342336655E-001,9.740478396415710E-001,
1.510050000000000E+009,6.363460421562195E-002,-1.760765910148621E-002,-1.146702691912651E-001,9.812558889389038E-001,
