% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.112807080149651E-002,4.837692156434059E-002,-5.017912387847900E-001,-8.531613349914551E-001,
7.015500000000000E+008,-3.114969842135906E-002,5.488573387265205E-002,-5.322824120521545E-001,-8.284539580345154E-001,
7.131000000000000E+008,-1.346421893686056E-002,4.701557010412216E-002,-5.609501004219055E-001,-8.161689043045044E-001,
7.246500000000000E+008,-7.256129290908575E-003,3.053619526326656E-002,-5.898168683052063E-001,-7.966796755790710E-001,
7.362000000000000E+008,-1.488110609352589E-002,1.579108834266663E-002,-6.181395053863525E-001,-7.748838067054749E-001,
7.477500000000000E+008,-3.104189969599247E-002,1.194642856717110E-002,-6.449379920959473E-001,-7.520868778228760E-001,
7.593000000000000E+008,-4.561809077858925E-002,2.167648263275623E-002,-6.699329018592835E-001,-7.280902266502380E-001,
7.708500000000000E+008,-4.969496279954910E-002,4.001133516430855E-002,-6.945017576217651E-001,-7.041299939155579E-001,
7.824000000000000E+008,-4.036711901426315E-002,5.735000595450401E-002,-7.186474800109863E-001,-6.798611879348755E-001,
7.939500000000000E+008,-2.202945947647095E-002,6.491737812757492E-002,-7.415108084678650E-001,-6.541209220886231E-001,
8.055000000000000E+008,-3.741914872080088E-003,5.909628048539162E-002,-7.644285559654236E-001,-6.291108727455139E-001,
8.170500000000000E+008,5.324134603142738E-003,4.363458603620529E-002,-7.864304780960083E-001,-6.019730567932129E-001,
8.286000000000000E+008,1.183050684630871E-003,2.730628848075867E-002,-8.077859282493591E-001,-5.739271044731140E-001,
8.401500000000000E+008,-1.315390691161156E-002,1.915932260453701E-002,-8.276975154876709E-001,-5.443146824836731E-001,
8.517000000000000E+008,-2.945057302713394E-002,2.370394393801689E-002,-8.465229272842407E-001,-5.139991641044617E-001,
8.632500000000000E+008,-3.855333477258682E-002,3.884755820035934E-002,-8.631240129470825E-001,-4.840108156204224E-001,
8.748000000000000E+008,-3.536190092563629E-002,5.720726773142815E-002,-8.792585730552673E-001,-4.535405933856964E-001,
