% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-5.104569345712662E-002,4.932703822851181E-002,-5.011724233627319E-001,-8.530278205871582E-001,
7.015500000000000E+008,-3.106530569493771E-002,5.597234889864922E-002,-5.315132737159729E-001,-8.282902836799622E-001,
7.131000000000000E+008,-1.322101429104805E-002,4.824100062251091E-002,-5.601470470428467E-001,-8.161405920982361E-001,
7.246500000000000E+008,-6.765651982277632E-003,3.179107233881950E-002,-5.889523029327393E-001,-7.966738343238831E-001,
7.362000000000000E+008,-1.416034158319235E-002,1.693674549460411E-002,-6.172624826431274E-001,-7.749857902526856E-001,
7.477500000000000E+008,-3.020557388663292E-002,1.293072011321783E-002,-6.440280079841614E-001,-7.522911429405212E-001,
7.593000000000000E+008,-4.481625556945801E-002,2.254112437367439E-002,-6.690207123756409E-001,-7.282923460006714E-001,
7.708500000000000E+008,-4.902323707938194E-002,4.089456424117088E-002,-6.935803294181824E-001,-7.044638991355896E-001,
7.824000000000000E+008,-3.984894230961800E-002,5.837451294064522E-002,-7.178679704666138E-001,-6.801199913024902E-001,
7.939500000000000E+008,-2.157523483037949E-002,6.612654030323029E-002,-7.406058311462402E-001,-6.543104052543640E-001,
8.055000000000000E+008,-3.177279373630881E-003,6.043900921940804E-002,-7.635179162025452E-001,-6.294069886207581E-001,
8.170500000000000E+008,6.081353407353163E-003,4.497637599706650E-002,-7.855239510536194E-001,-6.022344231605530E-001,
8.286000000000000E+008,2.131843939423561E-003,2.852322719991207E-002,-8.068212270736694E-001,-5.742425918579102E-001,
8.401500000000000E+008,-1.204209215939045E-002,2.018544636666775E-002,-8.266729116439819E-001,-5.446670651435852E-001,
8.517000000000000E+008,-2.824066393077374E-002,2.458512596786022E-002,-8.454452157020569E-001,-5.144072771072388E-001,
8.632500000000000E+008,-3.728338703513145E-002,3.969639167189598E-002,-8.620157837867737E-001,-4.845113754272461E-001,
8.748000000000000E+008,-3.402518853545189E-002,5.814259126782417E-002,-8.782176971435547E-001,-4.541178047657013E-001,
8.863500000000000E+008,-1.971379294991493E-002,7.081445306539536E-002,-8.930327892303467E-001,-4.238205254077911E-001,
