% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-2.314619161188602E-002,3.005786985158920E-002,-4.754059910774231E-001,-8.719081282615662E-001,
7.015500000000000E+008,-3.462417749688029E-003,3.630545735359192E-002,-5.064850449562073E-001,-8.477466702461243E-001,
7.131000000000000E+008,1.462986879050732E-002,2.804751135408878E-002,-5.350320935249329E-001,-8.357616662979126E-001,
7.246500000000000E+008,2.171405963599682E-002,1.057732384651899E-002,-5.635007023811340E-001,-8.173044919967651E-001,
7.362000000000000E+008,1.479382533580065E-002,-5.979178473353386E-003,-5.915493965148926E-001,-7.970691919326782E-001,
7.477500000000000E+008,-1.391490106470883E-003,-1.219720952212811E-002,-6.185811161994934E-001,-7.762398123741150E-001,
7.593000000000000E+008,-1.695507764816284E-002,-4.777243360877037E-003,-6.443602442741394E-001,-7.541085481643677E-001,
7.708500000000000E+008,-2.275375649333000E-002,1.191507745534182E-002,-6.701788902282715E-001,-7.315133213996887E-001,
7.824000000000000E+008,-1.513531804084778E-002,2.851224131882191E-002,-6.955856084823608E-001,-7.081372737884522E-001,
7.939500000000000E+008,2.118182368576527E-003,3.592741489410400E-002,-7.193276286125183E-001,-6.828361749649048E-001,
8.055000000000000E+008,2.017661929130554E-002,2.993380650877953E-002,-7.425999641418457E-001,-6.584246158599854E-001,
8.170500000000000E+008,2.972129173576832E-002,1.369806099683046E-002,-7.646926641464233E-001,-6.321949362754822E-001,
8.286000000000000E+008,2.618733234703541E-002,-4.345191642642021E-003,-7.861459851264954E-001,-6.055499315261841E-001,
8.401500000000000E+008,1.187513861805201E-002,-1.502150669693947E-002,-8.065652251243591E-001,-5.777938365936279E-001,
8.517000000000000E+008,-5.451744422316551E-003,-1.320586074143648E-002,-8.264942169189453E-001,-5.494081377983093E-001,
8.632500000000000E+008,-1.662346720695496E-002,-1.811346737667918E-004,-8.447460532188416E-001,-5.208740830421448E-001,
8.748000000000000E+008,-1.594556868076325E-002,1.718658581376076E-002,-8.627405762672424E-001,-4.913688600063324E-001,
8.863500000000000E+008,-3.757518716156483E-003,2.978500537574291E-002,-8.792663216590881E-001,-4.615811705589294E-001,
8.979000000000000E+008,1.387215871363878E-002,3.131889551877976E-002,-8.949742913246155E-001,-4.317684173583984E-001,
9.094500000000000E+008,2.814050205051899E-002,2.110033109784126E-002,-9.091153144836426E-001,-3.999043405056000E-001,
9.210000000000000E+008,3.231411799788475E-002,4.334882367402315E-003,-9.223664999008179E-001,-3.678318560123444E-001,
9.325500000000000E+008,2.474042028188705E-002,-1.053831167519093E-002,-9.353578090667725E-001,-3.353525400161743E-001,
9.441000000000000E+008,9.670865722000599E-003,-1.620299927890301E-002,-9.457172155380249E-001,-3.027175962924957E-001,
9.556500000000000E+008,-4.667077679187059E-003,-1.007456984370947E-002,-9.558726549148560E-001,-2.693002521991730E-001,
