% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,4.073574841022492E-001,1.262005120515823E-001,-2.409497946500778E-001,-7.553611397743225E-001,
2.517500000000000E+009,3.992788195610046E-001,5.952135846018791E-002,-2.675606608390808E-001,-7.533618807792664E-001,
2.535000000000000E+009,3.633213937282562E-001,3.161149099469185E-002,-3.155926465988159E-001,-7.544643282890320E-001,
2.552500000000000E+009,3.540087640285492E-001,4.429052397608757E-002,-3.772277235984802E-001,-7.350942492485046E-001,
2.570000000000000E+009,3.906486034393311E-001,4.278162494301796E-002,-4.247035086154938E-001,-6.927913427352905E-001,
2.587500000000000E+009,4.266281127929688E-001,-6.230312865227461E-003,-4.485832154750824E-001,-6.535181999206543E-001,
2.605000000000000E+009,4.203439354896545E-001,-7.280267775058746E-002,-4.672527313232422E-001,-6.326118707656860E-001,
2.622500000000000E+009,3.812199532985687E-001,-1.114338189363480E-001,-5.011311173439026E-001,-6.214485168457031E-001,
2.640000000000000E+009,3.553165197372437E-001,-1.095305383205414E-001,-5.506830811500549E-001,-5.976347327232361E-001,
2.657500000000000E+009,3.722057640552521E-001,-1.088308990001679E-001,-5.939927697181702E-001,-5.502538084983826E-001,
2.675000000000000E+009,3.984453976154327E-001,-1.506253331899643E-001,-6.131753325462341E-001,-4.991416931152344E-001,
2.692500000000000E+009,3.868782818317413E-001,-2.160720974206924E-001,-6.206644773483276E-001,-4.651749432086945E-001,
2.710000000000000E+009,3.374518752098084E-001,-2.592431008815765E-001,-6.388477087020874E-001,-4.468299150466919E-001,
2.727500000000000E+009,2.907893359661102E-001,-2.586330771446228E-001,-6.760970354080200E-001,-4.225511550903320E-001,
2.745000000000000E+009,2.874642610549927E-001,-2.435773462057114E-001,-7.161887884140015E-001,-3.738302886486054E-001,
2.762500000000000E+009,3.115617334842682E-001,-2.669662833213806E-001,-7.327015995979309E-001,-3.107995092868805E-001,
2.780000000000000E+009,3.057231605052948E-001,-3.284702897071838E-001,-7.272465229034424E-001,-2.618725597858429E-001,
2.797500000000000E+009,2.531473934650421E-001,-3.784073293209076E-001,-7.246711254119873E-001,-2.353895902633667E-001,
2.815000000000000E+009,1.875991076231003E-001,-3.837688565254211E-001,-7.417067289352417E-001,-2.141503542661667E-001,
2.832500000000000E+009,1.558635085821152E-001,-3.565229475498200E-001,-7.733601927757263E-001,-1.746519654989243E-001,
2.850000000000000E+009,1.687934994697571E-001,-3.498634099960327E-001,-7.917338013648987E-001,-1.102288216352463E-001,
2.867500000000000E+009,1.741968393325806E-001,-3.929771780967712E-001,-7.802965044975281E-001,-4.747100546956062E-002,
2.885000000000000E+009,1.297969967126846E-001,-4.440524280071259E-001,-7.582374811172485E-001,-9.795081801712513E-003,
2.902500000000000E+009,5.743437260389328E-002,-4.553463757038117E-001,-7.523704171180725E-001,1.148820947855711E-002,
2.920000000000000E+009,5.632382817566395E-003,-4.242912828922272E-001,-7.669450044631958E-001,4.090068489313126E-002,
