% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,3.080337643623352E-001,-1.009527295827866E-001,-1.432879269123077E-001,-8.462041616439819E-001,
2.517500000000000E+009,2.983819246292114E-001,-1.598201394081116E-001,-1.746805906295776E-001,-8.302541971206665E-001,
2.535000000000000E+009,2.493574023246765E-001,-1.835267692804337E-001,-2.094684988260269E-001,-8.286198377609253E-001,
2.552500000000000E+009,2.161819934844971E-001,-1.563945859670639E-001,-2.606845796108246E-001,-8.288584947586060E-001,
2.570000000000000E+009,2.366740554571152E-001,-1.251838505268097E-001,-3.210601210594177E-001,-8.108899593353272E-001,
2.587500000000000E+009,2.772070169448853E-001,-1.435662060976028E-001,-3.689793348312378E-001,-7.764403820037842E-001,
2.605000000000000E+009,2.792754173278809E-001,-1.956742554903030E-001,-3.994361162185669E-001,-7.456254363059998E-001,
2.622500000000000E+009,2.384467422962189E-001,-2.265805155038834E-001,-4.287141561508179E-001,-7.289667725563049E-001,
2.640000000000000E+009,2.010301053524017E-001,-2.102847844362259E-001,-4.713143706321716E-001,-7.161349654197693E-001,
2.657500000000000E+009,2.100519537925720E-001,-1.796815991401672E-001,-5.238006114959717E-001,-6.883455514907837E-001,
2.675000000000000E+009,2.476225048303604E-001,-1.898274123668671E-001,-5.652715563774109E-001,-6.435595750808716E-001,
2.692500000000000E+009,2.550573945045471E-001,-2.401185482740402E-001,-5.879754424095154E-001,-6.005756855010986E-001,
2.710000000000000E+009,2.149889469146729E-001,-2.784415483474731E-001,-6.062900424003601E-001,-5.736681222915649E-001,
2.727500000000000E+009,1.662864089012146E-001,-2.689090669155121E-001,-6.377740502357483E-001,-5.534589886665344E-001,
2.745000000000000E+009,1.599491238594055E-001,-2.303414642810822E-001,-6.820156574249268E-001,-5.206092596054077E-001,
2.762500000000000E+009,1.984757035970688E-001,-2.222095131874085E-001,-7.184439897537231E-001,-4.674670696258545E-001,
2.780000000000000E+009,2.221954762935638E-001,-2.673734128475189E-001,-7.325406670570374E-001,-4.120802581310272E-001,
2.797500000000000E+009,1.918883025646210E-001,-3.183768987655640E-001,-7.366429567337036E-001,-3.738512992858887E-001,
2.815000000000000E+009,1.338241547346115E-001,-3.253300487995148E-001,-7.511900067329407E-001,-3.485135734081268E-001,
2.832500000000000E+009,1.034770682454109E-001,-2.871548235416412E-001,-7.824662923812866E-001,-3.164021372795105E-001,
2.850000000000000E+009,1.289973407983780E-001,-2.564273178577423E-001,-8.129712939262390E-001,-2.622649669647217E-001,
2.867500000000000E+009,1.672047376632690E-001,-2.824451327323914E-001,-8.210680484771729E-001,-1.984432935714722E-001,
2.885000000000000E+009,1.565481424331665E-001,-3.385334312915802E-001,-8.113139867782593E-001,-1.497129499912262E-001,
2.902500000000000E+009,1.010299101471901E-001,-3.630958497524262E-001,-8.081015348434448E-001,-1.194301918148994E-001,
2.920000000000000E+009,5.405677482485771E-002,-3.352110683917999E-001,-8.226432204246521E-001,-8.861528337001801E-002,
2.937500000000000E+009,6.102491915225983E-002,-2.928225994110107E-001,-8.429699540138245E-001,-3.803713992238045E-002,
2.955000000000000E+009,1.026493981480598E-001,-2.993057966232300E-001,-8.430805802345276E-001,2.810025401413441E-002,
2.972500000000000E+009,1.071653887629509E-001,-3.548204302787781E-001,-8.202174305915833E-001,8.138102293014526E-002,
2.990000000000000E+009,5.371063947677612E-002,-3.927425146102905E-001,-7.996017932891846E-001,1.114178448915482E-001,
3.007500000000000E+009,-8.746808394789696E-003,-3.719921112060547E-001,-7.995246648788452E-001,1.363718956708908E-001,
3.025000000000000E+009,-2.095106802880764E-002,-3.159132897853851E-001,-8.115737438201904E-001,1.796498745679855E-001,
3.042500000000000E+009,2.447214163839817E-002,-2.956613004207611E-001,-8.072122931480408E-001,2.458901107311249E-001,
3.060000000000000E+009,5.345524102449417E-002,-3.462260067462921E-001,-7.720938920974731E-001,3.050532639026642E-001,
3.077500000000000E+009,1.071707624942064E-002,-4.030179083347321E-001,-7.319149971008301E-001,3.339704871177673E-001,
3.095000000000000E+009,-6.460141390562058E-002,-3.991202712059021E-001,-7.145937681198120E-001,3.489272296428680E-001,
3.112500000000000E+009,-1.017456799745560E-001,-3.383367061614990E-001,-7.177210450172424E-001,3.798404932022095E-001,
3.130000000000000E+009,-6.553626805543900E-002,-2.873436212539673E-001,-7.120346426963806E-001,4.392030239105225E-001,
3.147500000000000E+009,-1.120573747903109E-002,-3.159614205360413E-001,-6.708433032035828E-001,5.016453862190247E-001,
3.165000000000000E+009,-2.914983965456486E-002,-3.865524828433991E-001,-6.132733225822449E-001,5.309426188468933E-001,
3.182500000000000E+009,-1.072507128119469E-001,-4.066099524497986E-001,-5.779462456703186E-001,5.362892746925354E-001,
3.200000000000000E+009,-1.670087724924088E-001,-3.555888831615448E-001,-5.694423317909241E-001,5.512782335281372E-001,
3.217500000000000E+009,-1.546206772327423E-001,-2.854536473751068E-001,-5.616468787193298E-001,5.960570573806763E-001,
3.235000000000000E+009,-9.207560122013092E-002,-2.809493541717529E-001,-5.210195779800415E-001,6.549541950225830E-001,
