% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,4.010453820228577E-001,1.280267536640167E-001,-2.349259257316589E-001,-7.625554203987122E-001,
2.517500000000000E+009,3.934052884578705E-001,6.082576140761375E-002,-2.621241211891174E-001,-7.601850628852844E-001,
2.535000000000000E+009,3.573099374771118E-001,3.255559504032135E-002,-3.104999363422394E-001,-7.612435221672058E-001,
2.552500000000000E+009,3.477506041526794E-001,4.588962718844414E-002,-3.723929226398468E-001,-7.422733306884766E-001,
2.570000000000000E+009,3.848476111888886E-001,4.566523805260658E-002,-4.205700159072876E-001,-7.003123164176941E-001,
2.587500000000000E+009,4.218410253524780E-001,-2.643889049068093E-003,-4.453216493129730E-001,-6.609470844268799E-001,
2.605000000000000E+009,4.161223471164703E-001,-6.930211931467056E-002,-4.645996391773224E-001,-6.399058103561401E-001,
2.622500000000000E+009,3.768949806690216E-001,-1.082886755466461E-001,-4.986566305160523E-001,-6.285635232925415E-001,
2.640000000000000E+009,3.509089052677155E-001,-1.061776876449585E-001,-5.484165549278259E-001,-6.048231124877930E-001,
2.657500000000000E+009,3.682400286197662E-001,-1.046790629625320E-001,-5.922752618789673E-001,-5.577803850173950E-001,
2.675000000000000E+009,3.954993188381195E-001,-1.459358483552933E-001,-6.122074127197266E-001,-5.065883398056030E-001,
2.692500000000000E+009,3.846421837806702E-001,-2.114998996257782E-001,-6.203384399414063E-001,-4.722747504711151E-001,
2.710000000000000E+009,3.352668881416321E-001,-2.549670040607452E-001,-6.386610269546509E-001,-4.537413418292999E-001,
2.727500000000000E+009,2.883996963500977E-001,-2.544435560703278E-001,-6.760958433151245E-001,-4.294828772544861E-001,
2.745000000000000E+009,2.853284180164337E-001,-2.388871461153030E-001,-7.165635824203491E-001,-3.810016512870789E-001,
2.762500000000000E+009,3.103088736534119E-001,-2.617404460906982E-001,-7.337447404861450E-001,-3.180156052112579E-001,
2.780000000000000E+009,3.055092990398407E-001,-3.233466744422913E-001,-7.288696765899658E-001,-2.687357962131500E-001,
2.797500000000000E+009,2.531909048557282E-001,-3.736941218376160E-001,-7.266684770584106E-001,-2.417202591896057E-001,
2.815000000000000E+009,1.873755007982254E-001,-3.793706297874451E-001,-7.438147068023682E-001,-2.202827185392380E-001,
2.832500000000000E+009,1.555746197700501E-001,-3.519912362098694E-001,-7.756238579750061E-001,-1.809422075748444E-001,
2.850000000000000E+009,1.690550744533539E-001,-3.449273109436035E-001,-7.944799661636353E-001,-1.165955886244774E-001,
