% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,6.241375207901001E-002,2.122865617275238E-001,2.071768343448639E-001,-9.421020150184631E-001,
2.517500000000000E+009,1.099309027194977E-001,1.589573025703430E-001,1.659673154354096E-001,-9.566079974174500E-001,
2.535000000000000E+009,8.879893273115158E-002,1.018110141158104E-001,1.139282286167145E-001,-9.742882251739502E-001,
2.552500000000000E+009,3.881429880857468E-002,1.079921796917915E-001,5.217724293470383E-002,-9.824888110160828E-001,
2.570000000000000E+009,3.746848553419113E-002,1.624701768159866E-001,-7.207136135548353E-003,-9.758673906326294E-001,
2.587500000000000E+009,9.566608071327210E-002,1.885509788990021E-001,-5.493757873773575E-002,-9.652759432792664E-001,
2.605000000000000E+009,1.501271873712540E-001,1.507723033428192E-001,-9.671097248792648E-002,-9.614377617835999E-001,
2.622500000000000E+009,1.460808962583542E-001,9.158265590667725E-002,-1.452159434556961E-001,-9.634115695953369E-001,
2.640000000000000E+009,1.015377640724182E-001,7.964229583740234E-002,-2.035811394453049E-001,-9.598546624183655E-001,
2.657500000000000E+009,8.875905722379684E-002,1.220250874757767E-001,-2.626234292984009E-001,-9.423158168792725E-001,
2.675000000000000E+009,1.374794840812683E-001,1.517144441604614E-001,-3.104994595050812E-001,-9.173253178596497E-001,
2.692500000000000E+009,1.960101872682571E-001,1.188277527689934E-001,-3.493615388870239E-001,-8.970510363578796E-001,
2.710000000000000E+009,2.007422149181366E-001,5.067062377929688E-002,-3.903553783893585E-001,-8.856366872787476E-001,
2.727500000000000E+009,1.506339311599731E-001,1.808593049645424E-002,-4.425727427005768E-001,-8.723049163818359E-001,
2.745000000000000E+009,1.137895211577416E-001,5.244548618793488E-002,-4.994361102581024E-001,-8.454675078392029E-001,
2.762500000000000E+009,1.462063640356064E-001,9.864797443151474E-002,-5.465033054351807E-001,-8.064408302307129E-001,
2.780000000000000E+009,2.142949700355530E-001,8.446491509675980E-002,-5.797336101531982E-001,-7.688983082771301E-001,
2.797500000000000E+009,2.412529140710831E-001,1.307866349816322E-002,-6.095035076141357E-001,-7.421084642410278E-001,
2.815000000000000E+009,1.982920467853546E-001,-4.703202471137047E-002,-6.481631398200989E-001,-7.200284004211426E-001,
2.832500000000000E+009,1.359155625104904E-001,-3.739887848496437E-002,-6.968147158622742E-001,-6.893014907836914E-001,
2.850000000000000E+009,1.329891085624695E-001,1.813879422843456E-002,-7.416042685508728E-001,-6.422921419143677E-001,
2.867500000000000E+009,1.946576833724976E-001,3.436584398150444E-002,-7.705945372581482E-001,-5.902023315429688E-001,
2.885000000000000E+009,2.433708757162094E-001,-2.275901287794113E-002,-7.882505059242249E-001,-5.471117496490479E-001,
2.902500000000000E+009,2.205390334129334E-001,-9.808243811130524E-002,-8.105055689811707E-001,-5.150218009948731E-001,
2.920000000000000E+009,1.506959646940231E-001,-1.165262535214424E-001,-8.444641828536987E-001,-4.806107878684998E-001,
2.937500000000000E+009,1.165542304515839E-001,-6.714422255754471E-002,-8.811793923377991E-001,-4.313109815120697E-001,
2.955000000000000E+009,1.616918146610260E-001,-2.845789305865765E-002,-9.036487340927124E-001,-3.703188598155975E-001,
2.972500000000000E+009,2.231546491384506E-001,-6.920205801725388E-002,-9.095539450645447E-001,-3.156250417232513E-001,
2.990000000000000E+009,2.161906510591507E-001,-1.548064947128296E-001,-9.141930937767029E-001,-2.756641507148743E-001,
3.007500000000000E+009,1.378212720155716E-001,-1.970719844102860E-001,-9.315062165260315E-001,-2.406398504972458E-001,
3.025000000000000E+009,6.881307065486908E-002,-1.530426591634750E-001,-9.578382372856140E-001,-1.936741173267365E-001,
3.042500000000000E+009,8.913777768611908E-002,-8.326046913862228E-002,-9.750696420669556E-001,-1.288999319076538E-001,
3.060000000000000E+009,1.668020337820053E-001,-9.221383184194565E-002,-9.709448814392090E-001,-6.291384994983673E-002,
3.077500000000000E+009,1.902231723070145E-001,-1.822380423545837E-001,-9.559738039970398E-001,-1.445320248603821E-002,
3.095000000000000E+009,1.181777715682983E-001,-2.547228038311005E-001,-9.513623118400574E-001,1.946351490914822E-002,
3.112500000000000E+009,1.891180500388145E-002,-2.321825027465820E-001,-9.631529450416565E-001,5.911223217844963E-002,
3.130000000000000E+009,-1.772242481820285E-003,-1.412961035966873E-001,-9.749562144279480E-001,1.189534068107605E-001,
3.147500000000000E+009,7.579699158668518E-002,-1.015700176358223E-001,-9.652852416038513E-001,1.901007443666458E-001,
3.165000000000000E+009,1.375829875469208E-001,-1.738941371440888E-001,-9.347357749938965E-001,2.470075190067291E-001,
3.182500000000000E+009,9.150139242410660E-002,-2.705106139183044E-001,-9.077898263931274E-001,2.816628217697144E-001,
3.200000000000000E+009,-1.976820267736912E-002,-2.816485464572907E-001,-8.995754718780518E-001,3.119330108165741E-001,
3.217500000000000E+009,-8.367893844842911E-002,-1.947257965803146E-001,-9.012478590011597E-001,3.590042889118195E-001,
3.235000000000000E+009,-3.332461416721344E-002,-1.132822483778000E-001,-8.892653584480286E-001,4.250054359436035E-001,
3.252500000000000E+009,5.238601937890053E-002,-1.459220498800278E-001,-8.507398962974548E-001,4.870878756046295E-001,
3.270000000000000E+009,4.281585663557053E-002,-2.474738657474518E-001,-8.042779564857483E-001,5.237666368484497E-001,
3.287500000000000E+009,-6.105451658368111E-002,-2.868268489837647E-001,-7.753667235374451E-001,5.454025268554688E-001,
3.305000000000000E+009,-1.482741385698319E-001,-2.158444970846176E-001,-7.636712193489075E-001,5.777196288108826E-001,
3.322500000000000E+009,-1.256109625101090E-001,-1.124879941344261E-001,-7.473306059837341E-001,6.318603157997131E-001,
3.340000000000000E+009,-2.839979343116283E-002,-1.055146306753159E-001,-7.046667337417603E-001,6.917265057563782E-001,
3.357500000000000E+009,-8.369855349883437E-004,-2.035891413688660E-001,-6.434933543205261E-001,7.285040616989136E-001,
3.375000000000000E+009,-9.156630188226700E-002,-2.716049253940582E-001,-5.949334502220154E-001,7.412208914756775E-001,
3.392500000000000E+009,-1.999260634183884E-001,-2.234957069158554E-001,-5.693538784980774E-001,7.559059262275696E-001,
3.410000000000000E+009,-2.120959162712097E-001,-1.085440590977669E-001,-5.489708185195923E-001,7.915726900100708E-001,
3.427500000000000E+009,-1.192108467221260E-001,-5.678026378154755E-002,-5.083694458007813E-001,8.427222371101379E-001,
3.445000000000000E+009,-5.160884186625481E-002,-1.330559253692627E-001,-4.408198595046997E-001,8.791710138320923E-001,
3.462500000000000E+009,-1.144042164087296E-001,-2.262525260448456E-001,-3.754782080650330E-001,8.847894072532654E-001,
3.480000000000000E+009,-2.361402660608292E-001,-2.092185914516449E-001,-3.350329697132111E-001,8.808546066284180E-001,
3.497500000000000E+009,-2.860850691795349E-001,-9.522273391485214E-002,-3.108727931976318E-001,8.942753672599793E-001,
3.515000000000000E+009,-2.152716368436813E-001,-1.162707456387579E-003,-2.760924994945526E-001,9.293505549430847E-001,
3.532500000000000E+009,-1.136196404695511E-001,-3.187528625130653E-002,-2.121904939413071E-001,9.632095098495483E-001,
3.550000000000000E+009,-1.250618994235992E-001,-1.361189335584641E-001,-1.357733309268951E-001,9.668279290199280E-001,
3.567500000000000E+009,-2.403027117252350E-001,-1.587100774049759E-001,-8.096007257699966E-002,9.475788474082947E-001,
3.585000000000000E+009,-3.208152949810028E-001,-6.170062348246574E-002,-5.060406029224396E-002,9.372516870498657E-001,
3.602500000000000E+009,-2.818859815597534E-001,5.801858752965927E-002,-2.143328450620174E-002,9.508739709854126E-001,
3.620000000000000E+009,-1.656966656446457E-001,7.866060733795166E-002,3.131240233778954E-002,9.758428931236267E-001,
