% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,1.266635805368424E-001,-6.606683880090714E-002,2.020831704139710E-001,-9.582119584083557E-001,
2.517500000000000E+009,1.584781706333160E-001,-1.231275871396065E-001,1.512650698423386E-001,-9.574908614158630E-001,
2.535000000000000E+009,1.217900589108467E-001,-1.799484640359879E-001,1.086919531226158E-001,-9.598315954208374E-001,
2.552500000000000E+009,5.817238986492157E-002,-1.750219762325287E-001,6.463231146335602E-002,-9.710896611213684E-001,
2.570000000000000E+009,4.011062160134316E-002,-1.208637952804565E-001,9.027714841067791E-003,-9.818351864814758E-001,
2.587500000000000E+009,8.357595652341843E-002,-9.207554161548615E-002,-5.296405032277107E-002,-9.803078770637512E-001,
2.605000000000000E+009,1.236541643738747E-001,-1.286932229995728E-001,-1.079484671354294E-001,-9.670631289482117E-001,
2.622500000000000E+009,1.038060784339905E-001,-1.842240393161774E-001,-1.525283902883530E-001,-9.544041752815247E-001,
2.640000000000000E+009,4.601547494530678E-002,-1.919001489877701E-001,-1.956547200679779E-001,-9.497085809707642E-001,
2.657500000000000E+009,1.851135306060314E-002,-1.459169089794159E-001,-2.485544979572296E-001,-9.465632438659668E-001,
2.675000000000000E+009,5.330934748053551E-002,-1.094505339860916E-001,-3.082854449748993E-001,-9.324924945831299E-001,
2.692500000000000E+009,9.979969263076782E-002,-1.367142647504807E-001,-3.619580566883087E-001,-9.050053954124451E-001,
2.710000000000000E+009,9.038186073303223E-002,-1.980738639831543E-001,-4.022184610366821E-001,-8.774569630622864E-001,
2.727500000000000E+009,2.875246666371822E-002,-2.212425172328949E-001,-4.389612078666687E-001,-8.583791851997376E-001,
2.745000000000000E+009,-1.902731880545616E-002,-1.797518432140350E-001,-4.841050505638123E-001,-8.439325094223023E-001,
2.762500000000000E+009,7.674167281948030E-004,-1.239168122410774E-001,-5.386996865272522E-001,-8.209546208381653E-001,
2.780000000000000E+009,5.981053039431572E-002,-1.275118589401245E-001,-5.896599292755127E-001,-7.823393344879150E-001,
2.797500000000000E+009,7.651346921920776E-002,-1.902908980846405E-001,-6.256281733512878E-001,-7.390714287757874E-001,
2.815000000000000E+009,2.288143523037434E-002,-2.378519773483276E-001,-6.522990465164185E-001,-7.039148211479187E-001,
2.832500000000000E+009,-4.555783048272133E-002,-2.167859971523285E-001,-6.843085885047913E-001,-6.789621710777283E-001,
2.850000000000000E+009,-5.665732547640801E-002,-1.513155996799469E-001,-7.278388142585754E-001,-6.499928236007690E-001,
2.867500000000000E+009,-1.874045468866825E-003,-1.214005798101425E-001,-7.731289863586426E-001,-6.055673360824585E-001,
2.885000000000000E+009,4.247296229004860E-002,-1.669070273637772E-001,-8.035271167755127E-001,-5.504022836685181E-001,
2.902500000000000E+009,1.280924212187529E-002,-2.299929857254028E-001,-8.200318813323975E-001,-5.024062991142273E-001,
2.920000000000000E+009,-6.061897426843643E-002,-2.340088933706284E-001,-8.373903632164002E-001,-4.667859971523285E-001,
2.937500000000000E+009,-9.720221906900406E-002,-1.736458837985992E-001,-8.665251135826111E-001,-4.326598942279816E-001,
2.955000000000000E+009,-5.612393468618393E-002,-1.219095960259438E-001,-9.011405706405640E-001,-3.844665884971619E-001,
2.972500000000000E+009,5.342308431863785E-003,-1.494059860706329E-001,-9.234883189201355E-001,-3.223793506622315E-001,
2.990000000000000E+009,-3.489278256893158E-003,-2.239132076501846E-001,-9.272264242172241E-001,-2.644164562225342E-001,
3.007500000000000E+009,-8.278673142194748E-002,-2.510707974433899E-001,-9.278594255447388E-001,-2.224818617105484E-001,
3.025000000000000E+009,-1.482129395008087E-001,-1.948032230138779E-001,-9.402616024017334E-001,-1.880237907171249E-001,
3.042500000000000E+009,-1.279205977916718E-001,-1.148051843047142E-001,-9.639385342597961E-001,-1.416673511266708E-001,
3.060000000000000E+009,-4.802435263991356E-002,-1.097002625465393E-001,-9.797219038009644E-001,-7.602874934673309E-002,
3.077500000000000E+009,-2.026621624827385E-002,-1.899248957633972E-001,-9.717000126838684E-001,-9.156870655715466E-003,
3.095000000000000E+009,-9.130635112524033E-002,-2.505542039871216E-001,-9.530956149101257E-001,3.799479827284813E-002,
3.112500000000000E+009,-1.838483661413193E-001,-2.147257477045059E-001,-9.467222094535828E-001,7.098954170942307E-002,
3.130000000000000E+009,-1.983328759670258E-001,-1.170021891593933E-001,-9.565172791481018E-001,1.108104214072228E-001,
3.147500000000000E+009,-1.182272583246231E-001,-6.672103703022003E-002,-9.653732776641846E-001,1.720385998487473E-001,
3.165000000000000E+009,-4.791679978370667E-002,-1.286958009004593E-001,-9.500293731689453E-001,2.429771125316620E-001,
3.182500000000000E+009,-8.846763521432877E-002,-2.186486721038818E-001,-9.157174229621887E-001,2.957438826560974E-001,
3.200000000000000E+009,-1.933685541152954E-001,-2.185879945755005E-001,-8.888377547264099E-001,3.267241716384888E-001,
3.217500000000000E+009,-2.460047155618668E-001,-1.250722259283066E-001,-8.815756440162659E-001,3.575456142425537E-001,
3.235000000000000E+009,-1.902323663234711E-001,-3.945028781890869E-002,-8.810267448425293E-001,4.081271290779114E-001,
3.252500000000000E+009,-9.675805270671845E-002,-6.336403638124466E-002,-8.609643578529358E-001,4.757308363914490E-001,
3.270000000000000E+009,-9.637086093425751E-002,-1.612211465835571E-001,-8.148630857467651E-001,5.304332375526428E-001,
3.287500000000000E+009,-1.933852732181549E-001,-1.951565593481064E-001,-7.705965042114258E-001,5.581035017967224E-001,
3.305000000000000E+009,-2.690080404281616E-001,-1.189108863472939E-001,-7.475386261940002E-001,5.792298316955566E-001,
3.322500000000000E+009,-2.375430762767792E-001,-1.552084181457758E-002,-7.367910742759705E-001,6.177603602409363E-001,
3.340000000000000E+009,-1.340560466051102E-001,-4.190661944448948E-003,-7.114391326904297E-001,6.769014596939087E-001,
3.357500000000000E+009,-9.527055174112320E-002,-1.000080257654190E-001,-6.564514040946960E-001,7.296323180198669E-001,
3.375000000000000E+009,-1.786336600780487E-001,-1.684390157461166E-001,-5.961130261421204E-001,7.523989677429199E-001,
3.392500000000000E+009,-2.778346538543701E-001,-1.177619099617004E-001,-5.578927993774414E-001,7.607706189155579E-001,
3.410000000000000E+009,-2.794008851051331E-001,-5.063686054199934E-003,-5.377012491226196E-001,7.827198505401611E-001,
